DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.73;2.88;8.53;NA;7.28;7.61;ND;2.33;ND;NA;NA;NA;
1;1;ND;ND;ND;NA;ND;7.66;ND;2.15;ND;NA;NA;NA;
1;2;1.73;2.06;6.43;NA;4.64;6;ND;3.22;ND;NA;NA;NA;
1;3;1.59;1.73;6.88;NA;7.36;4.99;ND;3.13;ND;NA;NA;NA;
1;4;1.56;3.1;6.84;NA;15.82;4.86;ND;2.77;ND;NA;NA;NA;
1;5;2.2;2.72;7.8;NA;13.14;5.99;ND;3;ND;NA;NA;NA;
1;6;4.78;3.52;7.48;NA;31.29;9.91;ND;2.73;ND;NA;NA;NA;
1;7;6.83;3.89;11.43;NA;23.27;14.89;ND;4.26;ND;NA;NA;NA;
1;8;8.94;3.95;33.27;NA;11.57;11.44;ND;6.03;ND;NA;NA;NA;
1;9;5.78;2.62;14.18;NA;9.85;9.37;ND;5.38;ND;NA;NA;NA;
1;10;3.67;2.38;5.22;NA;6.26;7.16;ND;4.37;ND;NA;NA;NA;
1;11;2.58;1.93;3.93;NA;3.29;5.61;ND;3.62;ND;NA;NA;NA;
1;12;2.55;2.12;4.63;NA;3.02;4.5;ND;2.28;ND;NA;NA;NA;
1;13;1.81;1.47;4.17;NA;3.9;4.64;ND;1.91;ND;NA;NA;NA;
1;14;1.28;0.85;3.32;NA;3.05;3.79;ND;1.33;ND;NA;NA;NA;
1;15;1.28;1.2;1.94;NA;2.55;3.2;ND;1.34;ND;NA;NA;NA;
1;16;1.12;1.05;4.76;NA;2.27;2.47;ND;1.41;ND;NA;NA;NA;
1;17;1.24;1.29;8.52;NA;2.83;2.69;ND;1.45;ND;NA;NA;NA;
1;18;1.94;1.93;7.62;NA;2.97;3.69;ND;1.08;ND;NA;NA;NA;
1;19;2.49;2.63;5.49;NA;3.07;3.93;ND;1.29;ND;NA;NA;NA;
1;20;2.46;2.95;6.43;NA;5.28;4.94;ND;1.38;ND;NA;NA;NA;
1;21;2.34;2.21;5;NA;4.46;4.79;ND;1.32;ND;NA;NA;NA;
1;22;2.2;2.08;28.97;NA;4.05;5.06;ND;1.49;ND;NA;NA;NA;
1;23;3;2.77;26.15;NA;5.94;6.4;ND;2.21;ND;NA;NA;NA;
2;0;3.16;4.2;11.81;NA;2.18;4.72;ND;4.58;ND;NA;NA;NA;
2;1;4.3;4.84;10.45;NA;8.26;ND;ND;9.46;ND;NA;NA;NA;
2;2;3.57;4.12;8.04;NA;30.82;6.19;ND;6.48;ND;NA;NA;NA;
2;3;2.9;10.55;7.11;NA;14.35;6.36;ND;4.83;ND;NA;NA;NA;
2;4;3.13;9.66;8.51;NA;4.97;4.95;ND;5.13;ND;NA;NA;NA;
2;5;3.88;6.69;5.92;NA;10.38;4.52;ND;5.49;ND;NA;NA;NA;
2;6;4.8;7.22;8.46;NA;44.14;7.26;ND;4.58;ND;NA;NA;NA;
2;7;5.42;5.5;9.68;NA;11.22;9.76;ND;23.74;ND;NA;NA;NA;
2;8;4.76;4.65;9.89;NA;5.44;8.61;ND;29.45;ND;NA;NA;NA;
2;9;4.91;5.14;11.63;NA;5.96;7.04;ND;21.9;ND;NA;NA;NA;
2;10;3.99;4.1;9.73;NA;8.1;7.58;ND;14.27;ND;NA;NA;NA;
2;11;2.22;2.76;3.22;NA;6.35;5.55;ND;7.33;ND;NA;NA;NA;
2;12;1.88;2;3.17;NA;4.06;3.67;ND;7.25;ND;NA;NA;NA;
2;13;1.74;1.54;3.88;NA;2.57;2.8;ND;6.11;ND;NA;NA;NA;
2;14;1.44;1.13;2.3;NA;2.78;3.1;ND;3.43;ND;NA;NA;NA;
2;15;1.22;0.86;2.87;NA;2.78;2.64;ND;2.14;ND;NA;NA;NA;
2;16;1.15;1.19;4.63;NA;2.78;1.91;ND;2.28;ND;NA;NA;NA;
2;17;1.09;1.54;4.24;NA;2.08;1.19;ND;2.4;ND;NA;NA;NA;
2;18;1.49;1.57;3.38;NA;2.12;1.95;ND;2.02;ND;NA;NA;NA;
2;19;1.74;2.3;3.04;NA;2.96;2.71;ND;1.71;ND;NA;NA;NA;
2;20;1.66;2.43;2.87;NA;4.53;2.54;ND;1.47;ND;NA;NA;NA;
2;21;2.05;2.7;3.77;NA;3.91;3.48;ND;2.02;ND;NA;NA;NA;
2;22;2.21;2.67;2.65;NA;5.86;3.73;ND;2.54;ND;NA;NA;NA;
2;23;1.39;2.21;2.41;NA;3.68;3.5;ND;3.25;ND;NA;NA;NA;
3;0;1.36;2.76;2.77;NA;9.3;3.59;ND;2.21;ND;NA;NA;NA;
3;1;ND;ND;ND;NA;ND;3.67;ND;1.77;ND;NA;NA;NA;
3;2;1.09;3.36;1.84;NA;37.24;4.54;ND;1.21;ND;NA;NA;NA;
3;3;1.02;19.21;1.71;NA;216.44;6.45;ND;1.36;ND;NA;NA;NA;
3;4;1.52;4.61;2.64;NA;86.68;6.07;ND;1.08;ND;NA;NA;NA;
3;5;1.9;3.94;7.89;NA;125.14;5.76;ND;1.22;ND;NA;NA;NA;
3;6;2.71;4.97;7.99;NA;107.01;13.39;ND;2.28;ND;NA;NA;NA;
3;7;2.94;8.14;22.91;NA;77.23;41.41;ND;5.69;ND;NA;NA;NA;
3;8;6.56;6.29;30.85;NA;17.87;20.95;ND;8.62;ND;NA;NA;NA;
3;9;9.05;5.87;16.25;NA;6.73;9.51;ND;7.35;ND;NA;NA;NA;
3;10;9.01;5.76;ND;NA;6.34;6.75;ND;3.38;ND;NA;NA;NA;
3;11;6.75;4;ND;NA;5.79;6.17;ND;2.51;ND;NA;NA;NA;
3;12;3.85;2.76;6.41;NA;5.09;5.32;ND;ND;ND;NA;NA;NA;
3;13;1.99;1.53;5.51;NA;6.45;4.88;ND;4.49;ND;NA;NA;NA;
3;14;1.44;1.1;3.43;NA;4.17;3.38;ND;2.22;ND;NA;NA;NA;
3;15;1.24;0.95;4.98;NA;3.4;2.88;ND;1.65;ND;NA;NA;NA;
3;16;1.3;1.31;4.34;NA;3.42;2.92;ND;1.18;ND;NA;NA;NA;
3;17;2.75;1.83;5.33;NA;3.55;4.13;ND;1.19;ND;NA;NA;NA;
3;18;3.02;2.06;5.79;NA;3.08;4.19;ND;1.02;ND;NA;NA;NA;
3;19;2.11;1.75;3.68;NA;3.52;3.73;ND;2.91;ND;NA;NA;NA;
3;20;1.13;1.82;3.27;NA;7.08;3.3;ND;2.69;ND;NA;NA;NA;
3;21;1.08;1.44;2.41;NA;4.76;3.22;ND;1.45;ND;NA;NA;NA;
3;22;0.97;1.19;1.51;NA;7.92;3.21;ND;1.05;ND;NA;NA;NA;
3;23;1.02;1.27;1.15;NA;3.71;2.72;ND;0.76;ND;NA;NA;NA;
4;0;1.36;1.21;1.71;NA;5.19;2.48;ND;0.68;ND;NA;NA;NA;
4;1;1.35;3.39;3.34;NA;15.36;ND;ND;0.66;ND;NA;NA;NA;
4;2;1.23;1.64;5.49;NA;4.62;4.31;ND;0.61;ND;NA;NA;NA;
4;3;1.62;1.86;6.16;NA;3.92;3.82;ND;0.54;ND;NA;NA;NA;
4;4;2.37;2.11;7.08;NA;6.1;4.59;ND;0.52;ND;NA;NA;NA;
4;5;2.44;2.46;4.17;NA;11.01;10.03;ND;0.46;ND;NA;NA;NA;
4;6;2.78;2.8;9.71;NA;15.38;9.55;ND;0.57;ND;NA;NA;NA;
4;7;5.44;2.9;15.57;NA;7.71;9.83;ND;0.94;ND;NA;NA;NA;
4;8;3.75;2.71;13.53;NA;6.98;7.66;ND;1.49;ND;NA;NA;NA;
4;9;6.28;2.65;10.1;NA;8.71;9.09;ND;1.74;ND;NA;NA;NA;
4;10;5.17;2.15;7.69;NA;10.51;7.02;ND;1.53;ND;NA;NA;NA;
4;11;2.62;1.4;7.53;NA;5.36;4.31;ND;ND;ND;NA;NA;NA;
4;12;1.86;1.63;5.59;NA;3.45;4.76;ND;ND;ND;NA;NA;NA;
4;13;1.59;2.06;8.7;NA;3.37;4.56;ND;ND;ND;NA;NA;NA;
4;14;1.23;1.68;6.97;NA;ND;4.56;ND;1.74;ND;NA;NA;NA;
4;15;1.22;1.57;6.88;NA;ND;4.71;ND;1.81;ND;NA;NA;NA;
4;16;2.44;1.67;5.77;NA;3.18;3.56;ND;ND;ND;NA;NA;NA;
4;17;1.67;1.85;4.56;NA;6.45;3.45;ND;1.45;ND;NA;NA;NA;
4;18;2.12;1.86;4.2;NA;8.23;3.64;ND;1.19;ND;NA;NA;NA;
4;19;2.1;1.76;5.23;NA;4.94;3.39;ND;1.16;ND;NA;NA;NA;
4;20;2.37;2.04;3.42;NA;3.03;3.05;ND;1.45;ND;NA;NA;NA;
4;21;2.09;1.81;2.34;NA;3.24;2.75;ND;1.32;ND;NA;NA;NA;
4;22;2.16;2;2.35;NA;3.54;2.45;ND;1.78;ND;NA;NA;NA;
4;23;2.55;3.76;2.42;NA;ND;2.28;ND;1.32;ND;NA;NA;NA;
5;0;3.03;3.98;4.02;NA;3.99;2.63;ND;0.7;ND;NA;NA;NA;
5;1;ND;ND;ND;NA;ND;2.79;ND;0.96;ND;NA;NA;NA;
5;2;3.43;2.93;3.18;NA;7.4;2.91;ND;1.31;ND;NA;NA;NA;
5;3;2.87;1.99;2.45;NA;4.31;2.82;ND;1.18;ND;NA;NA;NA;
5;4;2.63;2.04;2.7;NA;5.1;3.66;ND;0.81;ND;NA;NA;NA;
5;5;4.01;3.39;3.48;NA;9.28;3.83;ND;1.15;ND;NA;NA;NA;
5;6;6.59;7.57;9.08;NA;11.36;4.75;ND;1.5;ND;NA;NA;NA;
5;7;16.5;5.89;14.44;NA;18.47;6.64;ND;2.27;ND;NA;NA;NA;
5;8;12.59;3.61;17.39;NA;12.6;6.31;ND;4.06;ND;NA;NA;NA;
5;9;4.61;1.59;10.31;NA;6.22;4.15;ND;5.85;ND;NA;NA;NA;
5;10;3.09;1.09;6.86;NA;6.69;2.48;ND;3.06;ND;NA;NA;NA;
5;11;2.95;1.4;5.69;NA;3.93;2.91;ND;1.85;ND;NA;NA;NA;
5;12;1.71;0.6;5.76;NA;2.2;4.12;ND;2.18;ND;NA;NA;NA;
5;13;1.75;0.6;8.65;NA;1.93;3.55;ND;1.92;ND;NA;NA;NA;
5;14;2.51;1.03;10.71;NA;3.06;4.49;ND;1.54;ND;NA;NA;NA;
5;15;1.89;0.82;8.66;NA;3.44;4.74;ND;1.62;ND;NA;NA;NA;
5;16;1.67;1.04;7.34;NA;1.95;3.69;ND;1.15;ND;NA;NA;NA;
5;17;1.52;1.28;8.65;NA;2.66;3.34;ND;1.15;ND;NA;NA;NA;
5;18;1.59;1.19;8.81;NA;4.39;2.75;ND;1.16;ND;NA;NA;NA;
5;19;3.05;1.67;7.38;NA;5.6;3.3;ND;0.94;ND;NA;NA;NA;
5;20;2.46;1.44;6.62;NA;5.51;3.56;ND;0.69;ND;NA;NA;NA;
5;21;1.94;1.54;9.61;NA;5.16;3.69;ND;0.82;ND;NA;NA;NA;
5;22;2.24;1.18;5.79;NA;ND;3.27;ND;0.69;ND;NA;NA;NA;
5;23;4.04;1.09;4.61;NA;ND;3.23;ND;0.54;ND;NA;NA;NA;
6;0;2.63;1.25;4.6;NA;14.65;3.49;ND;0.57;ND;NA;NA;NA;
6;1;2.16;1.1;4.66;NA;9.63;ND;ND;0.62;ND;NA;NA;NA;
6;2;1.78;0.95;2.89;NA;8.37;4.34;ND;0.55;ND;NA;NA;NA;
6;3;1.58;0.88;2.53;NA;10.24;3.31;ND;0.53;ND;NA;NA;NA;
6;4;1.75;0.63;3.22;NA;2.4;2.63;ND;0.61;ND;NA;NA;NA;
6;5;1.72;0.72;3.14;NA;3.17;2.75;ND;0.62;ND;NA;NA;NA;
6;6;1.78;2.67;3.06;NA;4.95;2.91;ND;0.7;ND;NA;NA;NA;
6;7;4.13;3.34;2.86;NA;5.49;3.63;ND;1.7;ND;NA;NA;NA;
6;8;5.03;3.37;4.11;NA;4.58;3.5;ND;2.41;ND;NA;NA;NA;
