DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.34;0.27;ND;NA;0.07;ND;0.17;NA;ND;NA;NA;NA;
1;1;0.33;0.23;0.28;NA;0.03;0.39;0.14;NA;ND;NA;NA;NA;
1;2;0.33;0.22;0.27;NA;0.02;0.4;0.14;NA;ND;NA;NA;NA;
1;3;0.32;0.21;0.27;NA;0.02;0.41;0.13;NA;ND;NA;NA;NA;
1;4;0.32;0.23;0.27;NA;0.02;0.43;0.13;NA;ND;NA;NA;NA;
1;5;0.38;0.32;0.31;NA;0.07;0.68;0.16;NA;ND;NA;NA;NA;
1;6;0.54;1.01;0.52;NA;0.26;0.99;0.2;NA;ND;NA;NA;NA;
1;7;0.66;0.66;0.73;NA;0.2;0.93;0.2;NA;ND;NA;NA;NA;
1;8;0.56;0.43;0.74;NA;0.16;0.7;0.19;NA;ND;NA;NA;NA;
1;9;0.49;0.4;0.63;NA;0.14;0.49;0.21;NA;ND;NA;NA;NA;
1;10;0.45;0.45;0.6;NA;0.2;ND;0.24;NA;ND;NA;NA;NA;
1;11;0.44;0.46;0.58;NA;0.23;ND;ND;NA;ND;NA;NA;NA;
1;12;0.41;0.5;0.66;NA;0.23;0.36;ND;NA;ND;NA;NA;NA;
1;13;0.4;ND;0.58;NA;0.24;0.41;ND;NA;ND;NA;NA;NA;
1;14;0.41;ND;0.62;NA;0.22;0.41;ND;NA;ND;NA;NA;NA;
1;15;0.43;0.77;0.66;NA;0.23;0.46;0.3;NA;ND;NA;NA;NA;
1;16;0.46;0.61;0.7;NA;0.33;0.49;0.33;NA;ND;NA;NA;NA;
1;17;0.49;0.73;0.73;NA;0.27;0.47;0.32;NA;ND;NA;NA;NA;
1;18;0.62;0.83;0.85;NA;0.35;0.6;0.34;NA;ND;NA;NA;NA;
1;19;0.64;0.86;0.82;NA;0.37;0.86;0.31;NA;ND;NA;NA;NA;
1;20;0.74;0.8;0.95;NA;0.41;0.72;0.25;NA;ND;NA;NA;NA;
1;21;0.74;0.79;0.77;NA;0.16;0.77;0.29;NA;ND;NA;NA;NA;
1;22;0.45;0.71;0.5;NA;0.13;0.56;0.21;NA;ND;NA;NA;NA;
1;23;0.39;0.54;0.4;NA;0.18;0.42;0.15;NA;ND;NA;NA;NA;
2;0;ND;0.51;0.34;NA;0.1;ND;ND;NA;ND;NA;NA;NA;
2;1;0.38;0.55;0.34;NA;0.16;0.27;0.14;NA;ND;NA;NA;NA;
2;2;0.37;0.57;0.38;NA;0.17;0.34;0.14;NA;ND;NA;NA;NA;
2;3;0.42;0.61;0.41;NA;0.22;0.4;0.16;NA;ND;NA;NA;NA;
2;4;0.46;0.58;0.48;NA;0.3;0.57;0.17;NA;ND;NA;NA;NA;
2;5;0.86;0.85;0.6;NA;0.44;0.53;0.26;NA;ND;NA;NA;NA;
2;6;1.54;2;1.03;NA;1.08;0.79;0.37;NA;ND;NA;NA;NA;
2;7;1.48;1.19;0.81;NA;0.49;0.66;0.31;NA;ND;NA;NA;NA;
2;8;0.86;0.98;0.81;NA;0.54;0.6;0.3;NA;ND;NA;NA;NA;
2;9;0.58;0.77;0.78;NA;0.35;0.51;0.32;NA;ND;NA;NA;NA;
2;10;0.51;ND;0.63;NA;0.32;0.52;0.29;NA;ND;NA;NA;NA;
2;11;0.47;ND;0.73;NA;0.28;0.52;0.31;NA;ND;NA;NA;NA;
2;12;ND;0.34;0.7;NA;0.26;0.52;0.34;NA;ND;NA;NA;NA;
2;13;0.32;0.36;0.61;NA;0.23;0.48;0.36;NA;ND;NA;NA;NA;
2;14;0.34;0.35;0.7;NA;0.23;0.43;0.38;NA;ND;NA;NA;NA;
2;15;0.34;0.22;0.8;NA;0.2;0.48;0.36;NA;ND;NA;NA;NA;
2;16;0.37;0.35;0.96;NA;0.25;0.52;0.38;NA;ND;NA;NA;NA;
2;17;0.38;0.37;0.9;NA;0.26;0.49;0.42;NA;ND;NA;NA;NA;
2;18;0.46;0.63;1.1;NA;0.4;0.76;0.51;NA;ND;NA;NA;NA;
2;19;0.46;0.55;1.11;NA;0.41;0.71;0.46;NA;ND;NA;NA;NA;
2;20;0.47;0.51;0.7;NA;0.38;0.62;0.43;NA;ND;NA;NA;NA;
2;21;0.53;0.59;0.74;NA;0.24;0.55;0.34;NA;ND;NA;NA;NA;
2;22;0.5;0.44;0.63;NA;0.46;0.5;0.32;NA;ND;NA;NA;NA;
2;23;0.48;0.53;0.56;NA;0.18;0.42;0.28;NA;ND;NA;NA;NA;
3;0;0.34;ND;ND;NA;ND;0.43;0.22;NA;ND;NA;NA;NA;
3;1;0.33;0.53;0.42;NA;0.35;0.35;0.22;NA;ND;NA;NA;NA;
3;2;0.31;0.23;0.42;NA;0.18;0.39;0.2;NA;ND;NA;NA;NA;
3;3;0.27;0.19;0.38;NA;0.33;0.34;0.21;NA;ND;NA;NA;NA;
3;4;0.28;0.18;0.36;NA;0.34;0.36;0.2;NA;ND;NA;NA;NA;
3;5;0.3;0.26;0.37;NA;0.17;0.52;0.23;NA;ND;NA;NA;NA;
3;6;0.39;0.46;0.46;NA;0.29;0.67;0.42;NA;ND;NA;NA;NA;
3;7;0.49;0.68;0.61;NA;0.42;0.71;0.6;NA;ND;NA;NA;NA;
3;8;0.55;0.47;0.71;NA;0.37;0.62;0.48;NA;ND;NA;NA;NA;
3;9;0.54;0.51;0.68;NA;0.24;0.47;0.39;NA;ND;NA;NA;NA;
3;10;0.55;0.54;0.66;NA;0.33;0.45;0.45;NA;ND;NA;NA;NA;
3;11;0.49;0.47;0.67;NA;0.23;0.52;0.46;NA;ND;NA;NA;NA;
3;12;0.48;0.47;0.67;NA;0.27;0.53;0.46;NA;ND;NA;NA;NA;
3;13;0.51;0.46;0.69;NA;0.23;0.6;0.43;NA;ND;NA;NA;NA;
3;14;0.5;0.5;0.68;NA;0.31;0.61;0.48;NA;ND;NA;NA;NA;
3;15;0.49;0.57;0.67;NA;0.33;0.64;0.51;NA;ND;NA;NA;NA;
3;16;0.53;0.55;0.69;NA;0.31;0.68;0.52;NA;ND;NA;NA;NA;
3;17;0.52;0.58;0.77;NA;0.33;0.61;0.49;NA;ND;NA;NA;NA;
3;18;0.53;0.61;0.81;NA;0.38;0.76;0.49;NA;ND;NA;NA;NA;
3;19;0.76;0.67;0.79;NA;0.42;0.96;0.44;NA;ND;NA;NA;NA;
3;20;0.92;0.76;0.73;NA;0.59;0.86;0.33;NA;ND;NA;NA;NA;
3;21;1.5;0.95;0.7;NA;0.76;0.71;0.3;NA;ND;NA;NA;NA;
3;22;1.21;0.9;0.81;NA;0.92;0.86;0.3;NA;ND;NA;NA;NA;
3;23;0.71;0.97;1.09;NA;0.82;1.26;0.26;NA;ND;NA;NA;NA;
4;0;ND;0.8;1.19;NA;0.83;ND;ND;NA;ND;NA;NA;NA;
4;1;0.85;0.61;0.98;NA;1.1;1.41;0.31;NA;ND;NA;NA;NA;
4;2;0.68;0.86;0.43;NA;0.85;1.22;0.27;NA;ND;NA;NA;NA;
4;3;0.46;0.43;1.22;NA;0.79;0.99;0.22;NA;ND;NA;NA;NA;
4;4;0.44;0.53;1.14;NA;0.71;0.99;0.17;NA;ND;NA;NA;NA;
4;5;0.48;0.52;0.9;NA;0.59;0.84;0.21;NA;ND;NA;NA;NA;
4;6;1;1.04;0.61;NA;1.05;0.83;0.31;NA;ND;NA;NA;NA;
4;7;0.95;0.58;0.66;NA;1.1;0.52;0.39;NA;ND;NA;NA;NA;
4;8;0.41;0.46;0.59;NA;0.56;0.41;0.39;NA;ND;NA;NA;NA;
4;9;0.4;0.38;0.48;NA;0.21;0.34;0.31;NA;ND;NA;NA;NA;
4;10;0.4;0.42;0.54;NA;0.22;0.3;0.3;NA;ND;NA;NA;NA;
4;11;0.37;0.41;0.53;NA;0.26;0.33;0.32;NA;ND;NA;NA;NA;
