DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.19;1.37;3.61;NA;2.6;4.5;ND;0.42;ND;NA;NA;NA;
1;1;ND;1.3;2.06;NA;3.41;ND;ND;0.41;ND;NA;NA;NA;
1;2;1.53;1.38;1.45;NA;3.53;2.25;ND;0.38;ND;NA;NA;NA;
1;3;1.16;1.06;1.73;NA;3.78;3.18;ND;0.42;ND;NA;NA;NA;
1;4;0.84;1.04;1.34;NA;8.39;2.9;ND;0.5;ND;NA;NA;NA;
1;5;0.84;1.14;1.55;NA;10.06;2.46;ND;0.58;ND;NA;NA;NA;
1;6;0.69;0.97;3.92;NA;7.21;4.74;ND;0.51;ND;NA;NA;NA;
1;7;1.28;1.06;4.35;NA;9.44;3.35;ND;0.6;ND;NA;NA;NA;
1;8;1.91;1.25;4.75;NA;7.44;4.79;ND;0.6;ND;NA;NA;NA;
1;9;1.79;1.13;5.31;NA;5.04;3.07;ND;1.34;ND;NA;NA;NA;
1;10;1.5;1.37;2.46;NA;3.86;1.08;ND;1.11;ND;NA;NA;NA;
1;11;1.25;1.43;1.59;NA;1.43;0.19;ND;1.53;ND;NA;NA;NA;
1;12;1.16;1.41;1.36;NA;1.74;0.1;ND;0.63;ND;NA;NA;NA;
1;13;0.74;1.14;1.46;NA;1.52;0.01;ND;0.51;ND;NA;NA;NA;
1;14;0.57;1.21;1.73;NA;2.18;0.08;ND;0.9;ND;NA;NA;NA;
1;15;0.83;1.25;1.54;NA;2.95;0.04;ND;0.97;ND;NA;NA;NA;
1;16;0.89;1.53;1.58;NA;3;0.24;ND;1.03;ND;NA;NA;NA;
1;17;0.78;1.27;1.66;NA;3.18;0.5;ND;0.69;ND;NA;NA;NA;
1;18;0.97;1.35;3.1;NA;3.13;0.8;ND;0.53;ND;NA;NA;NA;
1;19;1.39;1.41;2.56;NA;3.6;1.55;ND;0.41;ND;NA;NA;NA;
1;20;1.26;1.38;3.76;NA;3.89;1.04;ND;0.48;ND;NA;NA;NA;
1;21;0.93;1.12;2.22;NA;4.07;0.88;ND;0.39;ND;NA;NA;NA;
1;22;0.77;1.4;2.41;NA;3.61;0.77;ND;0.45;ND;NA;NA;NA;
1;23;0.65;1.15;2.17;NA;3.43;0.79;ND;0.47;ND;NA;NA;NA;
2;0;0.75;1;1.48;NA;1.91;0.45;ND;0.44;ND;NA;NA;NA;
2;1;0.42;ND;ND;NA;ND;0.28;ND;0.4;ND;NA;NA;NA;
2;2;0.6;1.19;0.99;NA;1.22;0.21;ND;0.48;ND;NA;NA;NA;
2;3;0.89;1.01;1;NA;1.07;0.01;ND;0.35;ND;NA;NA;NA;
2;4;0.9;1.01;1.11;NA;2.23;0.05;ND;0.31;ND;NA;NA;NA;
2;5;1.43;1.2;1.45;NA;2.76;0.4;ND;0.35;ND;NA;NA;NA;
2;6;2.25;1.51;2.84;NA;4.68;1.92;ND;0.44;ND;NA;NA;NA;
2;7;3.44;1.93;5.18;NA;2.98;2.37;ND;0.83;ND;NA;NA;NA;
2;8;4.67;2.28;4.43;NA;3.33;1.72;ND;1.22;ND;NA;NA;NA;
2;9;4.16;2.28;4.34;NA;2.7;0.7;ND;0.84;ND;NA;NA;NA;
2;10;2;1.76;2;NA;2;ND;ND;0.73;ND;NA;NA;NA;
2;11;1;1.56;1.91;NA;1.44;ND;ND;0.82;ND;NA;NA;NA;
2;12;0.73;1.6;2.08;NA;1.98;ND;ND;0.57;ND;NA;NA;NA;
2;13;1.21;1.42;2.82;NA;1.98;ND;ND;0.45;ND;NA;NA;NA;
2;14;1.17;1.52;2.22;NA;4.72;ND;ND;ND;ND;NA;NA;NA;
2;15;1.18;1.71;2.1;NA;2.2;ND;ND;ND;ND;NA;NA;NA;
