DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.87;4.06;1.07;NA;5.96;4.85;ND;5.75;ND;NA;NA;NA;
1;1;ND;3.01;0.72;NA;13.07;ND;ND;4.68;ND;NA;NA;NA;
1;2;3.65;3.26;1.02;NA;3.77;4.32;ND;3.88;ND;NA;NA;NA;
1;3;4.11;6.56;0.84;NA;5.06;4.52;ND;3.02;ND;NA;NA;NA;
1;4;4.95;6.08;0.5;NA;7.35;4.35;ND;2.59;ND;NA;NA;NA;
1;5;5.03;7.67;0.72;NA;9.08;3.83;ND;3.11;ND;NA;NA;NA;
1;6;6.85;11.47;1.79;NA;10.16;5.46;ND;4.52;ND;NA;NA;NA;
1;7;7.56;6.6;3.16;NA;13.13;5.04;ND;7.72;ND;NA;NA;NA;
1;8;4.51;2.52;2.45;NA;5.38;2.68;ND;7.74;ND;NA;NA;NA;
1;9;3.13;2.3;1.72;NA;1.96;1.55;ND;4.74;ND;NA;NA;NA;
1;10;2.91;1.27;1.58;NA;2.17;1.31;ND;1.92;ND;NA;NA;NA;
1;11;2.35;1.04;1.45;NA;2.07;1.36;ND;1.63;ND;NA;NA;NA;
1;12;2.33;1.34;1.58;NA;1.9;1.25;ND;1.33;ND;NA;NA;NA;
1;13;2.31;1.41;1.79;NA;2.62;1.01;ND;1.34;ND;NA;NA;NA;
1;14;2.52;1.95;1.85;NA;1.62;0.8;ND;1.44;ND;NA;NA;NA;
1;15;2.6;1.25;2.19;NA;1.46;0.77;ND;1.53;ND;NA;NA;NA;
1;16;2.57;1.09;2.4;NA;1.57;1.13;ND;1.39;ND;NA;NA;NA;
1;17;3.12;1.23;2.61;NA;2.11;1.04;ND;1.92;ND;NA;NA;NA;
1;18;3.23;1.55;2.86;NA;1.75;1.46;ND;1.64;ND;NA;NA;NA;
1;19;3.3;1.55;2.95;NA;3.02;1.92;ND;2.29;ND;NA;NA;NA;
1;20;3.97;2.07;2.93;NA;2.5;1.74;ND;2.5;ND;NA;NA;NA;
1;21;4.32;1.73;2.35;NA;2.39;1.35;ND;2.3;ND;NA;NA;NA;
1;22;4.76;2.09;1.6;NA;4.51;1.64;ND;1.8;ND;NA;NA;NA;
1;23;3.8;2.01;1.28;NA;2.61;2.36;ND;1.75;ND;NA;NA;NA;
2;0;2.73;2.04;1.19;NA;1.46;0.99;ND;1.45;ND;NA;NA;NA;
2;1;2.23;ND;ND;NA;ND;0.82;ND;1.58;ND;NA;NA;NA;
2;2;2.36;2.12;1.25;NA;2.08;0.92;ND;1.66;ND;NA;NA;NA;
2;3;2.85;1.81;1.85;NA;14.7;5.13;ND;1.34;ND;NA;NA;NA;
2;4;3.66;1.44;3.52;NA;23.69;3.86;ND;1.42;ND;NA;NA;NA;
2;5;3.46;1.72;3.37;NA;21.42;3.76;ND;1.33;ND;NA;NA;NA;
2;6;4.93;2.1;2.87;NA;8.63;4.83;ND;1.43;ND;NA;NA;NA;
2;7;5.51;1.45;6.89;NA;11.36;8.71;ND;1.59;ND;NA;NA;NA;
2;8;5.2;1.27;6.35;NA;8.21;9.92;ND;2;ND;NA;NA;NA;
2;9;4.27;0.9;3.54;NA;5.02;3.7;ND;2.34;ND;NA;NA;NA;
2;10;3.13;1.37;1.34;NA;2.32;2.33;ND;4.16;ND;NA;NA;NA;
2;11;2.61;1.13;1.84;NA;6.51;1.57;ND;2.87;ND;NA;NA;NA;
2;12;2.56;1.27;1.3;NA;2.46;1.43;ND;1.9;ND;NA;NA;NA;
2;13;2.32;1.12;1.27;NA;1.7;1.31;ND;1.42;ND;NA;NA;NA;
2;14;2.13;1.17;1.27;NA;2.1;1.02;ND;1.39;ND;NA;NA;NA;
2;15;2.07;0.97;0.95;NA;5.07;1.07;ND;1.45;ND;NA;NA;NA;
2;16;2.18;0.72;1.29;NA;7.63;0.99;ND;1.66;ND;NA;NA;NA;
2;17;2.04;0.93;1.54;NA;7.85;1.21;ND;1.53;ND;NA;NA;NA;
2;18;2.16;0.84;2.11;NA;4.15;1.03;ND;1.83;ND;NA;NA;NA;
2;19;3.13;1.3;3.55;NA;2.34;1.44;ND;1.87;ND;NA;NA;NA;
2;20;4.13;1.27;3.89;NA;3.26;1.57;ND;2.07;ND;NA;NA;NA;
2;21;3.08;1.21;2.81;NA;6.14;2.37;ND;1.65;ND;NA;NA;NA;
2;22;3.14;1.11;1.53;NA;3.87;4.02;ND;1.59;ND;NA;NA;NA;
2;23;4.3;1.05;1.54;NA;5.91;2.88;ND;1.65;ND;NA;NA;NA;
3;0;3.65;2.22;2.53;NA;4.93;2.97;ND;1.55;ND;NA;NA;NA;
3;1;ND;2.09;3.64;NA;5.02;ND;ND;1.7;ND;NA;NA;NA;
