DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.36;1.75;2.84;NA;4.2;3.93;31.55;ND;2.28;NA;NA;NA;
1;1;0.68;6.02;3.12;NA;2.7;1.57;ND;0.13;ND;NA;NA;NA;
1;2;0.74;15.54;ND;NA;2.07;ND;32.91;0.06;0.51;NA;NA;NA;
1;3;2.61;22.32;0.73;NA;1.41;1.06;14.24;0.08;1.56;NA;NA;NA;
1;4;2.02;9.34;1.19;NA;0.88;2.23;11.69;0.06;1.09;NA;NA;NA;
1;5;1.27;5.04;1.16;NA;1.87;1.59;23.36;0.29;0.79;NA;NA;NA;
1;6;3.8;8.04;2.69;NA;4.42;3.2;41.62;0.51;1.85;NA;NA;NA;
1;7;7.2;17.65;6.41;NA;7.45;11.55;47.97;1.94;7.08;NA;NA;NA;
1;8;21.63;31.66;13.29;NA;35.28;29.19;55.47;8.52;16.87;NA;NA;NA;
1;9;54.59;46.31;33.98;NA;56.78;46.91;62.12;29.35;39.29;NA;NA;NA;
1;10;69.66;54.06;45.28;NA;53.62;55.95;66.65;52.65;52.02;NA;NA;NA;
1;11;72.21;67.92;56.51;NA;71.61;68.68;72.88;69.11;59.11;NA;NA;NA;
1;12;78.41;71.26;68.91;NA;79.53;77.09;78.18;79.02;69.28;NA;NA;NA;
1;13;78.82;72.78;65.45;NA;76.63;81.99;89.33;78.77;69.69;NA;NA;NA;
1;14;71.23;68.21;71.37;NA;72.66;81.89;76.56;74.96;69.36;NA;NA;NA;
1;15;64.69;61.41;54.79;NA;54.22;56.47;72.24;56.52;50.68;NA;NA;NA;
1;16;58.68;54.78;46.14;NA;50.99;38.29;49.51;55.23;43.82;NA;NA;NA;
1;17;42.83;42.67;18.41;NA;35.67;22.05;43.65;42.46;29.62;NA;NA;NA;
1;18;28.74;36.13;7.9;NA;12.11;21.71;38.15;37.17;18.26;NA;NA;NA;
1;19;15.22;29.61;6.23;NA;6.42;0.51;39.39;31.04;26.3;NA;NA;NA;
1;20;9.89;25.49;4.17;NA;6.38;1.66;26.07;31.24;11.11;NA;NA;NA;
1;21;5.42;15.53;14.33;NA;5.37;3.75;23.53;22.35;4.75;NA;NA;NA;
1;22;11.04;17.57;ND;NA;7.66;0.86;36.25;25.91;1.49;NA;NA;NA;
1;23;10.51;12.5;ND;NA;17.7;7.13;36.41;12.79;1.1;NA;NA;NA;
2;0;10.74;20.86;1.34;NA;30.56;7.47;9.44;5.15;1.84;NA;NA;NA;
2;1;13.32;16.53;13.54;NA;30.75;11.19;17.43;1.01;0.6;NA;NA;NA;
2;2;ND;ND;17.17;NA;ND;6.34;11.63;0.78;1.66;NA;NA;NA;
2;3;4.3;3.76;12.25;NA;3.51;2.42;21.07;0.06;0.66;NA;NA;NA;
2;4;4.2;1.87;1.4;NA;1.52;2.47;31.83;0.04;1.34;NA;NA;NA;
2;5;1.46;3.48;0.85;NA;1.91;2.77;32.06;0.23;0.56;NA;NA;NA;
2;6;6.33;6.83;7.25;NA;5.47;6.35;15.82;1.1;3.02;NA;NA;NA;
2;7;20.59;20.52;27.93;NA;19.24;20.5;42.42;5.01;14.04;NA;NA;NA;
2;8;39.38;33.99;32.87;NA;43.5;45.1;49.46;11.74;33.4;NA;NA;NA;
2;9;58.75;45.09;52.93;NA;61.5;64.15;60.67;30.4;55.41;NA;NA;NA;
2;10;70.92;55.95;60.26;NA;70.3;70.25;69.9;53.93;62.49;NA;NA;NA;
2;11;69.56;63.25;61.15;NA;57.7;64.98;77.79;68.04;46.76;NA;NA;NA;
2;12;59.38;53.65;63.9;NA;63.8;67.32;69.87;73.33;57.56;NA;NA;NA;
2;13;70.12;64.95;72.8;NA;71.47;76.47;86.31;76.71;82.97;NA;NA;NA;
2;14;66.82;60.69;74.84;NA;84.47;82.54;91.27;69.08;78.16;NA;NA;NA;
2;15;60.89;57.85;54.56;NA;61.27;59.07;73.31;61.27;67.39;NA;NA;NA;
