DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;16.59;20.71;0.2;NA;22.15;2.64;NA;NA;ND;NA;NA;NA;
1;1;5.64;21.92;12.96;NA;16.24;7.13;NA;NA;ND;NA;NA;NA;
1;2;9.21;13.71;7.17;NA;2.97;6.96;NA;NA;ND;NA;NA;NA;
1;3;8.64;19.72;9.03;NA;4.79;6.83;NA;NA;ND;NA;NA;NA;
1;4;11.67;35.23;6.52;NA;9.92;7.93;NA;NA;ND;NA;NA;NA;
1;5;10.62;37.5;6.65;NA;8.82;5;NA;NA;ND;NA;NA;NA;
1;6;35.22;95.05;7.13;NA;28.48;15.88;NA;NA;ND;NA;NA;NA;
1;7;33.7;102.09;5.37;NA;28.19;11.21;NA;NA;ND;NA;NA;NA;
1;8;36.63;27.3;12.61;NA;9.81;10.85;NA;NA;ND;NA;NA;NA;
1;9;11.33;17.01;6.59;NA;9.07;1.15;NA;NA;ND;NA;NA;NA;
1;10;11.62;4.5;7.69;NA;15.67;7.16;NA;NA;ND;NA;NA;NA;
1;11;ND;4.06;12.08;NA;2.95;13.89;NA;NA;ND;NA;NA;NA;
1;12;ND;3.97;13.67;NA;5.42;30.6;NA;NA;ND;NA;NA;NA;
1;13;ND;15.56;2.52;NA;7.15;ND;NA;NA;ND;NA;NA;NA;
1;14;16.16;37.74;16.74;NA;12.12;ND;NA;NA;ND;NA;NA;NA;
1;15;6.83;24.08;17.41;NA;21.88;ND;NA;NA;ND;NA;NA;NA;
1;16;10.88;44.63;14.1;NA;18.1;12.03;NA;NA;ND;NA;NA;NA;
1;17;17.39;ND;24.5;NA;27.45;14.98;NA;NA;ND;NA;NA;NA;
1;18;19.3;ND;9.1;NA;24.32;27.48;NA;NA;ND;NA;NA;NA;
1;19;13.91;ND;17.5;NA;37.73;23.94;NA;NA;ND;NA;NA;NA;
1;20;18.44;38.63;23.78;NA;35.7;24.26;NA;NA;ND;NA;NA;NA;
1;21;17.93;18.04;15.96;NA;19.71;19.12;NA;NA;ND;NA;NA;NA;
1;22;19.35;16;11.38;NA;26.69;6.98;NA;NA;ND;NA;NA;NA;
1;23;16.16;44.39;15.66;NA;21.57;14.39;NA;NA;ND;NA;NA;NA;
2;0;6.5;33.12;24.61;NA;25.89;15.26;NA;NA;ND;NA;NA;NA;
2;1;6;27.65;7.34;NA;19.3;18.89;NA;NA;ND;NA;NA;NA;
2;2;13.55;19.76;9.68;NA;13.53;14.31;NA;NA;ND;NA;NA;NA;
2;3;9.52;13.1;12.49;NA;24.83;17.9;NA;NA;ND;NA;NA;NA;
2;4;14.78;13.95;18.23;NA;19.58;11.7;NA;NA;ND;NA;NA;NA;
2;5;23.7;36.52;8.84;NA;14.1;17.19;NA;NA;ND;NA;NA;NA;
2;6;40.27;76.44;11.38;NA;32.16;12.41;NA;NA;ND;NA;NA;NA;
2;7;43.11;64.2;14.53;NA;26.93;22.32;NA;NA;ND;NA;NA;NA;
2;8;28.31;42.42;17.34;NA;17.51;7.79;NA;NA;ND;NA;NA;NA;
2;9;29.34;19.55;13.54;NA;6.78;11.7;NA;NA;ND;NA;NA;NA;
2;10;21.31;13.03;8.44;NA;10.31;13.19;NA;NA;ND;NA;NA;NA;
2;11;28.85;17.95;14.11;NA;1.63;13.55;NA;NA;ND;NA;NA;NA;
2;12;21.53;18.89;34.16;NA;8.92;17.65;NA;NA;ND;NA;NA;NA;
2;13;20.2;27.66;30.46;NA;9.75;15.37;NA;NA;ND;NA;NA;NA;
2;14;16.21;34.83;ND;NA;14.67;22.53;NA;NA;ND;NA;NA;NA;
2;15;26.58;24.88;ND;NA;ND;16.44;NA;NA;ND;NA;NA;NA;
2;16;20.09;20.94;8.4;NA;ND;17.14;NA;NA;ND;NA;NA;NA;
2;17;14.89;29.74;8.23;NA;40.55;29.35;NA;NA;ND;NA;NA;NA;
2;18;5.62;40.73;23.2;NA;21.93;24.64;NA;NA;ND;NA;NA;NA;
2;19;13.63;26.78;29.79;NA;23.25;39.95;NA;NA;ND;NA;NA;NA;
2;20;2.17;21.35;30.82;NA;39.13;44.15;NA;NA;ND;NA;NA;NA;
2;21;21.48;24.16;33.62;NA;38.77;24.9;NA;NA;ND;NA;NA;NA;
2;22;12.71;22.36;26.7;NA;31.06;19.82;NA;NA;ND;NA;NA;NA;
2;23;22.58;41.87;22.24;NA;38.82;29.18;NA;NA;ND;NA;NA;NA;
3;0;17.21;32.63;26;NA;42.74;26.54;NA;NA;ND;NA;NA;NA;
3;1;23.72;25.68;19.78;NA;41.11;27.24;NA;NA;ND;NA;NA;NA;
3;2;20.9;42.44;23.48;NA;37.44;28.69;NA;NA;ND;NA;NA;NA;
3;3;7.5;34.85;15.45;NA;40.34;34.08;NA;NA;ND;NA;NA;NA;
3;4;19.44;35.14;9.25;NA;34.1;16.59;NA;NA;ND;NA;NA;NA;
3;5;15.86;43.32;14.5;NA;41.31;27.59;NA;NA;ND;NA;NA;NA;
3;6;22.4;72.53;21.53;NA;55.6;52.84;NA;NA;ND;NA;NA;NA;
3;7;35.78;122.14;46.93;NA;72.74;52.16;NA;NA;ND;NA;NA;NA;
3;8;37.6;53.82;32.27;NA;25.86;22.93;NA;NA;ND;NA;NA;NA;
3;9;24.59;22;23.5;NA;15.18;10.76;NA;NA;ND;NA;NA;NA;
3;10;20.25;19.05;12.69;NA;10.78;12.44;NA;NA;ND;NA;NA;NA;
3;11;28.41;8.39;11.68;NA;12.53;14.22;NA;NA;ND;NA;NA;NA;
3;12;36.54;19.36;14.32;NA;8.28;16.19;NA;NA;ND;NA;NA;NA;
3;13;14.56;38.86;15.53;NA;5.04;20.34;NA;NA;ND;NA;NA;NA;
3;14;8.4;47.1;13.96;NA;25.79;25.38;NA;NA;ND;NA;NA;NA;
3;15;16.99;80.27;28.61;NA;13.63;22.06;NA;NA;ND;NA;NA;NA;
3;16;24.13;45.22;19.64;NA;26.2;27.86;NA;NA;ND;NA;NA;NA;
3;17;17.21;33.77;27.9;NA;29.31;13.41;NA;NA;ND;NA;NA;NA;
3;18;32.67;33.33;28.03;NA;18.18;18.93;NA;NA;ND;NA;NA;NA;
3;19;18.49;27.75;22.45;NA;19.81;24.23;NA;NA;ND;NA;NA;NA;
3;20;34.11;26.43;24.76;NA;19.91;20.82;NA;NA;ND;NA;NA;NA;
3;21;9.81;24.08;21.12;NA;26.65;32.52;NA;NA;ND;NA;NA;NA;
3;22;10.4;13.94;30.95;NA;21.28;26.33;NA;NA;ND;NA;NA;NA;
3;23;27.17;41.89;22.97;NA;10.15;24.68;NA;NA;ND;NA;NA;NA;
4;0;31.77;28.22;10.16;NA;24.73;14;NA;NA;ND;NA;NA;NA;
4;1;32.52;30.23;24.88;NA;15.66;28.62;NA;NA;ND;NA;NA;NA;
4;2;33.62;19.17;15.94;NA;6.77;17.17;NA;NA;ND;NA;NA;NA;
4;3;31.63;27.5;18.6;NA;13.62;15.25;NA;NA;ND;NA;NA;NA;
4;4;28.37;30.47;21.21;NA;20.16;24.6;NA;NA;ND;NA;NA;NA;
4;5;31.51;36.32;21.01;NA;32.8;25.9;NA;NA;ND;NA;NA;NA;
4;6;24.37;56.38;23.07;NA;45.26;29.86;NA;NA;ND;NA;NA;NA;
4;7;47.74;38.96;33.69;NA;60.37;23.37;NA;NA;ND;NA;NA;NA;
4;8;44.81;46.5;29.93;NA;23.57;28.65;NA;NA;ND;NA;NA;NA;
4;9;33.61;23.99;18.93;NA;14.29;16.13;NA;NA;ND;NA;NA;NA;
4;10;27.99;24.22;10.29;NA;9.88;8.17;NA;NA;ND;NA;NA;NA;
4;11;20.84;18.86;9.74;NA;5.55;13.63;NA;NA;ND;NA;NA;NA;
4;12;14.94;13.75;9.25;NA;9.58;11.04;NA;NA;ND;NA;NA;NA;
4;13;7.08;49.19;15.06;NA;18.91;23.02;NA;NA;ND;NA;NA;NA;
4;14;9.63;12.56;12.6;NA;11.89;14.41;NA;NA;ND;NA;NA;NA;
4;15;18.32;25.77;22.56;NA;15.49;30.86;NA;NA;ND;NA;NA;NA;
4;16;7.71;13.42;22.65;NA;19.66;21.52;NA;NA;ND;NA;NA;NA;
4;17;4.78;16.87;20.64;NA;6.4;17.44;NA;NA;ND;NA;NA;NA;
4;18;0.15;14.64;27.53;NA;17.83;26.94;NA;NA;ND;NA;NA;NA;
4;19;10.64;30.7;23.27;NA;12.24;19.92;NA;NA;ND;NA;NA;NA;
4;20;15.77;30.95;16.24;NA;23.48;24.12;NA;NA;ND;NA;NA;NA;
4;21;16.42;13.33;16.33;NA;24.83;18.62;NA;NA;ND;NA;NA;NA;
4;22;10.38;7.79;19.22;NA;29.64;22.29;NA;NA;ND;NA;NA;NA;
4;23;12.1;2.66;9.76;NA;19.27;12.19;NA;NA;ND;NA;NA;NA;
5;0;14.41;18.37;11.75;NA;10.7;11.83;NA;NA;ND;NA;NA;NA;
5;1;18.33;6.61;15.13;NA;16.15;16.79;NA;NA;ND;NA;NA;NA;
5;2;8.4;8.69;10.91;NA;13.62;10.28;NA;NA;ND;NA;NA;NA;
5;3;13.03;13.81;10.33;NA;13.26;14.47;NA;NA;ND;NA;NA;NA;
5;4;2.55;5.14;10.24;NA;7.28;11.43;NA;NA;ND;NA;NA;NA;
5;5;19.57;9.91;5.86;NA;13.65;13.49;NA;NA;ND;NA;NA;NA;
5;6;3.39;11.14;14.05;NA;18.7;15.36;NA;NA;ND;NA;NA;NA;
5;7;22.75;12.81;21.42;NA;27.26;17.19;NA;NA;ND;NA;NA;NA;
5;8;12.12;26.19;23.2;NA;11.05;12.95;NA;NA;ND;NA;NA;NA;
5;9;30.33;35.45;26.94;NA;7.67;13.63;NA;NA;ND;NA;NA;NA;
5;10;20.81;20.31;24.98;NA;12.55;28.07;NA;NA;ND;NA;NA;NA;
5;11;16.14;20.01;20.65;NA;12.89;31.11;NA;NA;ND;NA;NA;NA;
5;12;22.33;27.69;25.48;NA;38.22;34.8;NA;NA;ND;NA;NA;NA;
5;13;7.73;9.43;19.33;NA;31.38;27.18;NA;NA;ND;NA;NA;NA;
5;14;8.89;12.19;15.68;NA;28.4;19.89;NA;NA;ND;NA;NA;NA;
5;15;13.52;18.48;11.71;NA;21.57;23.99;NA;NA;ND;NA;NA;NA;
5;16;20.78;23.99;23.73;NA;12.59;12.1;NA;NA;ND;NA;NA;NA;
5;17;15.28;11.38;24.5;NA;12.44;8.59;NA;NA;ND;NA;NA;NA;
5;18;1.4;14.71;18.24;NA;1.89;19.2;NA;NA;ND;NA;NA;NA;
5;19;16.88;17.49;18.74;NA;26.74;13.09;NA;NA;ND;NA;NA;NA;
5;20;9.77;15.66;23.63;NA;2.16;16.62;NA;NA;ND;NA;NA;NA;
5;21;2.39;11.37;18.45;NA;9.5;11.32;NA;NA;ND;NA;NA;NA;
5;22;9.18;6.15;8.73;NA;12.39;5.93;NA;NA;ND;NA;NA;NA;
5;23;0.41;11.98;4.34;NA;14.97;13.88;NA;NA;ND;NA;NA;NA;
6;0;1.51;7.4;3.38;NA;16.45;2.28;NA;NA;ND;NA;NA;NA;
6;1;13.9;8.85;6.45;NA;3.27;7.19;NA;NA;ND;NA;NA;NA;
6;2;16.16;5.17;7.97;NA;9.36;9.6;NA;NA;ND;NA;NA;NA;
6;3;10.06;17.7;4.88;NA;10.04;7.11;NA;NA;ND;NA;NA;NA;
6;4;1.08;3.49;4.36;NA;14.69;9.15;NA;NA;ND;NA;NA;NA;
6;5;13.54;7.61;4.64;NA;18.9;6.37;NA;NA;ND;NA;NA;NA;
6;6;17.53;7.44;11.49;NA;20.37;13.88;NA;NA;ND;NA;NA;NA;
6;7;12;15.16;10.88;NA;20.57;20.93;NA;NA;ND;NA;NA;NA;
6;8;26.63;18.37;20.01;NA;23.13;22.03;NA;NA;ND;NA;NA;NA;
6;9;35.48;18.41;19.55;NA;24.98;26.75;NA;NA;ND;NA;NA;NA;
6;10;17.09;10.03;16.73;NA;21.71;20.82;NA;NA;ND;NA;NA;NA;
6;11;10.69;34.45;34.91;NA;29.05;36.05;NA;NA;ND;NA;NA;NA;
6;12;15.72;19.13;17.87;NA;27.63;36.84;NA;NA;ND;NA;NA;NA;
6;13;16.66;8.19;22.73;NA;14.17;34.77;NA;NA;ND;NA;NA;NA;
6;14;16.26;14.72;21.98;NA;7.79;17.26;NA;NA;ND;NA;NA;NA;
6;15;18.08;4.75;17.95;NA;33.84;27.49;NA;NA;ND;NA;NA;NA;
6;16;0.03;19.64;13.18;NA;24.35;13.91;NA;NA;ND;NA;NA;NA;
6;17;8.18;7.35;14.87;NA;16.65;12.07;NA;NA;ND;NA;NA;NA;
6;18;14.91;22.62;15.93;NA;24.6;18.13;NA;NA;ND;NA;NA;NA;
6;19;18.26;11.43;9.68;NA;32.82;14.16;NA;NA;ND;NA;NA;NA;
6;20;14.96;20.15;11.3;NA;20.87;22.19;NA;NA;ND;NA;NA;NA;
6;21;16.6;8.11;9.69;NA;14.47;6.35;NA;NA;ND;NA;NA;NA;
6;22;16.05;15.19;9.01;NA;8.72;11.29;NA;NA;ND;NA;NA;NA;
6;23;14.88;20.85;10.39;NA;10.47;13.14;NA;NA;ND;NA;NA;NA;
7;0;16.96;27.25;25.46;NA;12.72;28;NA;NA;ND;NA;NA;NA;
7;1;5.7;13.9;14.41;NA;27.14;17.12;NA;NA;ND;NA;NA;NA;
7;2;13.18;17.02;14.96;NA;11.93;7.45;NA;NA;ND;NA;NA;NA;
7;3;23.35;17.72;13.8;NA;9.52;14.49;NA;NA;ND;NA;NA;NA;
7;4;16.6;11.11;18.22;NA;19.66;17.01;NA;NA;ND;NA;NA;NA;
7;5;14.96;18.81;18.91;NA;22.89;17.58;NA;NA;ND;NA;NA;NA;
7;6;13.07;29.82;20.64;NA;18.45;20.87;NA;NA;ND;NA;NA;NA;
7;7;21.32;32.09;20.55;NA;29.14;25.1;NA;NA;ND;NA;NA;NA;
7;8;37.86;30.39;19.65;NA;26.96;35.21;NA;NA;ND;NA;NA;NA;
7;9;20.08;17.56;22.4;NA;19.66;16.56;NA;NA;ND;NA;NA;NA;
7;10;25.03;4.48;8.17;NA;23.02;21.94;NA;NA;ND;NA;NA;NA;
7;11;10.68;5.47;24.67;NA;26.71;13.76;NA;NA;ND;NA;NA;NA;
7;12;9.85;43.59;15.65;NA;16.54;21.05;NA;NA;ND;NA;NA;NA;
7;13;24.78;23.45;23.25;NA;19.65;21.54;NA;NA;ND;NA;NA;NA;
7;14;20.1;21.61;18.31;NA;21.72;22.63;NA;NA;ND;NA;NA;NA;
7;15;2.56;8.64;8.92;NA;23.78;14.2;NA;NA;ND;NA;NA;NA;
7;16;8.76;23.07;15.08;NA;2.83;6.77;NA;NA;ND;NA;NA;NA;
7;17;7.47;7.52;13.45;NA;14.92;20.9;NA;NA;ND;NA;NA;NA;
7;18;5.29;17.4;14.15;NA;23.89;26.42;NA;NA;ND;NA;NA;NA;
7;19;10.71;27.66;17.06;NA;27.28;24.46;NA;NA;ND;NA;NA;NA;
7;20;17.05;24.28;23.16;NA;20.98;24.33;NA;NA;ND;NA;NA;NA;
7;21;18.49;18.49;13.43;NA;18.86;18.45;NA;NA;ND;NA;NA;NA;
7;22;19.67;13.9;16.03;NA;17.32;20.75;NA;NA;ND;NA;NA;NA;
7;23;15.58;35.97;18.65;NA;28.24;20.1;NA;NA;ND;NA;NA;NA;
8;0;20.09;34.34;25.29;NA;31.33;24.35;NA;NA;ND;NA;NA;NA;
8;1;23.53;26.87;18.95;NA;39.77;32.94;NA;NA;ND;NA;NA;NA;
8;2;28.81;25.38;27.9;NA;30.35;22.19;NA;NA;ND;NA;NA;NA;
8;3;26.67;26.76;21.4;NA;13.6;24;NA;NA;ND;NA;NA;NA;
8;4;23.4;18.27;20.55;NA;17.58;19.13;NA;NA;ND;NA;NA;NA;
8;5;21.97;21.08;23.08;NA;42.13;26.39;NA;NA;ND;NA;NA;NA;
8;6;30.26;39.07;23.16;NA;71.13;31.63;NA;NA;ND;NA;NA;NA;
8;7;21.89;55.46;31.46;NA;70.43;50.15;NA;NA;ND;NA;NA;NA;
8;8;45.39;28.62;40.77;NA;61.28;56.1;NA;NA;ND;NA;NA;NA;
8;9;48.32;36.72;43.15;NA;41.42;25.68;NA;NA;ND;NA;NA;NA;
8;10;25.32;17.09;14.8;NA;11.18;18.55;NA;NA;ND;NA;NA;NA;
8;11;15.58;20.36;4.78;NA;7.95;2.9;NA;NA;ND;NA;NA;NA;
8;12;15.38;13.99;5.5;NA;3.36;6.9;NA;NA;ND;NA;NA;NA;
8;13;19.32;24.6;9.94;NA;12.11;5.84;NA;NA;ND;NA;NA;NA;
8;14;5.1;11.89;21.21;NA;13.52;19.05;NA;NA;ND;NA;NA;NA;
8;15;19.42;25.51;17.65;NA;16.8;10.54;NA;NA;ND;NA;NA;NA;
8;16;6.15;16.59;10.88;NA;27.38;18.04;NA;NA;ND;NA;NA;NA;
8;17;18.31;31.24;25.52;NA;29.08;22.22;NA;NA;ND;NA;NA;NA;
8;18;14.62;15.45;16.54;NA;15.87;16.04;NA;NA;ND;NA;NA;NA;
8;19;17.36;18.98;18.97;NA;25.72;26.94;NA;NA;ND;NA;NA;NA;
8;20;17.24;18.52;28.09;NA;45.72;44.45;NA;NA;ND;NA;NA;NA;
8;21;19.56;25.03;32.59;NA;21.73;36.31;NA;NA;ND;NA;NA;NA;
8;22;15.6;22.91;24.7;NA;32.96;30.81;NA;NA;ND;NA;NA;NA;
8;23;12.19;18.65;23.58;NA;29.94;36.6;NA;NA;ND;NA;NA;NA;
9;0;19.2;4.74;24.41;NA;36.18;36.01;NA;NA;ND;NA;NA;NA;
9;1;16.64;24.5;24.47;NA;37.95;38.43;NA;NA;ND;NA;NA;NA;
9;2;26.47;13.6;21.21;NA;22.16;29;NA;NA;ND;NA;NA;NA;
9;3;22.93;22.64;20.95;NA;26.09;23.65;NA;NA;ND;NA;NA;NA;
9;4;22.31;15.78;8.57;NA;31.96;19.54;NA;NA;ND;NA;NA;NA;
9;5;26.43;12.43;12.37;NA;26.99;23.07;NA;NA;ND;NA;NA;NA;
9;6;30.56;29.89;15.59;NA;33.16;25.2;NA;NA;ND;NA;NA;NA;
9;7;46.51;43.01;34.33;NA;40.53;34.98;NA;NA;ND;NA;NA;NA;
9;8;25.69;37.26;36;NA;20.39;26.51;NA;NA;ND;NA;NA;NA;
9;9;30.07;24.46;31.48;NA;13.17;12.07;NA;NA;ND;NA;NA;NA;
9;10;16.96;15.76;17.51;NA;10.64;13.43;NA;NA;ND;NA;NA;NA;
9;11;14.08;4.18;8.22;NA;7.08;9.23;NA;NA;ND;NA;NA;NA;
9;12;9.55;31.76;11.11;NA;2.17;17.96;NA;NA;ND;NA;NA;NA;
9;13;6.32;22.31;7.91;NA;3.1;14.51;NA;NA;ND;NA;NA;NA;
