DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.61;0.75;3.95;NA;42.94;2.6;ND;2.63;8.07;NA;NA;NA;
1;1;1.21;ND;ND;NA;ND;6.81;ND;2.93;5.23;NA;NA;NA;
1;2;1.08;9.26;3.96;NA;46.31;4.79;ND;2.53;11.07;NA;NA;NA;
1;3;1.42;8;2.51;NA;94.84;3.82;ND;3.18;5.98;NA;NA;NA;
1;4;1.08;11.82;2.37;NA;25.07;4.6;ND;3.15;3.75;NA;NA;NA;
1;5;1.37;8.16;2.17;NA;58.46;2.52;ND;5.06;6.12;NA;NA;NA;
1;6;1.71;8.74;3.21;NA;109.97;9.72;ND;11.52;6.96;NA;NA;NA;
1;7;2.81;7.46;6.82;NA;73.8;9.26;ND;15.52;6.3;NA;NA;NA;
1;8;1.62;5.36;7.83;NA;34.69;15.79;ND;17.23;10.83;NA;NA;NA;
1;9;2.77;3.88;4.61;NA;3.92;3.88;ND;9.55;12.4;NA;NA;NA;
1;10;1.89;3.72;6.16;NA;6.07;4.66;ND;3.82;120.04;NA;NA;NA;
1;11;1.49;3.21;5.12;NA;4.41;4.63;ND;2.32;45.85;NA;NA;NA;
1;12;1.16;1.62;4.02;NA;3.48;2.99;ND;2.55;18.74;NA;NA;NA;
1;13;0.66;0.9;2.44;NA;2.56;2.33;ND;2.47;13.87;NA;NA;NA;
1;14;0.72;0.48;2.7;NA;1.99;1.62;ND;2.3;2.69;NA;NA;NA;
1;15;0.46;0.26;2.49;NA;2;1.57;ND;2.14;8.34;NA;NA;NA;
1;16;0.68;0.89;4.29;NA;1.48;1.21;ND;1.98;2.8;NA;NA;NA;
1;17;0.99;0.64;2.52;NA;1.44;1.21;ND;1.93;33.24;NA;NA;NA;
1;18;1.55;0.89;2.83;NA;3.25;2.32;ND;1.98;39.99;NA;NA;NA;
1;19;1.33;0.91;2.9;NA;3.13;2.44;ND;1.98;8.79;NA;NA;NA;
1;20;1.7;1.5;2.55;NA;4.36;2.51;ND;2.07;9.28;NA;NA;NA;
1;21;2.02;1.73;3.66;NA;5.81;3.31;ND;2.27;19.27;NA;NA;NA;
1;22;2.31;1.72;3.49;NA;17.1;4.87;ND;2.39;7.01;NA;NA;NA;
1;23;1.82;1.45;3.36;NA;18.38;3.78;ND;1.92;4.02;NA;NA;NA;
2;0;1.46;0.84;2.25;NA;27.92;2.39;ND;1.79;3.13;NA;NA;NA;
2;1;ND;4.65;3.3;NA;43.48;ND;ND;ND;5.75;NA;NA;NA;
2;2;1.33;7.73;3.21;NA;85.84;7.73;ND;3.43;5.2;NA;NA;NA;
2;3;1.53;6.57;3.45;NA;45.45;4.4;ND;2.47;2.91;NA;NA;NA;
2;4;1.43;11.46;3.2;NA;60.54;6.22;ND;2.41;3.78;NA;NA;NA;
2;5;2.02;11.42;2.25;NA;112.32;6.56;ND;3.6;4.22;NA;NA;NA;
2;6;3.48;10.17;6.24;NA;88.77;13;ND;4.32;5.71;NA;NA;NA;
2;7;6.36;10.96;11.42;NA;37.79;23.13;ND;6.96;16.2;NA;NA;NA;
2;8;8.04;8.63;8.79;NA;23.78;17.08;ND;14.2;15.33;NA;NA;NA;
2;9;5.43;4.12;9.81;NA;4.87;6.93;ND;6.69;16.36;NA;NA;NA;
2;10;3.3;2.21;8.69;NA;6.07;5.69;ND;3.48;22.58;NA;NA;NA;
2;11;1.71;3.09;6.25;NA;5.96;4.52;ND;2.44;20.26;NA;NA;NA;
2;12;0.93;1.26;3.89;NA;3.65;3.64;ND;3.25;20.43;NA;NA;NA;
2;13;0.68;0.83;3.23;NA;2.08;1.95;ND;2.66;5.48;NA;NA;NA;
2;14;0.61;0.44;3.9;NA;1.65;1.81;ND;2.17;2.33;NA;NA;NA;
2;15;0.67;0.74;4.85;NA;2.35;1.65;ND;1.94;2.25;NA;NA;NA;
2;16;0.62;0.85;4.89;NA;1.69;1.52;ND;1.95;4.11;NA;NA;NA;
2;17;1.09;0.77;7.89;NA;1.74;1.93;ND;2.14;2.81;NA;NA;NA;
2;18;1.97;1.28;5.01;NA;2.33;2.69;ND;2.46;3.06;NA;NA;NA;
2;19;1.28;1.13;9.69;NA;2.86;3.34;ND;1.92;3.01;NA;NA;NA;
2;20;0.99;0.98;9.86;NA;2.96;3.97;ND;1.76;3.31;NA;NA;NA;
2;21;1.12;1.3;5.32;NA;3.5;3.99;ND;1.45;3.07;NA;NA;NA;
2;22;0.78;1.31;3.83;NA;3.28;3.38;ND;1.18;3.36;NA;NA;NA;
2;23;0.75;1.33;3.31;NA;2.98;4;ND;1.19;10.81;NA;NA;NA;
3;0;0.95;1.22;7.1;NA;4.22;4.54;ND;1.2;12.52;NA;NA;NA;
3;1;0.89;ND;ND;NA;ND;16.03;ND;1.18;3.99;NA;NA;NA;
3;2;0.78;0.63;13.14;NA;6.05;13.97;ND;1.17;24.56;NA;NA;NA;
3;3;0.64;1.43;5.8;NA;7.27;11.53;ND;1.26;9.75;NA;NA;NA;
3;4;0.78;1.54;4.17;NA;15.66;11.51;ND;1.61;6.97;NA;NA;NA;
3;5;1.22;1.21;4.45;NA;15.53;11.01;ND;1.44;9.78;NA;NA;NA;
3;6;1.58;1.42;2.95;NA;14.9;8.8;ND;1.67;3.55;NA;NA;NA;
3;7;1.8;1.82;4.48;NA;9.77;6.37;ND;2.25;6.44;NA;NA;NA;
3;8;2.96;3.64;5.57;NA;6.33;5.17;ND;1.9;6.17;NA;NA;NA;
3;9;ND;3.54;6.94;NA;5.63;4.95;ND;7.33;8.9;NA;NA;NA;
3;10;ND;6.11;10.23;NA;6.25;4.98;ND;7.18;9.95;NA;NA;NA;
3;11;5.76;8.3;13.19;NA;8.17;6.31;ND;7.93;90.5;NA;NA;NA;
3;12;8.42;8.41;10.9;NA;10.05;8.18;ND;10.91;37.35;NA;NA;NA;
3;13;5.68;5.39;12.78;NA;16.95;4.89;ND;8.17;14.48;NA;NA;NA;
3;14;5.96;4.25;17.15;NA;13.09;11.18;ND;13.55;7.69;NA;NA;NA;
3;15;2.23;2.55;8.52;NA;5.41;7.07;ND;9.04;6.46;NA;NA;NA;
3;16;1.82;2.15;8.81;NA;5.11;6.58;ND;5.17;9.15;NA;NA;NA;
3;17;1.38;1.62;7.37;NA;5.6;6.43;ND;3.59;4.37;NA;NA;NA;
3;18;1.12;1.92;4.41;NA;3.92;5.84;ND;3.05;5.69;NA;NA;NA;
3;19;2.3;1.66;5;NA;4.68;6.24;ND;3.11;9.47;NA;NA;NA;
3;20;1.25;1.28;9.21;NA;4.64;6.49;ND;2.25;9.05;NA;NA;NA;
3;21;2.75;1.69;8.64;NA;7.37;6.78;ND;2.08;12.68;NA;NA;NA;
3;22;2.4;1;6.23;NA;31.1;7.47;ND;2.17;9.45;NA;NA;NA;
3;23;2.82;3.63;4.71;NA;11.08;6.35;ND;1.87;6.2;NA;NA;NA;
4;0;1.99;2.71;4.3;NA;16.99;5.45;ND;2.16;6.01;NA;NA;NA;
4;1;ND;1.84;4.63;NA;16;ND;ND;ND;5.2;NA;NA;NA;
4;2;1.49;1.38;3.48;NA;10.96;5.3;ND;3.34;5.3;NA;NA;NA;
4;3;1.36;1.25;3.03;NA;9.25;4.63;ND;3;9.37;NA;NA;NA;
4;4;1.63;2.5;3.07;NA;9.32;5.69;ND;6.17;4.04;NA;NA;NA;
4;5;2.27;7.43;3.29;NA;13.75;4.33;ND;5.4;4.72;NA;NA;NA;
4;6;4.47;23.5;7.01;NA;15.45;6.93;ND;9.18;5.19;NA;NA;NA;
4;7;5.99;29.66;8.99;NA;53.2;9.78;ND;16.35;11.13;NA;NA;NA;
4;8;5.45;11.84;10.02;NA;20.66;8.74;ND;22.64;17.73;NA;NA;NA;
4;9;4.37;9.68;7.22;NA;8.58;6.16;ND;17.62;18.34;NA;NA;NA;
4;10;2.51;4.02;8.7;NA;6.12;4.1;ND;10.17;55.89;NA;NA;NA;
4;11;2.17;3.93;7.3;NA;11.68;4.93;ND;6.13;21.46;NA;NA;NA;
4;12;2.24;2.42;11.29;NA;18.3;8.18;ND;8.47;27.27;NA;NA;NA;
4;13;2.4;2.74;8.54;NA;ND;8.9;ND;6.47;ND;NA;NA;NA;
4;14;1.31;1.3;7.09;NA;ND;5.72;ND;5.17;ND;NA;NA;NA;
4;15;0.86;1.3;4.97;NA;6.47;4.86;ND;3.49;2.77;NA;NA;NA;
4;16;1.21;1.3;3.87;NA;3.78;4.17;ND;4.13;1.45;NA;NA;NA;
4;17;1.48;1.52;4.65;NA;5.25;5.63;ND;5.08;15.28;NA;NA;NA;
4;18;2.24;1.58;5.54;NA;9.22;6.31;ND;4.84;11.58;NA;NA;NA;
4;19;2.08;3.01;5.11;NA;17.31;6.61;ND;4.28;6.02;NA;NA;NA;
4;20;2.88;2.7;5.52;NA;16;5.86;ND;2.94;9.95;NA;NA;NA;
