DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.79;0.51;NA;1.32;ND;ND;NA;ND;NA;NA;NA;
1;1;1.1;1.64;0.45;NA;1.69;ND;2.31;NA;ND;NA;NA;NA;
1;2;1.12;1.84;0.48;NA;1.53;ND;1.77;NA;ND;NA;NA;NA;
1;3;1.24;1.26;0.7;NA;1.75;ND;1.06;NA;ND;NA;NA;NA;
1;4;1.14;0.69;0.88;NA;2;ND;1.09;NA;ND;NA;NA;NA;
1;5;1.27;0.4;0.75;NA;1.88;ND;1.33;NA;ND;NA;NA;NA;
1;6;1.2;0.31;0.69;NA;0.75;ND;1.22;NA;ND;NA;NA;NA;
1;7;1.07;0.34;0.29;NA;0.59;ND;1.07;NA;ND;NA;NA;NA;
1;8;0.57;0.3;0.26;NA;0.39;ND;0.97;NA;ND;NA;NA;NA;
1;9;0.55;0.29;0.24;NA;0.44;ND;0.83;NA;ND;NA;NA;NA;
1;10;0.53;0.22;0.27;NA;0.37;ND;0.81;NA;ND;NA;NA;NA;
1;11;0.57;0.27;0.23;NA;0.3;ND;0.8;NA;ND;NA;NA;NA;
1;12;0.52;0.27;0.23;NA;0.25;ND;0.77;NA;ND;NA;NA;NA;
1;13;0.52;0.28;0.23;NA;0.28;ND;0.77;NA;ND;NA;NA;NA;
1;14;0.5;0.24;0.24;NA;0.37;ND;0.8;NA;ND;NA;NA;NA;
1;15;0.51;0.28;0.25;NA;0.39;ND;0.81;NA;ND;NA;NA;NA;
1;16;0.5;0.32;0.24;NA;0.35;ND;0.79;NA;ND;NA;NA;NA;
1;17;0.57;0.4;0.31;NA;0.4;ND;0.83;NA;ND;NA;NA;NA;
1;18;0.62;0.42;0.37;NA;0.52;ND;0.85;NA;ND;NA;NA;NA;
1;19;0.63;0.42;0.42;NA;0.6;ND;0.89;NA;ND;NA;NA;NA;
1;20;0.61;0.32;0.35;NA;0.53;ND;0.97;NA;ND;NA;NA;NA;
1;21;0.58;0.31;0.27;NA;0.39;ND;1;NA;ND;NA;NA;NA;
1;22;0.54;0.26;0.2;NA;0.32;ND;0.96;NA;ND;NA;NA;NA;
1;23;0.53;0.18;0.19;NA;0.25;ND;0.89;NA;ND;NA;NA;NA;
2;0;0.55;ND;ND;NA;0.2;ND;0.78;NA;ND;NA;NA;NA;
2;1;0.47;0.1;0.13;NA;0.17;ND;0.74;NA;ND;NA;NA;NA;
2;2;0.46;0.09;0.13;NA;0.16;ND;0.69;NA;ND;NA;NA;NA;
2;3;0.49;0.1;0.17;NA;0.16;ND;0.67;NA;ND;NA;NA;NA;
2;4;0.53;0.18;0.18;NA;0.24;ND;0.74;NA;ND;NA;NA;NA;
2;5;0.64;0.57;0.3;NA;0.46;ND;0.99;NA;ND;NA;NA;NA;
2;6;1.43;1.38;0.57;NA;0.99;ND;1.94;NA;ND;NA;NA;NA;
2;7;0.91;1.32;0.63;NA;1.12;ND;1.68;NA;ND;NA;NA;NA;
2;8;0.8;0.26;0.76;NA;0.79;ND;0.96;NA;ND;NA;NA;NA;
2;9;0.67;0.48;0.84;NA;0.6;ND;0.81;NA;ND;NA;NA;NA;
2;10;0.64;0.38;0.69;NA;0.51;ND;0.82;NA;ND;NA;NA;NA;
2;11;0.59;0.37;0.48;NA;0.47;ND;0.85;NA;ND;NA;NA;NA;
2;12;0.58;0.42;0.51;NA;0.41;0.68;0.8;NA;ND;NA;NA;NA;
2;13;0.59;0.41;0.34;NA;0.48;ND;0.85;NA;ND;NA;NA;NA;
2;14;0.55;0.36;0.38;NA;0.46;ND;0.9;NA;ND;NA;NA;NA;
2;15;0.58;0.38;0.49;NA;0.49;0.53;0.91;NA;ND;NA;NA;NA;
2;16;0.57;0.39;0.44;NA;0.44;0.56;0.98;NA;ND;NA;NA;NA;
2;17;0.59;0.35;0.49;NA;0.6;0.51;1.07;NA;ND;NA;NA;NA;
2;18;0.67;0.45;0.73;NA;0.79;0.62;1.27;NA;ND;NA;NA;NA;
2;19;0.8;0.46;0.53;NA;0.76;0.65;1.31;NA;ND;NA;NA;NA;
2;20;0.95;0.45;0.46;NA;0.76;0.55;1.28;NA;ND;NA;NA;NA;
2;21;0.65;0.39;0.3;NA;0.53;0.45;0.93;NA;ND;NA;NA;NA;
