DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.43;1.6;4.3;NA;6.16;ND;ND;0.74;7.89;NA;NA;NA;
1;1;ND;1.69;3.01;NA;3.13;ND;ND;0.67;5.7;NA;NA;NA;
1;2;1.1;1.66;2.52;NA;2.34;ND;ND;0.65;4.56;NA;NA;NA;
1;3;1.37;1.46;1.56;NA;1.88;ND;ND;0.73;7.04;NA;NA;NA;
1;4;1.37;1.6;1.56;NA;7.25;ND;ND;1.36;6.27;NA;NA;NA;
1;5;2.48;1.93;5.1;NA;27.34;ND;ND;2.29;10.15;NA;NA;NA;
1;6;2.73;3.3;6.92;NA;49.39;ND;ND;4.64;7.99;NA;NA;NA;
1;7;3.68;9.28;9.59;NA;53.08;ND;ND;11.43;14.42;NA;NA;NA;
1;8;6.13;5.87;12.86;NA;23.38;ND;ND;15.03;11.22;NA;NA;NA;
1;9;6.63;3.67;16.76;NA;8.71;ND;ND;6.17;10.7;NA;NA;NA;
1;10;3.72;2.6;12.35;NA;6.67;ND;ND;7.05;30.84;NA;NA;NA;
1;11;1.77;1.62;5.25;NA;8.18;ND;ND;4.9;31.25;NA;NA;NA;
1;12;1.1;1.19;3.37;NA;3.46;ND;ND;3.08;12.38;NA;NA;NA;
1;13;0.82;1.04;2.58;NA;2.43;ND;ND;3.43;9.23;NA;NA;NA;
1;14;0.86;1.16;2.73;NA;1.67;ND;ND;2.94;6.59;NA;NA;NA;
1;15;0.82;1.04;2.4;NA;1.9;ND;ND;1.79;6.43;NA;NA;NA;
1;16;0.6;1.15;3.3;NA;2.43;0.66;ND;1.46;2.94;NA;NA;NA;
1;17;0.93;0.97;4.44;NA;1.9;1.1;ND;1.39;7.16;NA;NA;NA;
1;18;1.56;1.58;3.37;NA;1.84;0.55;ND;1.23;6.5;NA;NA;NA;
1;19;1.67;1.69;2.68;NA;2.47;0.57;ND;1.12;38.05;NA;NA;NA;
1;20;1.22;1.57;2.34;NA;3.75;0.53;ND;1.32;9.15;NA;NA;NA;
1;21;1.16;1.44;1.86;NA;3.86;0.59;ND;1.01;6.11;NA;NA;NA;
1;22;0.79;1.47;1.56;NA;4.07;0.52;ND;0.87;6.4;NA;NA;NA;
1;23;0.55;1.31;1.68;NA;4.6;0.61;ND;0.67;7.41;NA;NA;NA;
2;0;0.63;1.27;1.15;NA;2.93;0.56;ND;0.65;4.27;NA;NA;NA;
2;1;0.66;ND;0.71;NA;ND;ND;ND;0.55;4.58;NA;NA;NA;
2;2;0.58;1.31;0.66;NA;1.88;0.46;ND;0.52;3.52;NA;NA;NA;
2;3;0.95;1.24;1.54;NA;1.92;0.33;ND;0.45;1.91;NA;NA;NA;
2;4;0.89;1.19;0.88;NA;3.07;0.47;ND;0.62;1.73;NA;NA;NA;
2;5;0.5;0.98;0.67;NA;3.24;0.53;ND;0.74;1.67;NA;NA;NA;
2;6;0.73;1.12;1.44;NA;3.11;0.7;ND;0.5;3.9;NA;NA;NA;
2;7;0.96;1.1;7.98;NA;3.65;0.9;ND;0.6;5.5;NA;NA;NA;
2;8;1.49;1.4;5.3;NA;6.8;2.08;ND;0.82;15.96;NA;NA;NA;
2;9;1.8;1.11;4.44;NA;3.8;2.58;ND;4.43;29.05;NA;NA;NA;
2;10;1.98;1.04;3.49;NA;3.26;2.38;ND;8.94;20.56;NA;NA;NA;
2;11;1.42;0.96;2.46;NA;4.63;1.72;ND;4;29.13;NA;NA;NA;
2;12;0.89;1.06;1.89;NA;4.01;1.13;ND;1.44;21.83;NA;NA;NA;
2;13;0.66;0.63;2.16;NA;3.1;1.17;ND;1.14;3.75;NA;NA;NA;
2;14;0.82;0.88;2.11;NA;2.55;1;ND;2.23;2.42;NA;NA;NA;
2;15;0.59;1.08;2.45;NA;2.75;1.04;ND;1.09;4.25;NA;NA;NA;
2;16;0.86;1.58;2.6;NA;2.75;1.21;ND;1.04;5.75;NA;NA;NA;
2;17;0.73;1.43;2.39;NA;2.65;1.53;ND;1.11;9.82;NA;NA;NA;
2;18;0.97;1.77;2.93;NA;2.67;1.86;ND;1.17;8.46;NA;NA;NA;
2;19;0.93;1.76;2.7;NA;3.02;2.01;ND;0.73;3.38;NA;NA;NA;
2;20;1.29;1.76;3.29;NA;3.52;2.64;ND;0.78;2.16;NA;NA;NA;
2;21;1.29;1.33;1.9;NA;3.04;1.8;ND;1;9.84;NA;NA;NA;
2;22;1.34;1.05;1.76;NA;1.89;1.3;ND;0.76;5.02;NA;NA;NA;
2;23;1.14;1.17;1.54;NA;1.73;1.15;ND;0.56;10.08;NA;NA;NA;
3;0;0.92;1.41;0.97;NA;1.78;0.94;ND;0.55;3.82;NA;NA;NA;
3;1;ND;1.24;0.68;NA;4.14;0.71;ND;0.47;3.19;NA;NA;NA;
3;2;0.74;0.87;0.4;NA;4.59;0.57;ND;0.51;3.46;NA;NA;NA;
3;3;0.69;0.64;0.37;NA;6.74;1.35;ND;0.8;3.7;NA;NA;NA;
3;4;0.89;0.83;0.22;NA;6.48;3.09;ND;0.76;2.25;NA;NA;NA;
3;5;0.78;1.08;3.21;NA;5.9;4.78;ND;0.74;4.02;NA;NA;NA;
3;6;0.95;1.05;6.43;NA;6.54;5.72;ND;0.74;3.1;NA;NA;NA;
3;7;1.1;1.22;5.89;NA;6.36;5.48;ND;9.6;11.61;NA;NA;NA;
3;8;1.67;1.64;5.55;NA;5.3;5.54;ND;2.79;5.88;NA;NA;NA;
3;9;2.54;1.38;6.9;NA;4.09;4.92;ND;2.88;55.35;NA;NA;NA;
3;10;1.79;1.24;5.78;NA;5.37;4.64;ND;13.61;74.76;NA;NA;NA;
3;11;1.15;1;3;NA;11.76;5.15;ND;5.51;22.19;NA;NA;NA;
3;12;0.77;1.01;1.5;NA;7.81;2.83;ND;3.04;16.84;NA;NA;NA;
3;13;0.64;1.21;1.06;NA;2.96;2.2;ND;1.42;14.8;NA;NA;NA;
3;14;0.6;1.07;1.61;NA;2.61;1.91;ND;1.11;5.27;NA;NA;NA;
3;15;0.54;1.23;1.72;NA;2.19;1.71;ND;1.34;2.84;NA;NA;NA;
3;16;0.64;1.05;2.7;NA;1.89;1.4;ND;0.98;3.44;NA;NA;NA;
3;17;0.6;1.23;2.47;NA;2.03;1.35;ND;0.96;4.86;NA;NA;NA;
3;18;0.63;1.5;2.35;NA;1.7;1.13;ND;0.92;11.51;NA;NA;NA;
3;19;0.9;1.57;1.49;NA;1.44;1.27;ND;0.62;5.5;NA;NA;NA;
3;20;0.89;1.4;1.16;NA;1.02;0.93;ND;0.84;2.46;NA;NA;NA;
3;21;1.15;1.17;0.75;NA;1.34;1.01;ND;0.78;2.54;NA;NA;NA;
3;22;1.59;1.1;1.44;NA;1.87;1.11;ND;0.64;3.86;NA;NA;NA;
3;23;1.45;1.39;1.1;NA;1.57;0.94;ND;0.67;4.39;NA;NA;NA;
4;0;0.79;1.17;1.97;NA;1.89;0.83;ND;0.73;6.09;NA;NA;NA;
4;1;0.56;ND;1.28;NA;1.38;ND;ND;0.7;5.56;NA;NA;NA;
4;2;0.53;1.17;0.88;NA;1.46;0.79;ND;0.59;7.36;NA;NA;NA;
4;3;0.45;1.08;0.43;NA;1.2;0.63;ND;0.6;9.7;NA;NA;NA;
4;4;0.48;1.18;0.5;NA;1.75;0.44;ND;1.92;5.44;NA;NA;NA;
4;5;0.31;1.09;1.49;NA;2.09;0.96;ND;0.78;6.22;NA;NA;NA;
4;6;0.72;1.12;0.8;NA;4.84;0.67;ND;1;7.21;NA;NA;NA;
4;7;0.98;1.14;1.8;NA;4.78;0.8;ND;0.99;8.08;NA;NA;NA;
4;8;2.12;1.12;1.95;NA;4.18;1.56;ND;0.96;12.27;NA;NA;NA;
4;9;1.62;1.23;2.37;NA;7.2;1.58;ND;0.95;10.13;NA;NA;NA;
4;10;0.97;1.14;1.94;NA;14.27;2.5;ND;0.93;7.58;NA;NA;NA;
4;11;0.82;1.01;2.25;NA;ND;1.84;ND;0.85;5.45;NA;NA;NA;
4;12;0.7;1;2.96;NA;ND;1.97;ND;1.67;29.96;NA;NA;NA;
4;13;0.6;1.31;4.85;NA;ND;1.76;ND;3.11;69.48;NA;NA;NA;
4;14;0.95;1.78;4.63;NA;1.72;ND;ND;44.23;6.04;NA;NA;NA;
4;15;0.62;1.57;4.89;NA;1.92;1.85;ND;14.26;7.31;NA;NA;NA;
4;16;0.88;1.12;5.35;NA;2.62;1.9;ND;3.33;6.69;NA;NA;NA;
4;17;0.97;1.2;6.26;NA;3.19;2.54;ND;2.16;3.79;NA;NA;NA;
4;18;1;1.21;6.15;NA;3.65;2.25;ND;1.63;3;NA;NA;NA;
4;19;0.84;1.26;5.58;NA;2.9;1.9;ND;1.09;3.51;NA;NA;NA;
4;20;0.62;1.21;4.76;NA;2.65;1.53;ND;1.1;3.75;NA;NA;NA;
4;21;1.28;0.94;4.6;NA;2.73;1.4;ND;0.73;4.4;NA;NA;NA;
4;22;1.56;1.28;4.61;NA;2.21;1.47;ND;0.98;5.57;NA;NA;NA;
4;23;1.48;1.15;4.7;NA;2.54;1;ND;0.97;6.1;NA;NA;NA;
5;0;1.45;3.06;4.5;NA;3.45;0.68;ND;0.78;8.16;NA;NA;NA;
5;1;ND;2.76;4.4;NA;2.91;1.68;ND;0.66;7.57;NA;NA;NA;
5;2;1.65;1.88;4.45;NA;2.54;2.82;ND;0.64;4.71;NA;NA;NA;
5;3;1.67;1.62;4.09;NA;2.17;2.54;ND;0.73;4.17;NA;NA;NA;
5;4;1.43;2.52;4.44;NA;6.5;5.25;ND;0.84;4.92;NA;NA;NA;
5;5;1.98;2.8;5.5;NA;11.29;5.57;ND;0.73;4.61;NA;NA;NA;
5;6;2.54;2.54;7.65;NA;20.62;6.97;ND;0.8;3.67;NA;NA;NA;
5;7;2.97;4.18;7.88;NA;ND;8.89;ND;1.52;4.76;NA;NA;NA;
5;8;4.36;7.81;ND;NA;7.63;7.8;ND;3.3;9.42;NA;NA;NA;
5;9;5.67;8.36;ND;NA;4.41;5.92;ND;11.17;6.74;NA;NA;NA;
5;10;7.5;6.31;ND;NA;4.33;4.03;ND;5.09;9.7;NA;NA;NA;
5;11;6.76;10.07;ND;NA;9.08;3.15;ND;5.87;16.08;NA;NA;NA;
5;12;9.07;8.19;ND;NA;ND;3.05;ND;9;9.29;NA;NA;NA;
5;13;3.75;3.86;ND;NA;3.66;4.85;ND;2.26;4.3;NA;NA;NA;
5;14;2.57;2.74;ND;NA;5.13;7.75;ND;11.73;ND;NA;NA;NA;
5;15;1.61;2.59;ND;NA;4.3;4.97;ND;12.73;7.13;NA;NA;NA;
5;16;1.4;2.49;ND;NA;3.41;4.59;ND;3.42;8.86;NA;NA;NA;
5;17;1.26;2.33;ND;NA;4.49;3.82;ND;2.32;16;NA;NA;NA;
5;18;0.89;1.99;ND;NA;3.65;3.26;ND;1.51;8.64;NA;NA;NA;
5;19;1.36;2.02;ND;NA;4.1;3.15;ND;1.33;5.51;NA;NA;NA;
5;20;2.18;1.93;ND;NA;4.45;3.2;ND;1.13;4.15;NA;NA;NA;
