DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;17.64;7.43;3.38;NA;7.31;8.8;NA;NA;ND;NA;NA;NA;
1;1;13.39;5.85;10.05;NA;7.69;12.54;NA;NA;ND;NA;NA;NA;
1;2;7.9;8.45;10.22;NA;11.06;5.55;NA;NA;ND;NA;NA;NA;
1;3;8.22;6.78;11.11;NA;5.15;14.97;NA;NA;ND;NA;NA;NA;
1;4;8.85;5.52;7.17;NA;12.77;8.65;NA;NA;ND;NA;NA;NA;
1;5;11.3;13.12;15.11;NA;11.27;14.93;NA;NA;ND;NA;NA;NA;
1;6;21.42;21.71;18.77;NA;31.46;18.75;NA;NA;ND;NA;NA;NA;
1;7;21.51;7.24;21.46;NA;42.01;24.16;NA;NA;ND;NA;NA;NA;
1;8;26.98;6.63;29.41;NA;32.66;27.4;NA;NA;ND;NA;NA;NA;
1;9;35.09;0.8;25.77;NA;22;25.03;NA;NA;ND;NA;NA;NA;
1;10;28.82;4.98;34.14;NA;37.82;23.31;NA;NA;ND;NA;NA;NA;
1;11;25.15;7.39;25.41;NA;41.96;32.21;NA;NA;ND;NA;NA;NA;
1;12;15.39;7.41;24.95;NA;26.21;24.49;NA;NA;ND;NA;NA;NA;
1;13;9.88;0.36;10.77;NA;20.81;16.1;NA;NA;ND;NA;NA;NA;
1;14;7.07;2.31;15.86;NA;11.34;2.66;NA;NA;ND;NA;NA;NA;
1;15;7.58;2.79;9.82;NA;28.59;11.89;NA;NA;ND;NA;NA;NA;
1;16;7.46;14.22;13.64;NA;17.98;14.11;NA;NA;ND;NA;NA;NA;
1;17;13.86;5.76;16.63;NA;12.67;13.6;NA;NA;ND;NA;NA;NA;
1;18;4.8;14.59;19.22;NA;0.8;15.13;NA;NA;ND;NA;NA;NA;
1;19;16.49;17.28;15.33;NA;3.2;14.27;NA;NA;ND;NA;NA;NA;
1;20;17.63;27.01;13.11;NA;14.83;19.45;NA;NA;ND;NA;NA;NA;
1;21;21.23;21.75;10.03;NA;18.88;13.92;NA;NA;ND;NA;NA;NA;
1;22;21.48;22.39;15.4;NA;13.06;12.45;NA;NA;ND;NA;NA;NA;
1;23;19.14;17.16;16.83;NA;18.08;12.59;NA;NA;ND;NA;NA;NA;
2;0;13.15;17.78;27.48;NA;21.95;5.09;NA;NA;ND;NA;NA;NA;
2;1;13.16;13.48;14.56;NA;25.94;9.98;NA;NA;ND;NA;NA;NA;
2;2;16.31;12.02;15.14;NA;45.63;9.61;NA;NA;ND;NA;NA;NA;
2;3;10.65;13.25;6.5;NA;49.28;18.4;NA;NA;ND;NA;NA;NA;
2;4;14.49;11.16;13.03;NA;60.52;13.84;NA;NA;ND;NA;NA;NA;
2;5;11.41;15.19;7.87;NA;45.16;15.4;NA;NA;ND;NA;NA;NA;
2;6;18.87;35.57;15.87;NA;48.71;21.22;NA;NA;ND;NA;NA;NA;
2;7;20.68;24.44;14.87;NA;63.17;14.73;NA;NA;ND;NA;NA;NA;
2;8;26.46;0.07;39.07;NA;59.45;25.19;NA;NA;ND;NA;NA;NA;
2;9;26.7;0.06;41.25;NA;49.03;24.31;NA;NA;ND;NA;NA;NA;
2;10;32.73;6.03;13.79;NA;44.63;23.89;NA;NA;ND;NA;NA;NA;
2;11;18.32;6.54;8.92;NA;ND;12.8;NA;NA;ND;NA;NA;NA;
2;12;14.92;8.29;15.03;NA;ND;8.26;NA;NA;ND;NA;NA;NA;
2;13;2.99;1.7;15.59;NA;ND;14.01;NA;NA;ND;NA;NA;NA;
2;14;7.32;0.24;16.53;NA;ND;17.01;NA;NA;ND;NA;NA;NA;
2;15;8.26;3.13;6.05;NA;ND;13.66;NA;NA;ND;NA;NA;NA;
2;16;10.1;18.03;12.72;NA;ND;12.5;NA;NA;ND;NA;NA;NA;
2;17;10.26;14.83;6.99;NA;ND;16.26;NA;NA;ND;NA;NA;NA;
2;18;11.03;14.83;16.03;NA;ND;14.66;NA;NA;ND;NA;NA;NA;
2;19;14.71;14.25;13.4;NA;ND;18.32;NA;NA;ND;NA;NA;NA;
2;20;19.14;14.2;8.04;NA;ND;18.49;NA;NA;ND;NA;NA;NA;
2;21;13.57;13.86;13.74;NA;ND;11.15;NA;NA;ND;NA;NA;NA;
2;22;10.9;13.49;16.61;NA;ND;22.62;NA;NA;ND;NA;NA;NA;
2;23;8.65;13.65;6.68;NA;ND;16.8;NA;NA;ND;NA;NA;NA;
3;0;20.49;16.54;3.71;NA;28.32;20.32;NA;NA;ND;NA;NA;NA;
3;1;18.14;18.03;14.46;NA;19.33;27.07;NA;NA;ND;NA;NA;NA;
3;2;19.24;13.84;16.95;NA;18.7;25.32;NA;NA;ND;NA;NA;NA;
3;3;11.47;17.67;13.51;NA;23.46;21.91;NA;NA;ND;NA;NA;NA;
3;4;19.98;24.22;11.58;NA;21.11;22.51;NA;NA;ND;NA;NA;NA;
3;5;17.77;15.79;18.45;NA;25.56;19.61;NA;NA;ND;NA;NA;NA;
3;6;17.82;26.34;9.81;NA;32.52;17.81;NA;NA;ND;NA;NA;NA;
3;7;14.38;7.55;17.96;NA;24.44;9.96;NA;NA;ND;NA;NA;NA;
3;8;13.57;7.33;17.16;NA;24.39;25.31;NA;NA;ND;NA;NA;NA;
3;9;8.49;2.97;14.79;NA;27.27;9.42;NA;NA;ND;NA;NA;NA;
3;10;20.05;5.09;12.75;NA;25.16;9.16;NA;NA;ND;NA;NA;NA;
3;11;10.57;0;15.7;NA;30.59;10.36;NA;NA;ND;NA;NA;NA;
3;12;3.97;0.11;8.48;NA;21.27;5.05;NA;NA;ND;NA;NA;NA;
3;13;5.68;6.87;4.7;NA;23.82;17.98;NA;NA;ND;NA;NA;NA;
3;14;10.5;7.45;7.43;NA;29.02;12.24;NA;NA;ND;NA;NA;NA;
3;15;7.89;10.79;9.16;NA;17.05;10.75;NA;NA;ND;NA;NA;NA;
3;16;12.89;15.67;9.93;NA;19.89;11.05;NA;NA;ND;NA;NA;NA;
3;17;9.87;15.75;14.94;NA;15.98;15.79;NA;NA;ND;NA;NA;NA;
3;18;12.07;12.93;15;NA;11.18;18.1;NA;NA;ND;NA;NA;NA;
3;19;10.25;9.51;8.15;NA;6.65;17.52;NA;NA;ND;NA;NA;NA;
3;20;19.36;16.09;13.1;NA;2.78;15.23;NA;NA;ND;NA;NA;NA;
3;21;14.31;13.74;9.26;NA;5.3;19.02;NA;NA;ND;NA;NA;NA;
3;22;11.57;15.96;15.63;NA;5.77;13.51;NA;NA;ND;NA;NA;NA;
3;23;14.84;6.09;10.67;NA;10.82;8.43;NA;NA;ND;NA;NA;NA;
4;0;5.48;10.45;26.83;NA;10.73;17.35;NA;NA;ND;NA;NA;NA;
4;1;11.74;19.39;15.09;NA;15.74;13.25;NA;NA;ND;NA;NA;NA;
4;2;20.08;16.23;13.02;NA;17.59;20.29;NA;NA;ND;NA;NA;NA;
4;3;20.79;10.5;18.53;NA;14.04;20.53;NA;NA;ND;NA;NA;NA;
4;4;17.83;17.77;21.18;NA;17.8;19.44;NA;NA;ND;NA;NA;NA;
4;5;14.24;21.48;18.63;NA;10.71;25.45;NA;NA;ND;NA;NA;NA;
4;6;31.98;28.2;22.22;NA;48.74;35.32;NA;NA;ND;NA;NA;NA;
4;7;35.17;19.67;38.12;NA;55.98;43.08;NA;NA;ND;NA;NA;NA;
4;8;40.65;8.61;38.89;NA;39.58;32.18;NA;NA;ND;NA;NA;NA;
4;9;42.42;6.27;42.53;NA;42.97;33.19;NA;NA;ND;NA;NA;NA;
4;10;28.6;0;31.84;NA;35.91;34.54;NA;NA;ND;NA;NA;NA;
4;11;24.98;5.52;31.04;NA;6.09;16.7;NA;NA;ND;NA;NA;NA;
4;12;17.35;12.59;23.54;NA;0.38;18.28;NA;NA;ND;NA;NA;NA;
4;13;15.98;15.45;26.37;NA;6.07;33;NA;NA;ND;NA;NA;NA;
4;14;6.25;8.75;15.78;NA;0.79;17.33;NA;NA;ND;NA;NA;NA;
4;15;10.53;8.52;14.65;NA;5.43;12.43;NA;NA;ND;NA;NA;NA;
4;16;10.01;6.92;15.33;NA;12.87;17.58;NA;NA;ND;NA;NA;NA;
4;17;12.57;19.93;22.62;NA;6.96;24.8;NA;NA;ND;NA;NA;NA;
4;18;15.25;15.24;14.83;NA;7.46;22.83;NA;NA;ND;NA;NA;NA;
4;19;16.79;15.29;21.93;NA;8.68;31.93;NA;NA;ND;NA;NA;NA;
4;20;17.75;13.3;13.42;NA;17.71;17.51;NA;NA;ND;NA;NA;NA;
4;21;24.76;14.92;12.35;NA;24.82;12.84;NA;NA;ND;NA;NA;NA;
4;22;24.11;10.11;15.37;NA;36.69;22.01;NA;NA;ND;NA;NA;NA;
4;23;19.41;19.33;9.67;NA;49.76;21.46;NA;NA;ND;NA;NA;NA;
5;0;14.76;11.8;13.62;NA;63.22;25.24;NA;NA;ND;NA;NA;NA;
5;1;17.29;16.97;21.96;NA;54.97;25.56;NA;NA;ND;NA;NA;NA;
5;2;21.6;13.97;19.38;NA;35.67;24.97;NA;NA;ND;NA;NA;NA;
5;3;16.06;16.22;11.17;NA;25.1;19.84;NA;NA;ND;NA;NA;NA;
5;4;24.41;19.77;13.54;NA;32.37;20.77;NA;NA;ND;NA;NA;NA;
5;5;11.34;22.12;11.71;NA;20.88;21.99;NA;NA;ND;NA;NA;NA;
5;6;39.58;45.07;21.34;NA;38.78;32.04;NA;NA;ND;NA;NA;NA;
5;7;49.49;15.88;41.12;NA;39.52;38.6;NA;NA;ND;NA;NA;NA;
5;8;30.23;2.82;40.11;NA;33.35;28.58;NA;NA;ND;NA;NA;NA;
5;9;36.79;17.64;29.75;NA;46.58;24.35;NA;NA;ND;NA;NA;NA;
5;10;34.46;15.95;26.84;NA;35.94;25.17;NA;NA;ND;NA;NA;NA;
5;11;32.9;9.6;36.51;NA;16.79;32.15;NA;NA;ND;NA;NA;NA;
5;12;21.88;9;15.47;NA;24.84;33.05;NA;NA;ND;NA;NA;NA;
5;13;17.44;18.34;24.83;NA;36.04;39.23;NA;NA;ND;NA;NA;NA;
5;14;16.88;13.87;18.13;NA;0.15;16.96;NA;NA;ND;NA;NA;NA;
5;15;16.6;16.43;16.74;NA;17.94;15.36;NA;NA;ND;NA;NA;NA;
5;16;17.64;6.33;22.86;NA;17.57;28.52;NA;NA;ND;NA;NA;NA;
5;17;17;23.14;17.33;NA;21.67;30.68;NA;NA;ND;NA;NA;NA;
5;18;15.99;20.39;25.66;NA;23.19;23.59;NA;NA;ND;NA;NA;NA;
5;19;18.13;14.12;21.57;NA;18.37;24.96;NA;NA;ND;NA;NA;NA;
5;20;18.85;25.35;16.38;NA;16.73;26.25;NA;NA;ND;NA;NA;NA;
5;21;18.04;21.37;12.25;NA;18.22;18.92;NA;NA;ND;NA;NA;NA;
5;22;23.21;14.26;11.78;NA;18.64;21.04;NA;NA;ND;NA;NA;NA;
5;23;25.69;13.49;9.72;NA;21.14;18.66;NA;NA;ND;NA;NA;NA;
6;0;13.2;13.1;14.36;NA;24.36;32.74;NA;NA;ND;NA;NA;NA;
6;1;29.67;16.17;20.66;NA;23.02;25.54;NA;NA;ND;NA;NA;NA;
6;2;18.96;13.44;11.51;NA;14.56;14.77;NA;NA;ND;NA;NA;NA;
6;3;28.69;10.32;16.82;NA;21.48;22.97;NA;NA;ND;NA;NA;NA;
6;4;27.33;8.22;20.06;NA;25.22;14.21;NA;NA;ND;NA;NA;NA;
6;5;24.39;26.25;17.92;NA;18.06;20.37;NA;NA;ND;NA;NA;NA;
6;6;37.75;40.06;26.89;NA;57.48;30.41;NA;NA;ND;NA;NA;NA;
6;7;64.29;1.86;48.48;NA;61.8;54.62;NA;NA;ND;NA;NA;NA;
6;8;46.51;1.19;52.29;NA;38.41;47.47;NA;NA;ND;NA;NA;NA;
6;9;32.96;3.81;28.89;NA;39.62;17.28;NA;NA;ND;NA;NA;NA;
6;10;32.53;14.15;24.36;NA;32.17;8.59;NA;NA;ND;NA;NA;NA;
6;11;23.8;13.21;35.51;NA;35.67;25.11;NA;NA;ND;NA;NA;NA;
6;12;18.2;7.46;13.52;NA;30.96;29.89;NA;NA;ND;NA;NA;NA;
6;13;15.04;10.29;23.39;NA;16.32;20.8;NA;NA;ND;NA;NA;NA;
6;14;27.84;20.31;25.04;NA;18.35;17.57;NA;NA;ND;NA;NA;NA;
6;15;14.3;11.14;23.19;NA;26.45;22.15;NA;NA;ND;NA;NA;NA;
6;16;13.89;4.64;14.31;NA;14.17;19.42;NA;NA;ND;NA;NA;NA;
6;17;20.03;24.56;21.61;NA;25.49;19.79;NA;NA;ND;NA;NA;NA;
6;18;11.91;20.25;18.67;NA;32.39;29.41;NA;NA;ND;NA;NA;NA;
6;19;23.62;17.5;18.62;NA;23.1;22.4;NA;NA;ND;NA;NA;NA;
6;20;19.77;17.93;19.21;NA;26.66;20.69;NA;NA;ND;NA;NA;NA;
6;21;20.21;19.54;16.18;NA;23.16;20.35;NA;NA;ND;NA;NA;NA;
6;22;18.9;18.55;17.25;NA;23.78;16.85;NA;NA;ND;NA;NA;NA;
6;23;25.04;16.15;9.53;NA;17.17;17.95;NA;NA;ND;NA;NA;NA;
7;0;23.78;12.93;24.68;NA;29.82;4.62;NA;NA;ND;NA;NA;NA;
7;1;29.7;16.68;16.63;NA;24.83;26.3;NA;NA;ND;NA;NA;NA;
7;2;26.65;8.27;24.61;NA;35.06;25.84;NA;NA;ND;NA;NA;NA;
7;3;18.21;8.06;20.46;NA;39.29;28.4;NA;NA;ND;NA;NA;NA;
7;4;21.43;14.78;20.97;NA;32.8;26.49;NA;NA;ND;NA;NA;NA;
7;5;20.33;23.34;15.85;NA;37.22;31.24;NA;NA;ND;NA;NA;NA;
7;6;35.97;27.02;24.28;NA;52.14;43.82;NA;NA;ND;NA;NA;NA;
7;7;44.63;11.34;41.87;NA;61.88;42.48;NA;NA;ND;NA;NA;NA;
7;8;43.73;1.45;36.39;NA;48.01;33.64;NA;NA;ND;NA;NA;NA;
7;9;34.08;6.8;32.13;NA;39.05;28.6;NA;NA;ND;NA;NA;NA;
7;10;24.14;13.94;34.04;NA;25.28;24.58;NA;NA;ND;NA;NA;NA;
7;11;28.16;7.7;30.54;NA;32.62;28.79;NA;NA;ND;NA;NA;NA;
7;12;ND;13.79;24.26;NA;17.26;34.87;NA;NA;ND;NA;NA;NA;
7;13;22.25;18.45;25.99;NA;14.31;20.93;NA;NA;ND;NA;NA;NA;
7;14;13.54;8.99;17.04;NA;15.07;14.38;NA;NA;ND;NA;NA;NA;
7;15;17.55;9.1;23.59;NA;12.45;21.95;NA;NA;ND;NA;NA;NA;
7;16;17.66;17.54;19.3;NA;12.88;24.42;NA;NA;ND;NA;NA;NA;
7;17;5.8;12.63;19.31;NA;10;13.17;NA;NA;ND;NA;NA;NA;
7;18;15.99;13.88;21.11;NA;5.3;17.84;NA;NA;ND;NA;NA;NA;
