DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;10.59;7.59;2.57;NA;21;ND;NA;NA;37.2;NA;NA;NA;
1;1;11.79;12.34;3.09;NA;14.14;9.89;NA;NA;22.2;NA;NA;NA;
1;2;9.18;5.59;3.69;NA;6.13;6.79;NA;NA;12.86;NA;NA;NA;
1;3;7.73;11.52;4.88;NA;8.31;7.52;NA;NA;9.48;NA;NA;NA;
1;4;10.85;13.51;5.85;NA;5.4;4.2;NA;NA;5.41;NA;NA;NA;
1;5;13.62;17.81;3.82;NA;13.39;6.74;NA;NA;10.32;NA;NA;NA;
1;6;22.42;23.4;3.73;NA;15.86;8.31;NA;NA;14.37;NA;NA;NA;
1;7;13.51;3.55;4.17;NA;26.95;5.32;NA;NA;28.93;NA;NA;NA;
1;8;10.95;7.57;7.26;NA;13.58;7.71;NA;NA;21.61;NA;NA;NA;
1;9;14.21;4.34;8.72;NA;11.88;8.55;NA;NA;12.62;NA;NA;NA;
1;10;5.13;4.31;3.26;NA;5.38;8.26;NA;NA;3.96;NA;NA;NA;
1;11;12.51;3.63;6.94;NA;6.99;8.27;NA;NA;15.8;NA;NA;NA;
1;12;3.52;4.66;6.34;NA;9.58;6.95;NA;NA;9.49;NA;NA;NA;
1;13;10.75;5.38;3.63;NA;8.85;5.48;NA;NA;4.23;NA;NA;NA;
1;14;11.45;13.01;9.05;NA;6.23;7.73;NA;NA;7.27;NA;NA;NA;
1;15;12.5;14.06;15.36;NA;8.12;12.02;NA;NA;7.29;NA;NA;NA;
1;16;41.35;13.63;6.99;NA;12.63;6.75;NA;NA;15.87;NA;NA;NA;
1;17;24.37;4.72;8.59;NA;8.49;10.41;NA;NA;8.23;NA;NA;NA;
1;18;63.8;20.76;13.73;NA;14.76;9.94;NA;NA;9.31;NA;NA;NA;
1;19;38.62;16.65;10.96;NA;20.45;9.6;NA;NA;8.92;NA;NA;NA;
1;20;33.5;12.67;10.68;NA;10.44;6.62;NA;NA;6.31;NA;NA;NA;
1;21;29.95;12.29;8.78;NA;11.72;5.54;NA;NA;36.11;NA;NA;NA;
1;22;17.89;10.9;7.96;NA;11.97;13.51;NA;NA;10.19;NA;NA;NA;
1;23;17.69;8.22;5.96;NA;19.18;2.51;NA;NA;4.25;NA;NA;NA;
2;0;18.27;7.67;18.42;NA;10.06;1.43;NA;NA;22.13;NA;NA;NA;
2;1;16.1;17.31;7.14;NA;12.26;9.46;NA;NA;17.34;NA;NA;NA;
2;2;9.46;13.05;4.68;NA;5.39;6.82;NA;NA;23.17;NA;NA;NA;
2;3;8.08;10.66;3.46;NA;4.86;2.57;NA;NA;6;NA;NA;NA;
2;4;14.19;15.26;5.86;NA;1.27;2.83;NA;NA;13.34;NA;NA;NA;
2;5;12.28;11.92;2.07;NA;9.13;6.99;NA;NA;12.45;NA;NA;NA;
2;6;14.61;13.14;7.15;NA;8.5;7.1;NA;NA;13.87;NA;NA;NA;
2;7;8.36;5.76;3.4;NA;3.7;5.91;NA;NA;9.53;NA;NA;NA;
2;8;11.07;3.58;1.99;NA;7.86;4.42;NA;NA;4.23;NA;NA;NA;
2;9;10.51;0.99;7.21;NA;17.56;11.4;NA;NA;9;NA;NA;NA;
2;10;8.69;5.78;3.39;NA;9.56;10.11;NA;NA;9.02;NA;NA;NA;
2;11;6.93;1.53;9.14;NA;2.66;5.86;NA;NA;2.37;NA;NA;NA;
2;12;11.41;5.69;3.37;NA;13.58;9.44;NA;NA;12.47;NA;NA;NA;
2;13;9.3;5.3;6.9;NA;5.82;12.79;NA;NA;0.81;NA;NA;NA;
2;14;3.29;6.14;5.18;NA;3.73;3.1;NA;NA;0.35;NA;NA;NA;
2;15;6.19;3.24;7.89;NA;3.71;5.19;NA;NA;0.57;NA;NA;NA;
2;16;4.58;8.81;6.48;NA;20.81;10.05;NA;NA;9.41;NA;NA;NA;
2;17;13.44;13;13.65;NA;8.77;10.34;NA;NA;16.08;NA;NA;NA;
2;18;16.02;20.49;7.48;NA;8.57;6.08;NA;NA;8.48;NA;NA;NA;
2;19;16.08;16.89;10.92;NA;8.86;8.1;NA;NA;6.59;NA;NA;NA;
2;20;10.78;10.26;5.15;NA;14.5;2.1;NA;NA;0.85;NA;NA;NA;
2;21;9.23;8.13;10.29;NA;9.22;13.22;NA;NA;12.92;NA;NA;NA;
2;22;9.13;6.99;6.11;NA;3.16;2.93;NA;NA;9.97;NA;NA;NA;
2;23;7.73;10.37;6.07;NA;8.66;8.58;NA;NA;11.2;NA;NA;NA;
3;0;12.27;54.33;6.03;NA;9.77;9.37;NA;NA;8.47;NA;NA;NA;
3;1;12.34;8.98;5.02;NA;8.01;11.16;NA;NA;14.48;NA;NA;NA;
3;2;2.24;6.53;2.58;NA;2.54;4.13;NA;NA;5.85;NA;NA;NA;
3;3;4.66;6.97;4.48;NA;4.95;6.37;NA;NA;13.13;NA;NA;NA;
3;4;6.13;12.43;6.67;NA;1.78;5.49;NA;NA;1.91;NA;NA;NA;
3;5;5.15;10.17;2.67;NA;6.48;2.79;NA;NA;15.72;NA;NA;NA;
3;6;5.9;14.01;3.63;NA;11.66;1.69;NA;NA;14.69;NA;NA;NA;
3;7;6.53;7.52;1.18;NA;9;4.73;NA;NA;14.83;NA;NA;NA;
3;8;4.43;3.78;6.64;NA;8.92;7.53;NA;NA;15.74;NA;NA;NA;
3;9;7.87;4.54;8.81;NA;4.86;16.12;NA;NA;5.05;NA;NA;NA;
3;10;6.6;2.09;8.33;NA;8.98;19.78;NA;NA;7.19;NA;NA;NA;
3;11;5.94;3.66;1.54;NA;12.44;34.12;NA;NA;2.48;NA;NA;NA;
3;12;4.4;5.13;3.06;NA;11.74;22.5;NA;NA;9.76;NA;NA;NA;
3;13;5.29;12.18;10.12;NA;8.29;13.35;NA;NA;4.9;NA;NA;NA;
3;14;5.48;5.14;5.64;NA;12.11;6.96;NA;NA;2.71;NA;NA;NA;
3;15;10.7;9.89;5.82;NA;24.09;10.02;NA;NA;9.83;NA;NA;NA;
3;16;3.53;4.62;10.91;NA;16.41;17.02;NA;NA;5.57;NA;NA;NA;
3;17;4.55;6.1;2.05;NA;11.23;8.94;NA;NA;3.25;NA;NA;NA;
3;18;8.57;24.27;9.12;NA;12.94;9.02;NA;NA;16.06;NA;NA;NA;
3;19;15.88;18.23;7.52;NA;1.27;5.57;NA;NA;10.79;NA;NA;NA;
3;20;16.27;15.88;6.44;NA;9.63;7;NA;NA;9.01;NA;NA;NA;
3;21;20.46;15.97;7.95;NA;10.45;7.39;NA;NA;26.76;NA;NA;NA;
3;22;11.57;15.79;5.11;NA;12.83;11.92;NA;NA;36.15;NA;NA;NA;
3;23;15.75;15.26;6.37;NA;17.39;11.62;NA;NA;11.09;NA;NA;NA;
4;0;18.55;14.03;10.71;NA;12.81;4.61;NA;NA;15.36;NA;NA;NA;
4;1;17.09;13.51;10.39;NA;18.89;14.02;NA;NA;12.42;NA;NA;NA;
4;2;15.67;7.95;3.88;NA;24.44;6.34;NA;NA;23.06;NA;NA;NA;
4;3;7.72;14.11;5.62;NA;20;8.67;NA;NA;25.36;NA;NA;NA;
4;4;17.01;10.46;9.79;NA;10.02;10.5;NA;NA;26.38;NA;NA;NA;
4;5;13.08;19.82;4.73;NA;16.52;4.44;NA;NA;26.36;NA;NA;NA;
4;6;25.57;23.77;10.14;NA;31.75;14.01;NA;NA;21.26;NA;NA;NA;
4;7;27.54;27.44;22;NA;29.37;19.35;NA;NA;26.2;NA;NA;NA;
4;8;38.15;10.77;21.22;NA;21.49;9.51;NA;NA;22.72;NA;NA;NA;
4;9;21.4;5.41;10.46;NA;16.95;5.62;NA;NA;11.7;NA;NA;NA;
4;10;16.97;3.81;2.82;NA;11.39;6.03;NA;NA;12.87;NA;NA;NA;
4;11;19.05;5.13;11.46;NA;12.6;10.08;NA;NA;14.69;NA;NA;NA;
4;12;18.9;6.36;2.53;NA;6.01;5.55;NA;NA;7.23;NA;NA;NA;
4;13;9.2;7.68;4.61;NA;4.52;6.78;NA;NA;5.95;NA;NA;NA;
4;14;17.41;4.3;8.55;NA;14.15;6.93;NA;NA;3.11;NA;NA;NA;
4;15;15.96;6.9;12.34;NA;4.61;10.7;NA;NA;10.42;NA;NA;NA;
4;16;22.55;10.99;10.13;NA;13.36;6.5;NA;NA;2.95;NA;NA;NA;
4;17;16.4;17.57;10.32;NA;12.94;7.26;NA;NA;8.34;NA;NA;NA;
4;18;24.39;24.5;7.82;NA;15.34;8.44;NA;NA;5.21;NA;NA;NA;
4;19;17.47;24.26;17.88;NA;22.84;8.63;NA;NA;8.58;NA;NA;NA;
4;20;23.54;22.2;10.85;NA;10.46;5.52;NA;NA;2.66;NA;NA;NA;
4;21;23.05;15.22;15.15;NA;17.16;10.22;NA;NA;15.76;NA;NA;NA;
4;22;18.61;6.56;14.35;NA;12.98;13.16;NA;NA;23.2;NA;NA;NA;
4;23;17.01;4.92;9.84;NA;22.45;12.39;NA;NA;22.21;NA;NA;NA;
5;0;23.27;5.67;19.24;NA;12.82;5.33;NA;NA;9.86;NA;NA;NA;
5;1;19.58;7.8;8.51;NA;14.74;13.72;NA;NA;17.4;NA;NA;NA;
5;2;9.33;4.99;11.19;NA;14.83;15.01;NA;NA;20.66;NA;NA;NA;
5;3;9.33;8.12;11;NA;12.05;14.68;NA;NA;11.85;NA;NA;NA;
5;4;17.2;8.6;14.85;NA;4.58;9.59;NA;NA;10.05;NA;NA;NA;
5;5;19.77;10.48;13.28;NA;18.11;14.04;NA;NA;20.06;NA;NA;NA;
5;6;26;36.14;7.09;NA;44.9;26.72;NA;NA;19.35;NA;NA;NA;
5;7;16.99;28.61;2.8;NA;66.21;33.87;NA;NA;10.22;NA;NA;NA;
5;8;12.38;2.21;15.17;NA;51.71;27.12;NA;NA;28.02;NA;NA;NA;
5;9;21.44;4.86;15.12;NA;16.53;16.26;NA;NA;20.68;NA;NA;NA;
5;10;14.28;1.34;5.39;NA;16.58;20.64;NA;NA;19.75;NA;NA;NA;
5;11;9.93;9.33;8.88;NA;13.9;9.74;NA;NA;7.39;NA;NA;NA;
5;12;8.68;9.95;3.16;NA;7.95;14.75;NA;NA;6.62;NA;NA;NA;
5;13;10.7;6.2;17.24;NA;7.94;10.8;NA;NA;1.35;NA;NA;NA;
5;14;11.08;6.82;11.5;NA;5.1;5.86;NA;NA;1.39;NA;NA;NA;
5;15;12.87;20.56;11.74;NA;ND;15.9;NA;NA;6.31;NA;NA;NA;
5;16;13.68;13.73;8.28;NA;35.01;10.7;NA;NA;16.91;NA;NA;NA;
5;17;8.75;10.5;10.36;NA;14.37;7.94;NA;NA;10.96;NA;NA;NA;
5;18;11.32;18.68;12.29;NA;20.01;10.75;NA;NA;13.53;NA;NA;NA;
5;19;19.61;19.89;12.38;NA;28.56;13.92;NA;NA;20.13;NA;NA;NA;
5;20;16.82;16.09;19.07;NA;29.36;17.62;NA;NA;15.07;NA;NA;NA;
5;21;15.58;20.07;14.93;NA;28.01;16.16;NA;NA;16.61;NA;NA;NA;
5;22;ND;10.62;16.4;NA;23.46;23.84;NA;NA;19.92;NA;NA;NA;
5;23;17.42;9.38;6.82;NA;25.08;17.62;NA;NA;14.74;NA;NA;NA;
6;0;26.53;13.74;20.63;NA;26.81;20.95;NA;NA;17.93;NA;NA;NA;
6;1;21.22;7.82;16.94;NA;21.68;20.08;NA;NA;19.41;NA;NA;NA;
6;2;19.68;13.42;12.24;NA;18.39;10.2;NA;NA;20.95;NA;NA;NA;
6;3;15.27;10.46;14.69;NA;23.11;19.14;NA;NA;17.84;NA;NA;NA;
6;4;21.27;7.39;19.99;NA;16.6;19.39;NA;NA;16.52;NA;NA;NA;
6;5;26.52;8.4;14.74;NA;32.83;15.63;NA;NA;22.5;NA;NA;NA;
6;6;28.55;12.14;20.01;NA;52.43;20.82;NA;NA;24.6;NA;NA;NA;
6;7;32.86;19;21.22;NA;50.02;37.51;NA;NA;33.45;NA;NA;NA;
6;8;31.63;19.81;40.12;NA;59.97;40.15;NA;NA;29.69;NA;NA;NA;
6;9;43.51;20.64;34;NA;34.43;15.76;NA;NA;37.12;NA;NA;NA;
6;10;55.29;22.64;29.19;NA;30.85;15.6;NA;NA;26.07;NA;NA;NA;
6;11;12.29;3.38;13.03;NA;14.54;21.82;NA;NA;13.69;NA;NA;NA;
6;12;15.01;18.51;13.48;NA;24.51;9.73;NA;NA;17.07;NA;NA;NA;
6;13;19.11;24.07;10.03;NA;42.58;14.64;NA;NA;11.35;NA;NA;NA;
6;14;5.68;11.18;12.04;NA;38.52;9.5;NA;NA;1.32;NA;NA;NA;
6;15;9.93;14.08;11.55;NA;38.37;6.47;NA;NA;7.99;NA;NA;NA;
6;16;15.34;7.25;15.14;NA;22.33;6.06;NA;NA;3.34;NA;NA;NA;
6;17;3.72;28.15;14;NA;16.87;16.79;NA;NA;19.04;NA;NA;NA;
6;18;11.23;15.28;16.02;NA;ND;17.24;NA;NA;17.68;NA;NA;NA;
6;19;19.52;16.86;12.23;NA;61.52;20.31;NA;NA;27.92;NA;NA;NA;
