DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;16.53;6.26;3.97;NA;27.09;4.66;2.35;24.78;13.09;NA;NA;NA;
1;1;8.89;7.19;12.61;NA;33.36;10.59;ND;ND;27.08;NA;NA;NA;
1;2;9.07;ND;ND;NA;ND;ND;13.92;19.45;ND;NA;NA;NA;
1;3;11.4;13.98;12.48;NA;23.32;14.22;13;21.25;20.78;NA;NA;NA;
1;4;10.41;14.58;16.55;NA;24.28;13.6;7.89;29.14;19.57;NA;NA;NA;
1;5;8.33;11.1;17.65;NA;3.26;16.93;7.24;16.8;25.52;NA;NA;NA;
1;6;2.67;8.71;13.96;NA;3.99;9.96;2.1;9.02;25.26;NA;NA;NA;
1;7;2.36;5.67;12.59;NA;10.62;6.2;7.31;13.54;9.68;NA;NA;NA;
1;8;4.91;8.71;14.26;NA;14.1;13.6;17.79;19.22;14.12;NA;NA;NA;
1;9;17.58;16.56;23.12;NA;26.63;26.84;39.34;31.4;10.09;NA;NA;NA;
1;10;31.41;23.22;40.14;NA;41.12;38.37;39.91;45.94;18.62;NA;NA;NA;
1;11;34.57;26.79;52.14;NA;56.83;50.63;52.47;62.46;36.62;NA;NA;NA;
1;12;28.25;26.1;39.52;NA;34.19;40.91;20.92;65.09;50.16;NA;NA;NA;
1;13;26.35;19.46;37.47;NA;32.25;40.75;34.22;55.72;49.52;NA;NA;NA;
1;14;27.5;21.25;30.02;NA;28.22;24.57;34.86;37.64;30.17;NA;NA;NA;
1;15;17.98;19.83;12.64;NA;33.21;21.44;27.85;20.55;22.06;NA;NA;NA;
1;16;12.71;15.72;15.5;NA;26.26;24.04;28.2;19.55;31.2;NA;NA;NA;
1;17;16.83;15.09;8.82;NA;22.96;15.43;26.91;2.53;33.58;NA;NA;NA;
1;18;10.32;8.61;6.33;NA;15.3;1.4;19.82;20.06;11.07;NA;NA;NA;
1;19;10.45;8.21;9.34;NA;7.89;0.9;7.11;9.05;0.45;NA;NA;NA;
1;20;9.77;10.09;15.51;NA;7.73;11.88;8.09;13.22;16.75;NA;NA;NA;
1;21;13.16;11.41;16.03;NA;20.97;14.25;13.9;15.85;7.79;NA;NA;NA;
1;22;16.7;9.06;10.49;NA;30.04;15.9;14.36;10.37;7.74;NA;NA;NA;
1;23;15.08;ND;16.48;NA;32.58;6.49;20.96;20.47;18.98;NA;NA;NA;
2;0;12.67;ND;9.99;NA;26.46;12.66;24.33;13.08;5.13;NA;NA;NA;
2;1;16.96;ND;15.46;NA;3.87;9.31;27.36;2.56;18.83;NA;NA;NA;
2;2;ND;ND;4.65;NA;2.48;12.55;26.37;7.27;20.2;NA;NA;NA;
2;3;11.48;ND;17.37;NA;8.38;17.61;22.94;0.14;13.96;NA;NA;NA;
2;4;8.25;ND;16.72;NA;8.25;11.11;5.42;0.06;9.66;NA;NA;NA;
2;5;2.4;ND;5.03;NA;0.45;4.45;3.89;0;0.23;NA;NA;NA;
2;6;0.75;ND;2.58;NA;0;2.54;1;0;0.24;NA;NA;NA;
2;7;3.76;ND;5.1;NA;1.97;3.79;13.82;1.65;3.22;NA;NA;NA;
2;8;9.22;ND;13.05;NA;11.97;11.38;15.71;4.91;9.73;NA;NA;NA;
2;9;20.9;ND;11.79;NA;16.24;17.04;35.84;6.3;18.34;NA;NA;NA;
2;10;33.6;ND;20.88;NA;16.73;29.03;46.06;21.47;28.52;NA;NA;NA;
2;11;43.66;ND;23.36;NA;22.05;31.06;52.89;34.54;51.35;NA;NA;NA;
2;12;43.43;ND;30.66;NA;38.77;38.73;47.65;47.92;61.73;NA;NA;NA;
2;13;24.7;ND;37.78;NA;28.42;41.06;34.04;57.55;39.77;NA;NA;NA;
2;14;21.1;ND;18.56;NA;26.76;24.65;28.23;34.52;33.65;NA;NA;NA;
2;15;20.88;ND;24.07;NA;25.92;22.61;30.33;28.23;16.15;NA;NA;NA;
2;16;19.45;ND;21.62;NA;27.03;25.09;30.16;29.6;22.3;NA;NA;NA;
2;17;16.24;ND;19.69;NA;28.1;19.84;25.59;27.66;22.47;NA;NA;NA;
2;18;12.24;ND;11.93;NA;22.11;14.38;16.98;24.9;27.89;NA;NA;NA;
2;19;11.55;ND;12.82;NA;21.66;7.9;11.92;26.68;26.59;NA;NA;NA;
2;20;4.14;ND;9.36;NA;20.63;7.85;15.67;26.36;23.63;NA;NA;NA;
2;21;10.15;ND;13.45;NA;16.75;11.29;15.31;26.69;25.6;NA;NA;NA;
2;22;16.34;ND;21.07;NA;26.89;17.94;12.37;28.6;26.1;NA;NA;NA;
2;23;11.71;ND;19.15;NA;33.75;14.63;13.48;28.24;21.47;NA;NA;NA;
3;0;18.57;ND;23.03;NA;37.22;21.86;15.33;27.82;5.75;NA;NA;NA;
3;1;21.41;ND;25.73;NA;36.94;27.2;ND;ND;19.68;NA;NA;NA;
3;2;21.18;ND;ND;NA;ND;ND;20.47;31.87;ND;NA;NA;NA;
3;3;21.29;ND;32.15;NA;31.83;31.31;23.53;31.65;33.47;NA;NA;NA;
3;4;17.68;ND;28.44;NA;30.17;29.05;18.87;28.51;12.16;NA;NA;NA;
3;5;11.49;ND;27.05;NA;16.9;29.87;19.39;23.31;27.18;NA;NA;NA;
3;6;13.15;ND;25.83;NA;13.34;18.62;9.47;28.66;31.41;NA;NA;NA;
3;7;11.02;ND;16.77;NA;21.77;14.87;14.02;26.36;23.76;NA;NA;NA;
3;8;12.09;ND;22.46;NA;21.57;20.98;20.03;29.24;10.08;NA;NA;NA;
3;9;17.67;ND;28.42;NA;25.73;28.54;29.5;33.52;7.65;NA;NA;NA;
3;10;22.85;ND;33.77;NA;33.6;35.99;30.47;36.52;6.05;NA;NA;NA;
3;11;26.11;ND;37.18;NA;36.99;41.81;48.32;45.15;14.22;NA;NA;NA;
3;12;25.34;ND;50.3;NA;40.49;57.48;25.82;57.29;23.54;NA;NA;NA;
3;13;31.28;ND;47.79;NA;46.23;60.68;23.09;71.69;28.83;NA;NA;NA;
3;14;27.84;ND;53.47;NA;31.98;63.69;39.15;55.33;37.29;NA;NA;NA;
3;15;19.32;ND;47.29;NA;36.96;61.02;40.81;52.79;56.19;NA;NA;NA;
3;16;15.74;ND;30.62;NA;31.73;54.31;30.93;31.5;19.54;NA;NA;NA;
3;17;16.53;ND;13.96;NA;24.59;27.33;24.25;26.51;21.9;NA;NA;NA;
3;18;9.89;ND;12.55;NA;11.97;16.63;16;19.77;23.02;NA;NA;NA;
3;19;4.58;ND;11.48;NA;15.24;13.99;16.98;23.1;21.1;NA;NA;NA;
3;20;3.85;ND;13.77;NA;9.43;14.31;16.11;26.34;15.71;NA;NA;NA;
3;21;6.28;ND;12.44;NA;0.71;16.15;15.02;25.69;24.94;NA;NA;NA;
3;22;14.87;ND;9.82;NA;2.85;18.67;11.15;28.72;10.69;NA;NA;NA;
3;23;15.65;ND;14.43;NA;5.53;14.44;13.66;26.16;22.73;NA;NA;NA;
4;0;16.71;ND;19.07;NA;16.78;20.55;9.15;26.33;27.14;NA;NA;NA;
4;1;12.75;ND;23.17;NA;12.14;23.53;6.84;23.92;27.15;NA;NA;NA;
4;2;ND;ND;24.53;NA;19.03;22.72;4.9;21.13;25.9;NA;NA;NA;
4;3;4.03;ND;15.46;NA;9.27;14.36;10.66;17.63;23.52;NA;NA;NA;
4;4;2.15;ND;6.11;NA;9.4;7.74;10.95;16.05;15.44;NA;NA;NA;
4;5;0.85;ND;2.41;NA;0.9;2.57;14.78;10.76;18.55;NA;NA;NA;
4;6;0.71;ND;1.28;NA;2.1;ND;8.62;1.33;8.45;NA;NA;NA;
4;7;7.19;ND;6.5;NA;3.52;7.29;22.16;13.08;15.69;NA;NA;NA;
4;8;16.76;ND;19.69;NA;19.6;20.84;30.48;25.29;16.15;NA;NA;NA;
4;9;25.25;ND;23.46;NA;37.33;33.83;37.66;21.49;31.79;NA;NA;NA;
4;10;32.98;ND;35.39;NA;42.93;32.99;49.77;33.82;30.82;NA;NA;NA;
4;11;30.86;ND;50.61;NA;56.47;52.88;54.63;48.27;35.32;NA;NA;NA;
4;12;27.96;ND;48.54;NA;42.04;56.38;33.71;64.68;55.23;NA;NA;NA;
4;13;26.62;ND;26.26;NA;20.11;31.61;29.95;48.02;32.72;NA;NA;NA;
4;14;23.53;ND;26.87;NA;29.97;23.41;25.11;29.12;20.04;NA;NA;NA;
4;15;21.72;ND;42.1;NA;29.67;29.37;27;25.48;29.45;NA;NA;NA;
4;16;21;ND;17.28;NA;23.16;11.41;20.05;27.05;37.6;NA;NA;NA;
4;17;14.29;ND;12.87;NA;19.32;16.95;19.55;23.16;31.84;NA;NA;NA;
4;18;7.04;ND;5.29;NA;10.11;15.43;5.25;18.6;14.73;NA;NA;NA;
4;19;4.56;ND;4.85;NA;8.85;6.33;1.41;22.03;17.82;NA;NA;NA;
4;20;9.21;ND;4.62;NA;3.45;4.51;0.29;22.61;20.69;NA;NA;NA;
4;21;9.27;ND;6;NA;3.16;11.53;0.48;25.46;15.46;NA;NA;NA;
4;22;5.84;ND;4.31;NA;14.81;14.99;1.73;26.52;16.52;NA;NA;NA;
4;23;7.58;ND;5.87;NA;9.22;7.79;0.21;26.96;22.09;NA;NA;NA;
5;0;8.27;ND;14.48;NA;13.04;15.79;1.65;27.24;18.56;NA;NA;NA;
5;1;5.52;ND;14.56;NA;16.4;17.88;ND;ND;19.06;NA;NA;NA;
5;2;9.6;ND;ND;NA;ND;ND;12.74;22.39;ND;NA;NA;NA;
5;3;11.73;ND;18.75;NA;14.26;18.78;8.93;22.78;22.28;NA;NA;NA;
5;4;6.56;ND;15.4;NA;11.9;17.14;3.32;20.78;15.75;NA;NA;NA;
5;5;4.28;ND;11.22;NA;10.08;16.2;2.1;23.65;23.71;NA;NA;NA;
5;6;1.06;ND;1.82;NA;2.99;2.41;1.5;11.48;10.03;NA;NA;NA;
5;7;2.84;ND;1.47;NA;5.24;3.87;1.83;11.8;5.95;NA;NA;NA;
5;8;4.71;ND;2.71;NA;7.75;6.01;13.66;21.14;9.34;NA;NA;NA;
5;9;12.91;ND;6.39;NA;17.01;15.29;26.07;26.77;6.52;NA;NA;NA;
