DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;40.57;11.36;15.72;NA;29.4;28.78;NA;NA;22.08;NA;NA;NA;
1;1;29.45;12.5;20.47;NA;43.9;27.37;NA;NA;16.36;NA;NA;NA;
1;2;18.92;14.46;20.7;NA;19.51;19.72;NA;NA;16.06;NA;NA;NA;
1;3;31.13;19.56;10.78;NA;22.13;16.9;NA;NA;29.43;NA;NA;NA;
1;4;31.66;16.4;10.27;NA;29.08;16.8;NA;NA;17.35;NA;NA;NA;
1;5;9.43;26.97;7.09;NA;31.62;12.89;NA;NA;12.35;NA;NA;NA;
1;6;11.83;20.28;11.38;NA;41.31;34.96;NA;NA;8.64;NA;NA;NA;
1;7;26.11;23.2;32.66;NA;63.88;19.31;NA;NA;7.45;NA;NA;NA;
1;8;44.28;18.17;31.69;NA;43.93;19.28;NA;NA;12.87;NA;NA;NA;
1;9;38.05;6.76;20.18;NA;17.73;12.29;NA;NA;17.68;NA;NA;NA;
1;10;45.39;19.64;27.85;NA;27.17;25.13;NA;NA;22.71;NA;NA;NA;
1;11;18.51;0.06;19.49;NA;15.17;12.91;NA;NA;25.99;NA;NA;NA;
1;12;16.42;8.4;15.37;NA;19.89;9.7;NA;NA;11.36;NA;NA;NA;
1;13;ND;14.89;25.54;NA;ND;21.81;NA;NA;12.78;NA;NA;NA;
1;14;25.56;9.66;18.52;NA;13.85;21.88;NA;NA;19.61;NA;NA;NA;
1;15;18.83;3.18;8.98;NA;20.03;18.85;NA;NA;5.54;NA;NA;NA;
1;16;21.84;17.04;23.16;NA;23.11;27.57;NA;NA;18.49;NA;NA;NA;
1;17;16.6;24.76;10.85;NA;10.35;16.39;NA;NA;20.6;NA;NA;NA;
1;18;11.47;12.55;25.73;NA;21.99;19.17;NA;NA;21.73;NA;NA;NA;
1;19;9.2;10.99;10.79;NA;11.26;24.36;NA;NA;10.81;NA;NA;NA;
1;20;18.23;12.67;13.25;NA;25.51;20.69;NA;NA;8.22;NA;NA;NA;
1;21;13.12;11.71;16.39;NA;22.48;19.07;NA;NA;2.63;NA;NA;NA;
1;22;10.06;7.32;14.07;NA;20.4;17.88;NA;NA;8.23;NA;NA;NA;
1;23;14.96;5.85;15.45;NA;9.44;14.94;NA;NA;ND;NA;NA;NA;
2;0;23.1;4.73;23.81;NA;21.23;17.46;NA;NA;16.05;NA;NA;NA;
2;1;14.91;5.34;14.23;NA;21.66;18;NA;NA;12.81;NA;NA;NA;
2;2;8.91;5.61;12.88;NA;19.47;11.42;NA;NA;12.26;NA;NA;NA;
2;3;8.75;4.47;8.43;NA;7.78;8.3;NA;NA;6.13;NA;NA;NA;
2;4;8.04;1.36;7.49;NA;7.5;9.7;NA;NA;3.47;NA;NA;NA;
2;5;13.91;8.85;8.46;NA;10.65;8.15;NA;NA;15.89;NA;NA;NA;
2;6;17.36;22.13;18.59;NA;29.35;14.36;NA;NA;6.4;NA;NA;NA;
2;7;22.79;8.04;26.21;NA;31.8;24.81;NA;NA;5.75;NA;NA;NA;
2;8;22.95;0.53;21.89;NA;50.71;17.73;NA;NA;14.82;NA;NA;NA;
2;9;23.25;14.13;21.26;NA;35.45;13.41;NA;NA;17.4;NA;NA;NA;
2;10;23.11;8.13;32.03;NA;28.81;30.53;NA;NA;12.1;NA;NA;NA;
2;11;18.45;9.56;23.57;NA;32.04;25.19;NA;NA;27.38;NA;NA;NA;
2;12;5.02;6.16;15.33;NA;12.58;18.66;NA;NA;15.81;NA;NA;NA;
2;13;9.76;15.64;23.67;NA;20.75;16.95;NA;NA;10.96;NA;NA;NA;
2;14;12.49;11.46;16.04;NA;20.01;11.76;NA;NA;14.75;NA;NA;NA;
2;15;14.62;5.81;31.3;NA;28.36;29.79;NA;NA;20.54;NA;NA;NA;
2;16;20.39;33;25.81;NA;25.32;23.15;NA;NA;16.38;NA;NA;NA;
2;17;13.3;40.45;27.61;NA;22.59;20.93;NA;NA;25.66;NA;NA;NA;
2;18;18.61;25.44;20.73;NA;31.91;27.17;NA;NA;25.35;NA;NA;NA;
2;19;18.86;20.09;21.39;NA;28.91;31.64;NA;NA;20.68;NA;NA;NA;
2;20;16.9;14.11;22.48;NA;44.97;27.17;NA;NA;26.13;NA;NA;NA;
2;21;13.55;11.49;27.87;NA;44.19;25.85;NA;NA;22.07;NA;NA;NA;
2;22;21.43;22.1;15.81;NA;30.53;28.06;NA;NA;20.06;NA;NA;NA;
2;23;17.21;25.97;15.06;NA;22.1;25.95;NA;NA;ND;NA;NA;NA;
3;0;27.09;17.85;10.52;NA;34.26;25.7;NA;NA;25.19;NA;NA;NA;
3;1;24.38;11.29;24.96;NA;31.1;25.03;NA;NA;13.05;NA;NA;NA;
3;2;23.19;15.52;19.81;NA;33.96;29.07;NA;NA;19;NA;NA;NA;
3;3;18.68;18.53;20.1;NA;27.4;29.42;NA;NA;5;NA;NA;NA;
3;4;22.85;16.78;13.62;NA;30.91;28.39;NA;NA;19.63;NA;NA;NA;
3;5;18.99;11.18;18.07;NA;31.71;43.48;NA;NA;19.81;NA;NA;NA;
3;6;22.9;14.04;17.12;NA;28.09;22.57;NA;NA;26.59;NA;NA;NA;
3;7;8.65;0.55;6.62;NA;18.83;12.07;NA;NA;26.39;NA;NA;NA;
3;8;13.5;4.61;16.45;NA;22.97;24.86;NA;NA;24.95;NA;NA;NA;
3;9;4.77;0;4.35;NA;13.25;2.94;NA;NA;9.41;NA;NA;NA;
3;10;6.76;0;7.09;NA;15.7;0.49;NA;NA;0.62;NA;NA;NA;
3;11;11.39;0.08;4.53;NA;27.92;9.56;NA;NA;6.36;NA;NA;NA;
3;12;14.83;11.93;13.93;NA;7.85;6.69;NA;NA;13.21;NA;NA;NA;
3;13;10.2;0.9;6.4;NA;4.49;4.9;NA;NA;12.28;NA;NA;NA;
3;14;11.28;5.36;15.89;NA;15.58;8.21;NA;NA;3.74;NA;NA;NA;
3;15;13.21;13.71;6.58;NA;7.01;8.43;NA;NA;7.93;NA;NA;NA;
3;16;7.22;10.66;10.47;NA;12.28;9.86;NA;NA;4.36;NA;NA;NA;
3;17;15.11;16.95;12.42;NA;15.1;14.55;NA;NA;15.49;NA;NA;NA;
3;18;13.93;12.28;15.3;NA;20.68;23.79;NA;NA;13.36;NA;NA;NA;
3;19;21.99;17.17;20.78;NA;31.31;17.08;NA;NA;10.37;NA;NA;NA;
3;20;33.08;10.28;20.52;NA;26.54;28.41;NA;NA;5.56;NA;NA;NA;
3;21;20.47;16.89;16.05;NA;18.93;24.48;NA;NA;6.86;NA;NA;NA;
3;22;14.36;10.61;19.07;NA;15.34;18.16;NA;NA;18.98;NA;NA;NA;
3;23;21.64;15.67;11.99;NA;4.83;22.09;NA;NA;ND;NA;NA;NA;
4;0;22.18;16.33;13.03;NA;30.49;24.06;NA;NA;4.89;NA;NA;NA;
4;1;22.2;8.46;21;NA;29.9;29.41;NA;NA;15.66;NA;NA;NA;
4;2;19.06;7.2;13.15;NA;14.33;18.29;NA;NA;11.98;NA;NA;NA;
4;3;20.13;10;13.5;NA;14.71;7.04;NA;NA;11.46;NA;NA;NA;
4;4;11.92;9.9;10.18;NA;11.12;16.88;NA;NA;15.32;NA;NA;NA;
4;5;15.65;7.86;15.4;NA;15.62;14.68;NA;NA;5.13;NA;NA;NA;
4;6;21.08;13.09;9.43;NA;11.04;17.97;NA;NA;16.24;NA;NA;NA;
4;7;13.65;9.44;16.22;NA;21.09;17.52;NA;NA;6.93;NA;NA;NA;
4;8;6.27;0.04;8.13;NA;29.61;12.88;NA;NA;2.11;NA;NA;NA;
4;9;26.46;11.11;16.18;NA;19.78;13.97;NA;NA;15.95;NA;NA;NA;
