DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.21;4.65;4.19;NA;ND;7.67;6.82;ND;1.92;NA;NA;NA;
1;1;ND;4.9;21.15;NA;ND;ND;ND;1.57;1.14;NA;NA;NA;
1;2;1.73;2.32;8.9;NA;ND;7.38;2.25;2.25;2.22;NA;NA;NA;
1;3;1.91;3.54;8.26;NA;ND;7.86;2.28;2.57;3;NA;NA;NA;
1;4;2.54;3.41;9.47;NA;ND;8.12;2.88;3.42;1.19;NA;NA;NA;
1;5;2.45;4.68;9.78;NA;ND;7.44;4.63;4.22;2.14;NA;NA;NA;
1;6;3.88;11.04;10.1;NA;ND;7.71;4.92;3.7;3.08;NA;NA;NA;
1;7;8.68;23.11;10.83;NA;ND;13.14;4.95;10.67;15.65;NA;NA;NA;
1;8;6.8;13.12;7.44;NA;ND;8.12;2.6;12.98;7.97;NA;NA;NA;
1;9;6.74;7.44;6.71;NA;ND;3.98;1.52;7.65;73.99;NA;NA;NA;
1;10;3.95;7.56;9.73;NA;ND;5.14;2.65;5.42;11.06;NA;NA;NA;
1;11;2.88;4.82;ND;NA;ND;4.78;5.99;5.37;15.51;NA;NA;NA;
1;12;1.4;3.58;ND;NA;ND;4.18;2.47;4.12;19.83;NA;NA;NA;
1;13;0.9;2.44;3.28;NA;ND;3.09;1.73;3.81;3.25;NA;NA;NA;
1;14;0.26;1.4;2.45;NA;ND;2.45;0.95;2.55;0.47;NA;NA;NA;
1;15;0.22;1.04;2.68;NA;ND;2.7;0.6;2.06;0.11;NA;NA;NA;
1;16;0.39;0.56;2.18;NA;ND;2.03;0.98;1.71;1.16;NA;NA;NA;
1;17;0.51;1.32;2.51;NA;ND;2.33;1.28;1.95;0.87;NA;NA;NA;
1;18;0.83;1.21;2.37;NA;ND;2.63;1.78;1.73;0.89;NA;NA;NA;
1;19;1;0.91;2.47;NA;ND;2.72;1.95;1.63;3.68;NA;NA;NA;
1;20;1.11;1.09;2.44;NA;ND;2.93;1.5;1.66;9.22;NA;NA;NA;
1;21;1.3;1.23;2.5;NA;ND;2.61;2.22;1.28;5.35;NA;NA;NA;
1;22;1.39;1.38;10.93;NA;ND;3.41;1.93;1.37;2.41;NA;NA;NA;
1;23;0.99;1.11;22.02;NA;ND;5.52;1.54;1.61;3.27;NA;NA;NA;
