DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;108.9;324.18;27.31;NA;ND;146.09;NA;NA;66.24;NA;NA;NA;
1;1;224.95;593.99;80.62;NA;ND;480.08;NA;NA;189.54;NA;NA;NA;
1;2;157.88;366.29;174.84;NA;ND;423.67;NA;NA;241.65;NA;NA;NA;
1;3;111.29;308.05;43.95;NA;ND;362.82;NA;NA;134.85;NA;NA;NA;
1;4;91.28;308.26;10.93;NA;ND;110.17;NA;NA;131.73;NA;NA;NA;
1;5;27.96;192.38;17.5;NA;ND;ND;NA;NA;135;NA;NA;NA;
1;6;15.75;186.53;15.62;NA;ND;149.63;NA;NA;48.48;NA;NA;NA;
1;7;8.58;105.81;46.46;NA;ND;204.23;NA;NA;25.75;NA;NA;NA;
1;8;ND;13.2;40.53;NA;ND;103.77;NA;NA;21.9;NA;NA;NA;
1;9;23.84;16.35;18.26;NA;ND;5.39;NA;NA;32.71;NA;NA;NA;
1;10;46.75;3.84;42.01;NA;ND;15.31;NA;NA;28.09;NA;NA;NA;
1;11;28.31;6.83;17.79;NA;ND;8.98;NA;NA;24.78;NA;NA;NA;
1;12;13.18;0.09;6.5;NA;ND;2.22;NA;NA;2.15;NA;NA;NA;
1;13;14.36;11.63;4.4;NA;ND;6.32;NA;NA;3.78;NA;NA;NA;
1;14;20.34;19.26;4.86;NA;ND;4.81;NA;NA;5.9;NA;NA;NA;
1;15;16.12;3.33;15.36;NA;ND;14.96;NA;NA;3.34;NA;NA;NA;
1;16;15.83;11.03;10.21;NA;ND;14.59;NA;NA;4.83;NA;NA;NA;
1;17;21.79;18.99;12.09;NA;ND;4.68;NA;NA;19.98;NA;NA;NA;
1;18;14.09;25.21;12.28;NA;ND;16.04;NA;NA;18.67;NA;NA;NA;
1;19;10.35;9.66;4.73;NA;ND;10.38;NA;NA;12.09;NA;NA;NA;
1;20;8.18;14.36;7.11;NA;ND;6.22;NA;NA;1.36;NA;NA;NA;
1;21;15.42;21.38;7.78;NA;ND;5.79;NA;NA;17.31;NA;NA;NA;
1;22;14.82;20.1;2.73;NA;ND;ND;NA;NA;2.61;NA;NA;NA;
1;23;5.65;13.76;11.46;NA;ND;ND;NA;NA;9.29;NA;NA;NA;
2;0;1.81;14.05;20.42;NA;ND;10.19;NA;NA;18.28;NA;NA;NA;
2;1;10.43;11.08;13.36;NA;ND;8.93;NA;NA;5.74;NA;NA;NA;
2;2;4.73;16.93;4.99;NA;ND;8.25;NA;NA;19.79;NA;NA;NA;
2;3;6.28;19.07;3.01;NA;ND;8.94;NA;NA;13.89;NA;NA;NA;
2;4;10.55;28.56;9.07;NA;ND;14.81;NA;NA;6.64;NA;NA;NA;
2;5;9.48;15.85;9.65;NA;ND;12.93;NA;NA;32.43;NA;NA;NA;
2;6;9.07;12.49;17.01;NA;ND;14.56;NA;NA;3.62;NA;NA;NA;
2;7;1.5;0;5.99;NA;ND;3.05;NA;NA;25.87;NA;NA;NA;
2;8;7.58;0;10.39;NA;ND;0;NA;NA;9.97;NA;NA;NA;
2;9;11.49;2.9;5.8;NA;ND;1.62;NA;NA;9.46;NA;NA;NA;
2;10;6.42;0.01;5.06;NA;ND;2.87;NA;NA;3.9;NA;NA;NA;
2;11;13.4;3.68;11.14;NA;ND;1.42;NA;NA;5.07;NA;NA;NA;
2;12;6.38;11.52;6.4;NA;ND;5.99;NA;NA;2.24;NA;NA;NA;
2;13;7.12;8.61;3.29;NA;ND;3.11;NA;NA;2.44;NA;NA;NA;
2;14;9.06;20.79;6.23;NA;ND;2.34;NA;NA;2.46;NA;NA;NA;
2;15;13.09;23.22;6.79;NA;ND;9.25;NA;NA;2.93;NA;NA;NA;
2;16;10.69;26;14.9;NA;ND;8.95;NA;NA;6.43;NA;NA;NA;
2;17;16.74;34.13;14.17;NA;ND;10.72;NA;NA;8.75;NA;NA;NA;
2;18;9.8;22.56;14.09;NA;ND;25.99;NA;NA;17.47;NA;NA;NA;
2;19;14;14.43;8.69;NA;ND;9.82;NA;NA;15.16;NA;NA;NA;
2;20;16.56;22.9;13.61;NA;ND;14.12;NA;NA;17.94;NA;NA;NA;
2;21;10.76;14.43;17.09;NA;ND;13.16;NA;NA;9.72;NA;NA;NA;
2;22;20.96;13.96;8.74;NA;ND;15.91;NA;NA;26.04;NA;NA;NA;
2;23;8.18;11.8;12.91;NA;ND;9.59;NA;NA;3.6;NA;NA;NA;
3;0;7.78;13.02;8.47;NA;ND;10.63;NA;NA;11.93;NA;NA;NA;
3;1;15.32;12.73;13.45;NA;ND;10.47;NA;NA;29.86;NA;NA;NA;
3;2;12.64;13.26;11.9;NA;ND;9.99;NA;NA;10.52;NA;NA;NA;
3;3;11.48;17.96;18.09;NA;ND;9.03;NA;NA;18.7;NA;NA;NA;
3;4;15.06;15.67;5.13;NA;ND;7.24;NA;NA;7.05;NA;NA;NA;
