DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;20.71;38.78;4.65;NA;ND;38.73;42.82;ND;32.67;NA;NA;NA;
1;1;ND;14.34;11;NA;ND;ND;ND;5.52;46.39;NA;NA;NA;
1;2;9.42;10.48;8.98;NA;ND;42.41;16.45;9.56;16.65;NA;NA;NA;
1;3;7.49;12.45;2.97;NA;ND;19.48;21.29;3.81;15.04;NA;NA;NA;
1;4;6.85;9.46;2.28;NA;ND;14.7;17.62;5.84;10.84;NA;NA;NA;
1;5;3.47;11.1;2.96;NA;ND;14.75;9.92;6.57;7.47;NA;NA;NA;
1;6;3.25;9.4;6.63;NA;ND;11.06;4.8;3.72;5.39;NA;NA;NA;
1;7;5.01;7.85;6.24;NA;ND;14.13;2.99;9.91;4.9;NA;NA;NA;
1;8;6.14;9.84;7.54;NA;ND;8.01;2.14;22.81;4.4;NA;NA;NA;
1;9;8.92;9.81;9.37;NA;ND;7.27;1.64;6.67;38.45;NA;NA;NA;
1;10;8.73;9.05;14.51;NA;ND;12.57;1.89;4.86;40.19;NA;NA;NA;
1;11;16.85;15.43;13.05;NA;ND;13.66;1.33;10.94;13.89;NA;NA;NA;
1;12;7.58;9.09;3.65;NA;ND;4.59;2.32;4.86;8.13;NA;NA;NA;
1;13;5.25;7.24;2.52;NA;ND;2.76;3.2;3.64;3.04;NA;NA;NA;
1;14;4.3;3.68;4.01;NA;ND;3.11;3.72;2.06;1.45;NA;NA;NA;
1;15;2.41;2.67;3.41;NA;ND;3.96;1.21;1.86;6.05;NA;NA;NA;
1;16;1.59;2.1;2.09;NA;ND;2.99;1.39;2.34;8;NA;NA;NA;
1;17;1.28;2.41;1.72;NA;ND;2.45;0.96;1.97;25.58;NA;NA;NA;
1;18;1.12;1.99;1.91;NA;ND;2.24;1.69;2.04;10.43;NA;NA;NA;
1;19;1.15;2.34;1.72;NA;ND;2.68;1.74;1.99;5.51;NA;NA;NA;
1;20;1.96;2.28;1.86;NA;ND;2.99;1.63;1.72;3.75;NA;NA;NA;
1;21;2.49;2.17;1.28;NA;ND;2.69;5.14;1.56;3.36;NA;NA;NA;
1;22;2.92;2.29;2.43;NA;ND;ND;12.4;1.59;7.57;NA;NA;NA;
1;23;2.53;1.63;2.11;NA;ND;ND;27.86;1.48;34.58;NA;NA;NA;
2;0;3.09;1.24;2.43;NA;ND;2.64;14.7;1.46;11.73;NA;NA;NA;
2;1;3.49;ND;ND;NA;ND;2.36;3.94;1.27;ND;NA;NA;NA;
2;2;4.48;2.61;2.42;NA;ND;3.12;2.21;1.85;7.09;NA;NA;NA;
