DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.85;0.58;NA;ND;ND;ND;NA;0.49;NA;NA;NA;
1;1;0.72;0.72;0.58;NA;ND;1.68;0.41;NA;0.5;NA;NA;NA;
1;2;0.54;0.73;0.63;NA;ND;1.3;0.38;NA;0.53;NA;NA;NA;
1;3;0.64;0.82;0.59;NA;ND;1.3;0.39;NA;0.65;NA;NA;NA;
1;4;0.61;0.7;0.55;NA;ND;1.22;0.41;NA;0.62;NA;NA;NA;
1;5;0.59;0.58;0.49;NA;ND;0.94;0.46;NA;0.63;NA;NA;NA;
1;6;0.73;0.57;0.44;NA;ND;0.97;0.59;NA;0.66;NA;NA;NA;
1;7;0.81;0.69;0.77;NA;ND;1.23;0.74;NA;0.77;NA;NA;NA;
1;8;0.86;0.79;0.92;NA;ND;1.31;0.68;NA;0.6;NA;NA;NA;
1;9;0.45;0.49;0.88;NA;ND;0.93;0.52;NA;0.56;NA;NA;NA;
1;10;0.23;0.45;0.37;NA;ND;0.53;0.55;NA;0.54;NA;NA;NA;
1;11;0.24;0.4;0.24;NA;ND;0.37;0.46;NA;0.51;NA;NA;NA;
1;12;0.19;0.37;0.26;NA;ND;0.31;0.49;NA;0.39;NA;NA;NA;
1;13;0.18;0.36;0.3;NA;ND;0.29;0.47;NA;0.38;NA;NA;NA;
1;14;0.16;0.39;0.26;NA;ND;0.32;0.43;NA;0.35;NA;NA;NA;
1;15;0.15;0.38;0.19;NA;ND;0.29;0.42;NA;0.36;NA;NA;NA;
1;16;0.17;0.38;0.22;NA;ND;0.29;0.45;NA;0.36;NA;NA;NA;
1;17;0.19;0.37;0.22;NA;ND;0.34;0.53;NA;0.39;NA;NA;NA;
1;18;0.31;0.34;0.24;NA;ND;0.44;0.62;NA;0.42;NA;NA;NA;
1;19;0.24;0.44;0.34;NA;ND;0.46;0.72;NA;0.49;NA;NA;NA;
1;20;0.29;0.4;0.33;NA;ND;0.59;0.81;NA;0.62;NA;NA;NA;
1;21;0.29;0.35;0.36;NA;ND;0.71;0.67;NA;0.69;NA;NA;NA;
1;22;0.18;0.29;0.22;NA;ND;0.67;0.51;NA;0.86;NA;NA;NA;
1;23;0.21;0.27;0.29;NA;ND;0.51;0.42;NA;0.6;NA;NA;NA;
2;0;0.15;ND;ND;NA;ND;0.53;0.37;NA;ND;NA;NA;NA;
2;1;0.1;0.25;0.2;NA;ND;0.3;0.36;NA;0.57;NA;NA;NA;
2;2;0.09;0.25;0.13;NA;ND;0.28;0.34;NA;0.49;NA;NA;NA;
2;3;0.13;0.27;0.12;NA;ND;0.26;0.34;NA;0.42;NA;NA;NA;
2;4;0.13;0.42;0.12;NA;ND;0.29;0.36;NA;0.47;NA;NA;NA;
2;5;0.31;0.62;0.34;NA;ND;0.65;0.49;NA;0.62;NA;NA;NA;
2;6;1.76;2.1;0.67;NA;ND;1.18;0.77;NA;1.14;NA;NA;NA;
2;7;1.32;1.91;1.27;NA;ND;2.98;0.72;NA;1.13;NA;NA;NA;
2;8;0.61;0.59;1.92;NA;ND;1.16;0.51;NA;0.82;NA;NA;NA;
2;9;0.32;0.34;0.95;NA;ND;0.54;0.52;NA;0.65;NA;NA;NA;
2;10;0.27;0.4;0.41;NA;ND;0.38;0.48;NA;0.49;NA;NA;NA;
2;11;0.21;0.41;0.41;NA;ND;0.38;0.44;NA;0.4;NA;NA;NA;
2;12;0.18;0.48;0.32;NA;ND;0.39;0.43;NA;0.37;NA;NA;NA;
2;13;0.19;0.39;0.3;NA;ND;0.37;0.41;NA;0.37;NA;NA;NA;
2;14;0.18;0.36;0.37;NA;ND;0.37;0.42;NA;0.38;NA;NA;NA;
2;15;0.19;0.32;0.5;NA;ND;0.39;0.46;NA;0.39;NA;NA;NA;
2;16;0.19;0.31;0.37;NA;ND;0.41;0.49;NA;0.45;NA;NA;NA;
2;17;0.21;0.36;0.46;NA;ND;0.59;0.53;NA;0.53;NA;NA;NA;
2;18;0.3;0.42;0.62;NA;ND;0.65;0.6;NA;0.58;NA;NA;NA;
2;19;0.39;0.46;0.75;NA;ND;0.59;0.56;NA;0.62;NA;NA;NA;
2;20;0.58;0.48;0.59;NA;ND;0.84;0.59;NA;0.51;NA;NA;NA;
2;21;0.26;0.39;0.44;NA;ND;0.91;0.55;NA;0.57;NA;NA;NA;
2;22;0.21;0.35;0.41;NA;ND;0.84;0.52;NA;0.57;NA;NA;NA;
2;23;0.29;0.3;0.33;NA;ND;0.57;0.4;NA;0.6;NA;NA;NA;
3;0;ND;0.36;0.26;NA;ND;ND;ND;NA;0.56;NA;NA;NA;
3;1;0.2;0.29;0.13;NA;ND;0.31;0.35;NA;0.48;NA;NA;NA;
3;2;0.18;0.29;0.07;NA;ND;0.28;0.36;NA;0.44;NA;NA;NA;
3;3;0.17;0.36;0.06;NA;ND;0.29;0.35;NA;0.41;NA;NA;NA;
3;4;0.2;0.4;0.06;NA;ND;0.33;0.37;NA;0.36;NA;NA;NA;
3;5;0.5;0.73;0.16;NA;ND;0.5;0.42;NA;0.41;NA;NA;NA;
3;6;1.4;3.09;0.76;NA;ND;0.96;0.61;NA;0.62;NA;NA;NA;
3;7;1.55;4.87;0.95;NA;ND;0.91;0.68;NA;0.69;NA;NA;NA;
3;8;0.89;1.08;0.48;NA;ND;0.76;0.57;NA;0.74;NA;NA;NA;
3;9;0.35;0.51;0.37;NA;ND;0.43;0.5;NA;0.73;NA;NA;NA;
3;10;0.22;0.44;ND;NA;ND;0.4;0.45;NA;0.37;NA;NA;NA;
