DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.22;0.56;17.98;NA;ND;16.64;24.04;0;0.84;NA;NA;NA;
1;1;4.75;0.15;22.25;NA;ND;18.01;25.31;0.04;12.06;NA;NA;NA;
1;2;3.88;ND;ND;NA;ND;22.4;26.27;0.04;ND;NA;NA;NA;
1;3;23.11;10.56;27.09;NA;ND;23.1;26.39;0.02;9.46;NA;NA;NA;
1;4;24.59;8.79;27.34;NA;ND;19.56;25.66;0.91;5.43;NA;NA;NA;
1;5;17.29;2.47;23.31;NA;ND;10.24;23.57;0.06;2.18;NA;NA;NA;
1;6;9.36;1.7;11.94;NA;ND;6.99;20.87;0.67;1.15;NA;NA;NA;
1;7;10;4.87;13.53;NA;ND;13.58;24.4;5.87;5.75;NA;NA;NA;
1;8;22.23;17.02;22.92;NA;ND;23.49;30.43;12.73;20.77;NA;NA;NA;
1;9;32.12;32.46;32.84;NA;ND;33.63;36.98;15.67;29.95;NA;NA;NA;
1;10;39.02;ND;38.4;NA;ND;46.74;43.87;40.26;49.03;NA;NA;NA;
1;11;40.93;ND;41.02;NA;ND;47.62;46.06;ND;46.98;NA;NA;NA;
1;12;39.94;31.7;37.04;NA;ND;43.92;43.56;30.93;41.86;NA;NA;NA;
1;13;40.67;36.5;34.02;NA;ND;41.02;45.89;32.68;38.3;NA;NA;NA;
1;14;34.52;ND;35.24;NA;ND;31.02;42.74;30.93;36.12;NA;NA;NA;
1;15;28.69;ND;28.3;NA;ND;27.79;37.4;ND;33.74;NA;NA;NA;
1;16;30.63;ND;30.38;NA;ND;29.76;35.31;33.92;36.4;NA;NA;NA;
1;17;26.88;28.97;23.07;NA;ND;26.14;33.73;30.39;32.32;NA;NA;NA;
1;18;13;19.31;14.76;NA;ND;15.48;24.13;20.45;24.32;NA;NA;NA;
1;19;6.92;11.67;13.4;NA;ND;7.8;18.9;22.77;25.32;NA;NA;NA;
1;20;6.14;11.32;7.69;NA;ND;9.2;14.95;6.43;3.24;NA;NA;NA;
1;21;2.74;9.31;2.24;NA;ND;4.77;20.79;1.63;1.72;NA;NA;NA;
1;22;1.11;2;4.31;NA;ND;6.6;26.66;8.84;2.27;NA;NA;NA;
1;23;11.22;10.88;14.01;NA;ND;14.98;28.18;6.96;1.23;NA;NA;NA;
2;0;22.35;4.83;22.94;NA;ND;18.31;30.16;0.89;0.35;NA;NA;NA;
2;1;20.23;5.18;26.27;NA;ND;20.01;30.27;ND;0.79;NA;NA;NA;
2;2;ND;7.02;29.44;NA;ND;ND;ND;0.78;2.65;NA;NA;NA;
2;3;23.51;6.31;27.99;NA;ND;23.06;30.02;0.98;3.96;NA;NA;NA;
2;4;16.61;5.86;27.07;NA;ND;13.98;28.14;0.04;2.1;NA;NA;NA;
2;5;6.46;4.33;12.96;NA;ND;4.61;23.77;0.46;0.39;NA;NA;NA;
2;6;1.34;3.28;4.22;NA;ND;7.88;21.31;0.64;0.71;NA;NA;NA;
2;7;6.62;6.69;13.31;NA;ND;11.76;23.48;3.78;6.43;NA;NA;NA;
2;8;20.12;17.19;22.38;NA;ND;22.27;28.31;10.11;17.47;NA;NA;NA;
2;9;26.92;29.52;25.63;NA;ND;28.39;32.58;18.55;31.01;NA;NA;NA;
2;10;29.14;34.29;ND;NA;ND;ND;36.92;28.73;39.45;NA;NA;NA;
2;11;31.16;35.26;ND;NA;ND;32.54;43.73;31.4;34.96;NA;NA;NA;
2;12;32.51;31.66;26.78;NA;ND;ND;39.26;29.92;31.48;NA;NA;NA;
2;13;33.14;32.42;28.88;NA;ND;33.51;38.79;30.25;31.11;NA;NA;NA;
2;14;31.71;31.06;ND;NA;ND;35.52;39.85;28.9;29.04;NA;NA;NA;
