DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.81;ND;ND;NA;ND;0.89;0.86;NA;ND;NA;NA;NA;
1;1;0.6;0.31;0.48;NA;ND;0.91;0.57;NA;0.35;NA;NA;NA;
1;2;0.54;0.22;0.39;NA;ND;0.69;0.4;NA;0.32;NA;NA;NA;
1;3;0.49;0.19;0.33;NA;ND;0.6;0.48;NA;0.29;NA;NA;NA;
1;4;0.54;0.19;0.33;NA;ND;0.55;0.57;NA;0.29;NA;NA;NA;
1;5;0.67;0.45;0.33;NA;ND;0.74;0.6;NA;0.31;NA;NA;NA;
1;6;0.76;0.78;0.45;NA;ND;1.1;1.02;NA;0.36;NA;NA;NA;
1;7;1;0.66;0.58;NA;ND;1.14;1.19;NA;0.37;NA;NA;NA;
1;8;0.94;0.51;0.61;NA;ND;0.92;0.74;NA;0.59;NA;NA;NA;
1;9;1.03;0.47;0.73;NA;ND;0.92;0.6;NA;0.54;NA;NA;NA;
1;10;0.92;0.44;0.73;NA;ND;0.95;0.44;NA;0.54;NA;NA;NA;
1;11;0.68;0.42;0.49;NA;ND;0.74;0.52;NA;0.51;NA;NA;NA;
1;12;0.57;0.3;0.5;NA;ND;0.72;0.69;NA;0.38;NA;NA;NA;
1;13;0.55;0.29;0.32;NA;ND;0.57;0.61;NA;0.33;NA;NA;NA;
1;14;0.52;0.25;0.37;NA;ND;0.53;0.53;NA;0.33;NA;NA;NA;
1;15;0.56;0.32;0.33;NA;ND;0.5;0.55;NA;0.31;NA;NA;NA;
1;16;0.58;0.32;0.31;NA;ND;0.58;0.52;NA;0.33;NA;NA;NA;
1;17;0.56;0.32;0.34;NA;ND;0.74;0.49;NA;0.35;NA;NA;NA;
1;18;0.85;0.44;0.42;NA;ND;1.09;1.07;NA;0.51;NA;NA;NA;
1;19;1.11;0.53;0.53;NA;ND;1.43;1.96;NA;1.33;NA;NA;NA;
1;20;0.88;0.54;0.54;NA;ND;1.48;1.09;NA;0.82;NA;NA;NA;
1;21;0.97;0.49;0.57;NA;ND;1.28;1.04;NA;0.88;NA;NA;NA;
1;22;0.97;0.77;0.84;NA;ND;1.05;1;NA;0.94;NA;NA;NA;
1;23;0.93;0.61;0.52;NA;ND;1.21;1.08;NA;0.72;NA;NA;NA;
2;0;ND;0.49;0.6;NA;ND;ND;ND;NA;0.49;NA;NA;NA;
2;1;1.12;0.51;0.62;NA;ND;1.16;0.61;NA;0.4;NA;NA;NA;
2;2;1.09;0.46;0.74;NA;ND;1.21;0.4;NA;0.4;NA;NA;NA;
2;3;1.05;0.4;0.74;NA;ND;0.72;0.33;NA;0.5;NA;NA;NA;
2;4;1.17;0.56;0.5;NA;ND;1.16;0.35;NA;0.46;NA;NA;NA;
2;5;1.11;0.6;0.63;NA;ND;1.16;0.84;NA;0.54;NA;NA;NA;
2;6;1.46;1.5;0.87;NA;ND;1.86;2.7;NA;0.68;NA;NA;NA;
2;7;1.4;1.15;0.96;NA;ND;2.26;1.39;NA;0.93;NA;NA;NA;
2;8;1.26;0.81;0.85;NA;ND;1.4;0.72;NA;0.85;NA;NA;NA;
2;9;1.03;0.76;0.77;NA;ND;0.95;0.45;NA;0.58;NA;NA;NA;
2;10;0.72;0.57;0.74;NA;ND;0.83;0.49;NA;0.43;NA;NA;NA;
2;11;0.61;0.42;0.54;NA;ND;0.87;0.51;NA;0.4;NA;NA;NA;
2;12;0.58;0.29;0.39;NA;ND;0.64;0.49;NA;0.39;NA;NA;NA;
2;13;0.6;0.3;0.34;NA;ND;0.63;0.53;NA;0.3;NA;NA;NA;
2;14;0.54;0.28;0.36;NA;ND;0.58;0.67;NA;0.36;NA;NA;NA;
2;15;0.49;0.28;0.35;NA;ND;0.7;0.71;NA;0.34;NA;NA;NA;
2;16;0.54;0.29;0.43;NA;ND;0.79;0.93;NA;0.42;NA;NA;NA;
2;17;0.59;0.34;0.53;NA;ND;0.67;0.95;NA;0.58;NA;NA;NA;
2;18;0.71;0.36;0.57;NA;ND;0.77;1.07;NA;0.4;NA;NA;NA;
2;19;0.68;0.32;0.59;NA;ND;0.71;0.95;NA;0.45;NA;NA;NA;
2;20;0.72;0.3;0.48;NA;ND;0.69;0.9;NA;0.36;NA;NA;NA;
2;21;0.71;0.29;0.51;NA;ND;0.67;0.59;NA;0.34;NA;NA;NA;
2;22;0.78;0.45;0.46;NA;ND;0.64;0.58;NA;0.35;NA;NA;NA;
2;23;0.62;0.27;0.34;NA;ND;0.52;0.53;NA;0.31;NA;NA;NA;
3;0;0.78;ND;ND;NA;ND;0.52;0.52;NA;ND;NA;NA;NA;
3;1;0.85;0.25;0.32;NA;ND;0.53;0.51;NA;0.39;NA;NA;NA;
3;2;0.64;0.24;0.29;NA;ND;0.49;0.45;NA;0.36;NA;NA;NA;
3;3;0.63;0.29;0.28;NA;ND;0.56;0.45;NA;0.38;NA;NA;NA;
3;4;0.61;0.24;0.28;NA;ND;0.47;0.54;NA;0.31;NA;NA;NA;
3;5;0.58;0.24;0.26;NA;ND;0.52;0.76;NA;0.35;NA;NA;NA;
3;6;0.57;0.28;0.33;NA;ND;0.69;1.33;NA;0.46;NA;NA;NA;
3;7;0.77;0.41;0.39;NA;ND;0.8;0.9;NA;0.58;NA;NA;NA;
3;8;0.76;0.32;0.4;NA;ND;0.67;0.53;NA;0.46;NA;NA;NA;
3;9;0.72;0.38;0.4;NA;ND;0.6;0.5;NA;0.46;NA;NA;NA;
3;10;0.78;0.38;0.46;NA;ND;0.53;0.46;NA;0.38;NA;NA;NA;
3;11;0.62;0.32;0.45;NA;ND;0.56;0.5;NA;0.4;NA;NA;NA;
3;12;0.57;0.31;0.34;NA;ND;0.5;0.73;NA;0.35;NA;NA;NA;
3;13;0.55;0.32;0.36;NA;ND;0.62;0.68;NA;0.42;NA;NA;NA;
