DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;4.24;1.74;ND;6.5;6.85;7.89;ND;ND;ND;NA;NA;NA;
1;1;ND;1.73;ND;9.65;5.46;ND;ND;ND;ND;NA;NA;NA;
1;2;3.64;1.68;ND;18.89;6.92;4.48;ND;ND;ND;NA;NA;NA;
1;3;3.65;1.58;ND;10.68;5.36;4.1;ND;ND;ND;NA;NA;NA;
1;4;7.38;1.9;ND;6.48;5.54;4.59;ND;ND;ND;NA;NA;NA;
1;5;6.75;2.05;ND;7.18;13.01;5.51;ND;ND;ND;NA;NA;NA;
1;6;7.78;3.42;ND;8.4;38.87;17.98;ND;ND;ND;NA;NA;NA;
1;7;12.22;5.13;ND;14.41;25.13;24.62;ND;ND;ND;NA;NA;NA;
1;8;14.23;5.15;ND;14.67;18.2;14.4;ND;ND;ND;NA;NA;NA;
1;9;14.14;5.53;ND;9.62;9.07;10.11;ND;ND;ND;NA;NA;NA;
1;10;8.2;4.7;ND;7.41;6.41;5.92;ND;ND;ND;NA;NA;NA;
1;11;6.21;3.91;ND;7.22;5.9;5.06;ND;ND;ND;NA;NA;NA;
1;12;ND;3.16;ND;6;6.15;3.49;ND;ND;ND;NA;NA;NA;
1;13;ND;ND;ND;6.59;6.37;4.25;ND;ND;ND;NA;NA;NA;
1;14;3.39;ND;ND;4.47;6.02;4.44;ND;ND;ND;NA;NA;NA;
1;15;2.8;2.17;ND;2.83;5.93;3.79;ND;ND;ND;NA;NA;NA;
1;16;2.75;2.33;8.38;4.03;5.55;4.97;ND;ND;ND;NA;NA;NA;
1;17;3.85;2.31;7.41;5.29;4.96;5.44;ND;ND;ND;NA;NA;NA;
1;18;4.4;2.62;7.37;6.29;5.05;6.23;ND;ND;ND;NA;NA;NA;
1;19;3.56;2.51;7.47;7.18;5.39;6.94;ND;ND;ND;NA;NA;NA;
1;20;5.54;2.75;6.3;6.75;6.45;9.27;ND;ND;ND;NA;NA;NA;
1;21;5.51;3.35;6.98;7.17;7.44;16.39;ND;ND;ND;NA;NA;NA;
1;22;5.68;5.23;14.47;11.87;12.1;14.91;ND;ND;ND;NA;NA;NA;
1;23;5.03;4.73;11.33;12.28;10.13;8.74;ND;ND;ND;NA;NA;NA;
