DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.64;0.42;0.23;0.82;ND;0.47;NA;ND;NA;NA;NA;
1;1;0.87;0.6;0.41;ND;0.75;0.61;0.66;NA;ND;NA;NA;NA;
1;2;0.68;0.38;0.59;0.42;0.91;0.64;0.57;NA;ND;NA;NA;NA;
1;3;0.72;0.4;0.53;0.35;0.83;0.41;0.46;NA;ND;NA;NA;NA;
1;4;0.82;0.48;0.49;0.43;0.68;0.44;0.67;NA;ND;NA;NA;NA;
1;5;1.04;1.1;0.46;0.64;1.07;0.78;0.92;NA;ND;NA;NA;NA;
1;6;2.09;1.65;0.72;0.88;2.03;2.16;1.97;NA;ND;NA;NA;NA;
1;7;2.32;1.45;1.76;1.26;3.63;3.09;2.23;NA;ND;NA;NA;NA;
1;8;1.34;0.74;1.96;1.57;1.76;1.56;0.6;NA;ND;NA;NA;NA;
1;9;1.47;0.72;2.09;1.4;1.45;1.34;0.55;NA;ND;NA;NA;NA;
1;10;1.47;0.6;1.79;1.27;1.63;ND;0.59;NA;ND;NA;NA;NA;
1;11;1.04;0.47;1.37;0.75;ND;ND;0.72;NA;ND;NA;NA;NA;
1;12;0.85;0.42;1.06;0.58;ND;0.86;0.87;NA;ND;NA;NA;NA;
1;13;0.83;0.33;0.95;0.39;ND;0.84;0.68;NA;ND;NA;NA;NA;
1;14;0.81;0.3;1;0.38;ND;0.67;0.66;NA;ND;NA;NA;NA;
1;15;0.81;0.32;1.26;0.46;0.57;0.75;0.62;NA;ND;NA;NA;NA;
1;16;0.91;0.34;1.15;0.63;0.61;0.76;0.69;NA;ND;NA;NA;NA;
1;17;0.99;0.47;1.62;1.12;0.71;0.91;0.62;NA;ND;NA;NA;NA;
1;18;1.01;0.65;1.4;1.92;1.24;1.32;0.71;NA;ND;NA;NA;NA;
1;19;0.95;0.52;1.16;0.9;0.96;1.56;0.62;NA;ND;NA;NA;NA;
1;20;0.9;0.47;1.4;0.78;1.2;1.77;0.63;NA;ND;NA;NA;NA;
