DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;7.92;5.05;4.34;6.4;7.21;6.37;ND;ND;ND;NA;NA;NA;
1;1;ND;5.84;3.43;3.71;ND;ND;ND;ND;ND;NA;NA;NA;
1;2;3.12;4.47;2.04;2.04;4.77;2.67;ND;ND;ND;NA;NA;NA;
1;3;2.77;4.16;1.8;2.97;9.45;2.86;ND;ND;ND;NA;NA;NA;
1;4;2.76;3.94;1.68;3.21;9.38;3.45;ND;ND;ND;NA;NA;NA;
1;5;3.03;3.59;3.04;11.41;11.05;5.87;ND;ND;ND;NA;NA;NA;
1;6;4.43;4.24;3.69;5.35;14.46;6.84;ND;ND;ND;NA;NA;NA;
1;7;5.93;5.27;3.6;4.68;11.24;5.39;ND;ND;ND;NA;NA;NA;
1;8;5.1;6.53;3.87;5.27;4.29;6.56;ND;ND;ND;NA;NA;NA;
1;9;3.62;5.38;3.58;4.81;4.02;5.7;ND;ND;ND;NA;NA;NA;
1;10;3.76;4.94;4.63;4.49;4.71;4.61;ND;ND;ND;NA;NA;NA;
1;11;3.93;4.64;4.41;4.11;3.84;2.18;ND;ND;ND;NA;NA;NA;
1;12;3.26;3.86;3.19;3.12;3.36;1.68;ND;ND;ND;NA;NA;NA;
1;13;2.41;3.09;2.54;2.81;2.29;1.38;ND;ND;ND;NA;NA;NA;
1;14;2.15;2.47;2.55;1.92;3.12;1.15;ND;ND;ND;NA;NA;NA;
1;15;2.82;3.05;2.38;2.54;4.18;1.81;ND;ND;ND;NA;NA;NA;
1;16;3.2;3.21;2.88;2.9;3.1;1.86;ND;ND;ND;NA;NA;NA;
1;17;3.25;2.97;3.81;2.32;4.01;3.53;ND;ND;ND;NA;NA;NA;
1;18;3.22;3.02;4.13;2.12;4.64;4.59;ND;ND;ND;NA;NA;NA;
1;19;3.41;2.83;8.08;3.29;4.94;5.5;ND;ND;ND;NA;NA;NA;
1;20;4.12;2.49;6.97;4.3;5.94;7.3;ND;ND;ND;NA;NA;NA;
1;21;3.64;2.46;3.1;2.99;5.59;4.69;ND;ND;ND;NA;NA;NA;
1;22;3.75;2.3;3.16;5.04;4.67;3.08;ND;ND;ND;NA;NA;NA;
1;23;2.88;2.25;2.01;8.17;2.5;2.17;ND;ND;ND;NA;NA;NA;
2;0;2.61;1.98;2.58;8.2;2.05;1.62;ND;ND;ND;NA;NA;NA;
2;1;2.53;2.19;2.56;10.77;2.39;1.84;ND;ND;ND;NA;NA;NA;
2;2;2.58;2.17;2.06;9.57;1.9;1.11;ND;ND;ND;NA;NA;NA;
2;3;2.62;1.95;2.31;5.18;2.08;1.28;ND;ND;ND;NA;NA;NA;
2;4;2.45;2.22;3.05;7.33;1.95;2.01;ND;ND;ND;NA;NA;NA;
2;5;3.28;3.29;3.38;7.47;7.55;4.58;ND;ND;ND;NA;NA;NA;
2;6;5.89;4.88;8.54;12.5;33.53;13.21;ND;ND;ND;NA;NA;NA;
2;7;11.77;7.04;20.67;27.27;44.23;19.69;ND;ND;ND;NA;NA;NA;
2;8;20.49;9.36;14.81;17.97;19.6;12.99;ND;ND;ND;NA;NA;NA;
2;9;9.74;8.44;9.08;11.27;7.76;8.09;ND;ND;ND;NA;NA;NA;
2;10;5.17;10.7;5.75;8.16;4.66;3.1;ND;ND;ND;NA;NA;NA;
2;11;4.44;5.58;4.91;8.38;3.23;2.43;ND;ND;ND;NA;NA;NA;
2;12;3.72;3.61;ND;19.89;4.33;2.21;ND;ND;ND;NA;NA;NA;
2;13;3.88;3.9;ND;9.14;3.78;1.73;ND;ND;ND;NA;NA;NA;
2;14;3.77;3.9;ND;7.28;3.67;2.6;ND;ND;ND;NA;NA;NA;
2;15;3.3;3.24;ND;4.13;5.3;2.61;ND;ND;ND;NA;NA;NA;
2;16;3.41;2.84;3.76;3.88;4.79;3.21;ND;ND;ND;NA;NA;NA;
2;17;3.57;2.5;5.76;3.46;5.91;5.97;ND;ND;ND;NA;NA;NA;
2;18;4.13;3.02;11.33;4.58;11.21;5.21;ND;ND;ND;NA;NA;NA;
2;19;7.21;3.14;13.13;12.5;14;7.49;ND;ND;ND;NA;NA;NA;
2;20;8.4;2.99;13.18;11.62;14.77;9.98;ND;ND;ND;NA;NA;NA;
2;21;7.95;2.7;16.84;11.42;15.72;11.31;ND;ND;ND;NA;NA;NA;
2;22;5.72;2.59;10.51;7.07;74.82;11.28;ND;ND;ND;NA;NA;NA;
2;23;4.41;2.46;9.82;6.49;11.69;7.4;ND;ND;ND;NA;NA;NA;
3;0;5.57;2.52;6.06;10.6;7.82;6.13;ND;ND;ND;NA;NA;NA;
3;1;ND;3.09;5.35;5.6;ND;ND;ND;ND;ND;NA;NA;NA;
3;2;6.08;2.87;5.92;11.95;55.74;9.63;ND;ND;ND;NA;NA;NA;
3;3;5.46;4.73;21.55;21.12;64.07;11.17;ND;ND;ND;NA;NA;NA;
3;4;4.73;4.93;13.33;21.67;100.35;13.14;ND;ND;ND;NA;NA;NA;
3;5;5.51;4.73;10.79;13.78;124.71;15.4;ND;ND;ND;NA;NA;NA;
3;6;14;6.66;20.62;17.22;142.92;26.79;ND;ND;ND;NA;NA;NA;
3;7;17.41;8.36;38.21;34.23;93.65;45.92;ND;ND;ND;NA;NA;NA;
3;8;15.34;10.67;43.45;44.46;47.2;38.37;ND;ND;ND;NA;NA;NA;
3;9;8.43;8.36;25.88;27.57;ND;11.61;ND;ND;ND;NA;NA;NA;
3;10;6.51;6.38;6.25;7.61;ND;3.09;ND;ND;ND;NA;NA;NA;
3;11;4.71;4.6;5.47;7.97;3.24;1.82;ND;ND;ND;NA;NA;NA;
3;12;4.3;3.89;6.42;6.81;3.65;1.45;ND;ND;ND;NA;NA;NA;
3;13;3.69;3.62;6.74;5.3;3.7;1.86;ND;ND;ND;NA;NA;NA;
3;14;3.36;3.28;6.98;5.95;5.16;2.18;ND;ND;ND;NA;NA;NA;
3;15;3.29;3.27;ND;5.08;6.17;3.01;ND;ND;ND;NA;NA;NA;
3;16;3.49;3.15;ND;7.41;5.5;4.14;ND;ND;ND;NA;NA;NA;
3;17;3.78;3.04;8.51;4.54;7.48;5.34;ND;ND;ND;NA;NA;NA;
3;18;4.03;3.11;12.6;6.08;9.12;7.6;ND;ND;ND;NA;NA;NA;
3;19;5.65;3.23;11.55;6.32;10.85;8.81;ND;ND;ND;NA;NA;NA;
3;20;6.74;3.58;10.55;5.6;9.61;9.61;ND;ND;ND;NA;NA;NA;
3;21;7.13;3.12;14.53;8.95;9.29;9.64;ND;ND;ND;NA;NA;NA;
3;22;7.74;2.79;12.83;20.48;13.61;8.2;ND;ND;ND;NA;NA;NA;
3;23;12.04;3.53;10.96;21.57;36.52;8.65;ND;ND;ND;NA;NA;NA;
4;0;5.23;3.28;5.9;12.12;66.9;10.37;ND;ND;ND;NA;NA;NA;
4;1;5.43;4.7;8.98;8.61;47.53;5.84;ND;ND;ND;NA;NA;NA;
4;2;5.62;4.6;15.12;9.23;29.28;5.06;ND;ND;ND;NA;NA;NA;
4;3;4.76;6.65;9.83;24.93;16.79;7.65;ND;ND;ND;NA;NA;NA;
4;4;4.96;9.8;10.14;22.47;27.78;7.53;ND;ND;ND;NA;NA;NA;
4;5;9.66;6.61;9.56;18.67;65.19;10.88;ND;ND;ND;NA;NA;NA;
4;6;11.01;7.18;16.54;26.88;67.34;24.84;ND;ND;ND;NA;NA;NA;
4;7;31.51;12.69;27.4;32.96;52.24;35.28;ND;ND;ND;NA;NA;NA;
4;8;15.59;13.89;23.71;29.88;36.81;10.24;ND;ND;ND;NA;NA;NA;
4;9;10.44;8.8;8.03;17.01;9.05;6.22;ND;ND;ND;NA;NA;NA;
4;10;6.62;5.51;6.38;8.62;3.47;2.4;ND;ND;ND;NA;NA;NA;
4;11;4.78;4.28;6.91;6.89;3.9;2.63;ND;ND;ND;NA;NA;NA;
4;12;4.38;3.81;7.23;6.49;3.36;ND;ND;ND;ND;NA;NA;NA;
4;13;4.34;3.4;6.89;5.67;4.11;ND;ND;ND;ND;NA;NA;NA;
4;14;4.1;3.58;6.48;6.62;4.52;4.46;ND;ND;ND;NA;NA;NA;
4;15;4.6;3.96;8.38;4.89;4.1;5.02;ND;ND;ND;NA;NA;NA;
4;16;4.46;4.04;7.98;5.11;4;2.37;ND;ND;ND;NA;NA;NA;
4;17;4.27;4.18;8.74;7.56;4.91;1.82;ND;ND;ND;NA;NA;NA;
4;18;5.48;3.86;11.28;8.68;5.88;4.17;ND;ND;ND;NA;NA;NA;
4;19;7.11;3.87;18.79;12.83;6.72;5.9;ND;ND;ND;NA;NA;NA;
4;20;7.3;3.56;16.9;13.01;5.58;5.63;ND;ND;ND;NA;NA;NA;
4;21;7.46;3.21;14.74;11.19;15.19;4.04;ND;ND;ND;NA;NA;NA;
4;22;6.62;2.8;12.14;20.98;24.01;3.92;ND;ND;ND;NA;NA;NA;
4;23;7.84;3.41;9.9;18.98;33.67;9.55;ND;ND;ND;NA;NA;NA;
5;0;9.64;3.53;5.99;18.54;40.3;10.46;ND;ND;ND;NA;NA;NA;
5;1;ND;3.69;7.37;9.18;ND;ND;ND;ND;ND;NA;NA;NA;
5;2;10.59;3.62;13.51;17.49;36;9.66;ND;ND;ND;NA;NA;NA;
5;3;5.76;5.02;12.18;24.42;33.35;18.11;ND;ND;ND;NA;NA;NA;
5;4;5.25;4.98;12.62;17.87;27.59;13.95;ND;ND;ND;NA;NA;NA;
5;5;9.58;5.53;13.11;19.43;40.12;23.98;ND;ND;ND;NA;NA;NA;
5;6;12.9;14.56;21.22;36.81;58.52;27.71;ND;ND;ND;NA;NA;NA;
5;7;38.22;20.91;29.2;30.05;54.4;15.65;ND;ND;ND;NA;NA;NA;
5;8;21.72;20.65;9.5;14.69;20.67;4.33;ND;ND;ND;NA;NA;NA;
5;9;19.83;20.64;5.95;ND;10.74;3.36;ND;ND;ND;NA;NA;NA;
5;10;12.88;10.31;5.33;ND;4.01;3.18;ND;ND;ND;NA;NA;NA;
5;11;6.43;5.47;4.17;ND;3.43;1.68;ND;ND;ND;NA;NA;NA;
5;12;ND;4.72;6.55;ND;3.2;1.39;ND;ND;ND;NA;NA;NA;
5;13;0.06;4.99;ND;ND;3.56;2.84;ND;ND;ND;NA;NA;NA;
5;14;0.06;4.6;4.16;ND;5.21;2.9;ND;ND;ND;NA;NA;NA;
5;15;0.03;3.89;3.91;ND;5.46;3.05;ND;ND;ND;NA;NA;NA;
5;16;0.04;3.78;5.02;ND;5.8;3.59;ND;ND;ND;NA;NA;NA;
5;17;0.18;3.87;7.6;5.98;6.58;3.62;ND;ND;ND;NA;NA;NA;
5;18;1.56;3.82;11.04;8.15;10.34;7.14;ND;ND;ND;NA;NA;NA;
5;19;2.1;3.87;15.45;8.02;15.62;10.51;ND;ND;ND;NA;NA;NA;
5;20;1.88;4.39;9.24;8.89;8.66;6.14;ND;ND;ND;NA;NA;NA;
5;21;2.31;3.62;7.94;7.82;5.18;5.36;ND;ND;ND;NA;NA;NA;
5;22;0.58;ND;8.89;6.36;4.29;5.73;ND;ND;ND;NA;NA;NA;
5;23;1.29;ND;6.38;10.84;3.31;3.89;ND;ND;ND;NA;NA;NA;
6;0;1.71;3.09;5.6;11.91;3.35;3.01;ND;ND;ND;NA;NA;NA;
6;1;2.84;ND;6.25;16.62;4.43;2.6;ND;ND;ND;NA;NA;NA;
6;2;1.85;2.84;5.16;19.69;5.86;2.41;ND;ND;ND;NA;NA;NA;
6;3;2.04;2.53;4.4;7.34;5.67;2.47;ND;ND;ND;NA;NA;NA;
6;4;2.2;2.27;5.03;7.79;4.65;2.86;ND;ND;ND;NA;NA;NA;
6;5;3.74;3.18;6.61;12.29;5.26;5.92;ND;ND;ND;NA;NA;NA;
6;6;4.7;3.91;10.41;16.92;14.07;10.2;ND;ND;ND;NA;NA;NA;
6;7;16.42;5.88;13.64;23.35;13.26;12.27;ND;ND;ND;NA;NA;NA;
6;8;16.62;8.07;14.84;19.64;11.1;11.68;ND;ND;ND;NA;NA;NA;
6;9;10.66;7.62;12.99;14.56;8.97;8.55;ND;ND;ND;NA;NA;NA;
6;10;3.64;5.89;7.5;10.04;3.58;3.19;ND;ND;ND;NA;NA;NA;
6;11;2.39;4.26;5.91;ND;3.28;2.7;ND;ND;ND;NA;NA;NA;
6;12;1.42;4.23;6.38;ND;3.76;2.19;ND;ND;ND;NA;NA;NA;
