DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.74;9.25;0.06;NA;9.53;5.97;40.2;ND;13.54;NA;NA;NA;
1;1;9.27;20.01;0.39;NA;7.43;2.41;15.8;26.66;2.78;NA;NA;NA;
1;2;16.21;ND;ND;NA;ND;6.74;10.62;26.71;4.09;NA;NA;NA;
1;3;12.4;19.23;13.52;NA;4.28;6.82;14.91;24.49;8.77;NA;NA;NA;
1;4;1.44;15.24;9.64;NA;1.94;1.84;28.7;19.27;0.16;NA;NA;NA;
1;5;3.74;13.93;1.72;NA;3.07;1.59;8.09;18.6;0.15;NA;NA;NA;
1;6;4.33;10.04;1.47;NA;4.48;3.21;4.23;2.74;1.43;NA;NA;NA;
1;7;4.42;9.44;1.9;NA;4.75;4;22.27;5.86;3.23;NA;NA;NA;
1;8;11.56;14.84;7.84;NA;11.36;13.96;34.57;10.91;12.05;NA;NA;NA;
1;9;27.04;32.13;9.16;NA;15.23;21.59;49.47;23.25;27.17;NA;NA;NA;
1;10;56.4;50.8;35.9;NA;23.71;21.92;53.4;31.65;34.7;NA;NA;NA;
1;11;66.87;54.05;53.92;NA;43.66;56.56;67.77;60.48;25.95;NA;NA;NA;
1;12;59.55;56.14;48.46;NA;52.68;60.11;62.02;67.87;57.84;NA;NA;NA;
1;13;62.19;59.81;60.63;NA;53;63.16;73.12;67.84;63.24;NA;NA;NA;
1;14;68.84;62.62;65.65;NA;57.42;67.81;64.55;70.47;66.47;NA;NA;NA;
1;15;66.29;60.42;62.2;NA;56.12;58.77;63.95;68.07;56.52;NA;NA;NA;
1;16;45.22;50.86;22.51;NA;38.07;44.44;55.15;27.91;39.43;NA;NA;NA;
1;17;36.1;42.48;8.11;NA;17.17;14.16;41.11;14.37;20.73;NA;NA;NA;
1;18;35.69;34.59;2.4;NA;10.24;3.97;27.86;38.94;16.87;NA;NA;NA;
1;19;20.65;25.73;1.43;NA;4.48;3.33;41.25;28.58;10.4;NA;NA;NA;
1;20;7.98;22.66;0.49;NA;4.82;1.99;37.93;15.5;2.16;NA;NA;NA;
1;21;7.25;22.72;0.55;NA;8.71;2.33;39.62;19.83;1.92;NA;NA;NA;
1;22;3.51;22.97;0;NA;7.51;1.99;38.9;23.69;5.57;NA;NA;NA;
1;23;0.03;10.38;0.09;NA;5.3;2.23;37.52;25.36;9.13;NA;NA;NA;
2;0;0;15.57;0.06;NA;2.3;1.63;28.73;2.52;13.51;NA;NA;NA;
2;1;0.01;15.89;0.58;NA;4.53;5.56;ND;3.82;ND;NA;NA;NA;
2;2;ND;20.95;4.37;NA;1.35;ND;21.39;5.94;0.52;NA;NA;NA;
2;3;0.87;12.6;3.59;NA;1.26;6.58;43.67;2.09;0.47;NA;NA;NA;
2;4;1.97;0.71;1.22;NA;1.55;2.74;32.07;1.93;0.63;NA;NA;NA;
2;5;0.68;2.26;0.42;NA;3.09;2.72;22.48;0.73;1.96;NA;NA;NA;
2;6;1.24;2.4;2.36;NA;5.05;5.1;15.42;1.86;2.97;NA;NA;NA;
2;7;7.13;11.15;8.16;NA;12.47;14.69;57.63;4.71;7.47;NA;NA;NA;
2;8;29.69;37.81;23.61;NA;35.06;35;65.35;11.06;24.58;NA;NA;NA;
