DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.68;ND;0.37;ND;0.41;0.58;0.4;NA;ND;NA;NA;NA;
1;1;0.61;1.09;0.3;ND;0.18;0.44;0.38;NA;ND;NA;NA;NA;
1;2;0.48;1.05;0.3;ND;0.17;0.45;0.39;NA;ND;NA;NA;NA;
1;3;0.44;0.82;0.29;ND;0.08;0.43;0.38;NA;ND;NA;NA;NA;
1;4;0.5;0.54;0.29;ND;0.26;0.54;0.38;NA;ND;NA;NA;NA;
1;5;0.61;0.67;0.28;ND;0.43;0.64;0.41;NA;ND;NA;NA;NA;
1;6;0.54;1.03;0.34;ND;0.41;0.74;0.5;NA;ND;NA;NA;NA;
1;7;0.51;0.79;0.48;ND;0.29;0.92;0.55;NA;ND;NA;NA;NA;
1;8;0.48;0.53;0.68;ND;0.25;0.78;0.54;NA;ND;NA;NA;NA;
1;9;0.51;0.34;0.51;ND;0.43;0.74;0.56;NA;ND;NA;NA;NA;
1;10;0.51;0.26;0.51;ND;0.37;0.62;0.55;NA;ND;NA;NA;NA;
1;11;0.43;0.26;0.46;ND;0.14;0.49;0.48;NA;ND;NA;NA;NA;
1;12;0.38;0.27;0.46;ND;0.15;0.57;0.49;NA;ND;NA;NA;NA;
1;13;0.45;0.26;0.49;ND;0.16;0.46;0.48;NA;ND;NA;NA;NA;
1;14;0.4;0.2;0.5;ND;0.12;0.39;0.49;NA;ND;NA;NA;NA;
1;15;0.37;0.33;0.51;ND;0.06;0.44;0.51;NA;ND;NA;NA;NA;
1;16;0.38;0.22;0.54;ND;0.02;0.53;0.51;NA;ND;NA;NA;NA;
1;17;0.4;0.27;0.67;ND;0.03;0.71;0.52;NA;ND;NA;NA;NA;
1;18;0.47;0.34;0.92;ND;0.16;1.08;0.58;NA;ND;NA;NA;NA;
1;19;0.77;0.47;0.77;ND;0.33;1.32;0.53;NA;ND;NA;NA;NA;
1;20;0.83;0.71;0.6;ND;0.19;1.09;0.51;NA;ND;NA;NA;NA;
1;21;0.57;0.66;0.46;ND;0.11;0.91;0.47;NA;ND;NA;NA;NA;
1;22;0.39;0.79;0.39;ND;0.04;0.75;0.44;NA;ND;NA;NA;NA;
1;23;0.38;0.55;0.33;ND;0.24;0.53;0.39;NA;ND;NA;NA;NA;
2;0;ND;0.62;0.3;ND;0.16;0.48;ND;NA;ND;NA;NA;NA;
2;1;0.48;0.65;0.3;ND;0.07;0.45;0.37;NA;ND;NA;NA;NA;
2;2;0.5;0.94;0.26;ND;0.06;0.41;0.36;NA;ND;NA;NA;NA;
2;3;0.39;0.99;0.24;ND;0.11;0.43;0.37;NA;ND;NA;NA;NA;
2;4;0.51;0.91;0.23;ND;0.11;0.48;0.36;NA;ND;NA;NA;NA;
2;5;0.6;0.88;0.26;ND;0.25;0.51;0.39;NA;ND;NA;NA;NA;
2;6;0.5;1.25;0.27;ND;0.46;0.59;0.44;NA;ND;NA;NA;NA;
2;7;0.58;1.19;0.46;ND;0.55;0.61;0.44;NA;ND;NA;NA;NA;
2;8;0.5;0.34;0.57;ND;0.13;0.63;0.53;NA;ND;NA;NA;NA;
2;9;0.36;0.33;0.41;ND;0.06;0.58;0.56;NA;ND;NA;NA;NA;
2;10;0.24;0.3;0.49;ND;0.19;0.43;0.52;NA;ND;NA;NA;NA;
2;11;0.23;0.26;0.43;ND;0.09;0.42;0.45;NA;ND;NA;NA;NA;
2;12;0.26;0.27;0.44;ND;0.15;0.4;0.47;NA;ND;NA;NA;NA;
2;13;0.25;0.22;0.5;ND;0.08;0.4;0.49;NA;ND;NA;NA;NA;
2;14;0.24;0.23;0.41;ND;0.09;0.4;0.48;NA;ND;NA;NA;NA;
2;15;0.24;0.24;0.42;ND;0.08;0.45;0.5;NA;ND;NA;NA;NA;
2;16;0.22;0.25;0.47;ND;0.12;0.52;0.56;NA;ND;NA;NA;NA;
2;17;0.27;0.25;0.5;ND;0.2;0.63;0.61;NA;ND;NA;NA;NA;
2;18;0.37;0.32;0.61;ND;0.35;0.58;0.72;NA;ND;NA;NA;NA;
2;19;0.39;0.46;0.84;ND;0.28;0.79;0.7;NA;ND;NA;NA;NA;
2;20;0.94;0.4;0.65;ND;0.15;0.73;0.55;NA;ND;NA;NA;NA;
2;21;0.34;0.44;0.5;ND;0.12;0.63;0.49;NA;ND;NA;NA;NA;
2;22;0.31;0.37;0.38;ND;0.04;0.59;0.44;NA;ND;NA;NA;NA;
2;23;0.42;0.3;0.38;ND;0.13;0.47;0.4;NA;ND;NA;NA;NA;
3;0;0.3;ND;0.35;ND;0.02;0.43;0.42;NA;ND;NA;NA;NA;
3;1;0.19;0.2;0.32;ND;0.03;0.48;0.38;NA;ND;NA;NA;NA;
3;2;0.19;0.22;0.32;ND;0.07;0.42;0.39;NA;ND;NA;NA;NA;
3;3;0.19;0.2;0.29;ND;0.03;0.42;0.46;NA;ND;NA;NA;NA;
3;4;0.23;0.23;0.34;ND;0.06;0.43;0.48;NA;ND;NA;NA;NA;
3;5;0.35;0.48;0.41;ND;0.16;0.53;0.48;NA;ND;NA;NA;NA;
3;6;0.66;1.17;0.79;ND;0.33;0.9;0.62;NA;ND;NA;NA;NA;
3;7;1.02;1.09;1.04;ND;0.3;0.95;0.83;NA;ND;NA;NA;NA;
3;8;0.35;0.36;0.82;ND;0.28;0.68;0.47;NA;ND;NA;NA;NA;
3;9;0.29;0.28;0.72;ND;0.18;0.64;0.51;NA;ND;NA;NA;NA;
3;10;0.3;0.25;0.58;ND;0.05;0.53;0.46;NA;ND;NA;NA;NA;
3;11;0.29;0.26;0.57;ND;0.06;0.5;ND;NA;ND;NA;NA;NA;
3;12;0.28;0.13;0.61;ND;0.04;0.59;ND;NA;ND;NA;NA;NA;
3;13;0.21;0;0.67;ND;0.04;0.53;0.44;NA;ND;NA;NA;NA;
3;14;0.26;ND;0.55;ND;0.02;0.59;ND;NA;ND;NA;NA;NA;
3;15;0.25;ND;0.57;ND;0.01;0.6;0.22;NA;ND;NA;NA;NA;
3;16;0.26;ND;0.77;ND;0;0.61;0.26;NA;ND;NA;NA;NA;
3;17;0.35;ND;0.84;ND;0.06;0.75;0.33;NA;ND;NA;NA;NA;
3;18;0.43;ND;0.9;ND;0.19;0.82;0.36;NA;ND;NA;NA;NA;
3;19;0.48;ND;0.8;ND;0.36;0.88;0.39;NA;ND;NA;NA;NA;
3;20;0.41;ND;0.71;ND;0.37;0.71;0.34;NA;ND;NA;NA;NA;
3;21;0.24;ND;0.58;ND;0.17;0.78;0.3;NA;ND;NA;NA;NA;
3;22;0.19;ND;0.42;ND;0.06;0.54;0.34;NA;ND;NA;NA;NA;
3;23;0.25;ND;0.36;ND;0;0.4;0.25;NA;ND;NA;NA;NA;
4;0;ND;ND;0.26;ND;0;0.38;ND;NA;ND;NA;NA;NA;
4;1;0.18;ND;0.23;ND;0;0.38;0.17;NA;ND;NA;NA;NA;
4;2;0.2;ND;0.27;ND;0;0.45;0.17;NA;ND;NA;NA;NA;
4;3;0.21;ND;0.25;ND;0.02;0.49;0.17;NA;ND;NA;NA;NA;
4;4;0.24;ND;0.33;ND;0.2;0.65;0.19;NA;ND;NA;NA;NA;
4;5;0.57;ND;0.33;ND;0.49;0.78;0.22;NA;ND;NA;NA;NA;
4;6;0.77;ND;0.63;ND;2.16;1.49;0.3;NA;ND;NA;NA;NA;
4;7;1.12;ND;0.68;ND;1.76;1.16;0.3;NA;ND;NA;NA;NA;
4;8;0.45;ND;0.64;ND;0.26;0.67;0.25;NA;ND;NA;NA;NA;
4;9;0.35;ND;0.68;ND;0.09;0.6;0.24;NA;ND;NA;NA;NA;
4;10;0.32;ND;0.61;ND;ND;0.59;0.28;NA;ND;NA;NA;NA;
4;11;0.33;ND;0.69;ND;ND;0.54;0.34;NA;ND;NA;NA;NA;
4;12;0.35;ND;0.7;ND;0.37;0.55;0.31;NA;ND;NA;NA;NA;
4;13;0.31;ND;0.71;ND;0.34;0.57;0.32;NA;ND;NA;NA;NA;
4;14;0.24;0.33;0.67;ND;0.36;0.59;0.49;NA;ND;NA;NA;NA;
4;15;0.26;ND;0.72;ND;0.34;0.62;0.37;NA;ND;NA;NA;NA;
4;16;0.26;ND;0.76;ND;0.41;0.64;0.34;NA;ND;NA;NA;NA;
4;17;0.33;0.28;0.98;ND;0.51;0.72;0.38;NA;ND;NA;NA;NA;
4;18;0.53;0.49;0.98;ND;0.71;0.97;0.53;NA;ND;NA;NA;NA;
4;19;0.82;0.62;1.01;ND;0.83;0.79;0.57;NA;ND;NA;NA;NA;
4;20;0.34;ND;1;ND;0.8;0.83;0.59;NA;ND;NA;NA;NA;
4;21;0.64;0.49;1.14;ND;0.58;1.01;0.28;NA;ND;NA;NA;NA;
4;22;0.61;0.47;0.65;ND;0.39;0.64;0.21;NA;ND;NA;NA;NA;
4;23;0.42;0.22;0.29;ND;0.23;0.45;0.2;NA;ND;NA;NA;NA;
5;0;0.27;0.22;0.25;ND;ND;0.37;0.18;NA;ND;NA;NA;NA;
5;1;0.17;0.18;0.22;ND;0.14;0.36;0.17;NA;ND;NA;NA;NA;
5;2;0.17;0.11;0.25;ND;0.15;0.37;0.17;NA;ND;NA;NA;NA;
5;3;0.18;0.11;0.27;ND;0.18;0.37;0.18;NA;ND;NA;NA;NA;
5;4;0.25;0.11;0.3;ND;0.2;0.41;0.2;NA;ND;NA;NA;NA;
5;5;0.29;0.34;0.4;ND;0.38;0.5;0.23;NA;ND;NA;NA;NA;
5;6;0.67;1.45;0.51;ND;0.87;0.72;0.29;NA;ND;NA;NA;NA;
5;7;1.36;1.73;0.68;ND;1;1.1;0.32;NA;ND;NA;NA;NA;
5;8;0.53;0.6;0.83;ND;0.75;0.97;0.3;NA;ND;NA;NA;NA;
5;9;0.37;0.31;0.71;ND;0.39;0.55;0.29;NA;ND;NA;NA;NA;
5;10;ND;0.24;0.75;ND;0.35;0.62;0.3;NA;ND;NA;NA;NA;
5;11;ND;0.23;0.62;ND;0.34;0.56;0.33;NA;ND;NA;NA;NA;
5;12;0.43;0.25;0.69;ND;0.36;0.55;0.31;NA;ND;NA;NA;NA;
5;13;0.43;0.19;0.67;ND;0.32;0.56;0.38;NA;ND;NA;NA;NA;
5;14;0.71;0.21;0.72;ND;0.39;0.58;0.35;NA;ND;NA;NA;NA;
5;15;0.47;0.19;0.75;ND;0.44;0.63;0.35;NA;ND;NA;NA;NA;
5;16;0.51;0.24;0.9;ND;0.53;0.7;0.49;NA;ND;NA;NA;NA;
5;17;0.6;0.25;0.98;ND;0.6;0.87;0.49;NA;ND;NA;NA;NA;
5;18;0.79;0.35;1.19;ND;1.18;1.34;0.69;NA;ND;NA;NA;NA;
5;19;0.85;0.45;1.21;ND;1.23;2.03;1.14;NA;ND;NA;NA;NA;
5;20;0.75;0.3;1;ND;1.09;1.66;1.29;NA;ND;NA;NA;NA;
5;21;0.74;0.28;1.16;ND;1.07;1.18;0.75;NA;ND;NA;NA;NA;
5;22;0.66;0.35;0.92;ND;0.96;1.15;0.65;NA;ND;NA;NA;NA;
5;23;0.67;ND;0.71;ND;0.75;1.03;0.59;NA;ND;NA;NA;NA;
6;0;ND;0.44;0.59;ND;0.66;0.88;ND;NA;ND;NA;NA;NA;
6;1;0.57;0.3;0.57;ND;0.53;0.76;0.46;NA;ND;NA;NA;NA;
6;2;0.6;0.19;0.59;ND;0.4;0.76;0.35;NA;ND;NA;NA;NA;
6;3;0.53;0.16;0.55;ND;0.39;0.69;0.48;NA;ND;NA;NA;NA;
6;4;0.54;0.15;0.56;ND;0.59;0.73;0.54;NA;ND;NA;NA;NA;
6;5;0.63;0.35;0.62;ND;0.56;0.93;0.62;NA;ND;NA;NA;NA;
6;6;0.73;0.94;0.81;ND;1.23;1.55;0.42;NA;ND;NA;NA;NA;
6;7;1.13;1.33;1.37;ND;1.45;2.11;0.38;NA;ND;NA;NA;NA;
6;8;1.18;0.6;1.75;ND;0.78;1.31;0.31;NA;ND;NA;NA;NA;
6;9;1.19;0.59;1.61;ND;0.64;0.79;0.32;NA;ND;NA;NA;NA;
6;10;0.69;0.4;0.73;ND;0.45;0.72;0.3;NA;ND;NA;NA;NA;
6;11;0.53;0.26;0.67;ND;0.55;0.68;0.33;NA;ND;NA;NA;NA;
6;12;0.56;0.29;0.73;ND;0.6;0.71;0.47;NA;ND;NA;NA;NA;
6;13;0.56;0.33;0.82;ND;0.46;0.69;0.43;NA;ND;NA;NA;NA;
6;14;0.58;0.28;0.69;ND;0.53;0.72;0.47;NA;ND;NA;NA;NA;
6;15;0.57;0.23;0.71;ND;0.5;0.71;0.52;NA;ND;NA;NA;NA;
6;16;0.54;0.24;0.67;ND;0.59;0.73;0.59;NA;ND;NA;NA;NA;
6;17;0.54;0.22;1.01;ND;0.86;1.05;0.64;NA;ND;NA;NA;NA;
6;18;0.78;0.38;1.15;ND;1.09;1.49;0.81;NA;ND;NA;NA;NA;
6;19;1.06;0.42;1.07;ND;1.53;2.06;0.91;NA;ND;NA;NA;NA;
6;20;1.4;0.47;1.16;ND;1.83;1.98;1.01;NA;ND;NA;NA;NA;
6;21;1.37;0.52;1.08;ND;1.72;2.26;1.21;NA;ND;NA;NA;NA;
6;22;1.17;0.45;0.73;ND;1.48;1.79;0.57;NA;ND;NA;NA;NA;
6;23;1.03;0.71;0.98;ND;1.64;2.02;0.46;NA;ND;NA;NA;NA;
7;0;0.6;0.98;0.99;ND;ND;1.64;0.26;NA;ND;NA;NA;NA;
7;1;0.53;0.57;1.21;ND;0.57;0.89;0.23;NA;ND;NA;NA;NA;
7;2;0.61;0.52;0.64;ND;0.31;0.55;0.24;NA;ND;NA;NA;NA;
7;3;0.72;0.51;0.79;ND;0.33;0.53;0.22;NA;ND;NA;NA;NA;
7;4;0.7;0.74;0.59;ND;0.36;0.58;0.23;NA;ND;NA;NA;NA;
7;5;0.91;0.98;0.6;ND;0.54;0.68;0.25;NA;ND;NA;NA;NA;
7;6;1.45;1.86;1.01;ND;1.05;1.07;0.33;NA;ND;NA;NA;NA;
7;7;1.53;2.17;1.45;ND;1.2;1.09;0.46;NA;ND;NA;NA;NA;
7;8;1.84;0.55;1.16;ND;1.02;1.03;0.43;NA;ND;NA;NA;NA;
7;9;ND;0.42;0.71;ND;0.55;0.81;0.46;NA;ND;NA;NA;NA;
7;10;ND;0.25;0.66;ND;0.43;0.63;0.53;NA;ND;NA;NA;NA;
7;11;0.34;0.25;0.7;ND;0.44;0.67;0.37;NA;ND;NA;NA;NA;
7;12;0.33;0.24;0.72;ND;0.36;0.66;0.35;NA;ND;NA;NA;NA;
7;13;0.36;0.22;0.73;ND;0.38;0.6;0.41;NA;ND;NA;NA;NA;
7;14;0.39;0.31;0.74;ND;0.4;0.63;0.37;NA;ND;NA;NA;NA;
7;15;0.34;0.24;0.82;ND;0.42;0.64;0.42;NA;ND;NA;NA;NA;
7;16;0.33;0.2;0.92;ND;0.54;0.77;0.46;NA;ND;NA;NA;NA;
7;17;0.34;0.29;0.91;ND;0.75;0.9;0.58;NA;ND;NA;NA;NA;
7;18;0.42;0.28;0.74;ND;1.07;1.18;1.06;NA;ND;NA;NA;NA;
7;19;0.54;0.47;1.26;ND;1.14;1.45;0.9;NA;ND;NA;NA;NA;
7;20;0.87;0.42;1.27;ND;1.02;1.76;0.73;NA;ND;NA;NA;NA;
7;21;0.73;0.41;1.09;ND;0.91;1.66;0.85;NA;ND;NA;NA;NA;
7;22;1.39;0.6;1.15;ND;0.64;1.42;0.69;NA;ND;NA;NA;NA;
7;23;1.21;0.66;1.39;ND;1.14;1.18;0.39;NA;ND;NA;NA;NA;
8;0;0.83;0.46;1.08;ND;0.9;1.17;ND;NA;ND;NA;NA;NA;
8;1;0.87;0.37;1.25;ND;0.94;1.23;0.27;NA;ND;NA;NA;NA;
8;2;0.91;0.47;1.11;ND;0.51;0.72;0.24;NA;ND;NA;NA;NA;
8;3;0.74;0.43;1.1;ND;0.54;0.64;0.23;NA;ND;NA;NA;NA;
8;4;1.01;0.34;1.05;ND;0.83;1.29;0.27;NA;ND;NA;NA;NA;
8;5;0.9;0.7;1.1;ND;1.1;1.69;0.34;NA;ND;NA;NA;NA;
8;6;1.11;1.59;1.47;ND;2.63;1.87;0.61;NA;ND;NA;NA;NA;
8;7;1.86;0.97;2;ND;2.07;1.96;0.61;NA;ND;NA;NA;NA;
8;8;1.12;0.65;1.23;ND;0.84;1.17;0.46;NA;ND;NA;NA;NA;
8;9;0.77;0.56;0.68;ND;0.61;0.76;0.46;NA;ND;NA;NA;NA;
8;10;0.41;0.27;0.62;ND;0.39;0.65;0.43;NA;ND;NA;NA;NA;
8;11;0.41;0.27;0.48;ND;0.43;0.61;0.4;NA;ND;NA;NA;NA;
8;12;0.33;0.24;0.47;ND;0.35;0.63;0.38;NA;ND;NA;NA;NA;
8;13;0.38;0.3;0.56;ND;0.5;0.67;0.4;NA;ND;NA;NA;NA;
8;14;0.35;0.28;0.56;ND;0.6;0.72;0.57;NA;ND;NA;NA;NA;
8;15;0.32;0.24;0.56;ND;0.87;0.75;0.57;NA;ND;NA;NA;NA;
8;16;0.32;0.29;0.53;ND;0.79;0.87;0.81;NA;ND;NA;NA;NA;
8;17;0.32;0.23;0.57;ND;0.98;1.05;0.95;NA;ND;NA;NA;NA;
8;18;0.54;0.32;1.15;ND;0.88;1.52;1.09;NA;ND;NA;NA;NA;
8;19;0.63;0.37;1.01;ND;2.01;1.82;1.19;NA;ND;NA;NA;NA;
8;20;0.81;0.37;1.07;ND;2.01;2.15;0.76;NA;ND;NA;NA;NA;
8;21;1.13;0.67;1.45;ND;2.44;2.05;0.6;NA;ND;NA;NA;NA;
8;22;0.73;0.67;1.38;ND;1.89;2.61;0.52;NA;ND;NA;NA;NA;
8;23;0.59;0.25;0.89;ND;1.82;2.06;0.33;NA;ND;NA;NA;NA;
9;0;0.74;0.56;0.87;ND;ND;1.64;0.3;NA;ND;NA;NA;NA;
9;1;0.61;0.68;0.88;ND;1.72;1.8;0.3;NA;ND;NA;NA;NA;
9;2;0.34;0.44;0.84;ND;1.25;1.4;0.29;NA;ND;NA;NA;NA;
9;3;0.47;0.38;0.57;ND;0.67;0.73;0.27;NA;ND;NA;NA;NA;
9;4;0.56;0.37;0.54;ND;0.36;0.79;0.29;NA;ND;NA;NA;NA;
9;5;0.5;0.55;0.58;ND;0.59;0.74;0.35;NA;ND;NA;NA;NA;
9;6;0.73;0.49;1.02;ND;1.04;0.89;0.4;NA;ND;NA;NA;NA;
9;7;0.9;0.76;1.2;ND;1.2;0.8;0.38;NA;ND;NA;NA;NA;
9;8;0.76;0.46;0.69;ND;0.48;0.76;0.44;NA;ND;NA;NA;NA;
9;9;0.37;0.3;0.49;ND;0.34;0.55;0.46;NA;ND;NA;NA;NA;
9;10;0.29;0.2;0.5;ND;0.32;0.51;0.42;NA;ND;NA;NA;NA;
9;11;0.26;0.16;0.48;ND;0.33;0.5;0.39;NA;ND;NA;NA;NA;
9;12;0.24;0.2;0.45;ND;0.34;0.49;0.37;NA;ND;NA;NA;NA;
9;13;0.28;0.13;0.52;ND;0.34;0.5;0.32;NA;ND;NA;NA;NA;
9;14;0.3;0.19;0.42;ND;0.36;0.51;0.35;NA;ND;NA;NA;NA;
9;15;0.32;0.22;0.48;ND;0.37;0.54;0.38;NA;ND;NA;NA;NA;
9;16;0.36;0.24;0.51;ND;0.4;0.56;0.41;NA;ND;NA;NA;NA;
9;17;0.34;0.19;0.59;ND;0.42;0.58;0.46;NA;ND;NA;NA;NA;
9;18;0.4;0.21;0.65;ND;0.5;0.64;0.52;NA;ND;NA;NA;NA;
9;19;0.5;0.34;0.71;ND;0.67;0.67;0.85;NA;ND;NA;NA;NA;
9;20;0.59;0.38;0.62;ND;0.71;1.05;0.66;NA;ND;NA;NA;NA;
9;21;0.91;0.34;0.6;ND;0.71;1.26;0.39;NA;ND;NA;NA;NA;
9;22;0.91;0.52;0.81;ND;0.86;0.93;0.35;NA;ND;NA;NA;NA;
9;23;1.03;0.85;0.54;ND;0.82;0.85;0.28;NA;ND;NA;NA;NA;
10;0;0.39;0.57;0.48;ND;0.47;0.64;ND;NA;ND;NA;NA;NA;
10;1;0.49;0.53;0.34;ND;0.24;0.58;0.26;NA;ND;NA;NA;NA;
10;2;0.38;0.49;0.3;ND;0.27;0.5;0.24;NA;ND;NA;NA;NA;
10;3;0.33;0.31;0.29;ND;0.22;0.45;0.23;NA;ND;NA;NA;NA;
10;4;0.34;0.24;0.3;ND;0.19;0.46;0.27;NA;ND;NA;NA;NA;
10;5;0.38;0.45;0.32;ND;0.24;0.5;0.26;NA;ND;NA;NA;NA;
10;6;0.31;0.69;0.36;ND;0.42;0.63;0.3;NA;ND;NA;NA;NA;
10;7;0.31;0.59;0.4;ND;0.38;0.73;0.32;NA;ND;NA;NA;NA;
10;8;0.37;0.33;0.44;ND;0.49;0.65;0.34;NA;ND;NA;NA;NA;
10;9;0.3;0.23;0.43;ND;0.33;0.49;0.32;NA;ND;NA;NA;NA;
10;10;0.3;0.17;0.44;ND;0.32;0.5;0.36;NA;ND;NA;NA;NA;
10;11;0.3;0.16;0.45;ND;0.37;0.53;0.4;NA;ND;NA;NA;NA;
10;12;0.29;0.18;0.43;ND;0.39;0.5;0.39;NA;ND;NA;NA;NA;
10;13;0.3;0.12;0.48;ND;0.39;0.5;0.39;NA;ND;NA;NA;NA;
10;14;0.3;ND;0.5;ND;0.41;0.53;0.39;NA;ND;NA;NA;NA;
10;15;0.39;ND;0.51;ND;0.4;0.52;0.41;NA;ND;NA;NA;NA;
10;16;0.43;ND;0.58;ND;0.5;0.58;0.46;NA;ND;NA;NA;NA;
10;17;0.43;ND;0.59;ND;0.54;0.74;0.5;NA;ND;NA;NA;NA;
10;18;0.45;ND;0.76;ND;0.72;0.89;0.56;NA;ND;NA;NA;NA;
10;19;0.49;ND;0.82;ND;0.71;0.74;0.59;NA;ND;NA;NA;NA;
