DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;6.57;2.73;7.45;ND;87.41;8.73;ND;5.43;ND;NA;NA;NA;
1;1;6.27;4.31;6.12;ND;43.64;11.55;ND;5.93;ND;NA;NA;NA;
1;2;5.16;6.66;5.32;ND;34.41;9.71;ND;5.82;ND;NA;NA;NA;
1;3;5.08;7.7;6.05;ND;54.17;8.95;ND;9.74;ND;NA;NA;NA;
1;4;4.8;8.58;7.99;ND;49.62;12.46;ND;47.05;ND;NA;NA;NA;
1;5;6.41;9.37;9.83;ND;111.18;29.04;ND;26.23;ND;NA;NA;NA;
1;6;12.09;11.41;22.94;ND;115.36;39.8;ND;27.67;ND;NA;NA;NA;
1;7;20.04;11.98;50.6;ND;70.72;61.22;ND;34.05;ND;NA;NA;NA;
1;8;ND;11.89;74.43;ND;26.8;21.21;ND;20.86;ND;NA;NA;NA;
1;9;ND;9.26;41.61;ND;10.65;11.55;ND;9.21;ND;NA;NA;NA;
1;10;10.35;8.09;13.9;ND;6.71;6.83;ND;5.25;ND;NA;NA;NA;
1;11;7.7;6.91;ND;ND;6.9;7.2;ND;6.11;ND;NA;NA;NA;
1;12;4.98;6.37;ND;ND;8.06;8.12;ND;4.02;ND;NA;NA;NA;
1;13;ND;3.24;16.59;ND;6.59;6.22;ND;4.51;ND;NA;NA;NA;
1;14;3.18;1.36;15.99;ND;5.6;9.04;ND;4.79;ND;NA;NA;NA;
1;15;ND;0.77;16.09;ND;7.13;11.54;ND;4.6;ND;NA;NA;NA;
1;16;4.15;1.55;21.25;ND;7.82;ND;ND;4.27;ND;NA;NA;NA;
1;17;4.23;2.42;21.51;ND;9;ND;ND;9.83;ND;NA;NA;NA;
1;18;3.76;1.09;23.27;ND;9.42;5.69;ND;6.29;ND;NA;NA;NA;
1;19;4.86;0.15;26.02;ND;9.71;ND;ND;2.81;ND;NA;NA;NA;
1;20;4.19;0.21;23.21;ND;7.73;7.94;ND;2.06;ND;NA;NA;NA;
1;21;3.63;0.09;18.46;ND;8.48;5.42;ND;1.97;ND;NA;NA;NA;
1;22;4.7;0.05;18.39;ND;6.42;5.46;ND;2.09;ND;NA;NA;NA;
1;23;3.99;0.07;18.37;ND;17.41;5.78;ND;2.09;ND;NA;NA;NA;
2;0;4.09;0.05;18.06;ND;15.05;7.96;ND;1.71;ND;NA;NA;NA;
2;1;4.12;ND;19.54;ND;7.23;6.86;ND;1.32;ND;NA;NA;NA;
2;2;4.63;2.61;18.85;ND;7.27;6.49;ND;2.73;ND;NA;NA;NA;
2;3;5.18;1.49;19.12;ND;7.1;6.1;ND;1.42;ND;NA;NA;NA;
2;4;4.48;0.94;17.46;ND;7.68;5.64;ND;1.37;ND;NA;NA;NA;
2;5;4.3;0.48;18.24;ND;7.33;5.56;ND;1.23;ND;NA;NA;NA;
2;6;5.57;0.74;19.69;ND;10.74;6.07;ND;2.04;ND;NA;NA;NA;
2;7;8.97;0.74;26.9;ND;11.93;8.57;ND;2.85;ND;NA;NA;NA;
2;8;9.47;1.01;65.52;ND;7.16;6.43;ND;3.94;ND;NA;NA;NA;
2;9;8.25;3.26;ND;ND;8.77;3.13;ND;5.03;ND;NA;NA;NA;
2;10;6.89;5.4;ND;ND;6.3;2.54;ND;4.28;ND;NA;NA;NA;
2;11;6.39;4.89;ND;ND;4.66;9.68;ND;2.91;ND;NA;NA;NA;
2;12;4.86;4.49;8.67;ND;4.26;8.5;ND;2.64;ND;NA;NA;NA;
2;13;3.78;3.71;6.13;ND;4.62;ND;ND;4.03;ND;NA;NA;NA;
2;14;4.06;3.28;6.55;ND;3.97;ND;ND;3.98;ND;NA;NA;NA;
2;15;3.35;2.41;6.88;ND;4.66;ND;ND;4.35;ND;NA;NA;NA;
2;16;ND;1.89;5.76;ND;4.94;ND;ND;4.25;ND;NA;NA;NA;
2;17;3.44;1.7;11.8;ND;7.42;9.02;ND;2.68;ND;NA;NA;NA;
2;18;3.37;0.77;13.69;ND;7.39;5.49;ND;1.86;ND;NA;NA;NA;
2;19;ND;0.3;13.73;ND;7.63;4.71;ND;1.59;ND;NA;NA;NA;
2;20;3.32;0.25;7.66;ND;6.37;4.61;ND;1.28;ND;NA;NA;NA;
2;21;3.13;0.12;11.73;ND;5.2;4.62;ND;1.33;ND;NA;NA;NA;
2;22;3.04;0.15;9.7;ND;4.67;4.83;ND;1.61;ND;NA;NA;NA;
2;23;3.06;0.12;6.87;ND;4.11;4.26;ND;1.28;ND;NA;NA;NA;
3;0;3.15;0.11;8.26;ND;3.3;3.73;ND;1.22;ND;NA;NA;NA;
3;1;3.09;0.12;7.99;ND;2.83;3.62;ND;1.86;ND;NA;NA;NA;
3;2;2.82;0.15;6.6;ND;2.68;3.82;ND;1.95;ND;NA;NA;NA;
3;3;3.29;0.09;7.6;ND;3.43;3.76;ND;1.98;ND;NA;NA;NA;
3;4;3.39;0.22;6.88;ND;3.7;2.89;ND;1.56;ND;NA;NA;NA;
3;5;3.6;0.17;7.5;ND;6.12;3.37;ND;2.68;ND;NA;NA;NA;
3;6;3.84;0.77;10.28;ND;5.39;5.16;ND;4.61;ND;NA;NA;NA;
3;7;11.77;2.61;17.49;ND;16.1;8.63;ND;10.18;ND;NA;NA;NA;
3;8;12.27;4.05;71.36;ND;23.25;12.17;ND;17.45;ND;NA;NA;NA;
3;9;8.04;8.91;56.37;ND;11.59;7.79;ND;9.46;ND;NA;NA;NA;
3;10;10.04;7.93;12.47;ND;10.53;4.96;ND;7.35;ND;NA;NA;NA;
3;11;6.82;5.03;13.46;ND;9.27;5.8;ND;6.8;ND;NA;NA;NA;
3;12;ND;3.82;9.82;ND;9.02;6.45;ND;5.03;ND;NA;NA;NA;
3;13;ND;2.42;5.76;ND;5.47;4.54;ND;4.23;ND;NA;NA;NA;
3;14;3.33;0.91;4.87;ND;4.14;5.86;ND;2.48;ND;NA;NA;NA;
3;15;2.78;1.5;7.23;ND;3.76;5.93;ND;2.4;ND;NA;NA;NA;
3;16;ND;1.77;6.4;ND;4.78;ND;ND;4.13;ND;NA;NA;NA;
3;17;4.17;1.84;5.91;ND;7.65;ND;ND;7.49;ND;NA;NA;NA;
3;18;3.32;1.36;7.43;ND;8.37;ND;ND;11.07;ND;NA;NA;NA;
3;19;3.35;2.26;12.18;ND;7.45;ND;ND;5.15;ND;NA;NA;NA;
3;20;4.61;2.84;14.94;ND;6.95;ND;ND;7.35;ND;NA;NA;NA;
3;21;5.67;3.26;12.9;ND;7.35;ND;ND;4.84;ND;NA;NA;NA;
3;22;5.8;3.17;11.03;ND;13.03;ND;ND;7.12;ND;NA;NA;NA;
3;23;4.8;1.92;9.73;ND;13.61;ND;ND;7.36;ND;NA;NA;NA;
4;0;3.26;1.68;9.22;ND;37.25;ND;ND;4.31;ND;NA;NA;NA;
4;1;3.54;ND;8.73;ND;107.64;ND;ND;4.18;ND;NA;NA;NA;
4;2;3.23;2.3;9.42;ND;84.09;ND;ND;9.19;ND;NA;NA;NA;
4;3;3.7;2.32;12.24;ND;88.97;ND;ND;20.91;ND;NA;NA;NA;
4;4;4.16;2.74;10;ND;50.79;ND;ND;21.09;ND;NA;NA;NA;
4;5;4.85;3.75;9.54;ND;27.25;ND;ND;28.84;ND;NA;NA;NA;
4;6;9.08;6.47;12.82;ND;53.5;ND;ND;12.72;ND;NA;NA;NA;
4;7;16.3;12.31;18.01;ND;35.36;ND;ND;13.58;ND;NA;NA;NA;
4;8;14.27;10.68;16.89;ND;10.02;ND;ND;27.94;ND;NA;NA;NA;
4;9;14.31;8.92;14.72;ND;10.34;ND;ND;21.12;ND;NA;NA;NA;
4;10;10.92;8.16;15.72;ND;11.2;ND;ND;9.77;ND;NA;NA;NA;
4;11;10.3;8.92;14.93;ND;12.69;ND;ND;7.64;ND;NA;NA;NA;
4;12;5.83;7.73;13.84;ND;11.93;7.49;ND;12.98;ND;NA;NA;NA;
4;13;3.85;1.85;10.18;ND;6.23;4.02;ND;10.46;ND;NA;NA;NA;
4;14;3.01;0.2;8.15;ND;5.01;1.32;ND;5.29;ND;NA;NA;NA;
4;15;2.9;0.14;8.61;ND;5.11;1.16;ND;2.93;ND;NA;NA;NA;
4;16;3.23;0.11;8.7;ND;4.89;0.78;ND;2.2;ND;NA;NA;NA;
4;17;3.43;0.2;8.67;ND;4.66;0.48;ND;2.44;ND;NA;NA;NA;
4;18;2.96;0.14;8.29;ND;4.82;3.3;ND;2.56;ND;NA;NA;NA;
4;19;3.35;0.09;8.23;ND;4.39;4.06;ND;2.21;ND;NA;NA;NA;
4;20;3.3;0.09;8.06;ND;4.44;4.74;ND;1.98;ND;NA;NA;NA;
4;21;2.97;0.17;8.26;ND;14.68;5.4;ND;1.92;ND;NA;NA;NA;
4;22;2.87;0.15;9.7;ND;13.74;6.23;ND;1.54;ND;NA;NA;NA;
4;23;2.81;0.13;10.32;ND;25.02;6.71;ND;1.48;ND;NA;NA;NA;
5;0;2.79;0.09;11.83;ND;46.05;16.91;ND;1.78;ND;NA;NA;NA;
5;1;ND;0.2;7.79;ND;11.15;12.04;ND;1.32;ND;NA;NA;NA;
5;2;2.52;0.16;7.18;ND;30.96;6.77;ND;1.24;ND;NA;NA;NA;
5;3;2.36;0.1;5.71;ND;11.16;5.08;ND;1.25;ND;NA;NA;NA;
5;4;2.36;0.1;5.83;ND;7.18;3.75;ND;1.23;ND;NA;NA;NA;
5;5;2.51;0.12;8.48;ND;8.18;9.01;ND;1.21;ND;NA;NA;NA;
5;6;2.65;0.08;5.27;ND;9.74;7.59;ND;1.29;ND;NA;NA;NA;
5;7;2.99;0.18;5.71;ND;23.31;6.68;ND;1.4;ND;NA;NA;NA;
5;8;3.82;0.27;7.01;ND;23.43;5.78;ND;1.85;ND;NA;NA;NA;
5;9;4.48;0.21;9.06;ND;16.69;4.3;ND;2.07;ND;NA;NA;NA;
5;10;4.66;0.24;10.9;ND;7.4;1.98;ND;2.74;ND;NA;NA;NA;
5;11;3.3;0.11;7.54;ND;8.17;0.55;ND;1.91;ND;NA;NA;NA;
5;12;2.64;0.11;4;ND;5.1;1.12;ND;1.45;ND;NA;NA;NA;
5;13;2.52;0.26;3.37;ND;4.53;1.96;ND;1.38;ND;NA;NA;NA;
5;14;2.2;0.21;3.74;ND;3.62;1.41;ND;1.51;ND;NA;NA;NA;
5;15;2.04;0.2;4.88;ND;3.64;1.13;ND;1.23;ND;NA;NA;NA;
5;16;2.09;0.31;4.68;ND;2.96;1.24;ND;1.11;ND;NA;NA;NA;
5;17;2.07;0.22;5.32;ND;2.74;1.97;ND;0.99;ND;NA;NA;NA;
5;18;2.48;0.53;5.21;ND;2.83;2.15;ND;1.07;ND;NA;NA;NA;
5;19;3.08;0.51;4.63;ND;3.32;2.17;ND;1.86;ND;NA;NA;NA;
5;20;3.58;0.5;5.58;ND;3.84;2.43;ND;3.57;ND;NA;NA;NA;
5;21;3.02;0.63;5.08;ND;2.91;2.57;ND;4.03;ND;NA;NA;NA;
5;22;2.95;0.44;5.12;ND;3.96;2.35;ND;7.35;ND;NA;NA;NA;
5;23;3.14;0.59;8.21;ND;3.23;2.51;ND;7.59;ND;NA;NA;NA;
6;0;3.37;0.58;6.48;ND;2.61;2.28;ND;3.6;ND;NA;NA;NA;
6;1;3.32;ND;5.33;ND;2.67;ND;ND;2.67;ND;NA;NA;NA;
6;2;3.15;0.99;7.27;ND;4.6;2.13;ND;2.13;ND;NA;NA;NA;
6;3;3.78;0.54;7.33;ND;4.49;2.09;ND;1.93;ND;NA;NA;NA;
6;4;3.7;0.55;10.51;ND;4.94;3.35;ND;1.31;ND;NA;NA;NA;
6;5;3.78;0.55;10.86;ND;5.29;4.2;ND;1.59;ND;NA;NA;NA;
6;6;4.79;0.81;10.32;ND;37.4;4.98;ND;4.39;ND;NA;NA;NA;
6;7;5.8;2.64;14.42;ND;79.38;12.36;ND;14.62;ND;NA;NA;NA;
6;8;7.58;3.43;18.49;ND;25.32;11.02;ND;33.79;ND;NA;NA;NA;
6;9;6.37;3.63;12.63;ND;8.72;4.92;ND;21.73;ND;NA;NA;NA;
6;10;6.19;3.48;10.14;ND;9.21;4.56;ND;11.16;ND;NA;NA;NA;
6;11;4.22;2.32;8.14;ND;10.97;5.19;ND;7.18;ND;NA;NA;NA;
6;12;3.24;2.34;6.25;ND;7.21;4.36;ND;5.61;ND;NA;NA;NA;
6;13;3.15;2.44;6.11;ND;4.51;3.35;ND;4.9;ND;NA;NA;NA;
6;14;2.9;2.46;6.52;ND;3.71;1.88;ND;4.43;ND;NA;NA;NA;
6;15;3.17;1.53;6.98;ND;3.43;1.66;ND;3.53;ND;NA;NA;NA;
6;16;2.6;1.06;6.95;ND;3.11;0.94;ND;2.28;ND;NA;NA;NA;
6;17;2.5;0.75;5.86;ND;3.11;1.43;ND;1.81;ND;NA;NA;NA;
6;18;2.9;0.77;6.37;ND;3.04;2.89;ND;1.68;ND;NA;NA;NA;
6;19;3.11;0.56;5.92;ND;2.76;2.89;ND;1.36;ND;NA;NA;NA;
6;20;2.66;0.54;4.61;ND;2.89;2.16;ND;1.77;ND;NA;NA;NA;
6;21;2.62;0.43;4.72;ND;3;2.27;ND;1.4;ND;NA;NA;NA;
6;22;2.58;0.19;5.15;ND;2.35;2.06;ND;1.26;ND;NA;NA;NA;
6;23;2.33;0.18;3.8;ND;4.21;1.66;ND;1.12;ND;NA;NA;NA;
7;0;2.06;0.12;4.02;ND;4.84;3.03;ND;1.11;ND;NA;NA;NA;
7;1;ND;0.19;7.14;ND;4.83;4.11;ND;1.08;ND;NA;NA;NA;
7;2;2.43;0.24;4.27;ND;6.72;3.22;ND;1.01;ND;NA;NA;NA;
7;3;1.98;0.18;3.81;ND;4.19;2.45;ND;0.92;ND;NA;NA;NA;
7;4;2.2;0.18;3.87;ND;3.3;1.91;ND;0.94;ND;NA;NA;NA;
7;5;2.47;0.31;3.96;ND;3.52;1.82;ND;0.98;ND;NA;NA;NA;
7;6;3.21;0.23;6.65;ND;4.53;2.14;ND;1.03;ND;NA;NA;NA;
7;7;3.16;0.28;8.69;ND;5.33;3.05;ND;1.18;ND;NA;NA;NA;
7;8;3.11;0.27;22.36;ND;7.95;4.26;ND;1.2;ND;NA;NA;NA;
7;9;3.06;0.25;29.63;ND;8.3;3.2;ND;1.34;ND;NA;NA;NA;
7;10;3.16;0.43;ND;ND;4.44;1.89;ND;1.11;ND;NA;NA;NA;
7;11;2.45;ND;ND;ND;3.76;0.64;ND;1.21;ND;NA;NA;NA;
7;12;2.11;ND;ND;ND;ND;1.41;ND;1.17;ND;NA;NA;NA;
7;13;ND;ND;2.54;ND;3.06;2.01;ND;1.17;ND;NA;NA;NA;
7;14;2.28;ND;3.98;ND;2.73;3.64;ND;1.24;ND;NA;NA;NA;
7;15;ND;ND;5.28;ND;2.84;4.05;ND;1.02;ND;NA;NA;NA;
7;16;2.14;ND;ND;ND;2.59;ND;ND;1.41;ND;NA;NA;NA;
7;17;2.25;0.45;ND;ND;2.65;3.42;ND;1.29;ND;NA;NA;NA;
7;18;2.5;0.32;5.59;ND;3.36;3.44;ND;1.06;ND;NA;NA;NA;
7;19;3.47;0.37;5;ND;2.88;3.13;ND;1.43;ND;NA;NA;NA;
7;20;3.11;0.34;3.02;ND;5.07;2.93;ND;1.05;ND;NA;NA;NA;
7;21;3.45;0.27;2.87;ND;4.97;2.83;ND;1.05;ND;NA;NA;NA;
7;22;3.1;ND;2.08;ND;3.18;2.82;ND;1.03;ND;NA;NA;NA;
7;23;2.27;ND;1.59;ND;4.81;2.81;ND;0.89;ND;NA;NA;NA;
8;0;2.54;0.3;1.58;ND;4.09;2.4;ND;0.76;ND;NA;NA;NA;
8;1;2.4;ND;ND;ND;2.46;ND;ND;0.82;ND;NA;NA;NA;
8;2;2.47;0.45;1.24;ND;3.28;2.58;ND;0.97;ND;NA;NA;NA;
8;3;2.02;0.29;1.88;ND;2.87;2.72;ND;0.74;ND;NA;NA;NA;
8;4;2.05;0.19;2.11;ND;2.99;2.47;ND;0.81;ND;NA;NA;NA;
