DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;5.74;3.66;6.68;ND;14.99;7.08;ND;1.48;ND;NA;NA;NA;
1;1;ND;4.7;6.66;ND;23;ND;ND;12.02;ND;NA;NA;NA;
1;2;9.37;4.31;7.43;ND;159.11;14.61;ND;61.13;ND;NA;NA;NA;
1;3;6.91;6.09;6.82;ND;74.7;18.26;ND;41.99;ND;NA;NA;NA;
1;4;6.75;6.79;10.88;ND;35.08;16.54;ND;27.75;ND;NA;NA;NA;
1;5;8.53;6.86;13.95;ND;126.66;17.31;ND;16.01;ND;NA;NA;NA;
1;6;8.64;9.78;27.13;ND;73.21;36.08;ND;19.8;ND;NA;NA;NA;
1;7;14.18;16.13;28.71;ND;32.67;30.79;ND;29.9;ND;NA;NA;NA;
1;8;21.42;15.07;26.35;ND;33.38;17.89;ND;39.03;ND;NA;NA;NA;
1;9;13.81;11.71;24.85;ND;20.98;18.5;ND;28.76;ND;NA;NA;NA;
1;10;9.74;8.23;14.06;ND;7.28;7.82;ND;15.35;ND;NA;NA;NA;
1;11;8.21;8.82;6.35;ND;5.58;3.81;ND;8.56;ND;NA;NA;NA;
1;12;6.24;4.05;4.35;ND;4.73;4.11;ND;4.39;ND;NA;NA;NA;
1;13;4.54;3.58;6.21;ND;5.97;4.55;ND;3.61;ND;NA;NA;NA;
1;14;3.87;2.93;3.85;ND;5.9;2.94;ND;2.97;ND;NA;NA;NA;
1;15;3.28;2.31;4.95;ND;4.07;3.79;ND;2.29;ND;NA;NA;NA;
1;16;3.11;2.25;5.19;ND;5.18;5;ND;2.09;ND;NA;NA;NA;
1;17;3.32;2.58;5.7;ND;6.02;5.1;ND;3.03;ND;NA;NA;NA;
1;18;5.71;2.92;6.28;ND;10.54;6.77;ND;2.44;ND;NA;NA;NA;
1;19;5.55;2.47;5.72;ND;11.86;4.68;ND;3.85;ND;NA;NA;NA;
1;20;5.73;2.7;3.56;ND;9.77;3.77;ND;3.4;ND;NA;NA;NA;
1;21;6.58;2.99;2.87;ND;11.2;4.82;ND;2.94;ND;NA;NA;NA;
1;22;12.47;5.86;6.86;ND;8.13;5.61;ND;3.09;ND;NA;NA;NA;
1;23;15.42;9.31;14.3;ND;12.49;12.93;ND;3.05;ND;NA;NA;NA;
2;0;9.67;5.44;9.53;ND;14.62;12.64;ND;2.65;ND;NA;NA;NA;
2;1;9.98;ND;ND;ND;ND;10.04;ND;2.26;ND;NA;NA;NA;
2;2;7.3;15.76;7.08;ND;10.75;8.32;ND;2.36;ND;NA;NA;NA;
2;3;6.35;5.51;6.08;ND;10.32;7.63;ND;2.51;ND;NA;NA;NA;
2;4;5.52;4.3;5.37;ND;8.79;9.21;ND;6.15;ND;NA;NA;NA;
2;5;9.37;7;5.96;ND;11.1;9.57;ND;4.23;ND;NA;NA;NA;
2;6;11.26;7.11;9.61;ND;27.48;16.28;ND;6.29;ND;NA;NA;NA;
2;7;10.61;6.88;13.03;ND;61.23;17.87;ND;7.76;ND;NA;NA;NA;
2;8;8.76;5.65;17.95;ND;37.06;22.71;ND;9.88;ND;NA;NA;NA;
2;9;11.42;5.32;15.46;ND;20.19;12.36;ND;23.16;ND;NA;NA;NA;
2;10;7.64;8.11;7.05;ND;7.37;3.41;ND;8.38;ND;NA;NA;NA;
2;11;6.61;5.93;3.29;ND;4.44;2.58;ND;4.94;ND;NA;NA;NA;
2;12;3.9;4.24;3.88;ND;3.35;2.38;ND;2.31;ND;NA;NA;NA;
2;13;4.22;3.13;4.17;ND;3.42;2.53;ND;3.8;ND;NA;NA;NA;
2;14;3.52;2.96;4.81;ND;6.24;12.45;ND;1.63;ND;NA;NA;NA;
2;15;3.2;2.83;9.95;ND;2.98;5.75;ND;1.42;ND;NA;NA;NA;
2;16;3.11;2.11;4.84;ND;4.61;3.79;ND;1.7;ND;NA;NA;NA;
2;17;3.5;2.11;7.23;ND;7.39;5.12;ND;1.86;ND;NA;NA;NA;
2;18;4.09;1.97;10.59;ND;8.42;7;ND;1.84;ND;NA;NA;NA;
2;19;3.99;ND;9.41;ND;12.99;7.98;ND;1.82;ND;NA;NA;NA;
2;20;5.32;ND;8.01;ND;9.7;7.36;ND;1.65;ND;NA;NA;NA;
2;21;5.08;ND;7.42;ND;8.45;6.77;ND;1.74;ND;NA;NA;NA;
2;22;5.37;ND;7.97;ND;8.74;6.68;ND;2.1;ND;NA;NA;NA;
2;23;6.25;ND;10.75;ND;8.84;8.06;ND;2.4;ND;NA;NA;NA;
3;0;4.57;3.51;9.04;ND;10.13;7.71;ND;1.89;ND;NA;NA;NA;
3;1;ND;2.31;7.92;ND;8.72;ND;ND;1.58;ND;NA;NA;NA;
3;2;4.23;1.92;6.55;ND;7.46;6.34;ND;2.52;ND;NA;NA;NA;
3;3;4.47;1.9;6.61;ND;6.88;5.86;ND;2.05;ND;NA;NA;NA;
3;4;4.99;2.37;5.12;ND;6.62;5.23;ND;3.09;ND;NA;NA;NA;
3;5;4.48;2.21;5.05;ND;7.54;5.69;ND;3.04;ND;NA;NA;NA;
3;6;4.83;2.03;5.7;ND;7.4;7.08;ND;3.22;ND;NA;NA;NA;
3;7;5.25;2.18;8.14;ND;8.89;8.06;ND;5.15;ND;NA;NA;NA;
3;8;5.42;2.63;9.27;ND;7.39;6.93;ND;6.99;ND;NA;NA;NA;
3;9;6;3.36;ND;ND;6.11;5.89;ND;4.18;ND;NA;NA;NA;
3;10;4.81;2.81;ND;ND;5.53;4.28;ND;2.96;ND;NA;NA;NA;
3;11;3.98;2.29;ND;ND;4.92;3.05;ND;2.32;ND;NA;NA;NA;
3;12;3.99;2.56;ND;ND;4.23;2.65;ND;1.65;ND;NA;NA;NA;
