DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;18.46;6.43;29;ND;74.88;20.2;ND;2.11;ND;NA;NA;NA;
1;1;14.88;ND;ND;ND;ND;26.27;ND;5.02;ND;NA;NA;NA;
1;2;12.26;13.61;24.2;ND;111.67;22.79;ND;4.66;ND;NA;NA;NA;
1;3;10.8;14.31;19.23;ND;85.41;19.52;ND;7.42;ND;NA;NA;NA;
1;4;14.22;14.38;17.91;ND;44.39;19.27;ND;10.55;ND;NA;NA;NA;
1;5;15.27;12.87;14.55;ND;42.07;17.54;ND;5.99;ND;NA;NA;NA;
1;6;19.56;13.6;14.7;ND;39.46;15.09;ND;6.72;ND;NA;NA;NA;
1;7;22.4;14.11;20.19;ND;36.16;17.48;ND;8.32;ND;NA;NA;NA;
1;8;24.02;18.4;16.77;ND;32.96;16.92;ND;13.92;ND;NA;NA;NA;
1;9;19.38;16.19;8.91;ND;13.45;8.87;ND;15.72;ND;NA;NA;NA;
1;10;10.1;11.13;9.65;ND;7.91;9.04;ND;7.2;ND;NA;NA;NA;
1;11;12.45;14.36;7.79;ND;8.06;8.33;ND;5.09;ND;NA;NA;NA;
1;12;10.05;14.41;6.68;ND;6.18;5.55;ND;4.77;ND;NA;NA;NA;
1;13;6.73;20.07;10.16;ND;3.87;7.86;ND;8.19;ND;NA;NA;NA;
1;14;4.74;22.45;5.5;ND;4.94;4.58;ND;20.95;ND;NA;NA;NA;
1;15;3.71;22.39;5.83;ND;4.14;5.09;ND;31.85;ND;NA;NA;NA;
1;16;3.46;13.29;8.48;ND;6.29;6.94;ND;12.9;ND;NA;NA;NA;
1;17;4.5;10.53;12.73;ND;6.74;10.29;ND;8.59;ND;NA;NA;NA;
1;18;6.74;8.56;14.11;ND;10.78;9.66;ND;7.81;ND;NA;NA;NA;
1;19;6.23;6.07;14.18;ND;8.87;12.8;ND;7.01;ND;NA;NA;NA;
1;20;6.35;5.34;13.4;ND;10.06;13.18;ND;5.16;ND;NA;NA;NA;
1;21;6.86;4.31;12.18;ND;10.65;12.12;ND;3.91;ND;NA;NA;NA;
1;22;5.95;4.26;11.23;ND;10.14;10.8;ND;5.9;ND;NA;NA;NA;
1;23;5.75;3.88;10.38;ND;8.01;10.69;ND;5.98;ND;NA;NA;NA;
