DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;29.95;28.26;34.62;NA;18.48;39.66;32.82;ND;30.19;NA;NA;NA;
1;1;29.94;25.39;38.82;NA;23.11;35.99;ND;29.92;32.65;NA;NA;NA;
1;2;28.77;ND;ND;NA;18.93;ND;31.6;28.28;27.73;NA;NA;NA;
1;3;26.84;25.73;30.88;NA;17.08;36.1;24.69;29.33;24.91;NA;NA;NA;
1;4;24.72;25.5;32.62;NA;17.18;41.56;33.43;29.12;27.94;NA;NA;NA;
1;5;20.42;20.74;27.37;NA;7.49;39.94;39.85;19.45;28.49;NA;NA;NA;
1;6;15.4;20.61;18.2;NA;3.83;24.03;22.12;11.95;7.49;NA;NA;NA;
1;7;11.56;17.17;13.95;NA;9.22;13.19;25.17;6.82;0.95;NA;NA;NA;
1;8;11.3;16.14;13.11;NA;20.6;17.47;31.16;9.85;8.83;NA;NA;NA;
1;9;29.88;24.26;25.51;NA;10.56;24.82;36.54;15.6;11.74;NA;NA;NA;
1;10;49.46;34.91;48.53;NA;23.73;43.86;46.4;23.79;14.82;NA;NA;NA;
1;11;62.14;54.96;49.94;NA;38.26;60.21;66.5;50.68;25.85;NA;NA;NA;
1;12;56.26;53.47;60.3;NA;46.29;58.09;58.14;74.32;31;NA;NA;NA;
1;13;62.81;53.7;57.88;NA;44.55;53.93;59.21;73.41;74.35;NA;NA;NA;
1;14;48.93;49.06;49.12;NA;40.7;56.36;56.51;72.08;31.65;NA;NA;NA;
1;15;46.23;42.43;46.39;NA;35.62;43.19;50.86;64.85;68.77;NA;NA;NA;
1;16;44.65;40.95;32.17;NA;27.17;30.2;56.53;49.34;56.7;NA;NA;NA;
1;17;42.97;40.24;18.21;NA;29.54;14.9;39.6;35.59;32;NA;NA;NA;
1;18;37.75;36.68;14.62;NA;25.48;5.51;16.52;31.09;27.27;NA;NA;NA;
1;19;15.61;29.87;4.19;NA;21.76;10.54;26.03;30.71;33.07;NA;NA;NA;
1;20;4.9;24.11;5.12;NA;28.52;12.03;30.99;23.34;29.65;NA;NA;NA;
1;21;7.77;9.92;3.39;NA;7.94;9.84;34.26;11.22;29.89;NA;NA;NA;
1;22;19.72;14.47;15.99;NA;10.29;4.89;26.64;18.18;29.81;NA;NA;NA;
1;23;10.94;18.18;14.14;NA;7.33;4.1;35.58;29.8;25.78;NA;NA;NA;
2;0;5.03;10.48;8.31;NA;6;2.6;25.65;31.09;12.71;NA;NA;NA;
2;1;3.32;6.46;12.34;NA;10.36;9.02;31.27;33.6;ND;NA;NA;NA;
2;2;ND;10.92;14.1;NA;ND;18.31;32.92;30.11;11.03;NA;NA;NA;
2;3;18.06;23.49;18.31;NA;23.32;16.45;24.28;23.2;12.72;NA;NA;NA;
2;4;10.77;24.27;15.5;NA;17.13;25.06;19.78;17.84;8.36;NA;NA;NA;
2;5;16.55;10.41;5.24;NA;14.66;20.74;29.46;7.57;4.27;NA;NA;NA;
2;6;11.51;3.49;7.37;NA;8.68;14.77;27.55;3.43;5.31;NA;NA;NA;
2;7;18.98;21.48;21.58;NA;18.4;20.81;49.09;9.59;16.65;NA;NA;NA;
2;8;42.12;34.29;37.6;NA;34.67;46.14;59.87;34.07;33;NA;NA;NA;
2;9;60.3;43.43;56.02;NA;55.86;62.32;72.6;51.84;48.96;NA;NA;NA;
2;10;82.01;76.23;64.91;NA;65.9;76.5;90.99;67.64;22.4;NA;NA;NA;
2;11;72.75;76.91;83.05;NA;47.59;76.78;67.73;84.04;47.13;NA;NA;NA;
2;12;49.02;52.05;62.76;NA;40.01;59.87;70.17;89.4;61.96;NA;NA;NA;
2;13;49.53;56;59.54;NA;40.8;54.72;63.34;60.66;56.2;NA;NA;NA;
2;14;53.03;51.36;65.14;NA;40.56;48.38;56.67;59.39;56.27;NA;NA;NA;
2;15;52.87;52;61.69;NA;42.73;51.03;56.68;47.09;60.21;NA;NA;NA;
2;16;52.64;52.65;35.22;NA;40.71;53.71;59.7;51.39;55.97;NA;NA;NA;
2;17;51.13;49.94;30.5;NA;40.41;48.8;54.91;47.49;50;NA;NA;NA;
2;18;43.46;42.91;24.66;NA;43.22;32.48;42.79;44.1;23.39;NA;NA;NA;
2;19;24.55;40.69;26.49;NA;34.11;18.77;31.81;40.56;29.36;NA;NA;NA;
2;20;24.34;25.67;25.44;NA;31.86;27.2;33.42;41.61;36.33;NA;NA;NA;
2;21;27.62;26.4;29.98;NA;20.4;26.15;31.16;39.37;39.87;NA;NA;NA;
2;22;36.8;28.67;31.01;NA;13.46;30.99;28.62;36.86;35.47;NA;NA;NA;
2;23;38.49;26.87;34.06;NA;22.52;36.43;30.23;33;21.03;NA;NA;NA;
3;0;33.15;31.16;35.21;NA;30.44;38.06;31.68;ND;4.14;NA;NA;NA;
3;1;29.76;19.37;30.94;NA;33.25;34.08;ND;15.66;26.47;NA;NA;NA;
3;2;36.16;ND;ND;NA;26.78;ND;33.93;11.36;22.39;NA;NA;NA;
3;3;23.25;30.44;26.25;NA;19.2;26.65;32.32;12.18;8.55;NA;NA;NA;
3;4;25.65;26.01;35.33;NA;7.99;6.44;35.41;4.43;8.24;NA;NA;NA;
3;5;14.16;14.28;21.85;NA;4.49;7.58;23.45;2.62;6.58;NA;NA;NA;
3;6;5.93;6.87;18.35;NA;7.3;6.88;14.32;1.43;7;NA;NA;NA;
3;7;18.66;20.25;21.28;NA;16.66;19.52;36.18;12.21;11.12;NA;NA;NA;
3;8;34.48;38.72;36.46;NA;33.81;38.35;55.31;21.27;39.04;NA;NA;NA;
3;9;52.76;42.46;56.24;NA;58.91;68.27;96.23;43.86;61.43;NA;NA;NA;
3;10;60.54;58.31;61.15;NA;60.03;65.23;99.87;66.05;73.08;NA;NA;NA;
3;11;77.17;74.99;76.03;NA;54.23;74.34;72.31;69.6;51.78;NA;NA;NA;
3;12;63.43;78.51;79.73;NA;49.12;97.09;50.92;84.21;90.74;NA;NA;NA;
3;13;55.12;66.03;86.25;NA;47.93;92.39;57.2;106.07;91.57;NA;NA;NA;
3;14;49.46;51.73;92.99;NA;40.47;63.87;70.64;106.62;81.36;NA;NA;NA;
3;15;45.54;49.31;58.85;NA;39.56;55.15;55.86;52.87;59.5;NA;NA;NA;
