DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.18;0;2.9;ND;1.82;4.6;ND;0.91;ND;NA;NA;NA;
1;1;1.14;ND;ND;ND;1.42;ND;ND;0.72;ND;NA;NA;NA;
1;2;1.37;0.07;2.1;ND;1.43;4.14;ND;1;ND;NA;NA;NA;
1;3;1.44;0;2.19;ND;1.15;3.55;ND;0.99;ND;NA;NA;NA;
1;4;1.18;0.72;2.11;ND;1.19;3.22;ND;0.94;ND;NA;NA;NA;
1;5;1.81;0.45;2.2;ND;2.15;3.02;ND;0.94;ND;NA;NA;NA;
1;6;1.61;0.81;1.89;ND;2.64;3.32;ND;1.85;ND;NA;NA;NA;
1;7;2.08;0.95;2.42;ND;2.35;3.93;ND;2.67;ND;NA;NA;NA;
1;8;2.56;0.86;2.79;ND;1.88;3.77;ND;4.1;ND;NA;NA;NA;
1;9;2.44;0.4;3.17;ND;4.82;3.55;ND;5.6;ND;NA;NA;NA;
1;10;1.8;0.27;2.86;ND;3.69;3.71;ND;6.43;ND;NA;NA;NA;
1;11;2.21;0.61;4.03;ND;2.81;3.77;ND;2.61;ND;NA;NA;NA;
1;12;2.33;0.47;3.48;ND;2.84;3.73;ND;1.93;ND;NA;NA;NA;
1;13;1.88;0.8;3.19;ND;2.65;3.94;ND;2.21;ND;NA;NA;NA;
1;14;1.12;0.62;2.55;ND;2.72;3.35;ND;1.27;ND;NA;NA;NA;
1;15;1.01;0.6;4.19;ND;1.96;3.62;ND;1.82;ND;NA;NA;NA;
1;16;1.1;0.42;4.71;ND;1.33;3.53;ND;1.95;ND;NA;NA;NA;
1;17;1.32;0.46;4.23;ND;1.2;3.96;ND;4.38;ND;NA;NA;NA;
1;18;1.43;0.53;4.4;ND;1.27;4.46;ND;2.09;ND;NA;NA;NA;
1;19;1.96;0.38;10.26;ND;1.41;4.45;ND;1.39;ND;NA;NA;NA;
1;20;2.59;0.74;6.39;ND;1.44;4.68;ND;1.45;ND;NA;NA;NA;
1;21;3.29;1.12;5.19;ND;16.93;4.85;ND;1.59;ND;NA;NA;NA;
1;22;1.86;0.72;3.85;ND;10.41;7.11;ND;1.26;ND;NA;NA;NA;
1;23;1.81;0.51;4.18;ND;14.57;5.91;ND;0.87;ND;NA;NA;NA;
2;0;1.83;0.65;3.78;ND;13.12;7.05;ND;0.76;ND;NA;NA;NA;
2;1;ND;0.37;3.83;ND;ND;7.42;ND;0.58;ND;NA;NA;NA;
