DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;34.69;33.32;32.47;NA;31.14;50.42;NA;NA;ND;NA;NA;NA;
1;1;27.75;22;29.07;NA;28.97;28.12;NA;NA;ND;NA;NA;NA;
1;2;30.21;20.28;21.15;NA;24.22;20.14;NA;NA;ND;NA;NA;NA;
1;3;33.42;28.43;17.51;NA;33;27.04;NA;NA;ND;NA;NA;NA;
1;4;29.48;33.42;13.23;NA;31.9;28.23;NA;NA;ND;NA;NA;NA;
1;5;32.75;34.84;11.74;NA;22.04;22.9;NA;NA;ND;NA;NA;NA;
1;6;13.09;32.47;19.94;NA;53.44;34.14;NA;NA;ND;NA;NA;NA;
1;7;15.06;42.75;36.05;NA;77.16;45.32;NA;NA;ND;NA;NA;NA;
1;8;19.66;27.84;47.07;NA;78.53;43.72;NA;NA;ND;NA;NA;NA;
1;9;21.88;7.2;24.14;NA;55.93;36;NA;NA;ND;NA;NA;NA;
1;10;23.66;18.7;16.09;NA;25.5;19.95;NA;NA;ND;NA;NA;NA;
1;11;14.78;26.38;10.88;NA;10.35;9.46;NA;NA;ND;NA;NA;NA;
1;12;16.32;23.35;15.84;NA;11.36;16.27;NA;NA;ND;NA;NA;NA;
1;13;7.54;34.35;16.33;NA;21.14;16.61;NA;NA;ND;NA;NA;NA;
1;14;22.91;20.87;22.22;NA;14.78;21.76;NA;NA;ND;NA;NA;NA;
1;15;20.88;16.8;29.63;NA;17.14;21.17;NA;NA;ND;NA;NA;NA;
1;16;16.6;2.09;9.95;NA;14.92;15.62;NA;NA;ND;NA;NA;NA;
1;17;2.09;12.54;30.36;NA;34.48;30.94;NA;NA;ND;NA;NA;NA;
1;18;17.9;21.07;19.33;NA;24.27;20.04;NA;NA;ND;NA;NA;NA;
1;19;9.28;13.51;13.8;NA;16.51;23.28;NA;NA;ND;NA;NA;NA;
1;20;13.27;16.23;27.33;NA;22.86;22.14;NA;NA;ND;NA;NA;NA;
1;21;21.74;2.36;16.04;NA;9.36;17.11;NA;NA;ND;NA;NA;NA;
1;22;9.95;6.24;20.96;NA;21.23;14.66;NA;NA;ND;NA;NA;NA;
1;23;15.81;7.11;22.2;NA;46.42;17.07;NA;NA;ND;NA;NA;NA;
2;0;11.16;14.55;17.62;NA;34.9;9.9;NA;NA;ND;NA;NA;NA;
2;1;7.98;22.58;21.19;NA;31.92;23.73;NA;NA;ND;NA;NA;NA;
2;2;23.61;28.88;20.15;NA;29.01;24;NA;NA;ND;NA;NA;NA;
2;3;21.75;2.64;15.84;NA;17.04;18.73;NA;NA;ND;NA;NA;NA;
2;4;11.83;10.61;14.61;NA;13.17;13.94;NA;NA;ND;NA;NA;NA;
2;5;13.22;20.56;15.54;NA;15.45;10.85;NA;NA;ND;NA;NA;NA;
2;6;16.18;11.82;18.21;NA;16.65;9.73;NA;NA;ND;NA;NA;NA;
2;7;11.49;11.62;14.82;NA;20.69;16.99;NA;NA;ND;NA;NA;NA;
2;8;10.14;19.71;7.24;NA;17.75;2.84;NA;NA;ND;NA;NA;NA;
2;9;20.41;20.28;14.23;NA;9.42;12.22;NA;NA;ND;NA;NA;NA;
2;10;11.97;18.31;18.8;NA;25.1;30.86;NA;NA;ND;NA;NA;NA;
2;11;20.49;18.26;8.31;NA;18.74;12.83;NA;NA;ND;NA;NA;NA;
2;12;16.04;20;5.99;NA;15.43;14.4;NA;NA;ND;NA;NA;NA;
2;13;6.66;23.27;2.83;NA;7.86;17.62;NA;NA;ND;NA;NA;NA;
2;14;2.88;16.72;6.3;NA;4.28;14.82;NA;NA;ND;NA;NA;NA;
2;15;10.98;16.98;6.62;NA;12.51;8.41;NA;NA;ND;NA;NA;NA;
2;16;2.58;7.63;21.68;NA;14.39;22.75;NA;NA;ND;NA;NA;NA;
2;17;14.45;6.07;17.54;NA;12.42;6.9;NA;NA;ND;NA;NA;NA;
2;18;2.41;21.7;20.35;NA;23.28;9.58;NA;NA;ND;NA;NA;NA;
2;19;19.45;8.03;19.44;NA;16.43;20.13;NA;NA;ND;NA;NA;NA;
2;20;13.66;9.29;12.63;NA;17.23;8.4;NA;NA;ND;NA;NA;NA;
2;21;9.77;6.01;9.39;NA;15.69;13.05;NA;NA;ND;NA;NA;NA;
2;22;8.24;7.64;11.47;NA;10.04;9.56;NA;NA;ND;NA;NA;NA;
2;23;8.64;25.91;15.47;NA;20.39;17.96;NA;NA;ND;NA;NA;NA;
3;0;5.11;9.75;8.7;NA;21.37;11.13;NA;NA;ND;NA;NA;NA;
3;1;21.36;1.25;21.83;NA;21.52;19.02;NA;NA;ND;NA;NA;NA;
3;2;9.18;9.57;12.06;NA;16.6;19.7;NA;NA;ND;NA;NA;NA;
3;3;11.12;3.9;11.79;NA;9.96;18.06;NA;NA;ND;NA;NA;NA;
3;4;6.04;4.96;17.25;NA;17.54;17.57;NA;NA;ND;NA;NA;NA;
3;5;3.21;3.89;17.4;NA;16.17;13.5;NA;NA;ND;NA;NA;NA;
3;6;7.94;13.86;11.32;NA;23.12;20.79;NA;NA;ND;NA;NA;NA;
3;7;9.24;8.24;15.03;NA;31.29;16.72;NA;NA;ND;NA;NA;NA;
3;8;9.9;10.1;15.77;NA;31.7;12.83;NA;NA;ND;NA;NA;NA;
3;9;24.65;13.46;33.65;NA;16.21;19.85;NA;NA;ND;NA;NA;NA;
3;10;30.67;18.51;17.35;NA;22.33;31.16;NA;NA;ND;NA;NA;NA;
3;11;5.61;25.32;10.57;NA;17.71;13.92;NA;NA;ND;NA;NA;NA;
3;12;25.92;31.25;9.65;NA;12.03;18.42;NA;NA;ND;NA;NA;NA;
3;13;18.58;29.47;24.57;NA;14.4;23.87;NA;NA;ND;NA;NA;NA;
3;14;18.13;30.7;20.01;NA;25.57;21.92;NA;NA;ND;NA;NA;NA;
3;15;2.99;11.33;15.27;NA;16.16;18.79;NA;NA;ND;NA;NA;NA;
3;16;11.51;4.74;20.65;NA;6.58;15.42;NA;NA;ND;NA;NA;NA;
3;17;6.8;4.14;18.04;NA;8.22;5.15;NA;NA;ND;NA;NA;NA;
3;18;12.46;9.02;14.47;NA;4.88;12.57;NA;NA;ND;NA;NA;NA;
3;19;7.81;5.25;21.65;NA;10.69;22.64;NA;NA;ND;NA;NA;NA;
3;20;4.51;15;11.17;NA;19.66;6.25;NA;NA;ND;NA;NA;NA;
3;21;11.91;4.76;8.25;NA;20.95;21.83;NA;NA;ND;NA;NA;NA;
3;22;8.11;2.24;16.15;NA;13.88;22.36;NA;NA;ND;NA;NA;NA;
3;23;10.73;7.87;11.51;NA;19.89;22.4;NA;NA;ND;NA;NA;NA;
4;0;5.24;0.1;10.4;NA;40.52;27.07;NA;NA;ND;NA;NA;NA;
4;1;8.6;8.7;16.33;NA;2.5;29.8;NA;NA;ND;NA;NA;NA;
4;2;2.29;7.08;10.89;NA;13.32;17.93;NA;NA;ND;NA;NA;NA;
4;3;6.28;13.16;12.28;NA;16.23;15.85;NA;NA;ND;NA;NA;NA;
4;4;10.29;7.25;12.72;NA;8.37;13.1;NA;NA;ND;NA;NA;NA;
4;5;11.63;10.32;15.88;NA;15.75;13;NA;NA;ND;NA;NA;NA;
4;6;11.53;15.88;13.16;NA;30.76;17.22;NA;NA;ND;NA;NA;NA;
4;7;17.85;23.42;21.41;NA;28.19;19.66;NA;NA;ND;NA;NA;NA;
4;8;20.58;12.75;34.21;NA;30.77;21.24;NA;NA;ND;NA;NA;NA;
4;9;27.47;13.87;14.23;NA;17.25;6.31;NA;NA;ND;NA;NA;NA;
4;10;19;25.96;13.87;NA;16.33;18.38;NA;NA;ND;NA;NA;NA;
4;11;18.11;23.94;4.86;NA;9.96;13.66;NA;NA;ND;NA;NA;NA;
4;12;11.98;19.57;2.09;NA;14.52;2.94;NA;NA;ND;NA;NA;NA;
4;13;16.78;19.85;4.75;NA;6.58;5.11;NA;NA;ND;NA;NA;NA;
4;14;5.82;6.36;8.95;NA;13;13.03;NA;NA;ND;NA;NA;NA;
4;15;9.04;8.17;18.42;NA;14.39;18.2;NA;NA;ND;NA;NA;NA;
4;16;13.01;11.94;14.55;NA;6.73;15.14;NA;NA;ND;NA;NA;NA;
4;17;8.05;13.85;14.98;NA;10.09;7.97;NA;NA;ND;NA;NA;NA;
4;18;14.32;12.96;20.77;NA;10.08;14.13;NA;NA;ND;NA;NA;NA;
4;19;8.79;6.34;10.61;NA;9.9;18.88;NA;NA;ND;NA;NA;NA;
4;20;12.08;14.65;18.68;NA;9.11;17.53;NA;NA;ND;NA;NA;NA;
4;21;9.76;12.91;10.65;NA;10.6;7.89;NA;NA;ND;NA;NA;NA;
4;22;6.34;4.13;9.63;NA;14.11;9.2;NA;NA;ND;NA;NA;NA;
4;23;7.87;15.27;6.15;NA;17.31;7.58;NA;NA;ND;NA;NA;NA;
5;0;20.98;11.68;9.27;NA;7.43;13.57;NA;NA;ND;NA;NA;NA;
5;1;8.41;4.59;14.83;NA;16.78;17.82;NA;NA;ND;NA;NA;NA;
5;2;7.27;2.74;11.79;NA;12.65;12.35;NA;NA;ND;NA;NA;NA;
5;3;1.69;1.86;18.05;NA;5.91;15.96;NA;NA;ND;NA;NA;NA;
5;4;9.94;7.06;11.04;NA;25.02;13.8;NA;NA;ND;NA;NA;NA;
5;5;15.15;2.82;15.97;NA;23.75;14.09;NA;NA;ND;NA;NA;NA;
5;6;12.54;12.34;13.85;NA;20.96;26.52;NA;NA;ND;NA;NA;NA;
5;7;17.96;0.64;32.35;NA;18.55;26.48;NA;NA;ND;NA;NA;NA;
5;8;16.38;21.21;25.75;NA;9.04;13.16;NA;NA;ND;NA;NA;NA;
5;9;13.38;12.38;19.03;NA;3.74;11.32;NA;NA;ND;NA;NA;NA;
5;10;12.61;3.54;12.47;NA;16.1;16.33;NA;NA;ND;NA;NA;NA;
5;11;18.74;30.48;5.1;NA;12.07;9.98;NA;NA;ND;NA;NA;NA;
5;12;13.88;12.29;5.24;NA;13.38;12.69;NA;NA;ND;NA;NA;NA;
5;13;10.75;17.71;17.78;NA;17.02;17.07;NA;NA;ND;NA;NA;NA;
5;14;6.21;14.56;19.43;NA;13.39;19.15;NA;NA;ND;NA;NA;NA;
5;15;12.78;12.1;15.86;NA;ND;22.92;NA;NA;ND;NA;NA;NA;
5;16;11.79;12.63;20.05;NA;ND;31.63;NA;NA;ND;NA;NA;NA;
5;17;7.11;15.75;40.01;NA;9.32;17.02;NA;NA;ND;NA;NA;NA;
