DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.41;15.43;1.41;NA;1.56;10.16;8.39;4.55;4.99;NA;NA;NA;
1;1;6.66;11.94;3.7;NA;0.47;11.61;12.08;1.87;3.96;NA;NA;NA;
1;2;6.08;1.48;1.67;NA;0.55;6.42;10.21;0.96;3.66;NA;NA;NA;
1;3;8.57;0.29;0.88;NA;0.22;1.73;13.7;2.32;6.32;NA;NA;NA;
1;4;7.04;2.38;1.04;NA;0.14;1.11;17.09;0.38;5.86;NA;NA;NA;
1;5;9.37;1.69;0.81;NA;0.11;1.47;5.19;0.47;5.17;NA;NA;NA;
1;6;9.21;2.48;2.73;NA;0.28;2.24;4.7;1.23;5.18;NA;NA;NA;
1;7;15.45;10.02;6.73;NA;4.54;5.35;15.62;8.4;10.92;NA;NA;NA;
1;8;36.39;29.36;26.93;NA;15.67;24.69;36.77;21.53;23.03;NA;NA;NA;
1;9;58.36;46.33;40.56;NA;38.17;48.28;68.7;40.38;42.04;NA;NA;NA;
1;10;79.94;64.2;49.71;NA;47.94;58.14;79.59;54.29;64.59;NA;NA;NA;
1;11;85.86;64.87;64.2;NA;54.67;64.97;75.65;63.23;80.01;NA;NA;NA;
1;12;53.91;58.99;56.25;NA;51.4;70.67;53.2;62.71;69.79;NA;NA;NA;
1;13;41.7;43.19;56.2;NA;32.5;62.72;51.92;60.77;71.74;NA;NA;NA;
1;14;40.52;41.66;44.79;NA;37.12;58.39;61.98;55.56;70.92;NA;NA;NA;
1;15;43.7;41.86;43.72;NA;26.27;40.3;ND;49.71;46.94;NA;NA;NA;
1;16;39.18;38.17;30.69;NA;23.95;33.44;31.49;41.39;39.36;NA;NA;NA;
1;17;34.01;35.34;27.09;NA;20.46;33.09;24.52;36.84;32.08;NA;NA;NA;
1;18;27.65;29.54;14.53;NA;9.61;24.12;11.11;30.22;31.18;NA;NA;NA;
1;19;13.49;24.82;8.58;NA;7.39;20.18;6.04;30.64;17.01;NA;NA;NA;
1;20;10.19;21.01;13.12;NA;12.39;12.62;6.47;28.77;20.21;NA;NA;NA;
1;21;11.22;13.87;14.91;NA;17.95;20.53;10.23;19.81;19.65;NA;NA;NA;
1;22;13.82;14.83;19.55;NA;10.98;20.06;8.73;14.41;16.5;NA;NA;NA;
1;23;9.64;16.17;11.76;NA;8.67;20.43;11.55;11.68;17.34;NA;NA;NA;
2;0;13.88;18.36;6.71;NA;8.88;9.39;3.4;6.03;13.26;NA;NA;NA;
2;1;17.39;21.91;12.95;NA;15.07;7.64;18.68;3.77;5.18;NA;NA;NA;
2;2;15.02;7.37;16.15;NA;9.28;9.55;17.82;0.6;4.32;NA;NA;NA;
2;3;15.53;10.97;15.11;NA;8.98;4.59;19.34;0.48;4.08;NA;NA;NA;
2;4;11.07;9.02;12.82;NA;8.14;3.42;7.81;0.13;4.13;NA;NA;NA;
2;5;9.93;9.38;11.57;NA;1.12;4.56;7.82;0.29;4.06;NA;NA;NA;
2;6;8.85;7.47;8.32;NA;4.03;11.44;2.2;0.29;6.19;NA;NA;NA;
2;7;14;20.28;13.61;NA;7.38;10.85;10.66;2.16;7.64;NA;NA;NA;
2;8;13.75;14.82;7.01;NA;6.56;6.93;18.63;5.99;8.66;NA;NA;NA;
2;9;15.26;12.87;16.24;NA;13.56;24.72;39.82;5.89;13.05;NA;NA;NA;
2;10;26.48;12.85;28.85;NA;29.64;36.93;ND;20.97;23.12;NA;NA;NA;
2;11;59.21;40.02;50.88;NA;44.55;55.65;ND;23.89;43.14;NA;NA;NA;
2;12;68.3;49.38;47.26;NA;45.43;ND;48.49;26.93;50.61;NA;NA;NA;
2;13;62.11;55.28;46.57;NA;46.51;ND;55.48;27.52;51.29;NA;NA;NA;
2;14;58.01;55.97;40.5;NA;43.57;43.36;50.44;45.84;53.93;NA;NA;NA;
2;15;49.51;51.26;33.56;NA;46.34;ND;49.46;36.84;57.05;NA;NA;NA;
2;16;49.31;52.82;31.08;NA;33.98;ND;44.63;38.27;53.05;NA;NA;NA;
2;17;40.04;37.41;19.94;NA;21.4;29.77;42.51;33.87;44.84;NA;NA;NA;
2;18;32.12;27.25;20.15;NA;7.44;12.83;19.19;29.62;18.76;NA;NA;NA;
2;19;12.62;18.34;3.34;NA;2.89;3.13;22.06;23.42;15.76;NA;NA;NA;
2;20;6.92;18.17;3.51;NA;2.41;1.5;14.46;17.94;24.93;NA;NA;NA;
2;21;8.2;13.83;5.3;NA;2.84;5.42;12.02;6.66;6.8;NA;NA;NA;
2;22;3.46;5.52;7.17;NA;2.54;5.31;20.17;2.13;7.42;NA;NA;NA;
2;23;7.3;1.43;4.1;NA;3.78;9.87;23.49;0.39;5.87;NA;NA;NA;
3;0;15.1;0.47;5.69;NA;0.66;4.65;32.88;0.41;4.46;NA;NA;NA;
3;1;21.19;1.5;1.04;NA;0.34;1.79;35.36;0.36;8.99;NA;NA;NA;
3;2;18.9;5.82;0.8;NA;1.82;2.21;36.32;0.33;5.45;NA;NA;NA;
3;3;11.48;3.52;2.72;NA;8.51;3.92;37.38;0.28;5.05;NA;NA;NA;
3;4;5.61;5.05;5.8;NA;19.28;4.69;25.63;0.32;5.41;NA;NA;NA;
3;5;2.55;0.87;1.86;NA;4.11;6.48;24.02;1.24;5.08;NA;NA;NA;
3;6;7.53;4.17;2.28;NA;2.36;1.71;25.08;0.55;5.46;NA;NA;NA;
