DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.44;1.41;0.67;ND;1.38;1.69;1.98;NA;ND;NA;NA;NA;
1;1;1.34;2.22;1.29;ND;1.91;1.54;3.37;NA;ND;NA;NA;NA;
1;2;1.41;1.95;1.09;ND;2.08;1.62;3.72;NA;ND;NA;NA;NA;
1;3;1.38;0.73;0.87;ND;2.26;1.68;2.06;NA;ND;NA;NA;NA;
1;4;1.07;0.52;0.91;ND;2.21;1.65;1.77;NA;ND;NA;NA;NA;
1;5;1.28;0.5;1.09;ND;1.85;1.69;2.06;NA;ND;NA;NA;NA;
1;6;1.32;0.64;1.47;ND;1.44;1.52;0.71;NA;ND;NA;NA;NA;
1;7;1.37;0.75;0.82;ND;0.8;0.85;0.48;NA;ND;NA;NA;NA;
1;8;0.88;0.58;0.48;ND;0.01;0.47;0.45;NA;ND;NA;NA;NA;
1;9;0.41;0.37;0.47;ND;0.05;0.43;0.44;NA;ND;NA;NA;NA;
1;10;0.28;0.36;0.51;ND;0.08;0.47;0.4;NA;ND;NA;NA;NA;
1;11;0.15;0.32;0.5;ND;0.15;0.49;0.48;NA;ND;NA;NA;NA;
1;12;0.13;0.26;0.45;ND;0.12;0.45;0.71;NA;ND;NA;NA;NA;
1;13;0.18;0.27;0.4;ND;0.19;0.38;0.64;NA;ND;NA;NA;NA;
1;14;0.15;0.24;0.38;ND;0.24;0.39;0.62;NA;ND;NA;NA;NA;
1;15;0.12;0.26;0.37;ND;0.24;0.44;0.65;NA;ND;NA;NA;NA;
1;16;0.12;0.27;0.33;ND;0.25;0.48;0.7;NA;ND;NA;NA;NA;
1;17;0.13;0.29;0.42;ND;0.36;0.5;0.7;NA;ND;NA;NA;NA;
1;18;0.24;0.31;0.51;ND;0.31;0.61;0.85;NA;ND;NA;NA;NA;
1;19;0.4;0.39;0.57;ND;0.42;0.65;0.72;NA;ND;NA;NA;NA;
1;20;0.4;0.39;0.62;ND;0.34;0.68;0.63;NA;ND;NA;NA;NA;
1;21;0.37;0.41;0.49;ND;0.24;0.75;0.67;NA;ND;NA;NA;NA;
1;22;0.46;0.38;0.59;ND;0.34;0.87;0.7;NA;ND;NA;NA;NA;
1;23;0.61;0.41;0.43;ND;0.41;0.52;0.45;NA;ND;NA;NA;NA;
2;0;0.58;0.52;0.45;ND;0.25;0.6;0.49;NA;ND;NA;NA;NA;
2;1;0.41;0.34;0.35;ND;0.21;0.55;0.45;NA;ND;NA;NA;NA;
2;2;0.27;0.25;0.42;ND;0.24;0.45;0.38;NA;ND;NA;NA;NA;
2;3;0.2;0.26;0.39;ND;0.07;0.52;0.46;NA;ND;NA;NA;NA;
2;4;0.29;0.3;0.43;ND;0.09;0.58;0.46;NA;ND;NA;NA;NA;
2;5;0.32;0.33;0.53;ND;0.51;0.74;0.96;NA;ND;NA;NA;NA;
2;6;0.53;0.42;0.9;ND;1.33;1.25;1.23;NA;ND;NA;NA;NA;
2;7;0.56;0.63;1.09;ND;1.39;1.47;1.11;NA;ND;NA;NA;NA;
