DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.01;1.78;5;NA;7.46;3.99;ND;1.36;ND;NA;NA;NA;
1;1;1.96;1.29;3.76;NA;5.27;4.14;ND;1.25;ND;NA;NA;NA;
1;2;1.97;1.39;4.53;NA;5.53;3.53;ND;1.1;ND;NA;NA;NA;
1;3;3.71;1.62;4.2;NA;5;4.01;ND;1.26;ND;NA;NA;NA;
1;4;7.72;2.1;5.35;NA;4.58;3.93;ND;1.43;ND;NA;NA;NA;
1;5;14.78;3.77;6.01;NA;5.79;4.27;ND;2.34;ND;NA;NA;NA;
1;6;17.93;4.52;10.94;NA;16.98;6.56;ND;2.71;ND;NA;NA;NA;
1;7;23.27;9.14;15.37;NA;52.01;11.37;ND;2.85;ND;NA;NA;NA;
1;8;17.67;11.03;12.27;NA;27.85;10.08;ND;4.97;ND;NA;NA;NA;
1;9;12.27;10.37;10.52;NA;23.8;7.13;ND;8.4;ND;NA;NA;NA;
1;10;10.05;9.01;17.16;NA;11.14;ND;ND;5.1;ND;NA;NA;NA;
1;11;7.65;7.4;11.43;NA;10.88;ND;ND;2.35;ND;NA;NA;NA;
1;12;10.54;9.72;14.25;NA;10.87;4.76;ND;1.39;ND;NA;NA;NA;
1;13;6.95;4.8;12.78;NA;11.87;7.02;ND;6.34;ND;NA;NA;NA;
1;14;8.07;4.9;14.47;NA;13.37;ND;ND;9.64;ND;NA;NA;NA;
1;15;ND;4.17;8.1;NA;9.39;6.12;ND;6.77;ND;NA;NA;NA;
1;16;2.55;2.97;4.78;NA;5.82;3.88;ND;5.85;ND;NA;NA;NA;
1;17;2.08;2.62;4.47;NA;4.66;2.06;ND;4.97;ND;NA;NA;NA;
1;18;2.49;2.59;6.25;NA;4.34;2.02;ND;5.14;ND;NA;NA;NA;
1;19;2.94;2.51;9.78;NA;4.41;2.75;ND;5.14;ND;NA;NA;NA;
1;20;3.18;2.46;10.47;NA;6.43;3.27;ND;4.35;ND;NA;NA;NA;
1;21;3.01;2.38;9.47;NA;5.65;4.23;ND;2.86;ND;NA;NA;NA;
1;22;3.19;2.76;5.21;NA;3.46;3.45;ND;2;ND;NA;NA;NA;
1;23;2.78;2.47;6.16;NA;9.24;3.77;ND;1.75;ND;NA;NA;NA;
2;0;3.05;2.34;7.06;NA;10.9;3.53;ND;1.6;ND;NA;NA;NA;
2;1;1.89;2.04;7.42;NA;7.13;3.39;ND;1.54;ND;NA;NA;NA;
2;2;2.21;1.81;8.8;NA;5.39;3.74;ND;1.33;ND;NA;NA;NA;
2;3;3.06;2.08;7.8;NA;5.22;4.23;ND;1.4;ND;NA;NA;NA;
2;4;3.21;2.33;8.9;NA;5.11;4.29;ND;1.25;ND;NA;NA;NA;
2;5;5.3;3.01;8.97;NA;4.51;4.28;ND;1.29;ND;NA;NA;NA;
2;6;7.92;3.43;9.13;NA;8.21;6.1;ND;1.53;ND;NA;NA;NA;
2;7;14.63;6.65;13.7;NA;8.81;8.16;ND;1.96;ND;NA;NA;NA;
2;8;19.44;7.57;15.57;NA;9.82;7.45;ND;1.61;ND;NA;NA;NA;
2;9;16.61;ND;13.46;NA;17.93;6.64;ND;1.68;ND;NA;NA;NA;
2;10;9.16;ND;11.69;NA;14.89;4.7;ND;1.35;ND;NA;NA;NA;
2;11;6.6;ND;8.29;NA;11.83;1.82;ND;1.76;ND;NA;NA;NA;
2;12;5.32;1.79;8.86;NA;ND;2.83;ND;1.47;ND;NA;NA;NA;
2;13;4.5;1.73;6.58;NA;ND;4.83;ND;1.35;ND;NA;NA;NA;
2;14;3.6;ND;6.29;NA;ND;4.61;ND;0.93;ND;NA;NA;NA;
2;15;2.95;2.42;5.43;NA;ND;3.39;ND;1.03;ND;NA;NA;NA;
2;16;2.38;2.89;4.76;NA;3.1;3.48;ND;1.82;ND;NA;NA;NA;
2;17;2.08;2.52;4.75;NA;2.94;3.28;ND;3.7;ND;NA;NA;NA;
2;18;2.15;2.7;7.14;NA;3.41;2.79;ND;3.92;ND;NA;NA;NA;
2;19;2.24;2.58;9.49;NA;3.41;3.09;ND;3.6;ND;NA;NA;NA;
2;20;1.96;2.64;9.86;NA;4.18;4.39;ND;2.87;ND;NA;NA;NA;
2;21;2.27;2.42;6.88;NA;2.96;4.27;ND;1.65;ND;NA;NA;NA;
2;22;2.14;ND;5.79;NA;3.37;3.89;ND;1.15;ND;NA;NA;NA;
2;23;1.83;ND;5.52;NA;2.1;3.47;ND;1.06;ND;NA;NA;NA;
3;0;2.27;2.65;6.18;NA;2;3.3;ND;1.04;ND;NA;NA;NA;
3;1;3.18;2.54;6.01;NA;2.43;3.48;ND;1.13;ND;NA;NA;NA;
3;2;3.71;2.91;6.55;NA;1.84;3.83;ND;1.27;ND;NA;NA;NA;
3;3;2.43;2.83;6.99;NA;15.48;4.05;ND;1.23;ND;NA;NA;NA;
3;4;3.45;3.47;6.22;NA;15.4;4.08;ND;1.22;ND;NA;NA;NA;
3;5;4.99;3.84;6.39;NA;29.96;4.83;ND;1.3;ND;NA;NA;NA;
3;6;4.93;3.35;8.69;NA;51.59;8.5;ND;1.75;ND;NA;NA;NA;
3;7;7.01;7.7;11.16;NA;38.52;11.13;ND;1.68;ND;NA;NA;NA;
3;8;14.16;7.55;14.68;NA;16.2;8.34;ND;1.72;ND;NA;NA;NA;
3;9;8.56;6.53;12.95;NA;10.06;6.08;ND;1.54;ND;NA;NA;NA;
3;10;5.25;4.49;8.92;NA;8.95;6.45;ND;1.34;ND;NA;NA;NA;
3;11;4.97;3.52;8.33;NA;13.95;3.88;ND;1.39;ND;NA;NA;NA;
3;12;3.95;3.08;9.04;NA;9.41;3.96;ND;1.41;ND;NA;NA;NA;
3;13;3.67;3.07;6.48;NA;4.53;3.89;ND;1.29;ND;NA;NA;NA;
3;14;3.17;2.88;5.69;NA;3.87;3.05;ND;1.21;ND;NA;NA;NA;
3;15;2.57;2.54;4.95;NA;4.63;4.35;ND;1.04;ND;NA;NA;NA;
3;16;2.41;2.48;5.53;NA;3.03;3.28;ND;1.16;ND;NA;NA;NA;
3;17;2.16;2.72;6.31;NA;3.23;3.82;ND;1.19;ND;NA;NA;NA;
3;18;2.29;3.06;6.48;NA;5.12;4.49;ND;1.27;ND;NA;NA;NA;
3;19;2.13;2.93;6.59;NA;8.78;4.4;ND;1.61;ND;NA;NA;NA;
3;20;2.85;2.93;6.19;NA;4.78;5.31;ND;1.78;ND;NA;NA;NA;
3;21;3.03;2.68;8.48;NA;5.28;5.85;ND;1.84;ND;NA;NA;NA;
3;22;3;2.41;5.89;NA;4.81;6.22;ND;1.37;ND;NA;NA;NA;
3;23;3.29;2.27;4.01;NA;4.22;5.4;ND;1.29;ND;NA;NA;NA;
4;0;2.57;3.79;6.07;NA;4.48;4.88;ND;1.25;ND;NA;NA;NA;
4;1;2.69;8.77;6.02;NA;3.55;4.53;ND;1.32;ND;NA;NA;NA;
4;2;2.65;4.89;5.15;NA;16.72;4.46;ND;1.32;ND;NA;NA;NA;
4;3;3.88;4.38;5.23;NA;41.26;4.75;ND;1.49;ND;NA;NA;NA;
4;4;3.84;5.76;6.06;NA;87.07;5.91;ND;1.49;ND;NA;NA;NA;
4;5;4.72;5.15;7.86;NA;99.78;10.49;ND;1.78;ND;NA;NA;NA;
4;6;13.09;4.71;13.6;NA;117.58;14.25;ND;2.15;ND;NA;NA;NA;
4;7;31.84;5.97;18.39;NA;114.03;19.71;ND;2.34;ND;NA;NA;NA;
4;8;25.67;9.95;16.64;NA;58.15;14.86;ND;2.35;ND;NA;NA;NA;
4;9;11.61;11.2;9.56;NA;8.01;5.81;ND;1.82;ND;NA;NA;NA;
4;10;7.1;10.31;7.07;NA;3.8;4.54;ND;1.68;ND;NA;NA;NA;
4;11;5.08;6.99;4.58;NA;3;3.5;ND;1.46;ND;NA;NA;NA;
4;12;3.98;4.49;4.39;NA;2.92;3.72;ND;1.38;ND;NA;NA;NA;
4;13;2.82;3.95;3.09;NA;3.09;3.38;ND;ND;ND;NA;NA;NA;
4;14;2.56;3.47;3.24;NA;2.7;3.32;ND;ND;ND;NA;NA;NA;
4;15;2.85;3.63;4.53;NA;2.08;3.3;ND;ND;ND;NA;NA;NA;
4;16;2.3;3.96;4.34;NA;3.57;3.06;ND;1.52;ND;NA;NA;NA;
4;17;2.5;3.54;4.41;NA;3.61;2.92;ND;1.63;ND;NA;NA;NA;
4;18;2.91;3.33;6.07;NA;3.45;2.66;ND;2.05;ND;NA;NA;NA;
4;19;3.13;3.44;7.83;NA;6.02;3.48;ND;2.11;ND;NA;NA;NA;
4;20;3.35;3.7;6.18;NA;8.07;5.16;ND;1.73;ND;NA;NA;NA;
4;21;4.13;3.64;5.13;NA;8.43;5.43;ND;1.96;ND;NA;NA;NA;
4;22;4.66;3.85;5.57;NA;4.71;6.28;ND;2.06;ND;NA;NA;NA;
4;23;4.27;4.06;6.97;NA;11.17;6.14;ND;1.9;ND;NA;NA;NA;
5;0;5.54;5.93;9.07;NA;51.13;8.32;ND;1.83;ND;NA;NA;NA;
5;1;4.77;7.34;10.06;NA;47.52;10.5;ND;1.82;ND;NA;NA;NA;
