DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;170.28;92.65;53.53;NA;214.33;94.03;NA;NA;ND;NA;NA;NA;
1;1;143.26;ND;102.31;NA;440.33;215.29;NA;NA;ND;NA;NA;NA;
1;2;117.71;87.75;55.24;NA;203.03;98.27;NA;NA;ND;NA;NA;NA;
1;3;171.87;143.63;64.38;NA;100.35;90.13;NA;NA;ND;NA;NA;NA;
1;4;134.37;103.99;35.88;NA;70;81.91;NA;NA;ND;NA;NA;NA;
1;5;143.37;57.78;52.65;NA;46.61;35.99;NA;NA;ND;NA;NA;NA;
1;6;115.7;34;32.99;NA;46.01;25.37;NA;NA;ND;NA;NA;NA;
1;7;68.82;14.63;25.77;NA;30.91;32.34;NA;NA;ND;NA;NA;NA;
1;8;24.43;31.65;9.38;NA;23.86;6.44;NA;NA;ND;NA;NA;NA;
1;9;15.56;9.31;28.94;NA;34.59;22.51;NA;NA;ND;NA;NA;NA;
1;10;12.74;12.78;21.01;NA;12.98;21.27;NA;NA;ND;NA;NA;NA;
1;11;8.49;6.91;17.69;NA;5.77;13.34;NA;NA;ND;NA;NA;NA;
1;12;8.93;2.76;14.9;NA;8.02;8.58;NA;NA;ND;NA;NA;NA;
1;13;0.62;1.76;10.26;NA;20.75;9.96;NA;NA;ND;NA;NA;NA;
1;14;4.06;3.51;8.17;NA;7.41;3.87;NA;NA;ND;NA;NA;NA;
1;15;5.12;5.68;11.6;NA;2.77;12.6;NA;NA;ND;NA;NA;NA;
1;16;3.09;11.2;10.99;NA;8.72;7.98;NA;NA;ND;NA;NA;NA;
1;17;8.2;13.12;18.02;NA;7.27;20.49;NA;NA;ND;NA;NA;NA;
1;18;10.15;14.88;9.45;NA;6.34;11.85;NA;NA;ND;NA;NA;NA;
1;19;0.32;8.01;11.42;NA;11.92;11.6;NA;NA;ND;NA;NA;NA;
1;20;7.26;13.68;10.91;NA;17.26;12.82;NA;NA;ND;NA;NA;NA;
1;21;5.4;11.82;10.71;NA;13.35;11.72;NA;NA;ND;NA;NA;NA;
1;22;0.62;10.56;4.09;NA;8.03;3.89;NA;NA;ND;NA;NA;NA;
1;23;9.33;ND;9.1;NA;10.49;12.35;NA;NA;ND;NA;NA;NA;
2;0;3.77;14.03;11.71;NA;16.33;12.51;NA;NA;ND;NA;NA;NA;
2;1;4.29;8.05;7.59;NA;10.94;14.52;NA;NA;ND;NA;NA;NA;
2;2;10.02;2.43;6.88;NA;13.6;9.2;NA;NA;ND;NA;NA;NA;
2;3;4.74;10.31;10.02;NA;2.33;10.87;NA;NA;ND;NA;NA;NA;
2;4;6;1.34;11.82;NA;17.21;9.81;NA;NA;ND;NA;NA;NA;
2;5;1.65;2.46;13.17;NA;14.98;11.15;NA;NA;ND;NA;NA;NA;
2;6;4.99;5.82;5.9;NA;15.8;14.18;NA;NA;ND;NA;NA;NA;
2;7;4.27;1.65;8.93;NA;7.7;9.14;NA;NA;ND;NA;NA;NA;
2;8;4.73;2.83;8.85;NA;12.11;6.09;NA;NA;ND;NA;NA;NA;
2;9;4.65;1.6;3.85;NA;0.25;2.08;NA;NA;ND;NA;NA;NA;
2;10;6.66;2.63;6.71;NA;5.4;8.52;NA;NA;ND;NA;NA;NA;
2;11;5.75;1.02;6.24;NA;17.26;7.35;NA;NA;ND;NA;NA;NA;
2;12;9.91;1.12;8.12;NA;3.54;6.76;NA;NA;ND;NA;NA;NA;
2;13;1.66;0.95;11.15;NA;10.09;5.38;NA;NA;ND;NA;NA;NA;
2;14;4.93;7.63;3.88;NA;11.65;2.54;NA;NA;ND;NA;NA;NA;
2;15;3.74;2.02;4.77;NA;6.65;5.7;NA;NA;ND;NA;NA;NA;
2;16;11.41;3.32;14.89;NA;3.6;6.48;NA;NA;ND;NA;NA;NA;
2;17;2.82;10.6;8.42;NA;12.19;11.08;NA;NA;ND;NA;NA;NA;
2;18;5.28;4.35;10.18;NA;15.76;11.69;NA;NA;ND;NA;NA;NA;
2;19;6.68;14.79;3.81;NA;8.61;9.99;NA;NA;ND;NA;NA;NA;
2;20;4.18;14.88;7.37;NA;5.24;5.07;NA;NA;ND;NA;NA;NA;
2;21;9.98;6.05;1.19;NA;9.62;4.93;NA;NA;ND;NA;NA;NA;
2;22;7.73;6.95;4.54;NA;5.42;5.39;NA;NA;ND;NA;NA;NA;
2;23;2.02;ND;4.56;NA;2.46;2.53;NA;NA;ND;NA;NA;NA;
3;0;5.15;13.11;2.38;NA;6.16;4.43;NA;NA;ND;NA;NA;NA;
3;1;4.4;6.96;6.79;NA;8.65;1.66;NA;NA;ND;NA;NA;NA;
3;2;1.23;1.34;3.8;NA;4.51;5.6;NA;NA;ND;NA;NA;NA;
3;3;4.35;3.5;1.75;NA;3.82;2.07;NA;NA;ND;NA;NA;NA;
3;4;1.68;3.49;8.85;NA;2.75;3.93;NA;NA;ND;NA;NA;NA;
3;5;3.94;1.77;4.43;NA;4.24;4.68;NA;NA;ND;NA;NA;NA;
3;6;2.12;7.44;4.63;NA;20.11;5.63;NA;NA;ND;NA;NA;NA;
3;7;16.34;10.59;15.75;NA;48.87;19.36;NA;NA;ND;NA;NA;NA;
3;8;12.88;11.61;28.54;NA;32.86;34.15;NA;NA;ND;NA;NA;NA;
3;9;6.59;3.69;35.47;NA;25.14;25.21;NA;NA;ND;NA;NA;NA;
3;10;9.61;9.93;19.73;NA;20.4;19.07;NA;NA;ND;NA;NA;NA;
3;11;15.26;11.29;9.36;NA;20.93;19.24;NA;NA;ND;NA;NA;NA;
3;12;19.01;8.23;13.12;NA;22.93;14.8;NA;NA;ND;NA;NA;NA;
3;13;11.39;4.45;22.17;NA;16.78;13.7;NA;NA;ND;NA;NA;NA;
3;14;12.51;13.28;15.99;NA;28.97;26.76;NA;NA;ND;NA;NA;NA;
3;15;12.74;15.49;27.98;NA;27.45;21.1;NA;NA;ND;NA;NA;NA;
3;16;12.69;13.74;26.96;NA;25.24;22.34;NA;NA;ND;NA;NA;NA;
3;17;15.11;7.63;25.21;NA;28.59;20.72;NA;NA;ND;NA;NA;NA;
3;18;17.79;13.7;14.9;NA;9.66;10.46;NA;NA;ND;NA;NA;NA;
3;19;16.38;9.79;18.54;NA;23.97;13.11;NA;NA;ND;NA;NA;NA;
3;20;12.57;13.45;13.15;NA;39.58;12.81;NA;NA;ND;NA;NA;NA;
3;21;8.64;11.98;10.44;NA;25.95;11.97;NA;NA;ND;NA;NA;NA;
3;22;10.32;6.9;7.92;NA;13.58;6.48;NA;NA;ND;NA;NA;NA;
3;23;3.46;ND;11.52;NA;20.17;10.25;NA;NA;ND;NA;NA;NA;
4;0;2.92;19;1.44;NA;18.02;10.52;NA;NA;ND;NA;NA;NA;
4;1;6.23;2.99;4.85;NA;13.53;8.74;NA;NA;ND;NA;NA;NA;
4;2;5.78;7.5;10.23;NA;10.11;9.64;NA;NA;ND;NA;NA;NA;
4;3;4.41;6.25;3.1;NA;7.97;12.87;NA;NA;ND;NA;NA;NA;
4;4;8.51;7.02;11.34;NA;17.58;4.98;NA;NA;ND;NA;NA;NA;
4;5;10.36;9;7.57;NA;9.5;12.19;NA;NA;ND;NA;NA;NA;
4;6;23.39;19.42;13.78;NA;20.22;23.84;NA;NA;ND;NA;NA;NA;
4;7;22.23;21.7;26.58;NA;13.55;19.46;NA;NA;ND;NA;NA;NA;
4;8;27.29;17.31;20.8;NA;24.16;25.97;NA;NA;ND;NA;NA;NA;
4;9;26.76;20.44;30.43;NA;24.66;34.24;NA;NA;ND;NA;NA;NA;
4;10;32.92;19.45;38.52;NA;26.57;27.83;NA;NA;ND;NA;NA;NA;
4;11;19.31;14.3;33.7;NA;27.9;30.7;NA;NA;ND;NA;NA;NA;
4;12;11.62;21.48;29.61;NA;32.15;23.21;NA;NA;ND;NA;NA;NA;
4;13;8.84;5.92;26.84;NA;12.41;25.3;NA;NA;ND;NA;NA;NA;
4;14;14.26;4.79;10.8;NA;12.52;6.5;NA;NA;ND;NA;NA;NA;
4;15;8.01;16.57;31.22;NA;11.48;10.43;NA;NA;ND;NA;NA;NA;
4;16;6.64;1.24;6.38;NA;21.99;24.19;NA;NA;ND;NA;NA;NA;
4;17;9.25;20.23;16;NA;11.93;15.26;NA;NA;ND;NA;NA;NA;
4;18;4.77;21.84;15.18;NA;21;12.33;NA;NA;ND;NA;NA;NA;
4;19;19.33;18.55;13.68;NA;35.69;27.23;NA;NA;ND;NA;NA;NA;
4;20;11.41;13.83;22.45;NA;34.64;24.31;NA;NA;ND;NA;NA;NA;
4;21;8.24;13.15;16.4;NA;46.16;19.48;NA;NA;ND;NA;NA;NA;
4;22;11.54;10.95;21.98;NA;40.93;38.77;NA;NA;ND;NA;NA;NA;
4;23;12.15;ND;21.89;NA;33.44;38.03;NA;NA;ND;NA;NA;NA;
5;0;9.8;22.49;26.29;NA;39.91;35.93;NA;NA;ND;NA;NA;NA;
5;1;17.32;19.33;25.48;NA;27.65;27.02;NA;NA;ND;NA;NA;NA;
5;2;14.92;24.25;15.13;NA;29.2;24.7;NA;NA;ND;NA;NA;NA;
5;3;17.83;23.73;20.15;NA;16.54;20.6;NA;NA;ND;NA;NA;NA;
5;4;11.44;17.71;19.04;NA;31.78;23.02;NA;NA;ND;NA;NA;NA;
5;5;24.04;17.58;18.39;NA;34.1;19.85;NA;NA;ND;NA;NA;NA;
5;6;23.57;30.69;25.63;NA;59.17;30.41;NA;NA;ND;NA;NA;NA;
5;7;48.83;38.26;46.84;NA;64.05;37.85;NA;NA;ND;NA;NA;NA;
5;8;32.59;43.04;36.52;NA;64.44;59.28;NA;NA;ND;NA;NA;NA;
5;9;18.3;37.3;32.91;NA;18.61;42.86;NA;NA;ND;NA;NA;NA;
5;10;29.07;28.36;35.49;NA;27.86;18.5;NA;NA;ND;NA;NA;NA;
5;11;23.59;8.65;36.16;NA;22.61;30.67;NA;NA;ND;NA;NA;NA;
5;12;21.44;2.85;29.05;NA;30.07;28.25;NA;NA;ND;NA;NA;NA;
5;13;12.05;13.14;21.35;NA;25.67;17.16;NA;NA;ND;NA;NA;NA;
5;14;3.11;19.95;5.98;NA;20;4.55;NA;NA;ND;NA;NA;NA;
5;15;12.15;14.31;14.19;NA;15.26;10.44;NA;NA;ND;NA;NA;NA;
5;16;5.72;9.04;10.56;NA;7.55;21.18;NA;NA;ND;NA;NA;NA;
5;17;4.23;7.98;20.43;NA;20.6;16.98;NA;NA;ND;NA;NA;NA;
5;18;9.8;7.31;13.22;NA;11.14;15.07;NA;NA;ND;NA;NA;NA;
5;19;5.39;7.45;19.6;NA;11.51;12.74;NA;NA;ND;NA;NA;NA;
5;20;9.76;2.53;10.31;NA;18.03;12.07;NA;NA;ND;NA;NA;NA;
5;21;10.9;6.77;7.27;NA;15.75;4.68;NA;NA;ND;NA;NA;NA;
5;22;10.59;1.75;11.88;NA;10.35;11.85;NA;NA;ND;NA;NA;NA;
5;23;8.08;6.16;2.25;NA;1.11;ND;NA;NA;ND;NA;NA;NA;
6;0;4.67;5.26;9.21;NA;5.69;9.91;NA;NA;ND;NA;NA;NA;
6;1;7.36;10.56;3.95;NA;10.66;12.62;NA;NA;ND;NA;NA;NA;
6;2;11.23;2.55;5.16;NA;9.67;6.68;NA;NA;ND;NA;NA;NA;
6;3;2.47;1.12;2.73;NA;8.38;4.5;NA;NA;ND;NA;NA;NA;
6;4;1.53;4.25;4.33;NA;6.5;4.02;NA;NA;ND;NA;NA;NA;
6;5;10.39;5.03;8.38;NA;2.08;2.67;NA;NA;ND;NA;NA;NA;
6;6;19.53;4.38;9.92;NA;13.51;9.7;NA;NA;ND;NA;NA;NA;
6;7;19.3;13.7;30.41;NA;47.9;19.42;NA;NA;ND;NA;NA;NA;
6;8;17.92;21.03;19.03;NA;38.29;21.59;NA;NA;ND;NA;NA;NA;
6;9;9.77;15.97;20.33;NA;20.67;16.86;NA;NA;ND;NA;NA;NA;
6;10;17.3;3.57;26.37;NA;17.96;21.45;NA;NA;ND;NA;NA;NA;
6;11;15.57;2.04;25.09;NA;26.12;18.13;NA;NA;ND;NA;NA;NA;
6;12;19.21;1.1;30.82;NA;14.06;10.08;NA;NA;ND;NA;NA;NA;
6;13;5.23;0.72;16.24;NA;19.54;21.49;NA;NA;ND;NA;NA;NA;
6;14;16.7;6.93;12.07;NA;17.38;11.19;NA;NA;ND;NA;NA;NA;
6;15;6.21;1.7;17.55;NA;29.93;20.1;NA;NA;ND;NA;NA;NA;
6;16;4.8;12.16;18.71;NA;15.11;20.73;NA;NA;ND;NA;NA;NA;
6;17;2.94;10.71;25.45;NA;12.87;13.98;NA;NA;ND;NA;NA;NA;
6;18;10.05;7.44;16.32;NA;14.39;16.59;NA;NA;ND;NA;NA;NA;
6;19;18.42;18.75;19.91;NA;31.63;29.48;NA;NA;ND;NA;NA;NA;
6;20;13.71;29.96;14.99;NA;29.25;45.57;NA;NA;ND;NA;NA;NA;
6;21;11.78;14.15;20.73;NA;33.33;30.37;NA;NA;ND;NA;NA;NA;
6;22;23.92;16.44;17.87;NA;32.13;16.77;NA;NA;ND;NA;NA;NA;
6;23;20.14;9.6;14.06;NA;30.22;22.62;NA;NA;ND;NA;NA;NA;
7;0;8.85;17.27;9.3;NA;28.35;23.72;NA;NA;ND;NA;NA;NA;
7;1;38.91;15.21;19.94;NA;22.22;29.27;NA;NA;ND;NA;NA;NA;
7;2;17.42;18.12;22.68;NA;25.83;21.52;NA;NA;ND;NA;NA;NA;
7;3;15.97;16.08;26.92;NA;21.95;28.54;NA;NA;ND;NA;NA;NA;
7;4;28.56;18.3;23.1;NA;29.5;19.05;NA;NA;ND;NA;NA;NA;
7;5;14.96;17.5;20;NA;23.94;25.97;NA;NA;ND;NA;NA;NA;
7;6;27.97;26.56;24.78;NA;45.02;30.53;NA;NA;ND;NA;NA;NA;
7;7;36.85;29.27;44.48;NA;70.16;51.99;NA;NA;ND;NA;NA;NA;
7;8;35.73;31.9;47.8;NA;57.31;42.31;NA;NA;ND;NA;NA;NA;
7;9;41.97;29.85;47.81;NA;28.1;43.59;NA;NA;ND;NA;NA;NA;
7;10;41.41;28.15;41.86;NA;24.3;25.13;NA;NA;ND;NA;NA;NA;
7;11;30.95;23.71;51.5;NA;30.29;34.59;NA;NA;ND;NA;NA;NA;
7;12;15.78;9.39;44.7;NA;37.88;37.39;NA;NA;ND;NA;NA;NA;
7;13;5.1;2.9;23.72;NA;29.91;28.73;NA;NA;ND;NA;NA;NA;
7;14;9.6;2.84;2.24;NA;8.57;3.8;NA;NA;ND;NA;NA;NA;
