DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;ND;0.88;NA;ND;ND;0.6;NA;ND;NA;NA;NA;
1;1;0.55;0.43;0.72;NA;0.72;0.65;0.45;NA;ND;NA;NA;NA;
1;2;0.48;0.39;0.8;NA;0.71;0.62;0.66;NA;ND;NA;NA;NA;
1;3;0.42;0.38;0.63;NA;0.65;0.67;0.63;NA;ND;NA;NA;NA;
1;4;0.44;0.41;0.66;NA;0.66;0.56;0.61;NA;ND;NA;NA;NA;
1;5;0.55;0.58;0.78;NA;0.9;0.84;0.96;NA;ND;NA;NA;NA;
1;6;1.15;0.98;1.02;NA;1.58;1.28;1.27;NA;ND;NA;NA;NA;
1;7;1.25;1.24;1.78;NA;1.77;1.94;1.81;NA;ND;NA;NA;NA;
1;8;0.68;0.85;2.05;NA;1.48;2;0.6;NA;ND;NA;NA;NA;
1;9;0.55;0.64;ND;NA;1.14;1.18;0.41;NA;ND;NA;NA;NA;
1;10;0.67;0.63;ND;NA;1.05;0.69;ND;NA;ND;NA;NA;NA;
1;11;0.47;0.72;ND;NA;0.75;0.53;ND;NA;ND;NA;NA;NA;
1;12;0.48;0.7;ND;NA;0.77;0.49;0.66;NA;ND;NA;NA;NA;
1;13;0.47;0.71;ND;NA;0.82;0.47;ND;NA;ND;NA;NA;NA;
1;14;0.44;0.56;ND;NA;0.83;0.48;ND;NA;ND;NA;NA;NA;
1;15;0.42;0.59;ND;NA;0.84;0.54;0.36;NA;ND;NA;NA;NA;
1;16;0.41;0.56;ND;NA;0.88;0.6;ND;NA;ND;NA;NA;NA;
1;17;0.48;0.54;ND;NA;1.04;0.81;0.56;NA;ND;NA;NA;NA;
1;18;0.55;0.61;0.83;NA;1.46;0.9;0.74;NA;ND;NA;NA;NA;
1;19;0.95;0.82;0.95;NA;1.53;1.08;0.78;NA;ND;NA;NA;NA;
1;20;1.28;0.92;0.92;NA;1.79;1.24;0.78;NA;ND;NA;NA;NA;
1;21;1.06;0.76;0.89;NA;1.7;0.91;0.9;NA;ND;NA;NA;NA;
1;22;1.12;0.71;1.65;NA;1.9;0.64;0.76;NA;ND;NA;NA;NA;
1;23;0.49;0.79;1.18;NA;1.4;0.87;0.36;NA;ND;NA;NA;NA;
2;0;0.52;0.62;1.46;NA;1.21;0.78;ND;NA;ND;NA;NA;NA;
2;1;0.58;0.47;1.13;NA;0.92;0.64;0.25;NA;ND;NA;NA;NA;
2;2;0.51;0.46;0.9;NA;0.74;0.85;0.27;NA;ND;NA;NA;NA;
2;3;0.39;0.39;0.79;NA;0.76;0.73;0.29;NA;ND;NA;NA;NA;
2;4;0.4;0.37;0.59;NA;0.62;0.55;0.47;NA;ND;NA;NA;NA;
2;5;0.48;0.36;0.65;NA;0.79;0.58;0.58;NA;ND;NA;NA;NA;
2;6;1.22;1;1.08;NA;1.42;1.11;0.87;NA;ND;NA;NA;NA;
2;7;1.7;1.19;1.68;NA;1.82;1.79;1.32;NA;ND;NA;NA;NA;
2;8;0.98;0.79;1.83;NA;1.94;2.44;1.22;NA;ND;NA;NA;NA;
2;9;0.58;0.51;1.19;NA;1.9;1.39;0.54;NA;ND;NA;NA;NA;
2;10;0.53;ND;1.13;NA;ND;0.89;0.54;NA;ND;NA;NA;NA;
2;11;0.42;ND;0.89;NA;ND;0.83;0.58;NA;ND;NA;NA;NA;
2;12;0.44;ND;0.87;NA;0.42;0.57;0.53;NA;ND;NA;NA;NA;
2;13;0.47;ND;1.01;NA;0.84;0.53;0.51;NA;ND;NA;NA;NA;
2;14;0.44;0.23;0.9;NA;ND;0.52;0.49;NA;ND;NA;NA;NA;
2;15;0.42;0.16;0.69;NA;ND;0.63;0.47;NA;ND;NA;NA;NA;
2;16;0.4;ND;0.8;NA;ND;0.76;0.55;NA;ND;NA;NA;NA;
2;17;0.46;0.4;0.91;NA;ND;0.81;0.6;NA;ND;NA;NA;NA;
2;18;0.64;0.42;0.95;NA;0.77;0.97;0.67;NA;ND;NA;NA;NA;
2;19;0.95;0.53;1.35;NA;1.17;1.16;0.8;NA;ND;NA;NA;NA;
2;20;1.15;0.52;1.09;NA;1.17;1.11;0.73;NA;ND;NA;NA;NA;
2;21;1.3;0.57;0.77;NA;1.11;1.3;0.57;NA;ND;NA;NA;NA;
2;22;1.45;0.47;0.73;NA;0.78;1.32;0.62;NA;ND;NA;NA;NA;
2;23;0.81;0.55;0.99;NA;0.66;0.81;0.38;NA;ND;NA;NA;NA;
3;0;ND;ND;ND;NA;0.41;ND;0.31;NA;ND;NA;NA;NA;
