DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2;11.18;2.93;NA;4.07;2.37;4.31;ND;15.85;NA;NA;NA;
1;1;3.57;10.67;4.04;NA;7.77;3.95;2.78;21.27;16.51;NA;NA;NA;
1;2;ND;12.5;6.39;NA;9.29;6.48;2;21.22;16.37;NA;NA;NA;
1;3;4.4;10.94;7.16;NA;10.8;7.69;4.63;20.36;16.79;NA;NA;NA;
1;4;1.46;10.22;8.75;NA;11.46;3.22;11.79;21.31;15.68;NA;NA;NA;
1;5;0.49;9.92;10.12;NA;7.34;3.16;4.62;12.66;14.33;NA;NA;NA;
1;6;0.14;3.56;4.19;NA;4.63;1.91;1.29;9.44;14.39;NA;NA;NA;
1;7;0.48;5.18;2.24;NA;7.58;1.01;10.41;14.26;13.31;NA;NA;NA;
1;8;1.32;5.84;3.24;NA;15.6;3.54;12.57;17.73;7.44;NA;NA;NA;
1;9;3.27;13.59;5.08;NA;21.5;6.71;16.08;22.35;9.45;NA;NA;NA;
1;10;9.87;15.94;7.46;NA;25.1;9.58;24.25;29.11;14.53;NA;NA;NA;
1;11;10.49;21.9;13.89;NA;32.58;19.84;35.46;38.64;16.27;NA;NA;NA;
1;12;8.48;19.62;20.57;NA;41.75;31.46;51.01;39.11;37.02;NA;NA;NA;
1;13;11.13;ND;ND;NA;33.71;28.68;41.29;36.7;45.51;NA;NA;NA;
1;14;12.76;ND;29.23;NA;28.91;27.79;45.79;39.97;36.99;NA;NA;NA;
1;15;9.02;22.32;27.16;NA;21.53;26.26;39.93;33.63;42.28;NA;NA;NA;
1;16;8.25;18.41;13.32;NA;10.72;12.74;22.53;22.81;28.36;NA;NA;NA;
1;17;6.27;15.16;4.95;NA;10.91;4.26;9.56;19.11;15.9;NA;NA;NA;
1;18;5.23;13.93;1.16;NA;10.09;0.35;5.37;17.4;15.21;NA;NA;NA;
1;19;3.83;15.69;0.91;NA;6.16;0.02;2.25;17.52;11.99;NA;NA;NA;
1;20;2.25;10.99;0.39;NA;9.27;0.01;0.67;20.65;6.86;NA;NA;NA;
1;21;2.27;11.16;0.12;NA;6.01;0.1;0.93;20.43;13.68;NA;NA;NA;
1;22;3.21;8.02;ND;NA;6.07;0.04;0.29;18.98;17.53;NA;NA;NA;
1;23;3.52;7.99;ND;NA;9.22;0.31;1.62;19.59;16.19;NA;NA;NA;
2;0;2.64;9.83;3.1;NA;11.83;1.46;4.47;20.01;14.17;NA;NA;NA;
2;1;1.33;7.88;3.42;NA;14.62;4.05;ND;16.56;ND;NA;NA;NA;
2;2;0.97;10.17;ND;NA;ND;5.05;11.02;9.5;11.49;NA;NA;NA;
2;3;0.9;13.83;9;NA;12.16;9.23;9.35;9.98;11.1;NA;NA;NA;
2;4;1.09;12.03;12.06;NA;19.21;7.99;8.12;10.48;11.37;NA;NA;NA;
2;5;0.44;4.16;6.77;NA;18.22;4.05;4.63;8.12;9.04;NA;NA;NA;
2;6;0.64;2.01;3.18;NA;7.2;2.11;5.51;8.5;6.97;NA;NA;NA;
2;7;1.29;4.54;2.53;NA;11.35;2.9;7.8;8.97;4.56;NA;NA;NA;
