DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;4.04;11.05;0.21;NA;14.62;5.75;NA;NA;ND;NA;NA;NA;
1;1;0.46;6.18;7.05;NA;5.9;5.97;NA;NA;ND;NA;NA;NA;
1;2;4.31;7.91;3.19;NA;9.57;4.2;NA;NA;ND;NA;NA;NA;
1;3;6.1;3.42;6.64;NA;4.7;7.07;NA;NA;ND;NA;NA;NA;
1;4;7.46;8.79;5.25;NA;3.66;5.82;NA;NA;ND;NA;NA;NA;
1;5;3.71;10.63;3.91;NA;6.37;7.08;NA;NA;ND;NA;NA;NA;
1;6;6.42;28.3;5.68;NA;3.93;6.82;NA;NA;ND;NA;NA;NA;
1;7;8.41;22.58;3.44;NA;2;10.35;NA;NA;ND;NA;NA;NA;
1;8;14.82;16.8;12.63;NA;4.98;6.95;NA;NA;ND;NA;NA;NA;
1;9;7.76;9.68;5.97;NA;4.19;11.55;NA;NA;ND;NA;NA;NA;
1;10;17.12;7.49;2.07;NA;4.91;4.5;NA;NA;ND;NA;NA;NA;
1;11;8.36;11.8;14.54;NA;3.93;15.43;NA;NA;ND;NA;NA;NA;
1;12;0;15.4;7.4;NA;9.45;5.96;NA;NA;ND;NA;NA;NA;
1;13;9.73;29.47;3.38;NA;9.36;18.01;NA;NA;ND;NA;NA;NA;
1;14;2.04;18.92;12.58;NA;6.98;6.03;NA;NA;ND;NA;NA;NA;
1;15;10.81;ND;5.72;NA;5.29;6.48;NA;NA;ND;NA;NA;NA;
1;16;15.7;ND;14.03;NA;21.64;9.3;NA;NA;ND;NA;NA;NA;
1;17;9.9;11.31;10.72;NA;15.53;4.32;NA;NA;ND;NA;NA;NA;
1;18;5.18;24.21;9.45;NA;13.19;10.41;NA;NA;ND;NA;NA;NA;
1;19;1.83;7.73;8.33;NA;15.25;10.78;NA;NA;ND;NA;NA;NA;
1;20;13.18;5.25;11.9;NA;12.84;24.8;NA;NA;ND;NA;NA;NA;
1;21;8.52;15.4;9.56;NA;4.35;20.53;NA;NA;ND;NA;NA;NA;
1;22;7.72;7.57;9.23;NA;4.56;11.39;NA;NA;ND;NA;NA;NA;
1;23;ND;10;7.2;NA;ND;8.79;NA;NA;ND;NA;NA;NA;
2;0;6.45;22.48;1.88;NA;9.56;2.12;NA;NA;ND;NA;NA;NA;
2;1;9.22;11.1;5.9;NA;0.83;11.82;NA;NA;ND;NA;NA;NA;
2;2;3.6;20.46;5.47;NA;8.71;6.19;NA;NA;ND;NA;NA;NA;
2;3;4.64;12.22;6.3;NA;14.4;5.29;NA;NA;ND;NA;NA;NA;
2;4;10.98;12.74;6.95;NA;13.47;13.39;NA;NA;ND;NA;NA;NA;
2;5;15.24;18.6;12.32;NA;18.21;10.89;NA;NA;ND;NA;NA;NA;
2;6;22.93;44.61;12.54;NA;29.48;10.4;NA;NA;ND;NA;NA;NA;
2;7;26.6;51.09;15.65;NA;26.03;14.09;NA;NA;ND;NA;NA;NA;
2;8;18.12;22.3;9.42;NA;6.1;14.47;NA;NA;ND;NA;NA;NA;
2;9;12.41;14.43;9.33;NA;5.73;3.75;NA;NA;ND;NA;NA;NA;
2;10;12.57;9.64;9.41;NA;19.77;18.53;NA;NA;ND;NA;NA;NA;
2;11;24.09;ND;9.24;NA;12.27;6.86;NA;NA;ND;NA;NA;NA;
2;12;12.68;26.29;13.58;NA;6.98;17.73;NA;NA;ND;NA;NA;NA;
2;13;9.62;16.83;12.77;NA;8.2;9.76;NA;NA;ND;NA;NA;NA;
2;14;6.68;18.67;14.36;NA;9.54;11.9;NA;NA;ND;NA;NA;NA;
2;15;8.09;24.45;12.51;NA;15.3;13.84;NA;NA;ND;NA;NA;NA;
2;16;8.64;24.41;19.07;NA;12.26;19.65;NA;NA;ND;NA;NA;NA;
2;17;10.2;17.01;16.42;NA;11.81;11.89;NA;NA;ND;NA;NA;NA;
2;18;17.77;32.15;18.27;NA;19.07;20.84;NA;NA;ND;NA;NA;NA;
2;19;13.51;34.06;19.02;NA;23.72;19.56;NA;NA;ND;NA;NA;NA;
2;20;9.25;22.54;13.39;NA;5.79;20.02;NA;NA;ND;NA;NA;NA;
