DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;2.01;2.12;0.45;NA;1.34;0.76;ND;1.2;ND;NA;NA;NA;
1;1;1.75;1.52;ND;NA;1.74;ND;ND;1.39;ND;NA;NA;NA;
1;2;3;1.58;1.42;NA;0.76;2.08;ND;1.02;ND;NA;NA;NA;
1;3;2.14;3.17;0.73;NA;1.96;1.93;ND;1.33;ND;NA;NA;NA;
1;4;1.21;5.18;0.69;NA;0.77;2.03;ND;1.23;ND;NA;NA;NA;
1;5;3.02;2.67;1.2;NA;1.68;3.93;ND;1.61;ND;NA;NA;NA;
1;6;4.35;3.68;2.73;NA;2.28;4.34;ND;1.74;ND;NA;NA;NA;
1;7;4.08;4.42;3.59;NA;1.76;4.38;ND;3.58;ND;NA;NA;NA;
1;8;2.94;1.71;5.08;NA;1.9;4.37;ND;1.53;ND;NA;NA;NA;
1;9;1.67;1.2;3.35;NA;2.71;5.02;ND;1.3;ND;NA;NA;NA;
1;10;1.31;1.27;2.14;NA;3.49;1.94;ND;1.51;ND;NA;NA;NA;
1;11;1.16;1.63;2.37;NA;2.04;1.63;ND;1.44;ND;NA;NA;NA;
1;12;1.02;0.98;2.36;NA;2.93;1.66;ND;2.36;ND;NA;NA;NA;
1;13;1.14;ND;2.05;NA;1.67;2.48;ND;1.11;ND;NA;NA;NA;
1;14;1.6;ND;2.21;NA;1.1;2.29;ND;1.36;ND;NA;NA;NA;
1;15;1.31;0.45;2.51;NA;2.17;2.98;ND;1.36;ND;NA;NA;NA;
1;16;1.42;1.18;2.48;NA;3.62;2.22;ND;1.26;ND;NA;NA;NA;
1;17;1.49;1.01;3.02;NA;2.41;2.59;ND;1.25;ND;NA;NA;NA;
1;18;2.3;1.41;4.08;NA;3.97;4.28;ND;1.38;ND;NA;NA;NA;
1;19;3.96;1.98;4.3;NA;2.87;5.45;ND;1.45;ND;NA;NA;NA;
1;20;5.34;2.38;6.61;NA;4.42;3.87;ND;2.92;ND;NA;NA;NA;
1;21;5.25;3.74;6.76;NA;2.36;4.44;ND;3.65;ND;NA;NA;NA;
1;22;2.84;7.16;2.52;NA;2.52;4.07;ND;2.74;ND;NA;NA;NA;
1;23;2.35;6.59;1.94;NA;2.17;4.22;ND;1.91;ND;NA;NA;NA;
2;0;1.72;2.35;0.89;NA;1.31;2.24;ND;1.87;ND;NA;NA;NA;
2;1;ND;1.39;0.52;NA;6.48;ND;ND;2.99;ND;NA;NA;NA;
2;2;2.98;3.94;1.1;NA;12.46;3.44;ND;2.72;ND;NA;NA;NA;
2;3;5.35;4.08;3.97;NA;12.8;6.33;ND;4.09;ND;NA;NA;NA;
2;4;5.69;1.9;3.31;NA;11.75;6.8;ND;3.2;ND;NA;NA;NA;
2;5;11.83;2.19;4.7;NA;11.83;5.16;ND;5.35;ND;NA;NA;NA;
2;6;11.24;4.85;8.43;NA;27.83;6.2;ND;5.51;ND;NA;NA;NA;
