DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;18.65;29.25;14.02;NA;3.16;5.13;15.61;26.93;11.19;NA;NA;NA;
1;1;34.26;34.15;30.71;NA;39.35;19.09;38.1;22.61;ND;NA;NA;NA;
1;2;28.72;ND;ND;NA;ND;31.62;43.21;29.02;21.61;NA;NA;NA;
1;3;22.26;33.23;24.81;NA;29.86;31.16;38.1;31.2;26.11;NA;NA;NA;
1;4;18.69;30.31;23.51;NA;20.81;22.12;34.2;24.99;25.15;NA;NA;NA;
1;5;5.66;13.04;4.26;NA;8.61;7.82;15.48;17.21;16.61;NA;NA;NA;
1;6;1.59;9.46;0.52;NA;4.85;3.24;12.46;4.95;8.05;NA;NA;NA;
1;7;2.8;15.92;1.85;NA;4.24;5.82;5.96;7.28;10.22;NA;NA;NA;
1;8;3.82;10.74;2.9;NA;13.63;6.73;35.52;13.36;19.82;NA;NA;NA;
1;9;9.09;27.17;11;NA;23.07;14.03;45.53;24.68;21.27;NA;NA;NA;
1;10;37.52;42.67;14.59;NA;26.47;23.6;88.91;32.51;18.68;NA;NA;NA;
1;11;64.07;67.06;38.61;NA;47.97;47.65;66.41;54.41;25.66;NA;NA;NA;
1;12;77.39;75.17;54.66;NA;66.97;66.94;79.27;73.1;58.03;NA;NA;NA;
1;13;74.14;70.34;56.92;NA;72.44;74.21;85.78;86.54;63.1;NA;NA;NA;
1;14;65.9;63.8;49.23;NA;61.65;69.56;85.09;75.92;74.95;NA;NA;NA;
1;15;54.83;63.75;44.65;NA;45.54;52.77;67.62;65.5;52.84;NA;NA;NA;
1;16;46;57.43;40.05;NA;37.87;37.13;57.55;57.42;34.52;NA;NA;NA;
1;17;43.85;51.35;15.6;NA;25.01;32.08;52.9;29.33;22.7;NA;NA;NA;
