DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;0.43;0.37;NA;0.46;ND;ND;NA;ND;NA;NA;NA;
1;1;0.2;0.36;0.32;NA;0.31;0.31;0.28;NA;ND;NA;NA;NA;
1;2;0.14;0.31;0.24;NA;0.31;0.38;0.24;NA;ND;NA;NA;NA;
1;3;0.18;0.36;0.23;NA;0.33;0.43;0.25;NA;ND;NA;NA;NA;
1;4;0.26;0.44;0.26;NA;0.38;0.48;0.38;NA;ND;NA;NA;NA;
1;5;0.46;0.51;0.37;NA;0.7;0.78;0.44;NA;ND;NA;NA;NA;
1;6;1.3;1.56;0.48;NA;1.41;2;0.98;NA;ND;NA;NA;NA;
1;7;1.79;1.89;1.07;NA;1.81;2.33;1.15;NA;ND;NA;NA;NA;
1;8;0.79;0.64;1.68;NA;0.97;1.27;0.56;NA;ND;NA;NA;NA;
1;9;0.35;0.4;1.88;NA;0.81;1;0.33;NA;ND;NA;NA;NA;
1;10;0.3;0.49;0.88;NA;0.67;0.6;0.41;NA;ND;NA;NA;NA;
1;11;0.29;0.41;0.78;NA;0.6;0.59;0.42;NA;ND;NA;NA;NA;
1;12;0.25;0.46;0.59;NA;0.63;0.5;0.48;NA;ND;NA;NA;NA;
1;13;0.28;0.42;0.47;NA;0.55;0.37;0.43;NA;ND;NA;NA;NA;
1;14;0.27;0.41;0.65;NA;0.5;0.41;0.46;NA;ND;NA;NA;NA;
1;15;0.26;0.49;0.66;NA;0.55;0.43;0.53;NA;ND;NA;NA;NA;
1;16;0.35;0.52;0.81;NA;0.58;0.74;0.61;NA;ND;NA;NA;NA;
1;17;0.4;0.51;0.63;NA;0.81;1.11;0.83;NA;ND;NA;NA;NA;
1;18;0.42;0.64;1.22;NA;1.12;1.47;0.71;NA;ND;NA;NA;NA;
1;19;0.36;0.59;0.89;NA;1.35;1.43;0.78;NA;ND;NA;NA;NA;
1;20;0.55;0.61;0.83;NA;1.07;1.12;0.69;NA;ND;NA;NA;NA;
1;21;0.5;0.65;0.83;NA;0.77;0.91;0.58;NA;ND;NA;NA;NA;
1;22;0.34;0.35;0.68;NA;0.85;0.67;0.5;NA;ND;NA;NA;NA;
1;23;0.41;0.39;0.61;NA;0.68;0.57;0.4;NA;ND;NA;NA;NA;
2;0;0.34;ND;ND;NA;ND;0.49;0.41;NA;ND;NA;NA;NA;
2;1;0.23;0.32;0.38;NA;0.49;0.5;0.43;NA;ND;NA;NA;NA;
2;2;0.21;0.32;0.35;NA;0.45;0.47;0.41;NA;ND;NA;NA;NA;
2;3;0.22;0.32;0.34;NA;0.44;0.56;0.4;NA;ND;NA;NA;NA;
2;4;0.29;0.35;0.37;NA;0.43;0.62;0.55;NA;ND;NA;NA;NA;
