DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;1.39;1.63;1.49;NA;1.89;0.66;ND;1.55;8.05;NA;NA;NA;
1;1;ND;3.21;2.68;NA;1.8;ND;ND;4.8;6.04;NA;NA;NA;
1;2;3.69;7.32;2.74;NA;2.74;0.82;ND;1.8;10.84;NA;NA;NA;
1;3;9.6;5.71;3.69;NA;3.56;1.62;ND;1.55;14.24;NA;NA;NA;
1;4;7.83;8.21;4.77;NA;3.58;1.73;ND;2.69;19.38;NA;NA;NA;
1;5;7.96;10.35;3.64;NA;3.59;1.82;ND;3.55;10.08;NA;NA;NA;
1;6;9.9;12.46;4.22;NA;10.32;3.31;ND;6.9;8.96;NA;NA;NA;
1;7;12.58;15.77;8.32;NA;13.39;4.41;ND;25.99;13.98;NA;NA;NA;
1;8;11.52;10.27;10.67;NA;5.34;2.83;ND;20.37;26.08;NA;NA;NA;
1;9;6.19;8.83;12.25;NA;4.72;1.95;ND;15.15;14.81;NA;NA;NA;
1;10;5.59;8.52;7.19;NA;3.01;1.99;ND;7.11;29.2;NA;NA;NA;
1;11;5.3;3.8;9.81;NA;4.15;3.36;ND;7.38;26.9;NA;NA;NA;
1;12;3.46;3.51;4.9;NA;6.74;2.92;ND;ND;29.49;NA;NA;NA;
1;13;3.31;2.26;9.14;NA;8.51;2.82;ND;ND;ND;NA;NA;NA;
1;14;1.74;1.73;6.44;NA;5.65;2.6;ND;4.46;ND;NA;NA;NA;
1;15;1.66;1.59;4.54;NA;2.33;1.13;ND;2.4;ND;NA;NA;NA;
1;16;3;1.93;2.48;NA;7.24;1.11;ND;1.97;1.27;NA;NA;NA;
1;17;1.41;1.21;1.21;NA;4.72;1.95;ND;1.91;2.37;NA;NA;NA;
1;18;0.6;1.31;3.77;NA;9.83;2.37;ND;1.86;7.91;NA;NA;NA;
1;19;0.48;1.21;3.14;NA;9.9;2.58;ND;1.66;1.43;NA;NA;NA;
1;20;1.38;1.05;3.34;NA;8.97;1.81;ND;1.11;6.62;NA;NA;NA;
1;21;0.94;1.01;3.29;NA;6.56;1.84;ND;0.91;19.94;NA;NA;NA;
1;22;0.67;0.63;1.54;NA;5.85;1;ND;0.85;1.66;NA;NA;NA;
1;23;1.23;0.32;1.69;NA;4.57;1.01;ND;0.83;6.02;NA;NA;NA;
2;0;0.48;0.74;0.86;NA;2.44;0.8;ND;0.77;1.1;NA;NA;NA;
2;1;0.3;ND;ND;NA;ND;0.41;ND;0.76;0.5;NA;NA;NA;
2;2;0.73;0.75;1.4;NA;1.27;0.69;ND;0.67;0.78;NA;NA;NA;
2;3;0.5;0.75;2.01;NA;3.49;0.84;ND;1.09;5.27;NA;NA;NA;
2;4;1.33;0.72;3.89;NA;3.97;0.92;ND;0.8;6.32;NA;NA;NA;
2;5;2.01;1.3;3.52;NA;4.58;1.21;ND;0.73;3.97;NA;NA;NA;
2;6;4.69;2.63;4.79;NA;8.79;1.82;ND;1.15;5.83;NA;NA;NA;
2;7;7.9;4.33;6.1;NA;6.63;2.46;ND;1.95;8.05;NA;NA;NA;
2;8;5.12;3.63;8.49;NA;8.45;3.07;ND;2.17;12.69;NA;NA;NA;
2;9;3.99;4.01;10.93;NA;7.98;4.56;ND;2.51;47.44;NA;NA;NA;
2;10;4.1;2.92;8.65;NA;7.53;3.9;ND;6.41;62.5;NA;NA;NA;
2;11;5.01;3.01;10.46;NA;4.58;2.5;ND;5.75;43.31;NA;NA;NA;
2;12;4.8;3.2;10.67;NA;3.19;2.45;ND;4.97;124.59;NA;NA;NA;
2;13;2.62;2.21;11.81;NA;3.26;1.16;ND;4.64;ND;NA;NA;NA;
2;14;1.51;1.72;6.33;NA;7.64;2.53;ND;4.12;ND;NA;NA;NA;
2;15;1.47;1.37;5.92;NA;5.1;2.17;ND;3.66;13.95;NA;NA;NA;
2;16;0.99;0.63;ND;NA;2.84;1.81;ND;2.95;4.7;NA;NA;NA;
2;17;2.83;1.79;ND;NA;5.24;2.46;ND;2.25;6.47;NA;NA;NA;
2;18;1.1;1.35;5.37;NA;4.22;2.62;ND;2.19;2.99;NA;NA;NA;
2;19;0.77;1.33;4.86;NA;5.58;2.56;ND;1.94;1.95;NA;NA;NA;
2;20;1.21;1.28;6.19;NA;6.09;2.97;ND;1.2;1.22;NA;NA;NA;
2;21;0.89;0.89;5.08;NA;7.13;2.32;ND;1.07;2.84;NA;NA;NA;
2;22;0.65;0.43;3.2;NA;3.45;1.65;ND;1.16;2.96;NA;NA;NA;
2;23;0.15;0.68;3.86;NA;2.53;1.91;ND;0.88;0.64;NA;NA;NA;
3;0;1.01;0.47;3.3;NA;3.52;1.07;ND;0.71;0.21;NA;NA;NA;
3;1;ND;1.57;ND;NA;2.74;ND;ND;0.93;0.97;NA;NA;NA;
3;2;0.58;2.34;3.24;NA;2.86;0.92;ND;0.69;1.43;NA;NA;NA;
3;3;1.44;2.26;2.51;NA;2.04;0.92;ND;1.21;2.09;NA;NA;NA;
3;4;3.64;1.55;3.75;NA;5.79;1.05;ND;1.1;1.57;NA;NA;NA;
3;5;4.14;1.18;4.49;NA;6.44;1.79;ND;1.78;3.49;NA;NA;NA;
3;6;8.26;4.33;7.9;NA;13.5;3.02;ND;2.71;8.58;NA;NA;NA;
3;7;10.19;17.11;11.67;NA;38.69;5.01;ND;4.41;9.85;NA;NA;NA;
3;8;10.88;16.03;16.95;NA;21.24;4.73;ND;5.13;41.82;NA;NA;NA;
3;9;21.47;16.9;16.94;NA;9.6;3.64;ND;7.4;48.38;NA;NA;NA;
3;10;18.39;17.52;16.72;NA;13.69;6.44;ND;6.15;82.64;NA;NA;NA;
3;11;9.59;8.76;5.8;NA;5.03;2.16;ND;7.69;68.44;NA;NA;NA;
3;12;3.77;4.17;3.66;NA;3.04;1.24;ND;3.73;26.56;NA;NA;NA;
3;13;2.96;3.71;2.48;NA;2.09;1.03;ND;1.88;9.98;NA;NA;NA;
3;14;2.3;3.56;2.57;NA;1.11;0.91;ND;1.47;0;NA;NA;NA;
3;15;1.61;2.69;2.81;NA;1.91;1.1;ND;2.7;19.19;NA;NA;NA;
3;16;0.59;2.12;2.35;NA;2.03;1.59;ND;1.98;13.69;NA;NA;NA;
3;17;0.29;2.14;5.08;NA;1.92;1.39;ND;2.67;1.67;NA;NA;NA;
3;18;0.25;1.69;1.81;NA;1.6;1.51;ND;2.33;1.71;NA;NA;NA;
3;19;0.76;1.75;3.06;NA;1.87;1.83;ND;1.46;2.45;NA;NA;NA;
3;20;1.93;2.25;5.86;NA;3.67;2.17;ND;1.39;4.03;NA;NA;NA;
3;21;1.45;2.07;6.66;NA;5.37;1.92;ND;1.1;1.63;NA;NA;NA;
3;22;2.32;2.2;4;NA;4.2;2.01;ND;1.14;0.49;NA;NA;NA;
3;23;1.71;1.79;5.14;NA;5.06;1.83;ND;0.87;11.5;NA;NA;NA;
4;0;1.19;1.59;3.51;NA;5.57;1.1;ND;1.03;7.96;NA;NA;NA;
