DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;14.67;23.95;0.92;NA;1.39;ND;11.35;24.84;16.08;NA;NA;NA;
1;1;21.04;24.21;9.62;NA;17.65;ND;ND;26.03;19.49;NA;NA;NA;
1;2;ND;26.31;17.13;NA;18.55;ND;13.45;25.82;18.85;NA;NA;NA;
1;3;21.72;27.77;23.52;NA;21.34;ND;18.86;25.76;17.03;NA;NA;NA;
1;4;16.25;15.69;13.19;NA;9.65;ND;10.4;14.45;9.01;NA;NA;NA;
1;5;10.54;7.81;1.58;NA;2.09;ND;7.29;4.18;6.26;NA;NA;NA;
1;6;6.19;4.87;1.07;NA;2.18;ND;10.43;0.47;8.78;NA;NA;NA;
1;7;6.18;7.98;3.99;NA;5.47;ND;16.87;2.65;15.37;NA;NA;NA;
1;8;8.25;23.28;11.1;NA;19.81;ND;34.46;11.23;26.99;NA;NA;NA;
1;9;15.77;37.19;12.19;NA;40.24;ND;40.92;35.68;52.37;NA;NA;NA;
1;10;36.27;54.64;35.53;NA;54.25;ND;50.95;42.29;45.11;NA;NA;NA;
1;11;53.76;58.72;64.13;NA;49.99;ND;65.18;66.03;60.26;NA;NA;NA;
1;12;48.41;58.42;52.19;NA;47.17;ND;70.55;69.95;109.88;NA;NA;NA;
1;13;48.96;59.29;61.14;NA;48.78;ND;70.79;70.84;108.74;NA;NA;NA;
1;14;47.94;56.76;56.64;NA;59.64;ND;88.92;67.31;102.95;NA;NA;NA;
1;15;44.86;51.89;57.76;NA;44.24;ND;64.76;63.6;89.31;NA;NA;NA;
1;16;34.82;38.43;34.92;NA;30.69;51.03;55.54;46.07;57.98;NA;NA;NA;
1;17;28.61;40.3;10.23;NA;29.63;25.86;31.65;35.61;38.35;NA;NA;NA;
1;18;18.81;29.9;9.14;NA;27.06;13.82;16.46;30.48;39.4;NA;NA;NA;
1;19;16.4;26.24;4.98;NA;18.05;9.53;12.23;26.6;10.56;NA;NA;NA;
1;20;14.6;26.35;5.03;NA;6.15;9.59;12.67;28.05;31.44;NA;NA;NA;
1;21;17.02;25.16;6.54;NA;4.56;8.76;10.54;28.3;34.78;NA;NA;NA;
1;22;16.15;25.66;6.13;NA;4.68;5.75;10.81;30.36;32.88;NA;NA;NA;
1;23;18.18;27.5;12.93;NA;5.63;7.13;12.31;30.12;29.75;NA;NA;NA;
2;0;18.08;28.32;18.17;NA;12.57;14.98;16.46;ND;34.51;NA;NA;NA;
2;1;20.21;29.62;22.96;NA;14.85;21.93;18.52;31.23;ND;NA;NA;NA;
2;2;18.72;ND;14.33;NA;ND;ND;14.55;29.42;33.98;NA;NA;NA;
2;3;15.31;25.54;12.08;NA;13.48;14.65;10.32;29.75;36.7;NA;NA;NA;
2;4;8.55;22.68;14.66;NA;6.42;11.27;8.26;29.14;35.87;NA;NA;NA;
2;5;8.57;22.6;19.08;NA;8.13;12.18;5.95;24.01;35.05;NA;NA;NA;
2;6;8.98;22.84;9.21;NA;7.01;8.37;3.07;23.34;24.61;NA;NA;NA;
2;7;8.76;24.37;13.79;NA;13.36;14.55;9.66;24.3;20.3;NA;NA;NA;
2;8;7.38;22.95;9.55;NA;16.04;15.33;29.86;24.74;19.24;NA;NA;NA;
2;9;12.66;35.72;19.53;NA;37.67;37.75;41;24.58;23.63;NA;NA;NA;
2;10;29.35;54.58;41.72;NA;48.99;63.28;50.7;31.23;39.08;NA;NA;NA;
2;11;44.57;54.08;57.64;NA;57.33;66.13;58.41;60.28;38.16;NA;NA;NA;
2;12;36.05;44.45;56.84;NA;61.84;68.66;58.71;63.79;59.48;NA;NA;NA;
2;13;26.72;36.7;48.12;NA;51.22;66.62;62.04;49.02;84.95;NA;NA;NA;
2;14;25.72;37.04;44.21;NA;30.61;56.94;50.96;39.31;75.3;NA;NA;NA;
2;15;26.25;38.9;33.26;NA;36.18;34.52;37.63;38.09;63.84;NA;NA;NA;
2;16;25.13;37.35;32.18;NA;26.82;28.54;27.15;42.54;58.79;NA;NA;NA;
2;17;19.68;31;16.12;NA;19.89;21.54;23.54;40.86;46.2;NA;NA;NA;
2;18;12.6;27.83;5.42;NA;6.24;16.15;15.49;30.8;39.88;NA;NA;NA;
2;19;14.2;24.75;2.34;NA;5.89;5.67;10.03;30.2;39.01;NA;NA;NA;
2;20;10.56;23.39;1.22;NA;4.81;1.12;20.65;27.18;39.72;NA;NA;NA;
2;21;9.07;23.33;0.4;NA;2.75;1.5;14.27;23.4;22.39;NA;NA;NA;
2;22;8.55;22.01;0.44;NA;7.35;3.04;18.66;28.58;28.09;NA;NA;NA;
2;23;11.79;19.73;1.23;NA;5.98;2.39;17.1;28.76;15.77;NA;NA;NA;
3;0;10.65;17.38;4.81;NA;13.58;3.74;14.96;25.54;27.68;NA;NA;NA;
3;1;11.43;17.21;6.78;NA;8.08;8.11;ND;26.17;30.59;NA;NA;NA;
3;2;ND;18.27;11.54;NA;3.51;7.63;9.06;25.33;25.59;NA;NA;NA;
3;3;13.06;18.84;10.88;NA;2.46;5.33;5.48;23.94;24.62;NA;NA;NA;
3;4;13.73;18.16;12.38;NA;2.41;2.03;6.92;21.56;30.07;NA;NA;NA;
3;5;13.3;17.31;2.41;NA;3.06;0.28;8.09;18.83;19.03;NA;NA;NA;
3;6;11.06;10.76;0.91;NA;3.88;1.43;3.06;14.33;28.73;NA;NA;NA;
3;7;9.49;7.29;4.75;NA;8.38;4.01;8.83;12.66;14.27;NA;NA;NA;
3;8;9.74;23.67;12.44;NA;11.54;9.72;16.81;19.99;24.8;NA;NA;NA;
3;9;16.06;31.64;18.15;NA;22.98;21.75;76.65;33.42;21.57;NA;NA;NA;
3;10;29.15;47.75;31.21;NA;31.13;38.09;68.18;31.21;18.01;NA;NA;NA;
3;11;41.54;53.11;45.94;NA;31.42;44.7;53.07;56.17;38.23;NA;NA;NA;
3;12;37.63;48.28;61.5;NA;47.94;70.34;60.06;67.6;53.86;NA;NA;NA;
3;13;40.77;42.79;56.58;NA;46.94;65.42;40.59;60.04;77.81;NA;NA;NA;
3;14;40.16;41.8;50.78;NA;52.48;52.25;51.7;56.96;91.96;NA;NA;NA;
3;15;32.32;39.24;37.63;NA;56.52;66.38;46.86;55.96;79.49;NA;NA;NA;
3;16;26.54;31.76;18.56;NA;39.64;38.81;32.62;42.1;64.04;NA;NA;NA;
3;17;26;33.75;15.73;NA;26.48;34.41;27.4;32.79;41.18;NA;NA;NA;
3;18;24.03;31.22;11.74;NA;31.91;25.41;19.19;30.65;25.08;NA;NA;NA;
3;19;19.91;27.77;10.96;NA;23.5;11.47;17.47;25.56;31.44;NA;NA;NA;
3;20;17.9;25.4;15.78;NA;22.15;24.05;29.2;28.27;31.71;NA;NA;NA;
3;21;14.68;19.95;20.03;NA;23.4;14.69;16.79;27.44;28.89;NA;NA;NA;
3;22;8.37;17.58;11.81;NA;8.96;3.47;1.08;26.06;29.77;NA;NA;NA;
3;23;7.19;18.82;10.32;NA;15.39;10.51;11.79;27;25.48;NA;NA;NA;
4;0;13.18;23.09;11.69;NA;11.98;9.9;21.96;ND;21.73;NA;NA;NA;
4;1;15.1;24.24;5.75;NA;19.57;13.97;25.02;21.04;ND;NA;NA;NA;
4;2;14.41;ND;10.43;NA;18.26;ND;23.66;19.89;14.65;NA;NA;NA;
4;3;15.59;24.38;13.1;NA;22.76;15.14;25.47;20.39;18.3;NA;NA;NA;
4;4;14.11;24.86;10.05;NA;16.55;15.43;19.05;13.14;11.81;NA;NA;NA;
4;5;9.23;22.44;5.12;NA;10.8;5.69;11.31;18.52;13.76;NA;NA;NA;
4;6;5.5;19.37;5.11;NA;2.79;9.56;4.96;17.31;9.11;NA;NA;NA;
4;7;6.05;12.57;1.32;NA;2.2;7.89;3.99;14.61;6.7;NA;NA;NA;
4;8;5.11;17.85;4.57;NA;2.71;7.21;15.39;16.51;11.04;NA;NA;NA;
4;9;10.35;23.89;6.29;NA;6.5;7.91;18.92;23.73;16.16;NA;NA;NA;
4;10;15.31;24.61;4.27;NA;ND;8.77;31.65;30.77;27.69;NA;NA;NA;
4;11;15.94;27.63;10.17;NA;ND;19.06;28.73;34.89;29.91;NA;NA;NA;
4;12;22.87;32.03;11.2;NA;ND;17.24;25.01;26.56;24.75;NA;NA;NA;
4;13;22.56;37.43;8.28;NA;ND;18.41;29.5;25.44;15.85;NA;NA;NA;
4;14;17.65;28.68;7.8;NA;17.15;ND;30.95;12.08;41.04;NA;NA;NA;
4;15;13.88;23.77;5.48;NA;18.73;ND;30.7;7.83;36.43;NA;NA;NA;
4;16;11.28;28.63;4.13;NA;10.33;8.27;26.91;12.23;25.66;NA;NA;NA;
4;17;8.77;24.53;1.7;NA;14.37;3.98;29.92;7.08;35.26;NA;NA;NA;
4;18;6.51;15.85;0.56;NA;3.1;1.36;17.75;9.26;22.15;NA;NA;NA;
4;19;6.14;14.04;0.26;NA;3.75;3.75;18.5;18.21;31.38;NA;NA;NA;
4;20;5.85;17.11;2.84;NA;6.09;9.36;21.8;14.07;30.36;NA;NA;NA;
4;21;6.09;18.59;7.15;NA;4.67;4.28;26.17;10.93;27.79;NA;NA;NA;
4;22;6.99;14.58;15.23;NA;7.63;5.73;18.75;8.24;24.26;NA;NA;NA;
4;23;12.29;19.9;10.43;NA;5.75;17.05;21.69;14.93;10.15;NA;NA;NA;
5;0;19.13;17.8;24.32;NA;6.46;29.68;24.89;9.62;19.61;NA;NA;NA;
5;1;20.32;24.61;26.11;NA;17.24;22.55;ND;9.29;13.15;NA;NA;NA;
5;2;ND;25.42;20.86;NA;15.42;6.61;34.53;8.09;16.41;NA;NA;NA;
5;3;12.72;23.7;13.49;NA;21.62;23.21;34.38;15.23;14.85;NA;NA;NA;
5;4;11.61;17.58;14.82;NA;14.49;16.12;27.76;15.48;11.02;NA;NA;NA;
5;5;6.68;10.32;3.82;NA;5.37;10.41;0.95;3.74;6.13;NA;NA;NA;
5;6;4.38;9.58;0.33;NA;ND;2.34;1.09;2.02;5.07;NA;NA;NA;
5;7;4.5;6.5;1.03;NA;6.4;1.92;1.59;0.59;5.49;NA;NA;NA;
5;8;4.79;5.72;ND;NA;10.53;2.6;3.07;2.28;9.46;NA;NA;NA;
5;9;5.73;7.14;ND;NA;12.14;5.37;7.65;7.74;14.68;NA;NA;NA;
