DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;10.59;7.69;11.57;NA;33.27;ND;NA;NA;ND;NA;NA;NA;
1;1;10.28;16.34;18.28;NA;25.91;ND;NA;NA;ND;NA;NA;NA;
1;2;19.84;5.66;18.51;NA;13.83;ND;NA;NA;ND;NA;NA;NA;
1;3;7.53;12.84;18.46;NA;25.15;ND;NA;NA;ND;NA;NA;NA;
1;4;13.09;10.58;15.34;NA;25.85;ND;NA;NA;ND;NA;NA;NA;
1;5;15.02;16.25;23.98;NA;31.76;ND;NA;NA;ND;NA;NA;NA;
1;6;20.65;32.21;23.86;NA;43.94;ND;NA;NA;ND;NA;NA;NA;
1;7;24.04;30.09;34.08;NA;63.16;ND;NA;NA;ND;NA;NA;NA;
1;8;29.41;24.89;47.13;NA;67.91;ND;NA;NA;ND;NA;NA;NA;
1;9;47.01;38.99;40.32;NA;29.36;ND;NA;NA;ND;NA;NA;NA;
1;10;35.19;25.35;30.39;NA;8.46;ND;NA;NA;ND;NA;NA;NA;
1;11;22.6;18.82;40.75;NA;24.45;ND;NA;NA;ND;NA;NA;NA;
1;12;18.15;13.85;28;NA;29.76;ND;NA;NA;ND;NA;NA;NA;
1;13;22.15;21.64;19.79;NA;18.72;ND;NA;NA;ND;NA;NA;NA;
1;14;16.33;14.76;12.69;NA;6.15;ND;NA;NA;ND;NA;NA;NA;
1;15;10.44;18.94;16.97;NA;9.55;ND;NA;NA;ND;NA;NA;NA;
1;16;9.97;26.94;16.81;NA;17.33;ND;NA;NA;ND;NA;NA;NA;
1;17;4.08;12.58;23.59;NA;7.9;0;NA;NA;ND;NA;NA;NA;
1;18;3.19;13.56;22.35;NA;6.12;0;NA;NA;ND;NA;NA;NA;
1;19;16.88;7.33;8.75;NA;13.73;1.97;NA;NA;ND;NA;NA;NA;
1;20;18.44;14.41;13.42;NA;10.6;0.58;NA;NA;ND;NA;NA;NA;
1;21;5.38;6.44;8.46;NA;22.39;0.04;NA;NA;ND;NA;NA;NA;
1;22;2.88;4.95;9.28;NA;20.53;2.71;NA;NA;ND;NA;NA;NA;
1;23;ND;6.12;8.46;NA;ND;1.27;NA;NA;ND;NA;NA;NA;
2;0;13.38;2.74;14.97;NA;21.51;7.13;NA;NA;ND;NA;NA;NA;
2;1;4.55;1.14;7.15;NA;11.46;4.61;NA;NA;ND;NA;NA;NA;
