DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;7.05;0.64;1.14;NA;0.59;2.23;36.61;9.8;0.87;NA;NA;NA;
1;1;8.21;3.05;0.87;NA;0.78;2.33;ND;9.21;0;NA;NA;NA;
1;2;ND;ND;ND;NA;ND;ND;38.2;3.03;0.02;NA;NA;NA;
1;3;0.01;2.58;23.54;NA;20.06;19.95;39.65;0.16;0.02;NA;NA;NA;
1;4;1.3;0.52;10.04;NA;22.22;17.71;39.69;0.04;0;NA;NA;NA;
1;5;0.08;1.11;6.74;NA;1.82;10.06;40.73;0.18;0;NA;NA;NA;
1;6;0.41;2.31;2.2;NA;1.53;2.95;33.58;0.36;0.8;NA;NA;NA;
1;7;6.51;10.95;8.92;NA;4.54;13.43;37.39;3.69;2.79;NA;NA;NA;
1;8;14.4;26.47;25.64;NA;19.33;32.13;41.69;10.51;12.39;NA;NA;NA;
1;9;29.79;31.91;32.76;NA;44.59;43.72;48.29;34.59;30.35;NA;NA;NA;
1;10;ND;50.02;41.11;NA;48.68;49.44;51.37;53.71;48.84;NA;NA;NA;
1;11;ND;53.72;42.91;NA;49.66;52.07;60.78;58.9;53.23;NA;NA;NA;
1;12;45.54;50.97;50.09;NA;51.09;56.91;57.06;ND;48.63;NA;NA;NA;
1;13;ND;55.93;41.52;NA;45.73;53.95;52.24;44.69;47.14;NA;NA;NA;
1;14;ND;51.85;45.48;NA;43.37;54.46;47.65;52.41;43.21;NA;NA;NA;
1;15;38.61;46.19;42.41;NA;31.51;45.4;41.69;49.65;55.25;NA;NA;NA;
1;16;35.93;42.87;36.19;NA;19.86;18;23.03;40.96;39.07;NA;NA;NA;
1;17;32.34;36.05;22.74;NA;18.55;8.91;9.98;36.72;32.61;NA;NA;NA;
1;18;27.05;26.66;9.72;NA;8.72;7.99;8.87;29.25;31.29;NA;NA;NA;
1;19;20.05;24.02;2.45;NA;1.14;1.58;10.41;26.75;25.22;NA;NA;NA;
1;20;8.11;25.37;0.58;NA;3.13;2.78;13.49;28.42;11.92;NA;NA;NA;
