DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;10.29;24.32;26.18;NA;26.14;21.07;NA;NA;ND;NA;NA;NA;
1;1;16.31;12.62;14.85;NA;19.32;18.7;NA;NA;ND;NA;NA;NA;
1;2;20.72;12.68;19.1;NA;16.77;15.86;NA;NA;ND;NA;NA;NA;
1;3;12.19;19.72;14.23;NA;22.98;20.35;NA;NA;ND;NA;NA;NA;
1;4;20.67;9.83;19.69;NA;26.99;21.06;NA;NA;ND;NA;NA;NA;
1;5;25.04;20.5;19.45;NA;21.09;24.25;NA;NA;ND;NA;NA;NA;
1;6;27.41;35.55;16.54;NA;20.39;25.94;NA;NA;ND;NA;NA;NA;
1;7;27.06;26.81;16.63;NA;53.01;34.37;NA;NA;ND;NA;NA;NA;
1;8;25.16;13.81;26.87;NA;49.08;30.17;NA;NA;ND;NA;NA;NA;
1;9;28.85;14.36;25.7;NA;44.49;32.9;NA;NA;ND;NA;NA;NA;
1;10;16.74;16.98;31.51;NA;44.09;22.38;NA;NA;ND;NA;NA;NA;
1;11;15.98;13.46;20.13;NA;23.65;18.4;NA;NA;ND;NA;NA;NA;
1;12;14.1;20.09;19.35;NA;13.44;16.69;NA;NA;ND;NA;NA;NA;
1;13;31.03;19.72;19.33;NA;17.9;17.07;NA;NA;ND;NA;NA;NA;
1;14;17.85;13.64;20.87;NA;33.46;35.1;NA;NA;ND;NA;NA;NA;
1;15;10.64;6.89;19.8;NA;22.04;15.12;NA;NA;ND;NA;NA;NA;
1;16;15.98;14.51;7.42;NA;18.67;32.37;NA;NA;ND;NA;NA;NA;
1;17;13.02;18.73;21.99;NA;19.5;26.43;NA;NA;ND;NA;NA;NA;
1;18;15.16;32.29;27.14;NA;22.52;30.69;NA;NA;ND;NA;NA;NA;
1;19;11.64;20.63;17.95;NA;25.93;33.7;NA;NA;ND;NA;NA;NA;
1;20;19.47;28.97;23.77;NA;28.02;24.98;NA;NA;ND;NA;NA;NA;
1;21;16.23;31.84;23.52;NA;23.65;27.26;NA;NA;ND;NA;NA;NA;
1;22;13.86;14.42;20.47;NA;16.17;22.52;NA;NA;ND;NA;NA;NA;
1;23;23.73;21;18.01;NA;ND;29.2;NA;NA;ND;NA;NA;NA;
2;0;34.31;27.31;16.9;NA;37.1;15.63;NA;NA;ND;NA;NA;NA;
2;1;30.45;16.2;28.38;NA;37.56;32.14;NA;NA;ND;NA;NA;NA;
2;2;21.49;23.3;20.65;NA;33.02;34.04;NA;NA;ND;NA;NA;NA;
2;3;21.25;28.31;24.58;NA;39.57;29.37;NA;NA;ND;NA;NA;NA;
2;4;22.35;26.11;22.93;NA;31.54;24.92;NA;NA;ND;NA;NA;NA;
2;5;24.21;31.9;31.01;NA;18.38;30.02;NA;NA;ND;NA;NA;NA;
2;6;26.12;35.21;22.07;NA;27.87;30.63;NA;NA;ND;NA;NA;NA;
2;7;18.07;27.09;16.34;NA;32.33;13.2;NA;NA;ND;NA;NA;NA;
2;8;28.85;26.36;23.05;NA;38.78;10.05;NA;NA;ND;NA;NA;NA;
2;9;22.58;8.88;3.04;NA;9.68;2.13;NA;NA;ND;NA;NA;NA;
2;10;18.42;4.82;5.01;NA;10.54;5.02;NA;NA;ND;NA;NA;NA;
2;11;6.17;3.69;1.72;NA;7.96;4.44;NA;NA;ND;NA;NA;NA;
2;12;8.94;5.62;12.26;NA;1.61;5.87;NA;NA;ND;NA;NA;NA;
2;13;7.31;5.69;5.37;NA;1.24;2.8;NA;NA;ND;NA;NA;NA;
