DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;26.13;28.28;18.03;NA;5.32;6.46;16.02;25.1;35.72;NA;NA;NA;
1;1;25.73;26.89;11.42;NA;6.13;6.83;13.99;26.4;ND;NA;NA;NA;
1;2;27.84;ND;ND;NA;ND;ND;20.02;25.16;29.4;NA;NA;NA;
1;3;24.04;27.22;15.15;NA;6.48;11.04;20.97;23.04;24.69;NA;NA;NA;
1;4;23.16;23.4;13.52;NA;17.56;8.43;20.68;21.97;28.38;NA;NA;NA;
1;5;17.27;9.51;15.7;NA;10.45;14.5;19.97;12.85;26.96;NA;NA;NA;
1;6;10.82;7.42;7.66;NA;3.5;5.46;18.37;3.26;8.46;NA;NA;NA;
1;7;10.51;14.4;9.04;NA;7.05;9.45;22.58;10.57;6.76;NA;NA;NA;
1;8;19.75;21.65;17.09;NA;22.51;21.97;26.82;21.51;11.52;NA;NA;NA;
1;9;30.39;29.67;22.18;NA;34.27;38.44;33.46;29.86;15.85;NA;NA;NA;
1;10;41.45;43.12;32.47;NA;35.93;32.29;40.75;46.79;24.5;NA;NA;NA;
1;11;55.45;54.12;40.7;NA;48.25;45.13;43.29;65.43;70.06;NA;NA;NA;
1;12;51.78;52.19;40.91;NA;53.45;55.86;46.43;76.15;72.96;NA;NA;NA;
1;13;44.17;44.83;51.34;NA;39.56;45.91;44.36;62.13;63.71;NA;NA;NA;
1;14;37.99;40.71;38.59;NA;28.87;32.01;35.8;45.53;52.12;NA;NA;NA;
1;15;40.53;41.78;18.74;NA;27.59;22.95;23.56;31.22;27.96;NA;NA;NA;
1;16;27.28;30.96;17.96;NA;24.37;18.51;17.06;20.89;27.39;NA;NA;NA;
1;17;28.46;22.64;11.86;NA;20.31;9.95;13.18;7.68;13.13;NA;NA;NA;
1;18;19.02;23.14;8.25;NA;4.92;2.43;8.78;23.39;3.29;NA;NA;NA;
1;19;23.45;22.13;4.64;NA;3.88;0.51;4.68;21.86;0.21;NA;NA;NA;
1;20;13.76;23.71;4.19;NA;3.76;2.01;8.81;22.97;13.93;NA;NA;NA;
1;21;15.29;22.18;4.76;NA;4.46;4.26;14.21;22.71;20.36;NA;NA;NA;
1;22;19.87;27.09;10.99;NA;8.41;7.73;14.59;27.48;19.21;NA;NA;NA;
1;23;27.73;25.9;11.67;NA;20.26;14.07;16.5;23.07;26.1;NA;NA;NA;
2;0;39.03;29.4;20.14;NA;24.17;18.94;25.28;ND;23.13;NA;NA;NA;
2;1;40.47;38.41;22.32;NA;27.68;26.21;ND;17.72;27.58;NA;NA;NA;
2;2;ND;35.29;24.5;NA;34.99;27.53;34.58;13.77;30.42;NA;NA;NA;
2;3;33.27;26.16;25.49;NA;33.13;24.71;30.62;11.16;21.57;NA;NA;NA;
2;4;23.04;25.94;20.98;NA;24.17;21.79;24.78;8.12;20.41;NA;NA;NA;
2;5;18.33;4.97;12.67;NA;11.83;9.07;12.2;4.65;10.24;NA;NA;NA;
2;6;6.93;2.77;6.38;NA;2.85;2.42;12.2;1.62;3.94;NA;NA;NA;
2;7;8.97;5.47;12.45;NA;6.51;10.89;21.93;3.43;10.37;NA;NA;NA;
2;8;28.51;18.93;26.63;NA;25.93;32.1;35.03;14.36;36.97;NA;NA;NA;
2;9;38.63;32.38;28.97;NA;41.97;40.93;37.05;33.53;58.52;NA;NA;NA;
2;10;38.39;35.38;27.59;NA;48.56;38.12;40.15;49.79;70.89;NA;NA;NA;
2;11;46.68;44.89;36.3;NA;69.11;42.45;49.83;61.22;79.47;NA;NA;NA;
2;12;63.49;57.21;53.61;NA;48.63;57.29;62.01;63.15;45.94;NA;NA;NA;
2;13;49.35;59.09;42.37;NA;53.07;61.72;62.38;47.52;82.92;NA;NA;NA;
2;14;34.78;44.2;50.9;NA;31.64;45.8;36.84;52.07;81.1;NA;NA;NA;
2;15;36.38;44.42;22.24;NA;33.15;29.39;27.59;42.15;42.61;NA;NA;NA;
2;16;38.57;33.07;13.12;NA;22.48;14.05;13.8;29.56;13.55;NA;NA;NA;
2;17;16.99;19.27;5.73;NA;19.55;5.62;16.62;12.86;2.19;NA;NA;NA;
2;18;12.68;9.19;5.69;NA;3.01;9.05;16.62;3.88;6.29;NA;NA;NA;
2;19;16.65;1.48;4.42;NA;3.62;1.59;3.25;0.36;3.48;NA;NA;NA;
2;20;12.44;6.11;4.57;NA;6.8;1.48;10.27;0.56;1.02;NA;NA;NA;
2;21;14.1;2.84;5.55;NA;3.72;1.96;2.45;0.48;0.74;NA;NA;NA;
2;22;15.04;2.34;5.02;NA;0.77;0.98;23.71;0.34;0.39;NA;NA;NA;
2;23;10.83;0.9;3.75;NA;0.36;1.68;9.67;0.41;0.67;NA;NA;NA;
3;0;7.42;0.81;3.4;NA;0.34;0.82;3.9;0.23;0.12;NA;NA;NA;
3;1;6.8;0.78;2.58;NA;0.43;0.97;2.82;0.2;ND;NA;NA;NA;
3;2;7.03;ND;ND;NA;ND;0.92;16.43;0.29;0.17;NA;NA;NA;
3;3;6.37;0.91;2.75;NA;1.19;0.87;16.68;0.16;0.08;NA;NA;NA;
3;4;5.12;0.8;3.34;NA;2.84;1.23;26.08;0.18;0.05;NA;NA;NA;
3;5;2.62;1.27;5.25;NA;0.78;1.5;24.18;0.41;0.53;NA;NA;NA;
3;6;1.8;1.64;7.89;NA;1.69;2.71;13.04;0.95;0.74;NA;NA;NA;
3;7;2.26;2.26;16.47;NA;2.32;2.64;10.53;1.19;1.67;NA;NA;NA;
3;8;5.61;3.26;13.29;NA;9.88;3.23;11.7;1.76;3.34;NA;NA;NA;
3;9;16.14;12.33;20.68;NA;18.02;11.4;23.69;6.82;13.84;NA;NA;NA;
3;10;33.97;31.08;20.16;NA;33.56;35.28;30.45;19.96;21.45;NA;NA;NA;
3;11;48.05;42.27;24.33;NA;39.26;37.91;36.58;39.29;31.79;NA;NA;NA;
3;12;61.44;50.72;41.44;NA;23.58;38.79;49.05;46.97;44.1;NA;NA;NA;
3;13;56.66;64.12;50.43;NA;49.31;53.46;46.26;45.23;68.83;NA;NA;NA;
3;14;44.27;53.57;30.23;NA;24.24;42.67;29.14;45.51;54.9;NA;NA;NA;
3;15;22.53;37.82;23.63;NA;18.14;24.64;25.91;35.01;31.09;NA;NA;NA;
3;16;16.07;17.32;12.1;NA;7.49;9.51;8.66;10.93;10.55;NA;NA;NA;
3;17;3.63;11.71;7.07;NA;2;2.7;8.51;8.08;2.11;NA;NA;NA;
3;18;5.2;2.37;7.33;NA;1.15;4.06;8.29;1.05;1.79;NA;NA;NA;
3;19;2.52;1.72;6.99;NA;1.05;3.52;14.69;0.62;1.87;NA;NA;NA;
3;20;3.15;4.23;4.02;NA;1;3.43;10.64;0.51;0.4;NA;NA;NA;
3;21;4.1;3.52;3.77;NA;2.13;1.26;3.42;0.5;0.82;NA;NA;NA;
3;22;5.32;1.71;4.14;NA;1.38;1.02;1.96;0.49;1.1;NA;NA;NA;
3;23;4.2;1.11;4.64;NA;0.48;1.31;1.87;0.17;0.59;NA;NA;NA;
4;0;4.72;1.13;3.68;NA;0.48;0.9;1.8;ND;0.77;NA;NA;NA;
4;1;5.08;1.16;2.87;NA;0.82;1.11;ND;0.72;0.52;NA;NA;NA;
