DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.42;2.44;4.32;NA;4.78;3.26;ND;6.72;2.5;NA;NA;NA;
1;1;0.54;ND;ND;NA;ND;3.04;ND;7.51;2.6;NA;NA;NA;
1;2;0.63;4.2;2.93;NA;22.03;3.05;ND;3.5;1.3;NA;NA;NA;
1;3;0.85;5.78;3.02;NA;40.65;3.25;ND;3.5;2.99;NA;NA;NA;
1;4;1.4;9.74;2.63;NA;17.98;3.23;ND;4.72;2.1;NA;NA;NA;
1;5;2.1;6.82;2.4;NA;16.73;4.99;ND;4.71;1.89;NA;NA;NA;
1;6;4.32;6.65;5.83;NA;38.51;7.15;ND;6.83;4.98;NA;NA;NA;
1;7;4.41;8.91;9.65;NA;28.24;8.37;ND;14.95;6.69;NA;NA;NA;
1;8;5.32;6.52;8.28;NA;9.87;6.61;ND;13.45;4.48;NA;NA;NA;
1;9;5.42;6.18;9.43;NA;5.76;3.74;ND;9.17;2.32;NA;NA;NA;
1;10;2.94;5.44;7.04;NA;4.2;4.38;ND;5.46;19.46;NA;NA;NA;
1;11;ND;4.56;4.62;NA;ND;4.46;ND;3.07;32.17;NA;NA;NA;
1;12;ND;2.55;2.86;NA;ND;3.68;ND;2.32;3.82;NA;NA;NA;
1;13;ND;1.96;2.39;NA;2.96;3.17;ND;3.9;1.95;NA;NA;NA;
1;14;1.09;1.49;1.88;NA;2.37;2.78;ND;2.34;4.11;NA;NA;NA;
1;15;0.83;1.31;1.2;NA;2.21;2.3;ND;2.2;1.2;NA;NA;NA;
1;16;0.68;0.99;2.1;NA;2.53;1.91;ND;2.45;1.7;NA;NA;NA;
1;17;0.71;0.83;3.81;NA;2.75;1.45;ND;2.41;1.65;NA;NA;NA;
1;18;0.87;1.03;3.23;NA;2.31;1.49;ND;2.55;6.21;NA;NA;NA;
1;19;0.78;1.09;3.52;NA;2.67;1.6;ND;2.42;1.12;NA;NA;NA;
1;20;1.14;0.86;3.52;NA;3.35;2.33;ND;2.2;11.82;NA;NA;NA;
1;21;1.11;1.19;1.92;NA;2.88;2.26;ND;2.17;4.88;NA;NA;NA;
1;22;1.05;1.47;ND;NA;10.77;2.44;ND;2.28;7.13;NA;NA;NA;
1;23;0.86;2.26;ND;NA;7.84;2.77;ND;2.4;11.22;NA;NA;NA;
2;0;1.18;1.98;2.73;NA;15.3;3.88;ND;2.09;10.38;NA;NA;NA;
2;1;ND;1.04;2.28;NA;7.26;ND;ND;2.39;4.71;NA;NA;NA;
2;2;0.72;0.91;2.09;NA;4.62;4.03;ND;1.99;4.08;NA;NA;NA;
2;3;0.82;0.89;2.38;NA;4.36;3.84;ND;1.83;6.11;NA;NA;NA;
2;4;1.28;2.9;3.89;NA;7.32;3.97;ND;2.05;8.13;NA;NA;NA;
2;5;2.47;2.11;4.01;NA;6.19;4.2;ND;3.8;6.44;NA;NA;NA;
2;6;2.27;3.06;5.52;NA;9.14;6.71;ND;7.52;6.75;NA;NA;NA;
2;7;4.17;3.73;7.53;NA;11.19;8.49;ND;9.52;8.29;NA;NA;NA;
2;8;4.74;3.93;8.61;NA;8.28;7.64;ND;12.35;47.39;NA;NA;NA;
2;9;8.71;6.58;9.57;NA;9.43;6.18;ND;9.69;19.73;NA;NA;NA;
2;10;9.1;12.52;6.19;NA;8.87;5.21;ND;11.36;12.25;NA;NA;NA;
2;11;7.64;10.86;3.89;NA;5.52;6.73;ND;ND;14.64;NA;NA;NA;
2;12;5.1;11.38;6.48;NA;7.71;6.14;ND;8.78;24.54;NA;NA;NA;
2;13;3.26;6.22;9.57;NA;7.74;ND;ND;ND;3.51;NA;NA;NA;
2;14;2.78;2.9;5.17;NA;4.48;ND;ND;ND;3.04;NA;NA;NA;
