DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;14.04;5.66;10.45;NA;ND;23.94;30.4;6.17;1.31;NA;NA;NA;
1;1;18.54;19.04;15;NA;ND;27.62;ND;ND;0;NA;NA;NA;
1;2;ND;7.04;21.12;NA;ND;ND;40.81;0.26;0.01;NA;NA;NA;
1;3;4.18;3.8;48.03;NA;ND;37.98;58.72;0;0.02;NA;NA;NA;
1;4;3.73;1.55;39.96;NA;ND;56.09;20.28;0;0.06;NA;NA;NA;
1;5;4.72;2.3;25.71;NA;ND;24.89;8.16;0.03;0.04;NA;NA;NA;
1;6;2.67;4.25;7.7;NA;ND;3.27;25.74;0.36;0.84;NA;NA;NA;
1;7;3.46;7.72;6.87;NA;ND;11.09;58.81;3.5;5.84;NA;NA;NA;
1;8;25.07;25.92;34.94;NA;ND;48.12;68.81;7.38;26.22;NA;NA;NA;
1;9;44.56;52.15;64.57;NA;ND;78.13;79.08;42.18;61.06;NA;NA;NA;
1;10;47.79;85.41;69.9;NA;ND;85.27;87.24;65.62;85.37;NA;NA;NA;
1;11;ND;95.67;69.51;NA;ND;79.6;101.79;78.61;102.11;NA;NA;NA;
1;12;56.87;83.91;73.2;NA;ND;89.23;104.72;97.72;99.19;NA;NA;NA;
1;13;46.26;77.49;67.37;NA;ND;92.41;111.52;67.41;76.17;NA;NA;NA;
1;14;42.32;71.99;57.98;NA;ND;76.36;81.83;60.07;71.16;NA;NA;NA;
1;15;38.76;71.21;53.23;NA;53.94;68.83;70.8;57.15;72.16;NA;NA;NA;
1;16;33.99;67.81;46.46;NA;65.71;66.48;69.82;56.31;65.35;NA;NA;NA;
1;17;27.94;54.33;38.61;NA;56.67;55.14;60.96;51.59;57.31;NA;NA;NA;
1;18;21.63;43.1;27.15;NA;42.74;26.58;54.99;43.12;44.97;NA;NA;NA;
1;19;10.45;37.21;9.09;NA;22.76;22.75;55.34;34.26;30.26;NA;NA;NA;
1;20;2.24;35.72;0.89;NA;3.02;7.52;46.2;32.55;32.6;NA;NA;NA;
1;21;1.25;33.5;2.19;NA;3.68;21.89;44.79;17.31;9.72;NA;NA;NA;
1;22;5.63;21.66;3.26;NA;27.09;13.01;55.15;3.27;8.04;NA;NA;NA;
1;23;15.13;29.05;29.59;NA;26.35;34.91;55.37;7.28;0.35;NA;NA;NA;
2;0;17.55;10.05;41.35;NA;29.28;36.88;57.85;7.15;0.1;NA;NA;NA;
2;1;26.71;12.88;47.42;NA;38.34;46.5;60.46;4.73;0.02;NA;NA;NA;
2;2;16.14;ND;ND;NA;42.15;50.76;61.96;2.68;ND;NA;NA;NA;
2;3;8.2;16.38;47.98;NA;37.74;46.39;62.46;2;2.01;NA;NA;NA;
2;4;3.98;1.76;44.74;NA;27.44;33.19;60.96;0;0.41;NA;NA;NA;
2;5;0.3;2.19;44.78;NA;13.77;24.15;59.9;0.4;0.3;NA;NA;NA;
2;6;1.23;3.84;23.37;NA;22.1;16.63;53.37;0.39;0.98;NA;NA;NA;
2;7;6.71;7.76;32.89;NA;13.53;27.43;54.87;2.62;5.43;NA;NA;NA;
