DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;9.52;7.97;0.71;NA;ND;0.02;3.41;16.05;0.13;NA;NA;NA;
1;1;16.22;10.7;0.79;NA;ND;0.01;15.57;15.23;0.34;NA;NA;NA;
1;2;12.09;ND;ND;NA;ND;0;14.67;14.33;ND;NA;NA;NA;
1;3;11.38;11.42;2.41;NA;ND;0.05;13.44;12.28;0;NA;NA;NA;
1;4;5.98;16.97;15.94;NA;ND;3.27;2.29;11.13;0;NA;NA;NA;
1;5;1.58;14.68;3.68;NA;ND;2.88;4.59;9.73;0;NA;NA;NA;
1;6;2.9;2.48;2.17;NA;ND;0.77;2.31;4.68;0.29;NA;NA;NA;
1;7;12.8;12.94;5.94;NA;ND;5.57;9.59;5.87;4.16;NA;NA;NA;
1;8;26.66;28.91;10.35;NA;ND;9.58;30.26;4.8;6.36;NA;NA;NA;
1;9;36.45;35.03;29.37;NA;ND;29.33;37.4;16.51;3.96;NA;NA;NA;
1;10;39.27;40.71;29.56;NA;ND;31.78;25.34;22.73;22.53;NA;NA;NA;
1;11;42.54;39.52;ND;NA;ND;37.73;20.49;ND;44.78;NA;NA;NA;
1;12;46.81;44.47;25.54;NA;ND;40;29.45;ND;40.69;NA;NA;NA;
1;13;50.32;48.32;36.82;NA;ND;41.67;36.34;51.23;37.36;NA;NA;NA;
1;14;42.18;45.91;ND;NA;ND;40.95;39.02;ND;28.65;NA;NA;NA;
1;15;39.56;41.24;32.56;NA;ND;35.98;31.55;45.3;30.05;NA;NA;NA;
1;16;36.52;38.92;27.96;NA;ND;30.83;24.17;36.88;29.26;NA;NA;NA;
1;17;30.54;28.52;15.83;NA;ND;22.15;19.54;26.49;17.73;NA;NA;NA;
1;18;21.58;22.36;7.75;NA;ND;4.78;7.66;23.17;5.73;NA;NA;NA;
1;19;7.56;12.94;4.77;NA;ND;1.4;6.52;16.05;0.46;NA;NA;NA;
1;20;3.92;18.26;8.06;NA;ND;1.37;2.3;23.01;11.88;NA;NA;NA;
1;21;18.03;18.63;12.01;NA;ND;9.75;0.24;15.76;5.69;NA;NA;NA;
1;22;15.73;18.04;7.06;NA;ND;6.82;2.83;3.01;2.01;NA;NA;NA;
1;23;24.52;26.76;15.14;NA;ND;9.35;3.05;4.94;0.8;NA;NA;NA;
2;0;17.01;15.71;8.04;NA;ND;8.02;1.05;2.26;0.91;NA;NA;NA;
2;1;14.98;8.91;13.53;NA;ND;11.6;2.5;ND;0;NA;NA;NA;
2;2;ND;8.38;6.8;NA;ND;ND;ND;1.59;0;NA;NA;NA;
2;3;20.8;5.66;7.74;NA;ND;5.06;19.66;0.76;0;NA;NA;NA;
2;4;17.73;3.83;4.98;NA;ND;1.23;20.87;0.77;0;NA;NA;NA;
2;5;6.67;1.98;1.89;NA;ND;0.27;18.64;1.02;0;NA;NA;NA;
2;6;4.21;2.75;3.91;NA;ND;2.78;19.38;2.69;0.63;NA;NA;NA;
2;7;22.15;9.71;18.65;NA;ND;15.39;24.32;4.84;4.3;NA;NA;NA;
2;8;39.83;26.61;32.15;NA;ND;30.32;30.23;14.03;20.03;NA;NA;NA;
2;9;41.49;43.94;34.12;NA;ND;39.42;37.16;27.67;41.34;NA;NA;NA;
2;10;45.67;49.96;42.66;NA;ND;36.37;41.37;42.51;47.81;NA;NA;NA;
2;11;54.08;52.64;40.03;NA;ND;ND;45.91;45.66;46.52;NA;NA;NA;
2;12;47.57;45.74;37.86;NA;ND;ND;46.14;41.44;45.89;NA;NA;NA;
2;13;44.63;44.85;34.59;NA;ND;38.95;37.51;42.66;42.07;NA;NA;NA;
2;14;43.78;47.04;30.69;NA;ND;37.27;33.96;41.47;43.19;NA;NA;NA;
2;15;41.71;45.54;31.3;NA;ND;40.95;30.51;38.76;42.1;NA;NA;NA;
2;16;41.57;47.4;27.87;NA;ND;29.5;26.58;41.51;36.39;NA;NA;NA;
2;17;38;40.69;23.64;NA;ND;21.83;18.77;34.92;37.78;NA;NA;NA;
2;18;29.17;31.09;22.05;NA;ND;8.72;8.7;25.46;18.52;NA;NA;NA;
2;19;16.6;22.29;18.41;NA;ND;3.52;3.95;17.56;5.9;NA;NA;NA;
2;20;4.71;17.17;7.57;NA;ND;1.3;11.82;6.42;0.37;NA;NA;NA;
2;21;11.61;18.4;13.17;NA;ND;3.07;6.15;3.12;0.48;NA;NA;NA;
2;22;14.47;14.58;5.47;NA;ND;1.4;21.36;2.01;0.25;NA;NA;NA;
2;23;18.93;8.73;2.08;NA;ND;4.67;30.13;1.76;0.18;NA;NA;NA;
3;0;18.82;8.2;5.16;NA;ND;18.15;32.4;1.53;0.93;NA;NA;NA;
3;1;16.11;3.55;33.88;NA;ND;26.58;33.05;1.15;0.21;NA;NA;NA;
3;2;11.12;ND;ND;NA;ND;27;33.72;0.96;ND;NA;NA;NA;
3;3;13.48;8.99;30.19;NA;ND;28;35.07;1.27;0.23;NA;NA;NA;
3;4;12.61;11.34;19.47;NA;ND;22.73;34.5;1.28;0.29;NA;NA;NA;
3;5;8.84;4.86;19.33;NA;ND;17.79;31.46;1.4;0.25;NA;NA;NA;
3;6;4.53;3.06;17.88;NA;ND;9.44;30;2.85;1.36;NA;NA;NA;
3;7;12.65;9.94;24.97;NA;ND;22.82;35.55;5.08;5.86;NA;NA;NA;
3;8;43.28;15.32;36.41;NA;ND;39.98;41.2;11.24;23.01;NA;NA;NA;
3;9;49.45;32.59;45.73;NA;ND;52.03;47.19;26.95;48.6;NA;NA;NA;
3;10;54.84;53.13;49.6;NA;ND;59.07;53.16;38.77;ND;NA;NA;NA;
3;11;60.43;66.24;48.25;NA;ND;57.05;59.11;55.06;ND;NA;NA;NA;
3;12;75.15;71.83;53.69;NA;ND;55.49;62.02;52.73;ND;NA;NA;NA;
3;13;57.8;57.67;52.56;NA;ND;59.69;59.11;57.94;50.87;NA;NA;NA;
3;14;53.94;58.77;55.77;NA;ND;64.68;55.93;64.8;ND;NA;NA;NA;
3;15;50.96;59.46;56.83;NA;ND;58.04;47.75;63.82;ND;NA;NA;NA;
3;16;50.27;57.49;50.15;NA;ND;53.78;33.4;56.15;55.09;NA;NA;NA;
3;17;49.23;52.87;23.92;NA;ND;32.23;28.01;54.03;47.23;NA;NA;NA;
3;18;40.29;47.57;7.84;NA;ND;14.47;19.09;50.41;42.11;NA;NA;NA;
3;19;32.12;45.52;5.48;NA;ND;6.27;21.09;47.54;35.03;NA;NA;NA;
3;20;38.81;46.79;11.62;NA;ND;6.88;25.55;49.48;38.11;NA;NA;NA;
3;21;16.32;51.3;4.45;NA;ND;12.81;27.65;55.75;25.88;NA;NA;NA;
3;22;33.22;50.19;12.09;NA;ND;24.56;13.4;36.01;42.77;NA;NA;NA;
3;23;17.93;35.87;5.41;NA;ND;9.12;8.9;33.66;36.97;NA;NA;NA;
4;0;22.7;38.69;16.72;NA;ND;7.63;8.92;35.73;36.35;NA;NA;NA;
4;1;29.67;41.62;28.55;NA;ND;19.43;11.92;ND;17.26;NA;NA;NA;
4;2;ND;44.99;28.61;NA;ND;ND;ND;46.06;26.29;NA;NA;NA;
4;3;29.99;39.05;28.82;NA;ND;33.68;18.66;40.76;37.46;NA;NA;NA;
4;4;24.29;33.23;28.14;NA;ND;31.03;16.46;35.69;38.58;NA;NA;NA;
4;5;15.17;22.73;19.44;NA;ND;3.84;7.06;31.8;26.04;NA;NA;NA;
4;6;3.52;2.81;4.43;NA;ND;2.54;6.08;11.4;16.16;NA;NA;NA;
4;7;7.46;6.78;3.42;NA;ND;4.47;17.79;6.74;3.25;NA;NA;NA;
4;8;11.36;20.75;7.34;NA;ND;14.29;33.01;18.2;8.55;NA;NA;NA;
4;9;34.54;26.57;20.48;NA;ND;35.17;42.42;28.49;18.48;NA;NA;NA;
4;10;49.11;46.88;49.84;NA;ND;50.03;51.05;33.17;47.53;NA;NA;NA;
4;11;62.96;57.49;35.35;NA;ND;35.5;54.9;52.15;41.17;NA;NA;NA;
4;12;55.25;66.1;47.54;NA;ND;48.79;54.43;59.48;36.22;NA;NA;NA;
4;13;56.84;59.24;58.45;NA;ND;68.75;ND;64.8;60.47;NA;NA;NA;
4;14;53.81;58.43;50.02;NA;ND;58.47;43.49;60.26;71.48;NA;NA;NA;
4;15;49.1;54.05;45.01;NA;ND;47;35.25;54.75;63.68;NA;NA;NA;
4;16;37.72;43.35;29.36;NA;ND;30.3;23.48;46.85;39.34;NA;NA;NA;
4;17;28.34;32.51;13.59;NA;ND;15.86;11.27;37.9;33.16;NA;NA;NA;
4;18;20.1;31.12;6.41;NA;ND;10.96;21.04;30.39;18.66;NA;NA;NA;
4;19;16.35;29.54;9.21;NA;ND;6.36;16.49;28.1;21.38;NA;NA;NA;
4;20;10.39;29.87;4.71;NA;ND;7.73;18.53;32.02;17.88;NA;NA;NA;
4;21;2.33;29.18;3.81;NA;ND;5.71;17.75;31.76;28.61;NA;NA;NA;
4;22;6.1;26.32;10.47;NA;ND;22.68;15.95;32.52;28.55;NA;NA;NA;
4;23;22.84;26.48;11.8;NA;ND;3.2;20.07;31.22;28.01;NA;NA;NA;
5;0;14.26;28.41;2.23;NA;ND;1.19;8.22;29.3;28.57;NA;NA;NA;
5;1;15.7;27.98;1.35;NA;ND;1.57;4.76;27.09;24.24;NA;NA;NA;
5;2;21.08;ND;ND;NA;ND;0.07;8.78;24.48;ND;NA;NA;NA;
5;3;19.92;30.14;4.77;NA;ND;0;2.12;23.92;18.11;NA;NA;NA;
5;4;10.46;32.43;5.87;NA;ND;0.09;4.72;19.73;17.17;NA;NA;NA;
5;5;4.43;28.22;2.54;NA;ND;0.09;1.55;16.9;7.09;NA;NA;NA;
