DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.56;ND;ND;NA;ND;0.75;0.27;NA;ND;NA;NA;NA;
1;1;0.64;0.5;0.77;NA;0.54;0.28;0.24;NA;0.37;NA;NA;NA;
1;2;0.57;0.57;0.49;NA;0.5;0.36;0.23;NA;0.3;NA;NA;NA;
1;3;0.51;0.59;0.53;NA;0.28;0.4;0.21;NA;0.26;NA;NA;NA;
1;4;0.52;0.67;0.53;NA;0.39;0.6;0.22;NA;0.28;NA;NA;NA;
1;5;0.86;1.46;0.67;NA;1.04;0.69;0.27;NA;0.38;NA;NA;NA;
1;6;1.91;2.23;1.07;NA;1.8;0.91;0.43;NA;0.69;NA;NA;NA;
1;7;1.1;1.33;1.26;NA;1.37;0.93;0.41;NA;1.45;NA;NA;NA;
1;8;1.19;0.68;0.89;NA;0.69;0.68;0.35;NA;0.87;NA;NA;NA;
1;9;0.84;0.71;0.81;NA;0.4;0.47;0.3;NA;0.39;NA;NA;NA;
1;10;0.7;0.53;0.81;NA;0.3;0.39;0.32;NA;0.27;NA;NA;NA;
1;11;0.44;0.42;0.6;NA;0.28;0.33;0.41;NA;0.2;NA;NA;NA;
1;12;0.43;0.37;0.52;NA;0.24;0.3;0.61;NA;0.22;NA;NA;NA;
1;13;0.37;0.33;0.53;NA;0.33;0.32;0.47;NA;0.23;NA;NA;NA;
1;14;0.38;0.32;0.52;NA;0.54;0.42;0.52;NA;0.25;NA;NA;NA;
1;15;0.33;0.34;0.38;NA;0.61;0.57;0.59;NA;0.36;NA;NA;NA;
1;16;0.32;0.36;0.42;NA;0.48;0.63;0.64;NA;0.49;NA;NA;NA;
1;17;0.42;0.43;0.8;NA;0.47;0.75;0.62;NA;0.54;NA;NA;NA;
1;18;0.51;0.53;1.23;NA;0.64;0.83;0.91;NA;0.56;NA;NA;NA;
1;19;0.62;0.68;1.09;NA;0.74;0.97;1.03;NA;0.58;NA;NA;NA;
1;20;0.72;0.57;0.94;NA;1.54;1.34;1.49;NA;0.92;NA;NA;NA;
1;21;0.59;0.43;0.72;NA;1.59;1.16;1.89;NA;0.85;NA;NA;NA;
1;22;0.73;0.62;0.68;NA;1.82;ND;1.57;NA;0.82;NA;NA;NA;
1;23;0.67;0.44;0.56;NA;1.88;ND;0.31;NA;0.71;NA;NA;NA;
2;0;ND;0.47;1.06;NA;1.42;ND;ND;NA;0.48;NA;NA;NA;
2;1;0.63;0.41;0.84;NA;0.8;ND;0.23;NA;0.36;NA;NA;NA;
2;2;0.48;0.48;0.5;NA;0.9;ND;0.24;NA;0.31;NA;NA;NA;
2;3;0.53;0.48;0.41;NA;0.63;0.15;0.24;NA;0.36;NA;NA;NA;
2;4;0.74;0.6;0.29;NA;0.5;0.13;0.25;NA;0.35;NA;NA;NA;
2;5;0.85;0.67;0.36;NA;1;0.35;0.34;NA;0.43;NA;NA;NA;
2;6;2.53;1.53;1.07;NA;1.7;1.65;0.57;NA;0.86;NA;NA;NA;
2;7;2.87;1.64;2.63;NA;3.4;1.19;0.49;NA;1.99;NA;NA;NA;
2;8;1.24;0.98;1.93;NA;2.73;1.12;0.44;NA;1.87;NA;NA;NA;
2;9;1.23;0.76;1.65;NA;0.92;ND;0.39;NA;0.71;NA;NA;NA;
2;10;1.24;0.81;1.83;NA;0.99;ND;0.41;NA;0.61;NA;NA;NA;
2;11;0.58;0.47;0.98;NA;0.92;ND;0.33;NA;0.52;NA;NA;NA;
2;12;0.5;0.44;0.66;NA;0.31;ND;0.42;NA;0.41;NA;NA;NA;
2;13;0.39;0.4;0.51;NA;0.35;0.18;0.39;NA;0.34;NA;NA;NA;
2;14;0.37;0.39;0.54;NA;0.32;0.29;0.42;NA;0.23;NA;NA;NA;
2;15;0.37;0.33;0.69;NA;0.31;0.33;0.44;NA;0.26;NA;NA;NA;
2;16;0.38;0.37;0.68;NA;0.42;0.4;0.5;NA;0.29;NA;NA;NA;
2;17;0.5;0.45;0.55;NA;0.53;0.53;0.55;NA;0.31;NA;NA;NA;
2;18;0.76;0.56;1.13;NA;1.04;1.11;0.71;NA;0.34;NA;NA;NA;
2;19;1.28;0.62;0.74;NA;1.63;1.01;0.85;NA;0.46;NA;NA;NA;
2;20;1.22;0.87;0.68;NA;2.71;1.19;0.87;NA;0.64;NA;NA;NA;
2;21;0.88;0.81;0.64;NA;2.85;1.49;0.54;NA;1.08;NA;NA;NA;
2;22;0.51;0.77;0.62;NA;2.93;1.26;0.37;NA;0.98;NA;NA;NA;
2;23;0.68;0.57;0.69;NA;2.08;0.73;0.32;NA;0.83;NA;NA;NA;
3;0;0.43;ND;ND;NA;ND;0.56;0.3;NA;ND;NA;NA;NA;
3;1;0.38;0.47;0.77;NA;0.98;0.33;0.28;NA;0.56;NA;NA;NA;
3;2;0.32;0.61;0.51;NA;0.38;0.25;0.28;NA;0.51;NA;NA;NA;
