DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;ND;0.22;NA;0.22;ND;ND;NA;0.37;NA;NA;NA;
1;1;0.21;0.21;0.21;NA;0.19;0.33;0.26;NA;0.31;NA;NA;NA;
1;2;0.19;0.19;0.19;NA;0.17;0.28;0.25;NA;0.15;NA;NA;NA;
1;3;0.2;0.18;0.19;NA;0.21;0.28;0.25;NA;0.13;NA;NA;NA;
1;4;0.2;0.26;0.19;NA;0.25;0.29;0.25;NA;0.1;NA;NA;NA;
1;5;0.36;0.41;0.23;NA;0.57;0.38;0.29;NA;0.22;NA;NA;NA;
1;6;0.69;0.75;0.39;NA;1.25;0.62;0.39;NA;0.67;NA;NA;NA;
1;7;0.66;0.92;0.43;NA;0.84;0.71;0.4;NA;0.97;NA;NA;NA;
1;8;0.48;0.71;0.51;NA;0.55;0.53;0.4;NA;0.35;NA;NA;NA;
1;9;0.47;0.38;0.43;NA;0.47;0.51;0.37;NA;0.21;NA;NA;NA;
1;10;0.39;0.38;0.49;NA;0.36;0.45;0.37;NA;0.17;NA;NA;NA;
1;11;0.31;0.34;0.5;NA;0.4;0.44;0.38;NA;0.16;NA;NA;NA;
1;12;0.33;0.33;0.51;NA;0.41;0.44;0.37;NA;0.14;NA;NA;NA;
1;13;0.32;0.29;0.43;NA;0.34;0.4;0.35;NA;0.09;NA;NA;NA;
1;14;0.32;0.29;0.4;NA;0.35;0.5;0.35;NA;0.11;NA;NA;NA;
1;15;0.3;0.29;0.37;NA;0.58;0.5;0.46;NA;0.13;NA;NA;NA;
1;16;0.28;0.29;0.45;NA;0.73;0.56;0.69;NA;0.12;NA;NA;NA;
1;17;0.31;0.33;0.32;NA;0.67;0.57;0.57;NA;0.22;NA;NA;NA;
1;18;0.4;0.4;0.32;NA;0.95;0.82;0.56;NA;0.26;NA;NA;NA;
1;19;0.4;0.43;0.5;NA;0.85;0.78;0.7;NA;0.24;NA;NA;NA;
1;20;0.52;0.5;0.48;NA;0.88;0.81;0.57;NA;0.6;NA;NA;NA;
1;21;0.76;0.48;0.57;NA;0.88;0.76;0.45;NA;0.59;NA;NA;NA;
1;22;0.45;0.63;0.34;NA;0.85;0.54;0.4;NA;0.44;NA;NA;NA;
1;23;0.38;0.41;0.33;NA;0.52;0.46;0.28;NA;0.4;NA;NA;NA;
2;0;0.49;ND;ND;NA;0.64;0.4;0.26;NA;ND;NA;NA;NA;
2;1;0.35;0.23;0.23;NA;0.41;0.32;0.23;NA;0.21;NA;NA;NA;
2;2;0.3;0.28;0.25;NA;0.44;0.39;0.26;NA;0.16;NA;NA;NA;
2;3;0.32;0.4;0.26;NA;0.47;0.36;0.26;NA;0.15;NA;NA;NA;
2;4;0.38;0.58;0.32;NA;0.45;0.45;0.27;NA;0.2;NA;NA;NA;
2;5;0.53;0.92;0.4;NA;0.92;0.59;0.31;NA;0.42;NA;NA;NA;
2;6;1.89;3.13;1.18;NA;1.78;0.89;0.49;NA;0.86;NA;NA;NA;
2;7;1.54;1.98;1.42;NA;1.96;0.83;0.42;NA;0.87;NA;NA;NA;
2;8;1;0.9;0.99;NA;0.79;0.69;0.39;NA;0.52;NA;NA;NA;
2;9;0.53;0.46;0.52;NA;0.5;0.59;0.35;NA;0.26;NA;NA;NA;
2;10;0.44;0.36;0.43;NA;0.34;0.39;0.3;NA;0.11;NA;NA;NA;
2;11;0.32;0.31;ND;NA;0.41;0.43;0.3;NA;0.12;NA;NA;NA;
2;12;0.29;0.32;ND;NA;0.41;0.4;0.35;NA;0.14;NA;NA;NA;
2;13;0.3;0.34;0.4;NA;0.34;0.36;0.33;NA;0.09;NA;NA;NA;
2;14;0.3;0.32;0.35;NA;0.37;0.43;0.71;NA;0.11;NA;NA;NA;
2;15;0.34;0.31;0.41;NA;0.67;0.57;0.46;NA;0.15;NA;NA;NA;
2;16;0.3;0.35;0.44;NA;0.69;0.62;0.58;NA;0.17;NA;NA;NA;
2;17;0.35;0.43;0.56;NA;0.64;0.53;0.86;NA;0.15;NA;NA;NA;
2;18;0.59;0.51;0.86;NA;0.75;1.01;1.01;NA;0.16;NA;NA;NA;
2;19;0.8;0.55;1.44;NA;0.93;1.21;0.92;NA;0.39;NA;NA;NA;
2;20;0.86;0.47;1.14;NA;0.94;1.38;0.77;NA;0.19;NA;NA;NA;
2;21;0.94;0.67;1.13;NA;0.83;1.22;0.71;NA;0.19;NA;NA;NA;
2;22;0.94;0.69;1.14;NA;1.37;1.22;0.69;NA;0.31;NA;NA;NA;
2;23;0.55;0.35;0.86;NA;1.07;1.16;0.49;NA;0.36;NA;NA;NA;
3;0;ND;0.35;ND;NA;ND;ND;ND;NA;0.1;NA;NA;NA;
3;1;0.31;0.35;0.42;NA;0.42;0.61;0.52;NA;0.14;NA;NA;NA;
3;2;0.29;0.32;0.35;NA;0.39;0.54;0.56;NA;0.15;NA;NA;NA;
3;3;0.34;0.3;0.37;NA;0.43;0.54;0.58;NA;0.18;NA;NA;NA;
3;4;0.31;0.29;0.34;NA;0.44;0.49;0.53;NA;0.21;NA;NA;NA;
3;5;0.49;0.57;0.36;NA;0.52;0.53;0.57;NA;0.3;NA;NA;NA;
3;6;1.3;1.79;0.79;NA;1.21;1.44;1.04;NA;0.59;NA;NA;NA;
3;7;1.7;1.43;1.15;NA;1.47;1.71;0.76;NA;0.71;NA;NA;NA;
3;8;0.6;0.74;1.17;NA;1.22;1.54;0.47;NA;0.63;NA;NA;NA;
3;9;0.48;0.45;0.63;NA;0.45;0.67;0.38;NA;0.34;NA;NA;NA;
3;10;0.43;0.35;0.42;NA;0.42;0.48;0.37;NA;0.17;NA;NA;NA;
3;11;0.37;0.35;0.43;NA;0.5;0.5;0.38;NA;0.13;NA;NA;NA;
3;12;0.39;0.36;0.62;NA;0.43;0.5;0.4;NA;0.13;NA;NA;NA;
3;13;0.41;0.4;0.57;NA;0.44;0.48;0.38;NA;0.15;NA;NA;NA;
3;14;0.32;0.31;0.46;NA;0.45;0.49;0.47;NA;0.15;NA;NA;NA;
3;15;0.35;0.33;0.5;NA;0.56;0.52;0.55;NA;0.2;NA;NA;NA;
3;16;0.35;0.3;0.4;NA;0.67;0.57;0.68;NA;0.26;NA;NA;NA;
3;17;0.37;0.31;0.35;NA;0.7;0.49;0.81;NA;0.38;NA;NA;NA;
3;18;0.51;0.45;0.79;NA;0.89;0.88;0.97;NA;0.45;NA;NA;NA;
3;19;0.63;0.6;1.26;NA;0.91;1.07;1.26;NA;0.61;NA;NA;NA;
3;20;1.04;0.57;0.9;NA;1.05;1.19;0.63;NA;0.32;NA;NA;NA;
3;21;0.95;0.56;0.67;NA;1.22;1.26;0.71;NA;0.39;NA;NA;NA;
3;22;0.72;0.49;0.5;NA;1.35;1.2;0.79;NA;0.5;NA;NA;NA;
3;23;0.73;0.39;0.66;NA;1.25;0.73;0.67;NA;0.48;NA;NA;NA;
4;0;0.53;ND;0.49;NA;1.16;0.75;0.45;NA;ND;NA;NA;NA;
4;1;0.45;0.45;0.54;NA;0.93;0.57;0.38;NA;0.31;NA;NA;NA;
4;2;0.32;0.57;0.51;NA;0.65;0.7;0.36;NA;0.21;NA;NA;NA;
4;3;0.3;0.48;0.56;NA;0.6;0.59;0.35;NA;0.22;NA;NA;NA;
4;4;0.35;0.67;0.56;NA;0.77;0.69;0.37;NA;0.24;NA;NA;NA;
4;5;0.56;1.4;0.51;NA;1.08;0.89;0.42;NA;0.34;NA;NA;NA;
4;6;2.42;2.99;1.47;NA;2.05;1.45;0.55;NA;0.73;NA;NA;NA;
4;7;4;3;1.25;NA;1.57;0.9;0.57;NA;1.23;NA;NA;NA;
4;8;1.28;1.33;0.56;NA;1.24;0.62;0.46;NA;1.01;NA;NA;NA;
4;9;0.47;0.65;0.51;NA;0.48;0.53;0.45;NA;0.55;NA;NA;NA;
4;10;0.42;0.34;0.47;NA;0.4;0.48;0.41;NA;0.21;NA;NA;NA;
4;11;0.38;0.37;0.55;NA;0.44;0.45;0.38;NA;0.11;NA;NA;NA;
4;12;0.39;0.43;0.52;NA;0.45;0.43;0.43;NA;0.15;NA;NA;NA;
4;13;0.4;0.49;0.54;NA;0.38;0.46;0.41;NA;0.19;NA;NA;NA;
4;14;0.4;0.42;0.45;NA;0.41;0.45;0.43;NA;0.16;NA;NA;NA;
4;15;0.39;0.4;0.52;NA;0.45;0.56;0.41;NA;0.19;NA;NA;NA;
4;16;0.39;0.43;0.58;NA;0.59;0.55;0.41;NA;0.24;NA;NA;NA;
4;17;0.47;0.42;0.59;NA;0.66;0.63;0.58;NA;0.26;NA;NA;NA;
4;18;0.7;0.52;1.01;NA;0.86;0.65;0.76;NA;0.17;NA;NA;NA;
4;19;0.89;0.6;0.85;NA;0.8;0.64;0.77;NA;0.27;NA;NA;NA;
4;20;1.22;0.51;0.85;NA;1.02;0.8;0.67;NA;0.34;NA;NA;NA;
4;21;0.92;0.64;1.08;NA;0.98;0.69;0.52;NA;0.34;NA;NA;NA;
4;22;1.15;0.66;0.63;NA;1.15;0.66;0.41;NA;0.62;NA;NA;NA;
4;23;0.97;0.44;0.53;NA;1.09;0.72;0.35;NA;0.67;NA;NA;NA;
5;0;ND;0.35;ND;NA;ND;ND;ND;NA;0.51;NA;NA;NA;
5;1;0.4;0.28;0.24;NA;0.47;0.41;0.31;NA;0.53;NA;NA;NA;
5;2;0.43;0.28;0.22;NA;0.44;0.43;0.3;NA;0.33;NA;NA;NA;
5;3;0.47;0.42;0.2;NA;0.42;0.77;0.31;NA;0.32;NA;NA;NA;
5;4;0.56;0.44;0.34;NA;0.63;0.48;0.33;NA;0.34;NA;NA;NA;
5;5;0.86;0.95;0.47;NA;0.98;0.66;0.39;NA;0.63;NA;NA;NA;
5;6;1.95;3.88;0.94;NA;2.3;1.29;0.56;NA;1.23;NA;NA;NA;
5;7;1.11;1.94;0.71;NA;1.7;0.93;0.57;NA;1.34;NA;NA;NA;
5;8;0.57;0.66;0.58;NA;0.65;0.73;0.53;NA;0.55;NA;NA;NA;
5;9;0.45;0.43;0.53;NA;0.43;0.46;0.44;NA;0.12;NA;NA;NA;
5;10;0.44;0.39;0.47;NA;0.37;0.49;0.4;NA;0.13;NA;NA;NA;
5;11;0.4;0.4;0.47;NA;0.38;0.48;0.39;NA;0.13;NA;NA;NA;
5;12;0.43;0.4;0.5;NA;0.28;0.48;0.39;NA;0.14;NA;NA;NA;
5;13;0.39;0.39;0.48;NA;0.33;0.44;0.37;NA;0.14;NA;NA;NA;
5;14;0.4;0.38;0.45;NA;0.32;0.44;0.38;NA;0.16;NA;NA;NA;
5;15;0.41;0.4;0.59;NA;0.36;0.46;0.41;NA;0.18;NA;NA;NA;
5;16;0.39;0.34;0.62;NA;0.37;0.52;0.6;NA;0.23;NA;NA;NA;
5;17;0.41;0.33;0.67;NA;0.44;0.55;0.88;NA;0.24;NA;NA;NA;
5;18;0.5;0.4;0.8;NA;0.46;0.7;0.66;NA;0.33;NA;NA;NA;
5;19;0.65;0.51;0.85;NA;0.51;0.86;0.61;NA;0.54;NA;NA;NA;
5;20;0.81;0.46;0.63;NA;0.57;0.93;0.55;NA;0.48;NA;NA;NA;
5;21;0.6;0.38;0.43;NA;0.63;0.78;0.51;NA;0.38;NA;NA;NA;
5;22;0.76;0.39;0.38;NA;0.7;0.6;0.46;NA;0.33;NA;NA;NA;
5;23;0.65;0.37;0.29;NA;0.51;0.51;0.38;NA;0.37;NA;NA;NA;
6;0;0.6;ND;0.24;NA;0.36;0.43;0.34;NA;ND;NA;NA;NA;
6;1;0.57;0.27;0.22;NA;0.3;0.48;0.33;NA;0.25;NA;NA;NA;
6;2;0.66;0.32;0.23;NA;0.3;0.49;0.32;NA;0.26;NA;NA;NA;
6;3;0.5;0.45;0.24;NA;0.36;0.52;0.32;NA;0.24;NA;NA;NA;
6;4;0.71;0.67;0.23;NA;0.36;0.43;0.34;NA;0.28;NA;NA;NA;
6;5;0.71;0.85;0.23;NA;0.53;0.51;0.38;NA;0.28;NA;NA;NA;
6;6;0.81;1.71;0.72;NA;0.82;0.63;0.64;NA;0.66;NA;NA;NA;
6;7;0.69;1.08;0.98;NA;0.88;0.69;0.83;NA;0.7;NA;NA;NA;
6;8;0.83;0.63;0.61;NA;0.68;0.7;0.72;NA;0.39;NA;NA;NA;
6;9;0.77;0.57;0.61;NA;0.53;0.62;0.59;NA;0.27;NA;NA;NA;
6;10;0.58;0.43;0.42;NA;0.44;0.55;0.48;NA;0.17;NA;NA;NA;
6;11;0.45;0.38;0.38;NA;0.36;0.47;0.46;NA;0.22;NA;NA;NA;
6;12;0.41;0.42;0.4;NA;0.43;0.44;0.45;NA;0.21;NA;NA;NA;
6;13;0.39;0.36;0.46;NA;0.38;0.44;0.55;NA;0.18;NA;NA;NA;
6;14;0.38;0.33;0.37;NA;0.33;0.56;0.54;NA;0.17;NA;NA;NA;
6;15;0.39;0.35;0.36;NA;0.37;0.55;0.46;NA;0.18;NA;NA;NA;
