DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;17.91;23.04;15.69;NA;ND;8.18;18.59;31.59;9.46;NA;NA;NA;
1;1;11.29;8.74;8.56;NA;ND;6.85;18.85;ND;12.37;NA;NA;NA;
1;2;ND;6.89;8.4;NA;ND;ND;ND;6.65;10.75;NA;NA;NA;
1;3;13.6;7.66;22.6;NA;ND;3.6;19.42;6.87;4.85;NA;NA;NA;
1;4;13.82;4.5;21.28;NA;ND;3.59;7.16;6.27;7.41;NA;NA;NA;
1;5;12.12;4.29;10.65;NA;ND;2.49;2.7;6.58;3.64;NA;NA;NA;
1;6;18.21;4.11;10.65;NA;ND;3.53;2.28;6.59;1.4;NA;NA;NA;
1;7;25.28;4.91;13.39;NA;ND;6.85;9.52;7.72;4.84;NA;NA;NA;
1;8;34.87;22.58;33.02;NA;ND;22.97;20.23;10.06;15.09;NA;NA;NA;
1;9;44.15;34.44;44.85;NA;ND;39.09;28.24;15.28;13.11;NA;NA;NA;
1;10;55.92;50.19;33.47;NA;ND;31.46;39.61;42.41;11.8;NA;NA;NA;
1;11;53.43;52.43;48.03;NA;ND;42.46;47.56;52.71;38.7;NA;NA;NA;
1;12;54.13;54.83;47.03;NA;ND;45.92;57.41;60.06;50.51;NA;NA;NA;
1;13;63.52;64.68;52.27;NA;ND;47.99;57.33;53.46;48.76;NA;NA;NA;
1;14;62.54;62.28;61.62;NA;ND;52.41;51.91;54.49;50.85;NA;NA;NA;
1;15;58.02;58.67;64.22;NA;ND;61;60.61;57.47;48.32;NA;NA;NA;
1;16;52.39;54.3;52.78;NA;ND;53.38;52.11;56.44;51.06;NA;NA;NA;
1;17;48.09;46.81;48.22;NA;ND;44.34;35.99;49.29;27.18;NA;NA;NA;
1;18;40.07;38.14;37.51;NA;ND;35.43;26.78;38.53;31;NA;NA;NA;
1;19;34.55;31.45;27.07;NA;ND;22.92;14.96;28.45;20.9;NA;NA;NA;
1;20;19.48;24.88;23.78;NA;ND;17.79;23.91;28.64;24.2;NA;NA;NA;
1;21;11.18;20.14;18.1;NA;ND;15.82;8.75;19.83;18.72;NA;NA;NA;
1;22;7.94;18.38;12.03;NA;ND;ND;0;12.51;11.95;NA;NA;NA;
1;23;14.59;12.79;16.6;NA;ND;ND;0.06;17.98;5.99;NA;NA;NA;
2;0;15.79;6.12;7.64;NA;ND;7.49;3.06;9.26;0.39;NA;NA;NA;
2;1;26.12;9.38;11.18;NA;ND;13.69;14.93;12.07;0.25;NA;NA;NA;
2;2;15;ND;ND;NA;ND;7.26;20.49;6.62;ND;NA;NA;NA;
2;3;11.53;0.94;11.77;NA;ND;1.53;8.7;1.59;0.6;NA;NA;NA;
2;4;5.58;0.87;12.29;NA;ND;0.01;22.69;0.84;0.15;NA;NA;NA;
2;5;15.3;0.68;3.68;NA;ND;1.01;19.7;1.27;0.05;NA;NA;NA;
2;6;20.09;7.8;2.36;NA;ND;1.33;18.14;2.08;0.95;NA;NA;NA;
2;7;26.71;27.76;18.76;NA;ND;15.14;26.83;3.18;6.38;NA;NA;NA;
2;8;29.86;29.51;28.33;NA;ND;30.11;33.71;8.93;21.44;NA;NA;NA;
2;9;35.73;29.19;37.77;NA;ND;39.53;37.22;26.51;40.04;NA;NA;NA;
2;10;37.23;38.31;33.44;NA;ND;38.16;40.13;38.86;44.21;NA;NA;NA;
2;11;43.99;46.58;34.32;NA;ND;38.47;42.27;36.01;35.77;NA;NA;NA;
2;12;44.73;48.32;33.87;NA;ND;28.12;41.4;38.85;35.29;NA;NA;NA;
2;13;47.42;48.68;36.46;NA;ND;31.26;40.98;38.21;36.85;NA;NA;NA;
2;14;45.78;41.9;40.66;NA;ND;29.3;42.3;35.88;33.94;NA;NA;NA;
2;15;37.91;38.61;37.94;NA;ND;31.3;44.41;33.44;33.55;NA;NA;NA;
2;16;41.78;39.52;31.9;NA;ND;24.4;42.59;29.91;30.22;NA;NA;NA;
2;17;34.47;34.03;31.3;NA;ND;26.03;29.05;28.85;25.46;NA;NA;NA;
2;18;24.41;30.6;27.59;NA;ND;24.41;16.9;27.74;14.61;NA;NA;NA;
2;19;17.91;22.25;18.89;NA;ND;10.82;6.37;18.89;10.37;NA;NA;NA;
2;20;17.63;23.97;19.28;NA;ND;3.36;5.53;9.83;10.96;NA;NA;NA;
2;21;14.33;18.89;18.48;NA;ND;3.7;8.57;4.71;3.19;NA;NA;NA;
2;22;13.54;17.11;14.39;NA;ND;4.33;16.63;3.77;0.98;NA;NA;NA;
2;23;18.48;16.83;7.1;NA;ND;6.24;19.85;3.08;0.47;NA;NA;NA;
3;0;20.04;11.76;1.97;NA;ND;4.45;23.93;4.77;0.29;NA;NA;NA;
3;1;19.74;10.99;6.92;NA;ND;8.68;24.84;ND;0.37;NA;NA;NA;
3;2;ND;ND;1.72;NA;ND;ND;ND;1.19;0.33;NA;NA;NA;
3;3;16.91;5.91;1.6;NA;ND;14.6;26.87;1.71;0.39;NA;NA;NA;
3;4;13.58;2.07;2.03;NA;ND;12.84;27.36;1.8;0.33;NA;NA;NA;
3;5;11.24;2.23;2.36;NA;ND;12.07;26.45;1.67;0.52;NA;NA;NA;
3;6;7.16;2.04;2.4;NA;ND;7.78;24.35;2.69;1.38;NA;NA;NA;
3;7;14.27;13.46;17.99;NA;ND;17.19;27.24;4.41;4.8;NA;NA;NA;
3;8;23.71;26;27.17;NA;ND;27.47;30.64;12.64;18.39;NA;NA;NA;
3;9;29.79;30.99;28.46;NA;ND;31.43;33.91;17.36;34.56;NA;NA;NA;
3;10;35.84;33.76;30.06;NA;ND;33.51;39.94;25.61;47.2;NA;NA;NA;
3;11;44.59;45.98;39.05;NA;ND;34.17;47.22;48.08;46.42;NA;NA;NA;
3;12;49.42;46.25;48.35;NA;ND;44.38;51.04;51.18;34.92;NA;NA;NA;
3;13;48.31;42.65;49.5;NA;ND;43.39;47.18;42.54;37.98;NA;NA;NA;
3;14;44.59;45.61;39.85;NA;ND;39.04;45.87;37.78;38.4;NA;NA;NA;
3;15;42.51;40.25;38.36;NA;ND;35.8;37.55;35.28;37.48;NA;NA;NA;
3;16;38.25;37.66;30;NA;ND;29.66;33.57;32.88;32.42;NA;NA;NA;
3;17;33.04;32.77;25.53;NA;ND;26.46;29.41;32.28;30.44;NA;NA;NA;
3;18;25.19;29.23;19.96;NA;ND;24.09;26.14;28.7;25.93;NA;NA;NA;
3;19;23.05;24.85;16.04;NA;ND;19.09;25.15;25.2;19.59;NA;NA;NA;
3;20;21.62;20.9;19.94;NA;ND;13;21.1;24.47;11.63;NA;NA;NA;
3;21;17.83;20.72;17.53;NA;ND;19.2;16.38;13.01;2.9;NA;NA;NA;
3;22;22.41;26.92;11.74;NA;ND;ND;21.67;6.2;2.18;NA;NA;NA;
3;23;24.98;27.05;12.7;NA;ND;ND;24.63;7.23;1.29;NA;NA;NA;
