DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;ND;9.72;NA;ND;21.53;NA;NA;17.2;NA;NA;NA;
1;1;18.6;ND;8.54;NA;ND;13.48;NA;NA;15.58;NA;NA;NA;
1;2;12.33;ND;6.28;NA;ND;6.43;NA;NA;17.31;NA;NA;NA;
1;3;4.47;ND;8.91;NA;ND;8.26;NA;NA;15.6;NA;NA;NA;
1;4;6.82;ND;5.74;NA;ND;4.7;NA;NA;18.87;NA;NA;NA;
1;5;4.19;ND;8.65;NA;ND;10.94;NA;NA;8.25;NA;NA;NA;
1;6;6.97;ND;7.99;NA;ND;14;NA;NA;9.55;NA;NA;NA;
1;7;12.63;ND;7.54;NA;ND;9.29;NA;NA;17.84;NA;NA;NA;
1;8;12.11;ND;6.61;NA;ND;11.05;NA;NA;30.29;NA;NA;NA;
1;9;4.21;ND;7.15;NA;ND;4.88;NA;NA;12.06;NA;NA;NA;
1;10;14.2;ND;7.29;NA;ND;5.79;NA;NA;1.86;NA;NA;NA;
1;11;4.73;ND;0.66;NA;ND;4.42;NA;NA;9.62;NA;NA;NA;
1;12;8.89;ND;10.37;NA;ND;6.23;NA;NA;2.95;NA;NA;NA;
1;13;8.39;ND;0.62;NA;ND;4.36;NA;NA;11.41;NA;NA;NA;
1;14;8.48;ND;8.65;NA;ND;12.79;NA;NA;4.49;NA;NA;NA;
1;15;6.87;ND;5.99;NA;ND;10.85;NA;NA;12.79;NA;NA;NA;
1;16;5.46;ND;8.66;NA;ND;2.88;NA;NA;2.54;NA;NA;NA;
1;17;8.49;ND;10.36;NA;ND;5.33;NA;NA;20.14;NA;NA;NA;
1;18;13.4;37.38;17.2;NA;ND;8.63;NA;NA;16.31;NA;NA;NA;
1;19;8.12;28.41;5.75;NA;ND;6.79;NA;NA;27.42;NA;NA;NA;
1;20;12.65;26.29;11.78;NA;ND;11.05;NA;NA;10.63;NA;NA;NA;
1;21;7.71;17.44;16;NA;ND;10.01;NA;NA;15.92;NA;NA;NA;
1;22;11.76;21.57;10.99;NA;ND;8.1;NA;NA;14.24;NA;NA;NA;
1;23;5.2;14.19;6.2;NA;ND;10.67;NA;NA;ND;NA;NA;NA;
2;0;ND;6.96;1.49;NA;ND;1.64;NA;NA;2.9;NA;NA;NA;
2;1;6.99;13.8;5.64;NA;ND;3.42;NA;NA;24.96;NA;NA;NA;
2;2;1.68;9.86;3.02;NA;ND;9.85;NA;NA;15.87;NA;NA;NA;
2;3;3.73;1.56;5.49;NA;ND;1.56;NA;NA;12.18;NA;NA;NA;
2;4;1.84;12.07;1.73;NA;ND;6.21;NA;NA;26.59;NA;NA;NA;
2;5;4.25;7.16;1.31;NA;ND;11.95;NA;NA;9.98;NA;NA;NA;
2;6;5.13;33.76;13.74;NA;ND;8.33;NA;NA;11.86;NA;NA;NA;
2;7;21.22;31.99;9.8;NA;ND;12.71;NA;NA;25.63;NA;NA;NA;
2;8;10.16;14.14;4.8;NA;ND;5.48;NA;NA;20.77;NA;NA;NA;
2;9;9.62;4.07;9.32;NA;ND;2.29;NA;NA;8.73;NA;NA;NA;
