DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;16.25;4.96;NA;ND;1.75;NA;NA;8.89;NA;NA;NA;
1;1;20.06;28.71;12.94;NA;ND;16.83;NA;NA;3.66;NA;NA;NA;
1;2;13.58;23.71;18.23;NA;ND;16.38;NA;NA;9.45;NA;NA;NA;
1;3;11.46;5.19;12.83;NA;ND;16.06;NA;NA;5.32;NA;NA;NA;
1;4;10.77;9.92;14.73;NA;ND;8.5;NA;NA;7.75;NA;NA;NA;
1;5;15.42;21.21;15.53;NA;ND;18.89;NA;NA;3.94;NA;NA;NA;
1;6;21.62;30.06;15.68;NA;ND;15.1;NA;NA;15.76;NA;NA;NA;
1;7;16.53;9.34;18.49;NA;ND;22.48;NA;NA;15.18;NA;NA;NA;
1;8;13.48;0;17.79;NA;ND;12.92;NA;NA;10.72;NA;NA;NA;
1;9;27.84;4.89;21.64;NA;ND;14.94;NA;NA;17.58;NA;NA;NA;
1;10;22.47;0;13.01;NA;ND;15.54;NA;NA;12.28;NA;NA;NA;
1;11;21.87;20.2;30.67;NA;ND;28.08;NA;NA;19.56;NA;NA;NA;
1;12;16.42;5.46;19.5;NA;ND;20.17;NA;NA;27.05;NA;NA;NA;
1;13;9.45;4.72;13.55;NA;ND;12.87;NA;NA;6.77;NA;NA;NA;
1;14;14.4;15.25;19.94;NA;ND;18.28;NA;NA;18.3;NA;NA;NA;
1;15;14.37;20.67;13.79;NA;ND;9.06;NA;NA;9.46;NA;NA;NA;
1;16;12.68;9.33;10.74;NA;ND;12.22;NA;NA;3.99;NA;NA;NA;
1;17;4.3;18.19;15.78;NA;ND;12.54;NA;NA;19.19;NA;NA;NA;
1;18;16.95;33.31;14.59;NA;ND;15.81;NA;NA;13.75;NA;NA;NA;
1;19;18.77;25.86;10.29;NA;ND;17.69;NA;NA;40.16;NA;NA;NA;
1;20;18.39;29.16;14.54;NA;ND;22.14;NA;NA;41.12;NA;NA;NA;
1;21;22.14;28.5;12.91;NA;ND;30.28;NA;NA;20.33;NA;NA;NA;
1;22;12.87;31.72;14.52;NA;ND;17.95;NA;NA;10.2;NA;NA;NA;
1;23;13.23;31.46;21.58;NA;ND;23.02;NA;NA;ND;NA;NA;NA;
2;0;ND;28.83;15.93;NA;ND;20.57;NA;NA;19.2;NA;NA;NA;
2;1;21.71;33.44;17.08;NA;ND;26.01;NA;NA;14.87;NA;NA;NA;
2;2;19.22;33.22;23.08;NA;ND;23.11;NA;NA;8.87;NA;NA;NA;
2;3;18.7;22.03;22.41;NA;ND;15.39;NA;NA;7.27;NA;NA;NA;
2;4;19.6;34.45;13.55;NA;ND;15.09;NA;NA;16.49;NA;NA;NA;
2;5;25.29;41.63;18.59;NA;ND;16.63;NA;NA;13.42;NA;NA;NA;
2;6;27;60.13;15.63;NA;ND;23.62;NA;NA;13.91;NA;NA;NA;
2;7;17.57;31.01;14.69;NA;ND;22.35;NA;NA;9.41;NA;NA;NA;
2;8;16.85;0.42;21.87;NA;ND;28.34;NA;NA;17.67;NA;NA;NA;
2;9;22.47;0;20.21;NA;ND;13.65;NA;NA;11.48;NA;NA;NA;
2;10;16.13;0.33;14.82;NA;ND;12.16;NA;NA;15.15;NA;NA;NA;
2;11;11.86;12.65;20.38;NA;ND;17.51;NA;NA;4.05;NA;NA;NA;
2;12;11.39;11.6;12.01;NA;ND;11.54;NA;NA;5.81;NA;NA;NA;
2;13;20.49;27.69;13.81;NA;ND;12.79;NA;NA;5.73;NA;NA;NA;
2;14;14.95;24.46;14.1;NA;ND;21.13;NA;NA;10.95;NA;NA;NA;
2;15;18.58;26.49;11.85;NA;ND;19.75;NA;NA;15.9;NA;NA;NA;
2;16;10.45;31.98;18.96;NA;ND;25.52;NA;NA;21.82;NA;NA;NA;
2;17;16.08;59.88;14.79;NA;ND;13.36;NA;NA;23.39;NA;NA;NA;
2;18;7.4;20.63;13.11;NA;ND;14.79;NA;NA;4.93;NA;NA;NA;
2;19;5.49;17.44;16.46;NA;ND;13.77;NA;NA;40.22;NA;NA;NA;
2;20;7.84;9.05;13.92;NA;ND;12.1;NA;NA;15.48;NA;NA;NA;
2;21;9.97;15.94;10.09;NA;ND;12.53;NA;NA;2.18;NA;NA;NA;
2;22;9.99;11.49;8.81;NA;ND;5.59;NA;NA;23.23;NA;NA;NA;
2;23;5.81;20.03;9.23;NA;ND;10.04;NA;NA;ND;NA;NA;NA;
3;0;ND;12.52;12.92;NA;ND;23.16;NA;NA;22.67;NA;NA;NA;
3;1;13.81;4.29;13.24;NA;ND;13.58;NA;NA;2.94;NA;NA;NA;
3;2;12.26;6.18;8.32;NA;ND;9.97;NA;NA;21.82;NA;NA;NA;
