DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;28.25;25.02;38.23;NA;ND;35.91;44.89;29.8;4.82;NA;NA;NA;
1;1;27.91;22.93;35.18;NA;ND;19.71;42.21;26.72;11.12;NA;NA;NA;
1;2;ND;ND;23.93;NA;ND;ND;ND;25.87;15.35;NA;NA;NA;
1;3;16.49;21.14;16.08;NA;ND;30.7;45.11;27.84;17.5;NA;NA;NA;
1;4;21.26;17.98;16.18;NA;ND;29.79;43.14;29.97;18.03;NA;NA;NA;
1;5;3.68;2.07;16.05;NA;ND;12.83;41.11;30.03;15.05;NA;NA;NA;
1;6;1.78;1.61;7.9;NA;ND;6.17;38.35;21.71;11.36;NA;NA;NA;
1;7;8.18;12.11;16.8;NA;ND;2.3;31.21;21.5;9.74;NA;NA;NA;
1;8;28.21;31.34;35.99;NA;ND;33.9;39.82;20.22;14.44;NA;NA;NA;
1;9;42.87;43.85;41.03;NA;ND;42.71;48.62;27.65;30.89;NA;NA;NA;
1;10;42.88;51.62;42.19;NA;ND;43.8;54.25;49.71;56.83;NA;NA;NA;
1;11;45.38;52.84;42.07;NA;ND;41.6;49.94;54.49;50.49;NA;NA;NA;
1;12;46.86;53.25;46.87;NA;ND;46.18;46.68;57.73;53.02;NA;NA;NA;
1;13;50.18;56.49;47.64;NA;ND;46.88;51.68;58.11;52.43;NA;NA;NA;
1;14;47.97;51.13;46.08;NA;ND;46.63;49.91;57;52.58;NA;NA;NA;
1;15;44.93;50.05;40.53;NA;ND;44.18;45.24;54.99;49.88;NA;NA;NA;
1;16;43.19;45.7;39.51;NA;ND;37.06;44.88;48.95;46.52;NA;NA;NA;
1;17;39.83;41.6;29.63;NA;ND;31.94;35.91;51.31;46.18;NA;NA;NA;
1;18;31.36;33.81;23.74;NA;ND;22.39;17.65;47.03;40.01;NA;NA;NA;
1;19;28.76;27.21;31.23;NA;ND;29.95;15.46;39.15;29.77;NA;NA;NA;
1;20;15.52;29.66;32.57;NA;ND;29.92;8.84;43.04;13.87;NA;NA;NA;
1;21;33.49;30.17;35.65;NA;ND;31.68;15.73;42.32;12.88;NA;NA;NA;
1;22;38.79;34.87;32.9;NA;ND;34.02;32.77;43.98;19.22;NA;NA;NA;
1;23;36.32;40.9;33.35;NA;ND;38.15;31.84;35.03;22.21;NA;NA;NA;
2;0;25.67;38.59;41.43;NA;ND;33.28;30.7;25.98;23.6;NA;NA;NA;
2;1;33.86;38.2;38.37;NA;ND;33.99;47.65;27.36;11.26;NA;NA;NA;
2;2;34.56;37.87;36.75;NA;ND;27.56;51.8;9.85;18.17;NA;NA;NA;
2;3;36.83;39.25;32.23;NA;ND;18.99;51.73;8.77;17.02;NA;NA;NA;
2;4;16.97;26.02;13.6;NA;ND;30.01;45.11;3.87;4.1;NA;NA;NA;
2;5;2.58;6.46;23.74;NA;ND;26.65;32.16;6.52;0.85;NA;NA;NA;
2;6;2.85;6.16;19.55;NA;ND;12.76;34.04;5.52;1.72;NA;NA;NA;
2;7;12.76;23.06;28.56;NA;ND;25.08;43.06;9.39;8.11;NA;NA;NA;
2;8;31.84;34.69;35.05;NA;ND;40.58;48.35;19.51;25.63;NA;NA;NA;
2;9;38.51;46.8;41.7;NA;ND;44.91;53.22;34.46;46.12;NA;NA;NA;
2;10;46.04;50;48.67;NA;ND;41.65;54.9;60.42;54.87;NA;NA;NA;
2;11;49.75;55.75;49.95;NA;ND;46.83;55.02;64.79;59.1;NA;NA;NA;
2;12;53.05;59.09;49.43;NA;ND;44.48;56.38;66.72;51.76;NA;NA;NA;
2;13;52.35;57.34;45.47;NA;ND;42.98;57.9;65.69;52.31;NA;NA;NA;
2;14;51.98;56.75;42.88;NA;ND;42.37;ND;63.34;53.99;NA;NA;NA;
2;15;49.2;56.15;44.14;NA;ND;41.82;54.56;64.58;56.35;NA;NA;NA;
2;16;46.19;52.54;40.23;NA;ND;40.84;54.96;61.13;52.72;NA;NA;NA;
2;17;37.94;42.71;26.91;NA;ND;32.41;48.62;56.09;46.15;NA;NA;NA;
2;18;23.61;33.28;18.24;NA;ND;27.81;47.25;46.59;43.94;NA;NA;NA;
2;19;22.07;29.23;19.63;NA;ND;21.06;45.24;38.61;32.28;NA;NA;NA;
2;20;23.14;30.52;18.48;NA;ND;19.87;48.65;21.63;31.8;NA;NA;NA;
2;21;15.63;30.48;36.17;NA;ND;26.97;52.6;10.78;25.69;NA;NA;NA;
2;22;11.94;21.36;46.45;NA;ND;36.33;55.26;6.44;38.02;NA;NA;NA;
2;23;17.99;18.75;51.26;NA;ND;44.64;59;5.69;22.25;NA;NA;NA;
3;0;23.92;25.23;52.69;NA;ND;43.81;58.36;5.49;14.56;NA;NA;NA;
3;1;19.39;17.16;53.33;NA;ND;45.37;57.53;ND;11.05;NA;NA;NA;
3;2;15.36;ND;50.67;NA;ND;44.66;57.46;13.39;ND;NA;NA;NA;
3;3;17.77;9.02;53.34;NA;ND;46.33;57.48;14.59;11.05;NA;NA;NA;
3;4;9.01;10.59;51.51;NA;ND;41.05;53.53;16.65;11.37;NA;NA;NA;
3;5;6;4.84;46.74;NA;ND;28.96;49.19;5.48;4.09;NA;NA;NA;
3;6;7.26;3.58;37.49;NA;ND;26.27;45.84;8.64;3.11;NA;NA;NA;
3;7;17.58;15.1;41.7;NA;ND;31.85;47.41;17.01;21.5;NA;NA;NA;
3;8;43.33;33.97;42.62;NA;ND;42.19;52.69;40.73;16.6;NA;NA;NA;
3;9;49.5;56.99;49.1;NA;ND;47.28;59.23;54.24;40.44;NA;NA;NA;
3;10;52.97;63.88;52.82;NA;ND;53.99;60.29;64.07;60.02;NA;NA;NA;
3;11;56.58;64.23;52.57;NA;ND;58.1;61.29;67.13;59.26;NA;NA;NA;
3;12;62.14;65.89;57.7;NA;ND;56.19;62.9;66.57;61.11;NA;NA;NA;
3;13;59.61;61.86;58.63;NA;ND;54.67;61.95;71.04;62.74;NA;NA;NA;
3;14;60.87;68.14;63.54;NA;ND;57.27;64.77;75.03;68.33;NA;NA;NA;
3;15;62.37;63.25;60.76;NA;ND;62.17;65.72;71.79;66.41;NA;NA;NA;
3;16;43.74;49.57;49.42;NA;ND;47.75;58.74;65.99;58.89;NA;NA;NA;
3;17;42.44;43.41;40.02;NA;ND;39.36;53.24;63.02;54.78;NA;NA;NA;
3;18;33.64;41.78;32.16;NA;ND;36.38;39.57;53.31;47.97;NA;NA;NA;
3;19;15.73;33.29;27.78;NA;ND;40.33;19.59;44.68;37.48;NA;NA;NA;
3;20;20.14;29.03;23.25;NA;ND;35.52;4.24;33.89;25.09;NA;NA;NA;
3;21;3.77;16.91;11.93;NA;ND;38.9;35.9;15.88;7.87;NA;NA;NA;
3;22;14.01;19.64;5.84;NA;ND;17.56;48.06;6.06;2.16;NA;NA;NA;
3;23;17.37;23.58;18.88;NA;ND;26.1;49.5;7.69;1.7;NA;NA;NA;
4;0;26.48;18.49;38.69;NA;ND;26.97;50.15;9.51;3.84;NA;NA;NA;
4;1;14.34;32.35;52.44;NA;ND;40.83;51.86;9.83;2.24;NA;NA;NA;
4;2;20.46;25.79;ND;NA;ND;38.18;ND;4.39;3.14;NA;NA;NA;
