DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;4.33;11.04;6.17;NA;1.6;7.68;10.67;20.82;18.61;NA;NA;NA;
1;1;9.44;12.63;10.7;NA;3.52;11.75;10.82;19.88;19.42;NA;NA;NA;
1;2;8.9;14.9;11.35;NA;4.12;12.39;16.79;21.07;19.46;NA;NA;NA;
1;3;9.7;13.01;12.82;NA;7.27;13.93;14.44;20.15;18.9;NA;NA;NA;
1;4;8.57;12.48;14.52;NA;3.69;13.01;12.18;18.11;16.9;NA;NA;NA;
1;5;2.78;12.79;11.19;NA;5.61;15;10.59;18.66;15.72;NA;NA;NA;
1;6;0.88;3.63;3.06;NA;5.19;3.46;9.53;15.86;13.55;NA;NA;NA;
1;7;2.53;7.45;2.43;NA;6.39;2.95;9.24;10.22;12.08;NA;NA;NA;
1;8;6.91;6.82;2.13;NA;8.67;4.64;14.5;17.32;12.36;NA;NA;NA;
1;9;6.02;12.68;3.42;NA;11.59;6.3;15.95;17.06;9.97;NA;NA;NA;
1;10;8.91;15.6;10.94;NA;17.56;13.7;22.07;22.05;11.81;NA;NA;NA;
1;11;15.03;14.56;21.57;NA;27.06;24.72;22.97;26.76;27.39;NA;NA;NA;
1;12;23.05;20;34.97;NA;24.72;ND;20.77;34.67;40.35;NA;NA;NA;
1;13;19.53;18.2;26.6;NA;18.95;35.47;20.9;29.36;43.72;NA;NA;NA;
1;14;19.71;21.82;17.82;NA;14.09;29.76;19.13;23.29;33.84;NA;NA;NA;
1;15;16.73;20.41;6.7;NA;14.08;14.69;20.57;26.25;20.77;NA;NA;NA;
1;16;16.93;18.92;4.43;NA;11.94;ND;17.3;24.81;14.24;NA;NA;NA;
1;17;14.57;17.43;2.28;NA;5.85;ND;10.79;21.92;4.02;NA;NA;NA;
1;18;10.36;14.42;1.33;NA;8.61;ND;4.91;17.73;2.5;NA;NA;NA;
1;19;1.76;11.28;1.71;NA;5.39;ND;2;16.76;0.11;NA;NA;NA;
1;20;2.33;10.05;1.83;NA;3.35;ND;2.12;18.75;11.48;NA;NA;NA;
1;21;7.38;6.28;1.8;NA;1.97;ND;1.27;19.29;14.73;NA;NA;NA;
1;22;3.62;5;0.69;NA;2.89;ND;2.52;16.99;15.54;NA;NA;NA;
1;23;5.47;9.93;0.73;NA;4.39;ND;3.92;16.55;12.33;NA;NA;NA;
2;0;7.75;11.33;2.51;NA;3.16;ND;1.89;16.34;14.28;NA;NA;NA;
2;1;4.91;9.07;6.96;NA;8.22;ND;7.28;15.61;13.14;NA;NA;NA;
2;2;4.72;9.28;6.59;NA;10.67;ND;11.97;9.54;11.98;NA;NA;NA;
2;3;3.61;7.54;10.18;NA;6.06;ND;11.89;12.71;12.27;NA;NA;NA;
2;4;5.04;6.92;10.6;NA;8.68;ND;5.93;14.62;9.6;NA;NA;NA;
2;5;2.38;4.2;8.59;NA;7.2;ND;8.16;11.67;9.87;NA;NA;NA;
2;6;3.01;2.01;3.87;NA;6.75;ND;4.82;9.84;10.3;NA;NA;NA;
2;7;4.87;4.75;3.7;NA;7.71;ND;8.37;3.03;9.47;NA;NA;NA;
2;8;9.67;10.48;9.98;NA;16.53;ND;16.95;14.06;13.2;NA;NA;NA;
2;9;18.47;18.79;20.95;NA;20.3;ND;27.49;27.38;25.38;NA;NA;NA;
2;10;21.53;25.65;27.89;NA;28.55;ND;37.88;38.87;35.47;NA;NA;NA;
2;11;21.96;24.64;24.5;NA;43.26;ND;49.61;52.79;42.22;NA;NA;NA;
2;12;30.25;24.11;36.68;NA;48.11;ND;46.24;44.29;57.21;NA;NA;NA;
2;13;31.84;25.78;43.23;NA;27.86;ND;77.35;38.75;51.69;NA;NA;NA;
2;14;31.6;28.96;41.91;NA;25.74;ND;79.98;34.8;43.39;NA;NA;NA;
2;15;29.6;29.31;35.15;NA;18.75;ND;53.07;28.83;32.68;NA;NA;NA;
2;16;23.63;22.06;25.77;NA;15.33;ND;37.32;26.34;29.79;NA;NA;NA;
2;17;16.35;20.63;14.04;NA;12.57;ND;22.46;22.18;25.33;NA;NA;NA;
2;18;14.49;14.47;3.6;NA;6.22;ND;10.86;17.49;11.46;NA;NA;NA;
2;19;7.14;12.58;2.2;NA;2.84;ND;9.09;12.61;14.01;NA;NA;NA;
2;20;1.03;9.42;1.6;NA;3.8;ND;2.59;15.2;10.3;NA;NA;NA;
2;21;4.89;10.83;3.89;NA;4.83;ND;6.63;17.67;14.4;NA;NA;NA;
2;22;0.51;8.94;3.8;NA;5.88;ND;4.08;18.57;13.72;NA;NA;NA;
2;23;0.35;10.16;2.61;NA;6.16;ND;3.91;16.44;12.9;NA;NA;NA;
3;0;1.16;8.92;1.37;NA;9.62;ND;4.45;17.24;11.54;NA;NA;NA;
3;1;4.81;7.92;2.12;NA;2.62;ND;0.47;15.78;13.83;NA;NA;NA;
3;2;6.05;13.59;1.75;NA;2;ND;3.25;15.89;14.38;NA;NA;NA;
3;3;6.62;10.03;2.71;NA;6.49;ND;10.17;15.01;11.68;NA;NA;NA;
3;4;8.78;9.9;3.16;NA;5.01;ND;15.39;15.93;13.25;NA;NA;NA;
3;5;5.99;9.64;4.66;NA;4.37;ND;10.86;14;11.08;NA;NA;NA;
3;6;4.77;8.29;8.58;NA;4.16;ND;9.27;12.8;13.89;NA;NA;NA;
3;7;7.22;10.36;4.92;NA;6.47;ND;8.17;16.39;12.18;NA;NA;NA;
3;8;8.32;9.13;7.15;NA;11.36;ND;9.67;15.68;12.03;NA;NA;NA;
3;9;17.65;20.93;10.9;NA;11.64;ND;17.77;21.86;9.31;NA;NA;NA;
3;10;23.9;23.66;22.66;NA;21.72;ND;23.38;29.35;8.01;NA;NA;NA;
3;11;23.19;20.69;27.64;NA;35.75;ND;38;31.86;30.34;NA;NA;NA;
3;12;21.19;22.7;26.96;NA;30.96;ND;35.5;33.05;31.34;NA;NA;NA;
3;13;21.47;22.71;25.85;NA;16.01;ND;21.9;36.09;35.55;NA;NA;NA;
3;14;21.41;20.76;24.83;NA;22.69;ND;28.21;31.22;34.73;NA;NA;NA;
3;15;21.56;21.78;24.75;NA;21.79;ND;31.09;28.18;33.61;NA;NA;NA;
3;16;19.76;21.43;18.78;NA;22.85;ND;29.23;24.55;26.24;NA;NA;NA;
