DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.77;4.24;0;NA;0.57;1.56;2.51;ND;ND;NA;NA;NA;
1;1;1.57;10.11;0;NA;0.54;1.97;12.25;2.42;0.48;NA;NA;NA;
1;2;ND;7.19;ND;NA;ND;2.32;7.4;7.01;0;NA;NA;NA;
1;3;1.13;5.02;0.34;NA;1.56;1.95;4.8;0.73;0.04;NA;NA;NA;
1;4;0.44;1.93;0.49;NA;2.07;2.36;7.21;0.02;0;NA;NA;NA;
1;5;0;0.41;0.47;NA;1.99;2.51;2.07;0.28;0.01;NA;NA;NA;
1;6;0.24;1.24;1.31;NA;3.06;3.48;1.16;0.96;0.37;NA;NA;NA;
1;7;2.71;2.77;2.19;NA;4.8;3.7;2.87;1.96;2.21;NA;NA;NA;
1;8;12.71;13.16;8.11;NA;10.76;9.89;21.58;3.83;9.69;NA;NA;NA;
1;9;29.18;26.55;16.02;NA;23.79;21.4;34.87;14.26;18.05;NA;NA;NA;
1;10;50.91;48.12;31.42;NA;22.14;36.28;ND;31.18;14.29;NA;NA;NA;
1;11;52.54;44.25;42.32;NA;35.47;43.3;ND;55;14.59;NA;NA;NA;
1;12;53.04;49.03;37.61;NA;44.6;43.44;ND;60.41;49.51;NA;NA;NA;
1;13;51.96;48.86;39.54;NA;43.92;43.24;ND;52.75;36.69;NA;NA;NA;
1;14;37.18;44.51;38.64;NA;42.58;42.82;ND;51.53;41.47;NA;NA;NA;
1;15;32.13;38.57;31.42;NA;32.39;34.44;36.98;45.24;44.33;NA;NA;NA;
1;16;25.74;28.13;23.11;NA;17.57;21.54;28.58;35.36;36.37;NA;NA;NA;
1;17;14.06;26.47;6.92;NA;14.35;11.22;19.99;28.94;25.28;NA;NA;NA;
1;18;11.55;23.24;1.61;NA;7.71;4.57;11.94;25.5;23.46;NA;NA;NA;
1;19;4.59;20.02;1.1;NA;2.93;2.6;11.65;22.32;22.81;NA;NA;NA;
1;20;2.47;16.5;2.26;NA;4.72;1.7;7.75;5.63;19.73;NA;NA;NA;
1;21;0.03;9.43;0.66;NA;1.75;2.14;4.2;5.05;3.27;NA;NA;NA;
1;22;0.03;3.97;1.07;NA;1.11;2.24;12.26;3.23;0.59;NA;NA;NA;
1;23;0;5.63;0.04;NA;1.81;1.46;11.02;3.09;0.37;NA;NA;NA;
2;0;0;7.63;0.32;NA;2.43;1.99;2.43;1.54;ND;NA;NA;NA;
2;1;0;17.91;0.05;NA;2.3;1.8;0.55;0.2;0.51;NA;NA;NA;
2;2;0;ND;0.07;NA;1.55;ND;4.82;0.28;2.5;NA;NA;NA;
2;3;0;10.46;0.03;NA;3.4;1.6;1.7;0;1.73;NA;NA;NA;
2;4;0;3.33;0.13;NA;2.41;2.04;0.84;0.19;0.95;NA;NA;NA;
2;5;0;1.43;0.16;NA;1.68;2.28;4.56;0.19;0.69;NA;NA;NA;
2;6;0.02;2.72;1.21;NA;4.8;3.09;2.85;2.17;1.47;NA;NA;NA;
2;7;1.23;5.6;3.44;NA;6.12;5.2;7.63;2.36;1.97;NA;NA;NA;
2;8;10.88;15.04;8.15;NA;8.87;8.69;13.97;4.52;5.02;NA;NA;NA;
2;9;29.15;27.05;16.78;NA;19.95;24.29;35.93;14.38;21.24;NA;NA;NA;
2;10;48.81;32.53;19.45;NA;27.57;25.78;38.44;43.87;17.62;NA;NA;NA;
2;11;40.31;36.33;31.46;NA;27.93;31.25;37.1;ND;36.76;NA;NA;NA;
2;12;44.14;44.04;36.75;NA;40.48;39.66;40.46;44.97;45.74;NA;NA;NA;
2;13;42.45;44.92;39.44;NA;40.04;40.56;37.22;52.71;30.64;NA;NA;NA;
2;14;38.37;44.03;41.21;NA;34.12;38.55;36.46;50.18;31.97;NA;NA;NA;
2;15;35.33;41.58;38.98;NA;29.48;38.04;45.48;49.49;42.49;NA;NA;NA;
2;16;25.02;31.48;23.67;NA;26.05;29.68;36.49;41.72;ND;NA;NA;NA;
2;17;23.31;22.94;10.7;NA;11.05;12.83;23.66;30.64;30.82;NA;NA;NA;
2;18;17.86;15.92;4.61;NA;3.12;4.26;12.89;25.75;21.54;NA;NA;NA;
