DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.21;1.12;5.82;12.56;7.29;5.39;ND;ND;ND;NA;NA;NA;
1;1;ND;1.01;ND;11.54;ND;13.89;ND;ND;ND;NA;NA;NA;
1;2;2.13;0.77;6.01;13.31;53.63;31.45;ND;ND;ND;NA;NA;NA;
1;3;2.46;1;11.32;10.07;92.63;27.34;ND;ND;ND;NA;NA;NA;
1;4;3.25;1.19;15.49;19.36;81.94;25.07;ND;ND;ND;NA;NA;NA;
1;5;4.84;1.47;13.19;22.14;59.9;31.82;ND;ND;ND;NA;NA;NA;
1;6;6.17;2.26;12.49;28.42;40.26;29.17;ND;ND;ND;NA;NA;NA;
1;7;8.71;2.94;18.01;27.59;38.51;31.12;ND;ND;ND;NA;NA;NA;
1;8;9.2;2.95;20.14;26.48;31.6;22.16;ND;ND;ND;NA;NA;NA;
1;9;8.11;3.7;20.79;18.11;32.07;18.27;ND;ND;ND;NA;NA;NA;
1;10;6.27;2.91;18.38;13.04;20.32;16.34;ND;ND;ND;NA;NA;NA;
1;11;4.57;2.05;9.76;4.8;10.67;12.96;ND;ND;ND;NA;NA;NA;
1;12;3.93;1.66;5.97;7.99;5.25;8.77;ND;ND;ND;NA;NA;NA;
1;13;3.36;1.6;6.28;3.67;4.75;6.45;ND;ND;ND;NA;NA;NA;
1;14;3.22;1.37;5.89;4.05;4.16;7.68;ND;ND;ND;NA;NA;NA;
1;15;3.47;1.42;6.02;4.06;6.41;8.25;ND;ND;ND;NA;NA;NA;
1;16;3.31;1.6;5.78;5.04;6.7;7.58;ND;ND;ND;NA;NA;NA;
1;17;3.94;1.59;11.73;6.74;7.81;8.17;ND;ND;ND;NA;NA;NA;
1;18;4.65;1.41;13.56;15.46;8.26;10.75;ND;ND;ND;NA;NA;NA;
1;19;5.82;1.41;15.08;15.65;10.19;15.26;ND;ND;ND;NA;NA;NA;
1;20;5.99;1.94;12.55;18.91;9.71;10.77;ND;ND;ND;NA;NA;NA;
1;21;8.36;2.3;11.82;13.88;17.24;16.72;ND;ND;ND;NA;NA;NA;
1;22;8.76;2.3;13.15;21.97;16.3;17.79;ND;ND;ND;NA;NA;NA;
1;23;9.09;2.29;11.83;15.55;37.13;11.43;ND;ND;ND;NA;NA;NA;
2;0;9.04;2.24;11.8;16;23.93;11.12;ND;ND;ND;NA;NA;NA;
2;1;8.25;ND;14.36;15.89;14.46;ND;ND;ND;ND;NA;NA;NA;
2;2;7.27;2.62;13.4;16.27;14.51;10.35;ND;ND;ND;NA;NA;NA;
2;3;6.67;2.6;15.03;20.31;12.6;10.58;ND;ND;ND;NA;NA;NA;
2;4;7.14;3.13;11.75;12.93;13.81;11.46;ND;ND;ND;NA;NA;NA;
2;5;7.51;4.21;11.19;12.89;47.72;12.96;ND;ND;ND;NA;NA;NA;
2;6;9.2;4.43;9.99;30.16;145.74;15.22;ND;ND;ND;NA;NA;NA;
2;7;15.01;8.11;14.12;36.2;101.7;22.68;ND;ND;ND;NA;NA;NA;
2;8;17.15;5.54;22.53;26.45;44.59;26.74;ND;ND;ND;NA;NA;NA;
2;9;11.21;5.27;29.8;16.4;15.04;17.91;ND;ND;ND;NA;NA;NA;
2;10;7.37;4.58;18.21;10.15;9.66;11.67;ND;ND;ND;NA;NA;NA;
2;11;5.85;2.76;8.79;4.08;7.29;5.86;ND;ND;ND;NA;NA;NA;
2;12;4.16;2.31;5.48;3.63;6.86;4.18;ND;ND;ND;NA;NA;NA;
2;13;4.13;2.18;6.08;5.67;6.79;4.08;ND;ND;ND;NA;NA;NA;
2;14;3.37;1.93;4.6;5.12;7.02;5.74;ND;ND;ND;NA;NA;NA;
2;15;3.2;1.61;4.95;4.98;7.85;5.41;ND;ND;ND;NA;NA;NA;
2;16;2.96;1.49;6.64;3.89;8.23;5.85;ND;ND;ND;NA;NA;NA;
2;17;2.99;1.7;8.14;7.01;9.31;8.47;ND;ND;ND;NA;NA;NA;
2;18;3.16;1.49;11.56;7.9;9.94;9.64;ND;ND;ND;NA;NA;NA;
2;19;3.73;1.73;14.12;9.97;12.11;10.44;ND;ND;ND;NA;NA;NA;
2;20;4.15;1.45;8.89;4.34;10.33;8.82;ND;ND;ND;NA;NA;NA;
2;21;4.6;1.42;5.59;5.09;11.03;6.93;ND;ND;ND;NA;NA;NA;
2;22;4.59;1.4;6.06;6.9;7.43;6.98;ND;ND;ND;NA;NA;NA;
2;23;3.13;1.26;5.76;4.77;7.12;5.18;ND;ND;ND;NA;NA;NA;
3;0;2.93;1.17;9.61;5.49;8.25;7.09;ND;ND;ND;NA;NA;NA;
3;1;ND;1.17;ND;5.01;ND;6.78;ND;ND;ND;NA;NA;NA;
3;2;2.81;1.18;4.59;5.6;6.21;6.06;ND;ND;ND;NA;NA;NA;
3;3;2.41;1.19;4.19;4.75;6.46;6.09;ND;ND;ND;NA;NA;NA;
3;4;2.48;1.17;4.19;3.6;8.35;6.62;ND;ND;ND;NA;NA;NA;
3;5;3.9;1.29;5.96;8.14;11.73;6.46;ND;ND;ND;NA;NA;NA;
3;6;5.15;1.67;8;15.7;26.43;11.38;ND;ND;ND;NA;NA;NA;
3;7;17.77;2.15;14.86;22.99;46.19;18.78;ND;ND;ND;NA;NA;NA;
3;8;15.57;2.88;19.69;27.29;45.89;14.33;ND;ND;ND;NA;NA;NA;
3;9;7.14;2.85;7.48;12.04;7.09;4.89;ND;ND;ND;NA;NA;NA;
3;10;5.34;2.63;7.78;ND;7.94;5.16;ND;ND;ND;NA;NA;NA;
3;11;ND;2.37;6.06;ND;7.08;3.57;ND;ND;ND;NA;NA;NA;
3;12;ND;2.11;4.91;ND;4.07;2.89;ND;ND;ND;NA;NA;NA;
3;13;2.61;1.7;5.37;ND;5.72;2.79;ND;ND;ND;NA;NA;NA;
3;14;2.4;1.36;4.09;5;4.52;3.52;ND;ND;ND;NA;NA;NA;
3;15;1.66;1.41;4.04;5.06;8.42;3.65;ND;ND;ND;NA;NA;NA;
3;16;1.31;1.48;8.26;6.7;11.76;3.97;ND;ND;ND;NA;NA;NA;
3;17;2.18;1.46;5.06;6.95;5.54;7.25;ND;ND;ND;NA;NA;NA;
3;18;2.4;1.52;8.17;6.51;10.18;9.73;ND;ND;ND;NA;NA;NA;
3;19;3.76;1.75;11.25;13.39;12.85;13.74;ND;ND;ND;NA;NA;NA;
3;20;3.61;1.59;14.72;18.05;10.72;13.18;ND;ND;ND;NA;NA;NA;
3;21;4.38;1.71;17.56;18.09;8.28;10.3;ND;ND;ND;NA;NA;NA;
3;22;3.07;1.5;8.42;8.74;9.66;6.86;ND;ND;ND;NA;NA;NA;
3;23;3.4;1.31;9.19;11.33;8.82;5.73;ND;ND;ND;NA;NA;NA;
4;0;2.99;1.41;6.07;8.15;5.86;4.91;ND;ND;ND;NA;NA;NA;
4;1;2.4;ND;4.83;7.36;6.15;ND;ND;ND;ND;NA;NA;NA;
4;2;1.84;1.4;3.41;5.89;5.31;4.52;ND;ND;ND;NA;NA;NA;
4;3;1.7;1.53;4.21;7.03;5.09;4.47;ND;ND;ND;NA;NA;NA;
4;4;2.03;1.27;3.65;6.91;6.48;4.79;ND;ND;ND;NA;NA;NA;
4;5;3.48;1.5;5.1;10.26;7.03;5.15;ND;ND;ND;NA;NA;NA;
4;6;2.77;1.53;6.72;10.6;11.44;8.9;ND;ND;ND;NA;NA;NA;
4;7;4.73;1.69;10.44;16.96;13.95;13.58;ND;ND;ND;NA;NA;NA;
4;8;7.87;1.61;12.75;15.66;11.04;9.47;ND;ND;ND;NA;NA;NA;
4;9;4.3;1.41;15.16;12.17;11.54;10.96;ND;ND;ND;NA;NA;NA;
4;10;3.67;1.56;12.5;8.86;9.03;10.9;ND;ND;ND;NA;NA;NA;
4;11;3.65;1.53;8.2;7.42;8;7.9;ND;ND;ND;NA;NA;NA;
