DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;8.64;12.69;13.09;ND;32.51;1.25;NA;NA;ND;NA;NA;NA;
1;1;4.33;6.55;9.68;5.2;10.31;12.84;NA;NA;ND;NA;NA;NA;
1;2;8.07;4.1;4.9;6.51;6.42;8.96;NA;NA;ND;NA;NA;NA;
1;3;2.29;4.3;6.36;4.9;8.04;4.49;NA;NA;ND;NA;NA;NA;
1;4;4.55;5.25;1.76;6.12;7.94;4.42;NA;NA;ND;NA;NA;NA;
1;5;10.08;7.58;6.83;0.73;6.41;7.03;NA;NA;ND;NA;NA;NA;
1;6;2.35;2.81;2.14;7.77;21.28;5.3;NA;NA;ND;NA;NA;NA;
1;7;7.31;7.2;8.91;6.87;17.18;7.56;NA;NA;ND;NA;NA;NA;
1;8;9.04;5.41;10.43;10.58;7.89;10.74;NA;NA;ND;NA;NA;NA;
1;9;14.49;2.14;6.18;4.79;21.69;8.95;NA;NA;ND;NA;NA;NA;
1;10;8.79;19.14;13.01;16.49;17.86;9.63;NA;NA;ND;NA;NA;NA;
1;11;5.79;19.05;17.34;13.35;29.38;26.2;NA;NA;ND;NA;NA;NA;
1;12;9.5;12.72;11.98;6.97;21.42;17.99;NA;NA;ND;NA;NA;NA;
1;13;11.03;2.58;17.08;9.99;16.74;11.03;NA;NA;ND;NA;NA;NA;
1;14;8.36;18.94;18.84;15.42;15.38;9.51;NA;NA;ND;NA;NA;NA;
1;15;9.55;15.29;16.18;10.75;8.41;16.81;NA;NA;ND;NA;NA;NA;
1;16;15.43;14.12;15.15;16.69;18.15;15.89;NA;NA;ND;NA;NA;NA;
1;17;8.4;13.43;15.29;10.72;10.96;7.85;NA;NA;ND;NA;NA;NA;
1;18;10.72;17.69;13.24;13.29;24.76;18.05;NA;NA;ND;NA;NA;NA;
1;19;11.13;10.8;19.17;9.59;24.28;19.57;NA;NA;ND;NA;NA;NA;
1;20;10.85;5.88;22.34;14.6;25.08;14.17;NA;NA;ND;NA;NA;NA;
1;21;11.78;17.33;13.44;12.86;30.74;16.87;NA;NA;ND;NA;NA;NA;
1;22;9.61;6.21;15.25;11.92;ND;21.36;NA;NA;ND;NA;NA;NA;
1;23;6.32;15.09;9.44;7.13;ND;8.92;NA;NA;ND;NA;NA;NA;
2;0;26.34;7.91;16.39;ND;25.1;20.44;NA;NA;ND;NA;NA;NA;
2;1;5.76;11.24;7.79;12.25;13.98;10.93;NA;NA;ND;NA;NA;NA;
2;2;14.08;4.1;10.94;12.1;11.5;7.33;NA;NA;ND;NA;NA;NA;
2;3;9.09;12.14;9.01;4.02;10.55;12.78;NA;NA;ND;NA;NA;NA;
2;4;7.6;12.41;6.79;9.63;14.52;8.46;NA;NA;ND;NA;NA;NA;
2;5;7.65;8.99;12.19;5.17;16.64;4.62;NA;NA;ND;NA;NA;NA;
2;6;15.54;15.26;7.8;8.2;9.84;7.96;NA;NA;ND;NA;NA;NA;
2;7;8.59;17.19;6.6;11.65;4.08;12.8;NA;NA;ND;NA;NA;NA;
2;8;17.71;14.92;17.46;13.45;12.02;11.23;NA;NA;ND;NA;NA;NA;
2;9;11.95;10.96;8.65;5.82;3.42;6.58;NA;NA;ND;NA;NA;NA;
2;10;8.31;4.6;12.84;7.58;23.17;19.93;NA;NA;ND;NA;NA;NA;
2;11;18.35;17.04;19.55;18.26;21.63;20;NA;NA;ND;NA;NA;NA;
2;12;16.85;5.53;22.83;19.18;29.95;23.85;NA;NA;ND;NA;NA;NA;
2;13;7.64;24.34;13.7;11.67;19.77;15.91;NA;NA;ND;NA;NA;NA;
2;14;13.26;10.84;23.49;11.86;23.96;13.47;NA;NA;ND;NA;NA;NA;
2;15;8.89;15.25;19.82;17.09;8.32;11.34;NA;NA;ND;NA;NA;NA;
2;16;13.01;20.53;13.98;14.3;9.74;7.84;NA;NA;ND;NA;NA;NA;
2;17;10.18;3.28;11.17;10.17;19.34;16.47;NA;NA;ND;NA;NA;NA;
2;18;9.31;13.76;18.99;13.4;12.48;13.22;NA;NA;ND;NA;NA;NA;
2;19;10.37;10.54;10.26;13.56;17.86;13.53;NA;NA;ND;NA;NA;NA;
2;20;13.44;23.62;8.55;4.54;16.37;11.35;NA;NA;ND;NA;NA;NA;
2;21;16.83;18.95;17.72;11.96;23.83;9.2;NA;NA;ND;NA;NA;NA;
2;22;12.75;11.92;14.56;9.02;25.56;19.68;NA;NA;ND;NA;NA;NA;
2;23;11.43;13.73;8.88;15.75;ND;15.99;NA;NA;ND;NA;NA;NA;
3;0;21.27;13.29;15.08;ND;29.63;19.12;NA;NA;ND;NA;NA;NA;
3;1;20.18;11.67;15.16;17.37;27.72;17.98;NA;NA;ND;NA;NA;NA;
3;2;8.53;9.88;10.21;12.49;13.57;16;NA;NA;ND;NA;NA;NA;
3;3;6.03;5.68;2.85;2.38;7.98;7.85;NA;NA;ND;NA;NA;NA;
3;4;5.73;3.37;8.63;6.2;5.67;1.42;NA;NA;ND;NA;NA;NA;
