DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;ND;ND;ND;1.13;ND;ND;0.36;NA;ND;NA;NA;NA;
1;1;0.24;0.27;0.36;0.94;0.46;0.29;0.33;NA;ND;NA;NA;NA;
1;2;0.26;0.27;0.36;0.97;0.37;0.32;0.34;NA;ND;NA;NA;NA;
1;3;0.24;0.25;0.36;0.94;0.3;0.32;0.35;NA;ND;NA;NA;NA;
1;4;0.29;0.26;0.4;1;0.45;0.32;0.55;NA;ND;NA;NA;NA;
1;5;0.45;0.34;0.51;1.05;0.82;0.67;0.91;NA;ND;NA;NA;NA;
1;6;1.74;0.69;0.96;1.77;2.01;1.33;1.97;NA;ND;NA;NA;NA;
1;7;2.43;0.96;1.62;2.35;2.87;2.58;1.47;NA;ND;NA;NA;NA;
1;8;1.3;0.87;2.38;2.51;2.33;2.07;0.7;NA;ND;NA;NA;NA;
1;9;1.02;0.57;1.53;1.79;1.52;1.13;0.91;NA;ND;NA;NA;NA;
1;10;0.53;0.45;1.27;1.79;0.94;0.97;ND;NA;ND;NA;NA;NA;
1;11;ND;0.42;1.01;1.31;0.67;0.99;ND;NA;ND;NA;NA;NA;
1;12;ND;0.37;0.92;1.17;0.86;0.75;0.53;NA;ND;NA;NA;NA;
1;13;0.17;0.35;0.97;1.1;0.57;0.66;0.57;NA;ND;NA;NA;NA;
1;14;ND;0.29;0.85;1.16;0.58;0.45;0.56;NA;ND;NA;NA;NA;
1;15;0.35;0.29;0.87;1.25;0.55;0.47;0.59;NA;ND;NA;NA;NA;
1;16;0.36;0.28;1.1;1.59;0.56;0.42;0.62;NA;ND;NA;NA;NA;
1;17;ND;0.3;1.03;1.73;0.55;0.5;0.63;NA;ND;NA;NA;NA;
1;18;ND;0.42;1.08;1.63;0.85;0.59;0.66;NA;ND;NA;NA;NA;
1;19;0.77;0.51;1.28;2.05;0.99;0.72;0.77;NA;ND;NA;NA;NA;
1;20;0.73;0.6;1.23;1.98;1.04;0.62;0.81;NA;ND;NA;NA;NA;
1;21;0.62;0.68;0.76;1.58;0.81;0.52;0.7;NA;ND;NA;NA;NA;
1;22;0.68;0.63;0.67;1.38;0.54;0.49;0.59;NA;ND;NA;NA;NA;
1;23;0.64;0.52;0.59;1.2;0.48;0.56;0.51;NA;ND;NA;NA;NA;
2;0;0.76;0.43;0.54;1.14;0.48;0.59;ND;NA;ND;NA;NA;NA;
2;1;0.67;0.35;0.45;1.03;0.42;0.49;0.48;NA;ND;NA;NA;NA;
2;2;0.71;0.37;0.59;1.03;0.38;0.49;0.6;NA;ND;NA;NA;NA;
2;3;0.6;0.37;0.52;0.99;0.37;0.4;0.53;NA;ND;NA;NA;NA;
2;4;0.57;0.34;0.45;1.08;0.41;0.43;0.6;NA;ND;NA;NA;NA;
2;5;0.75;0.5;0.64;1.36;0.7;0.49;0.74;NA;ND;NA;NA;NA;
2;6;1.61;1.1;1.39;2.07;1.33;1.42;1.45;NA;ND;NA;NA;NA;
2;7;2.19;1.87;1.89;3.06;2.04;2.05;1.63;NA;ND;NA;NA;NA;
2;8;1.86;1.04;2.12;2.91;1.06;1.5;1.04;NA;ND;NA;NA;NA;
2;9;1.39;0.58;1.16;1.98;0.66;0.75;0.58;NA;ND;NA;NA;NA;
2;10;0.72;0.46;1.17;1.55;0.58;0.74;0.6;NA;ND;NA;NA;NA;
2;11;0.55;0.43;1.16;1.33;0.55;0.87;ND;NA;ND;NA;NA;NA;
2;12;0.47;0.37;0.96;1.27;0.7;0.77;ND;NA;ND;NA;NA;NA;
2;13;0.44;0.4;0.68;1.13;0.55;0.67;0.36;NA;ND;NA;NA;NA;
2;14;0.43;0.29;0.95;1.14;0.5;0.45;0.39;NA;ND;NA;NA;NA;
2;15;0.42;0.31;1.16;1.17;0.5;0.49;0.36;NA;ND;NA;NA;NA;
2;16;0.44;0.32;1.35;1.28;0.55;0.56;0.54;NA;ND;NA;NA;NA;
2;17;0.58;0.31;1.42;2.06;0.65;0.66;0.94;NA;ND;NA;NA;NA;
2;18;0.75;0.43;1.61;2.33;0.84;0.69;0.77;NA;ND;NA;NA;NA;
2;19;0.64;0.49;1.56;1.93;1.07;0.81;0.62;NA;ND;NA;NA;NA;
2;20;0.65;0.43;1.35;1.69;1.09;0.74;0.51;NA;ND;NA;NA;NA;
2;21;0.59;0.37;1.05;1.43;0.76;0.57;0.42;NA;ND;NA;NA;NA;
2;22;0.52;0.36;0.78;1.26;0.46;ND;0.34;NA;ND;NA;NA;NA;
2;23;0.48;0.29;0.57;1.3;0.29;ND;0.31;NA;ND;NA;NA;NA;
3;0;ND;ND;ND;ND;ND;ND;0.31;NA;ND;NA;NA;NA;
3;1;0.39;0.27;0.41;ND;0.23;0.26;0.29;NA;ND;NA;NA;NA;
3;2;0.41;0.26;0.43;ND;0.22;0.25;0.28;NA;ND;NA;NA;NA;
3;3;0.41;0.28;0.46;ND;0.26;0.31;0.31;NA;ND;NA;NA;NA;
3;4;0.49;0.32;0.49;ND;0.31;0.5;0.32;NA;ND;NA;NA;NA;
3;5;0.64;0.43;0.49;ND;0.4;0.68;0.45;NA;ND;NA;NA;NA;
3;6;1.31;0.79;0.84;ND;1.25;1.16;0.66;NA;ND;NA;NA;NA;
3;7;1.61;1.11;1.18;ND;1.42;2.02;1.2;NA;ND;NA;NA;NA;
3;8;1.71;1.07;2.59;ND;1.85;1.93;1.19;NA;ND;NA;NA;NA;
3;9;0.98;0.72;1.78;ND;1.35;1.19;0.72;NA;ND;NA;NA;NA;
3;10;1.07;0.49;1.23;ND;0.63;0.82;0.43;NA;ND;NA;NA;NA;
3;11;0.64;ND;1.36;ND;ND;0.93;0.49;NA;ND;NA;NA;NA;
3;12;0.49;0.5;1.09;ND;0.74;0.74;0.5;NA;ND;NA;NA;NA;
3;13;0.44;0.42;1.28;ND;0.62;0.77;0.44;NA;ND;NA;NA;NA;
3;14;0.45;0.38;1.02;ND;0.67;0.87;0.44;NA;ND;NA;NA;NA;
3;15;0.52;0.37;1.37;ND;0.53;0.7;0.78;NA;ND;NA;NA;NA;
3;16;0.56;0.36;1.82;ND;0.64;0.7;0.91;NA;ND;NA;NA;NA;
3;17;0.54;0.38;1.73;ND;0.73;0.81;1.02;NA;ND;NA;NA;NA;
3;18;0.77;0.38;1.55;ND;0.8;0.95;1.07;NA;ND;NA;NA;NA;
3;19;0.77;0.46;1.69;ND;1.36;1.01;0.81;NA;ND;NA;NA;NA;
3;20;0.77;0.53;1.29;ND;1.24;1.02;0.85;NA;ND;NA;NA;NA;
