DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.41;0.57;1.68;ND;1.43;0.91;0.31;NA;ND;NA;NA;NA;
1;1;0.31;0.56;1.11;ND;1.37;1;0.43;NA;ND;NA;NA;NA;
1;2;0.37;0.5;1.45;ND;1.25;1.28;0.59;NA;ND;NA;NA;NA;
1;3;0.25;0.49;1.13;ND;0.87;1.37;0.5;NA;ND;NA;NA;NA;
1;4;0.29;0.63;1.58;ND;0.95;1.28;0.69;NA;ND;NA;NA;NA;
1;5;0.4;0.86;1.77;ND;1.28;1.47;1.28;NA;ND;NA;NA;NA;
1;6;1.44;1.29;2.14;ND;3.42;2.85;2;NA;ND;NA;NA;NA;
1;7;1.41;1.11;3.71;ND;2.22;4.31;0.6;NA;ND;NA;NA;NA;
1;8;ND;0.84;2.65;ND;1.38;1.56;0.3;NA;ND;NA;NA;NA;
1;9;ND;0.51;1.74;ND;0.67;0.95;0.28;NA;ND;NA;NA;NA;
1;10;0.32;0.45;1.27;ND;0.53;0.7;0.3;NA;ND;NA;NA;NA;
1;11;0.12;0.37;ND;ND;0.42;0.64;0.23;NA;ND;NA;NA;NA;
1;12;0.05;0.44;1.3;ND;0.47;0.62;0.08;NA;ND;NA;NA;NA;
1;13;ND;0.41;ND;ND;0.75;0.76;ND;NA;ND;NA;NA;NA;
1;14;0.34;0.38;ND;ND;0.78;1.39;ND;NA;ND;NA;NA;NA;
1;15;ND;0.47;ND;ND;0.98;1.75;ND;NA;ND;NA;NA;NA;
1;16;0.66;0.68;1.97;ND;0.94;ND;0.75;NA;ND;NA;NA;NA;
1;17;0.64;0.67;2.15;ND;1.27;ND;0.56;NA;ND;NA;NA;NA;
1;18;0.58;0.69;2.29;ND;1.5;1.65;0.6;NA;ND;NA;NA;NA;
1;19;0.81;0.67;2.3;ND;1.6;ND;0.64;NA;ND;NA;NA;NA;
1;20;0.72;0.83;1.61;ND;1.16;1.51;0.6;NA;ND;NA;NA;NA;
1;21;0.69;0.57;1.08;ND;1.2;1.4;0.52;NA;ND;NA;NA;NA;
1;22;0.87;0.58;0.91;ND;0.76;1.17;0.43;NA;ND;NA;NA;NA;
1;23;0.71;0.59;0.83;ND;0.72;1.22;0.42;NA;ND;NA;NA;NA;
2;0;0.63;ND;0.64;ND;0.52;1;0.44;NA;ND;NA;NA;NA;
2;1;0.56;0.43;0.64;ND;0.53;0.81;0.49;NA;ND;NA;NA;NA;
2;2;0.49;0.39;0.63;ND;0.57;0.89;0.59;NA;ND;NA;NA;NA;
2;3;0.46;0.4;0.55;ND;0.61;0.94;0.36;NA;ND;NA;NA;NA;
2;4;0.42;0.37;0.53;ND;0.61;0.83;0.56;NA;ND;NA;NA;NA;
2;5;0.45;0.4;0.58;ND;0.75;0.74;0.52;NA;ND;NA;NA;NA;
2;6;0.68;0.69;1.13;ND;1.81;1.1;0.52;NA;ND;NA;NA;NA;
2;7;1.28;1.09;2.17;ND;1.41;1.86;0.39;NA;ND;NA;NA;NA;
2;8;0.99;0.74;1.68;ND;0.84;1.53;0.33;NA;ND;NA;NA;NA;
2;9;0.6;0.49;ND;ND;0.88;1.55;0.49;NA;ND;NA;NA;NA;
2;10;0.35;0.4;ND;ND;0.69;1.07;0.4;NA;ND;NA;NA;NA;
2;11;0.28;0.38;0.52;ND;0.44;0.95;0.38;NA;ND;NA;NA;NA;
2;12;0.33;0.39;0.63;ND;0.48;0.97;0.46;NA;ND;NA;NA;NA;
2;13;0.33;0.39;0.5;ND;0.81;ND;0.53;NA;ND;NA;NA;NA;
2;14;0.27;0.36;0.65;ND;0.81;0.86;0.57;NA;ND;NA;NA;NA;
2;15;0.18;0.41;0.95;ND;0.92;ND;0.35;NA;ND;NA;NA;NA;
2;16;ND;0.51;0.76;ND;0.94;1.37;0.37;NA;ND;NA;NA;NA;
2;17;ND;0.46;1.98;ND;1.08;1.78;0.59;NA;ND;NA;NA;NA;
2;18;ND;0.56;2.12;ND;1.32;2.1;0.79;NA;ND;NA;NA;NA;
2;19;0.73;0.59;2.31;ND;1.59;1.85;0.84;NA;ND;NA;NA;NA;
2;20;0.68;0.59;1.14;ND;1.19;1.21;0.81;NA;ND;NA;NA;NA;
2;21;0.57;0.46;1.27;ND;1.01;1.19;0.68;NA;ND;NA;NA;NA;
2;22;0.67;0.49;1;ND;0.69;1.14;0.6;NA;ND;NA;NA;NA;
2;23;0.51;0.4;0.8;ND;0.54;0.92;0.64;NA;ND;NA;NA;NA;
3;0;0.49;0.4;0.75;ND;0.37;0.9;0.42;NA;ND;NA;NA;NA;
3;1;0.47;0.36;0.55;ND;0.31;0.7;0.36;NA;ND;NA;NA;NA;
3;2;0.52;0.4;0.46;ND;0.34;0.78;0.38;NA;ND;NA;NA;NA;
3;3;0.49;0.44;0.42;ND;0.49;0.58;0.47;NA;ND;NA;NA;NA;
3;4;0.46;0.41;0.42;ND;0.54;0.54;0.35;NA;ND;NA;NA;NA;
3;5;0.49;0.41;0.55;ND;0.99;0.86;0.4;NA;ND;NA;NA;NA;
3;6;0.64;1.55;0.76;ND;1.2;1.31;0.81;NA;ND;NA;NA;NA;
3;7;2.08;1.77;1.96;ND;1.64;1.83;0.47;NA;ND;NA;NA;NA;
3;8;1.49;1.07;1.34;ND;1.28;1.24;0.32;NA;ND;NA;NA;NA;
3;9;0.68;0.86;0.99;ND;0.71;0.77;0.3;NA;ND;NA;NA;NA;
3;10;0.71;0.55;0.75;ND;0.62;0.71;0.3;NA;ND;NA;NA;NA;
3;11;0.34;0.37;1.08;ND;0.64;0.89;0.38;NA;ND;NA;NA;NA;
3;12;ND;0.4;0.81;ND;0.62;0.83;0.48;NA;ND;NA;NA;NA;
3;13;ND;0.44;0.73;ND;0.65;0.79;ND;NA;ND;NA;NA;NA;
3;14;ND;0.4;0.51;ND;0.87;1.49;0.45;NA;ND;NA;NA;NA;
3;15;ND;0.42;1.27;ND;0.79;1.69;0.54;NA;ND;NA;NA;NA;
3;16;0.86;0.51;1.6;ND;1.41;ND;0.79;NA;ND;NA;NA;NA;
3;17;1;0.8;1.21;ND;1.63;2.16;1.16;NA;ND;NA;NA;NA;
3;18;0.97;1.03;1.59;ND;2.13;ND;1.31;NA;ND;NA;NA;NA;
3;19;0.95;1.42;2.15;ND;1.86;ND;1.3;NA;ND;NA;NA;NA;
3;20;1.63;1.39;2.39;ND;1.51;2.27;1.01;NA;ND;NA;NA;NA;
3;21;2.1;1.81;2.33;ND;1.58;2.78;1.33;NA;ND;NA;NA;NA;
3;22;1.83;1.65;1.66;ND;1.78;2.63;1.22;NA;ND;NA;NA;NA;
3;23;1.21;0.71;1.19;ND;2.12;2.24;1.12;NA;ND;NA;NA;NA;
4;0;0.65;ND;0.74;ND;1.85;1.4;0.82;NA;ND;NA;NA;NA;
4;1;1.02;0.48;1.24;ND;1.56;2.64;0.72;NA;ND;NA;NA;NA;
4;2;0.63;0.58;1.15;ND;1.55;2.46;0.53;NA;ND;NA;NA;NA;
4;3;0.7;0.62;1.11;ND;1.45;2.31;0.92;NA;ND;NA;NA;NA;
4;4;0.86;0.62;1.19;ND;1.22;2.05;0.67;NA;ND;NA;NA;NA;
4;5;0.91;0.93;1.09;ND;1.34;1.45;0.98;NA;ND;NA;NA;NA;
4;6;1.72;2.16;1.85;ND;3.03;2.64;0.51;NA;ND;NA;NA;NA;
4;7;2.29;1.37;1.98;ND;2.58;1.54;0.34;NA;ND;NA;NA;NA;
4;8;1.54;0.84;1.16;ND;0.47;0.99;0.35;NA;ND;NA;NA;NA;
4;9;1.33;0.71;0.99;ND;0.34;0.76;0.35;NA;ND;NA;NA;NA;
4;10;0.75;0.59;1.25;ND;0.5;0.94;0.32;NA;ND;NA;NA;NA;
4;11;0.49;0.41;1.12;ND;0.77;1.28;0.41;NA;ND;NA;NA;NA;
4;12;0.44;0.39;0.84;ND;0.72;0.89;0.83;NA;ND;NA;NA;NA;
4;13;0.46;0.46;0.7;ND;0.65;0.91;0.67;NA;ND;NA;NA;NA;
4;14;0.48;0.47;0.86;ND;0.55;0.87;0.65;NA;ND;NA;NA;NA;
4;15;0.51;0.48;1.39;ND;0.57;1.03;0.7;NA;ND;NA;NA;NA;
4;16;0.62;0.51;1.43;ND;0.55;1.2;0.78;NA;ND;NA;NA;NA;
4;17;0.84;0.51;1.46;ND;0.73;1.15;0.61;NA;ND;NA;NA;NA;
4;18;0.57;0.57;1.35;ND;0.93;1.22;0.64;NA;ND;NA;NA;NA;
4;19;0.85;0.75;1.42;ND;0.91;1.46;0.8;NA;ND;NA;NA;NA;
4;20;0.8;0.62;1.34;ND;0.71;1.53;0.67;NA;ND;NA;NA;NA;
4;21;0.83;0.59;1.24;ND;0.95;1.59;0.62;NA;ND;NA;NA;NA;
4;22;0.7;0.51;1.24;ND;0.64;1.69;0.9;NA;ND;NA;NA;NA;
4;23;0.64;0.49;1.16;ND;0.89;1.29;0.79;NA;ND;NA;NA;NA;
5;0;ND;0.44;1.17;ND;0.76;ND;0.91;NA;ND;NA;NA;NA;
5;1;0.51;0.37;0.7;ND;0.7;1.14;1.07;NA;ND;NA;NA;NA;
5;2;0.45;0.36;0.71;ND;0.87;0.8;0.79;NA;ND;NA;NA;NA;
5;3;0.46;0.37;0.65;ND;0.48;0.71;0.5;NA;ND;NA;NA;NA;
5;4;0.5;0.36;0.58;ND;0.32;0.64;0.67;NA;ND;NA;NA;NA;
5;5;0.51;0.39;0.51;ND;0.43;0.67;0.78;NA;ND;NA;NA;NA;
5;6;0.62;0.5;0.62;ND;0.71;0.75;0.75;NA;ND;NA;NA;NA;
5;7;0.81;0.78;0.87;ND;0.9;0.97;0.68;NA;ND;NA;NA;NA;
5;8;0.83;0.97;0.93;ND;1.1;1.05;0.54;NA;ND;NA;NA;NA;
5;9;0.96;0.8;0.97;ND;1.06;1.03;0.6;NA;ND;NA;NA;NA;
5;10;0.75;0.69;0.95;ND;0.8;0.92;0.48;NA;ND;NA;NA;NA;
5;11;0.55;0.61;0.93;ND;0.73;0.86;0.69;NA;ND;NA;NA;NA;
5;12;0.45;0.55;0.69;ND;1.06;1.02;0.67;NA;ND;NA;NA;NA;
5;13;0.43;0.46;0.69;ND;0.89;0.91;0.63;NA;ND;NA;NA;NA;
5;14;0.39;0.39;0.81;ND;0.67;0.88;0.61;NA;ND;NA;NA;NA;
5;15;0.39;0.41;0.63;ND;0.81;0.88;0.63;NA;ND;NA;NA;NA;
5;16;0.4;0.41;0.59;ND;0.62;0.91;0.59;NA;ND;NA;NA;NA;
5;17;0.4;0.46;0.92;ND;0.52;0.96;0.61;NA;ND;NA;NA;NA;
5;18;0.55;0.54;1.03;ND;0.47;1.01;0.77;NA;ND;NA;NA;NA;
5;19;0.87;0.61;1.16;ND;0.81;0.93;0.8;NA;ND;NA;NA;NA;
5;20;0.73;0.6;1.19;ND;0.86;1.2;0.71;NA;ND;NA;NA;NA;
5;21;0.68;0.61;0.94;ND;0.55;0.97;0.5;NA;ND;NA;NA;NA;
5;22;0.76;0.62;0.92;ND;0.78;1.01;0.56;NA;ND;NA;NA;NA;
5;23;0.72;0.66;1.2;ND;0.52;1.22;0.5;NA;ND;NA;NA;NA;
6;0;0.8;ND;0.93;ND;0.4;0.92;0.52;NA;ND;NA;NA;NA;
6;1;0.86;0.49;0.78;ND;0.49;0.85;0.45;NA;ND;NA;NA;NA;
6;2;0.99;0.52;0.93;ND;0.73;1.02;0.57;NA;ND;NA;NA;NA;
6;3;1.21;0.56;0.7;ND;1.09;0.82;0.74;NA;ND;NA;NA;NA;
6;4;1.07;0.61;0.85;ND;1.18;1.22;1.35;NA;ND;NA;NA;NA;
6;5;1.11;0.59;1.08;ND;0.89;1.11;1.33;NA;ND;NA;NA;NA;
6;6;1.2;0.75;1.22;ND;1.17;1.58;0.86;NA;ND;NA;NA;NA;
6;7;1.12;0.76;1.73;ND;1.38;1.58;1.11;NA;ND;NA;NA;NA;
6;8;1.04;0.77;1.31;ND;1.05;1.08;0.44;NA;ND;NA;NA;NA;
6;9;0.7;0.61;0.85;ND;0.46;0.8;0.42;NA;ND;NA;NA;NA;
6;10;0.37;0.48;0.7;ND;0.39;0.72;0.49;NA;ND;NA;NA;NA;
6;11;0.38;0.42;0.63;ND;0.42;0.64;0.51;NA;ND;NA;NA;NA;
6;12;0.38;0.41;0.68;ND;0.53;0.58;0.66;NA;ND;NA;NA;NA;
6;13;0.4;0.38;0.48;ND;0.69;0.65;0.62;NA;ND;NA;NA;NA;
6;14;0.35;0.38;0.49;ND;0.63;0.83;0.67;NA;ND;NA;NA;NA;
6;15;0.33;0.37;0.59;ND;0.71;0.72;0.68;NA;ND;NA;NA;NA;
6;16;0.38;0.39;0.88;ND;0.45;0.81;0.61;NA;ND;NA;NA;NA;
6;17;0.45;0.41;1.04;ND;0.48;0.91;0.62;NA;ND;NA;NA;NA;
6;18;0.57;0.48;1.11;ND;0.51;1.04;0.91;NA;ND;NA;NA;NA;
6;19;0.64;0.45;1.29;ND;0.47;0.95;0.88;NA;ND;NA;NA;NA;
6;20;0.55;0.41;0.78;ND;0.5;0.71;0.72;NA;ND;NA;NA;NA;
6;21;0.5;0.38;0.71;ND;0.51;0.78;0.52;NA;ND;NA;NA;NA;
6;22;0.46;0.33;0.97;ND;0.33;0.78;0.49;NA;ND;NA;NA;NA;
6;23;0.43;0.38;0.62;ND;0.21;0.61;0.44;NA;ND;NA;NA;NA;
7;0;ND;0.33;0.55;ND;0.27;ND;0.39;NA;ND;NA;NA;NA;
7;1;0.29;0.3;0.5;ND;0.15;0.53;0.38;NA;ND;NA;NA;NA;
7;2;0.31;0.29;0.53;ND;0.14;0.49;0.4;NA;ND;NA;NA;NA;
7;3;0.31;0.29;0.54;ND;0.13;0.48;0.52;NA;ND;NA;NA;NA;
7;4;0.34;0.3;0.52;ND;0.17;0.49;0.41;NA;ND;NA;NA;NA;
7;5;0.44;0.31;0.58;ND;0.32;0.55;0.52;NA;ND;NA;NA;NA;
7;6;0.76;0.49;1.03;ND;0.68;0.89;0.78;NA;ND;NA;NA;NA;
7;7;0.87;0.55;1.28;ND;0.81;1.2;0.74;NA;ND;NA;NA;NA;
7;8;0.69;0.41;1.32;ND;0.63;1.01;0.44;NA;ND;NA;NA;NA;
7;9;0.61;0.38;1.29;ND;0.49;0.89;0.5;NA;ND;NA;NA;NA;
7;10;0.48;0.42;ND;ND;0.5;0.8;0.53;NA;ND;NA;NA;NA;
7;11;0.36;ND;ND;ND;ND;0.73;0.54;NA;ND;NA;NA;NA;
7;12;0.21;ND;ND;ND;0.81;0.84;0.53;NA;ND;NA;NA;NA;
7;13;ND;ND;ND;ND;0.76;0.85;0.39;NA;ND;NA;NA;NA;
7;14;ND;ND;0.88;ND;0.59;1.52;0.44;NA;ND;NA;NA;NA;
7;15;ND;0.4;1.26;ND;0.58;1.37;0.48;NA;ND;NA;NA;NA;
7;16;0.56;0.44;ND;ND;0.57;ND;0.51;NA;ND;NA;NA;NA;
7;17;0.52;0.42;ND;ND;0.55;1;0.68;NA;ND;NA;NA;NA;
7;18;0.61;0.46;1.44;ND;0.71;1.14;0.88;NA;ND;NA;NA;NA;
7;19;0.9;0.46;1.21;ND;0.59;1.07;0.8;NA;ND;NA;NA;NA;
7;20;0.73;0.43;0.89;ND;0.72;0.8;0.81;NA;ND;NA;NA;NA;
7;21;0.64;0.39;0.82;ND;0.49;0.71;0.73;NA;ND;NA;NA;NA;
7;22;0.53;ND;0.57;ND;0.32;0.74;0.52;NA;ND;NA;NA;NA;
7;23;0.43;ND;0.44;ND;0.2;0.67;0.46;NA;ND;NA;NA;NA;
8;0;0.39;ND;ND;ND;0.26;0.52;0.45;NA;ND;NA;NA;NA;
8;1;0.39;0.25;0.32;ND;0.26;0.5;0.39;NA;ND;NA;NA;NA;
8;2;0.39;0.25;0.3;ND;0.26;0.51;0.38;NA;ND;NA;NA;NA;
8;3;0.37;0.24;0.3;ND;0.27;0.5;0.37;NA;ND;NA;NA;NA;
8;4;0.38;0.26;0.33;ND;0.28;0.52;0.4;NA;ND;NA;NA;NA;
8;5;0.44;0.31;0.38;ND;0.42;0.55;0.55;NA;ND;NA;NA;NA;
8;6;0.84;0.59;0.94;ND;0.95;0.92;0.71;NA;ND;NA;NA;NA;
8;7;1.59;1.02;1.52;ND;1.25;1.41;0.69;NA;ND;NA;NA;NA;
8;8;1.17;0.75;1.96;ND;1.48;1.63;0.54;NA;ND;NA;NA;NA;
8;9;0.92;0.55;1.6;ND;0.89;1.22;0.45;NA;ND;NA;NA;NA;
8;10;0.75;0.55;ND;ND;0.75;ND;0.46;NA;ND;NA;NA;NA;
8;11;0.63;0.42;1.02;ND;0.71;ND;0.49;NA;ND;NA;NA;NA;
