DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;200.08;111.11;102.85;ND;188;110.67;NA;NA;ND;NA;NA;NA;
1;1;321.27;159.32;185.74;221.07;430.34;198.86;NA;NA;ND;NA;NA;NA;
1;2;205.76;122.02;190.78;126.13;118.26;168.07;NA;NA;ND;NA;NA;NA;
1;3;136.26;50.62;120.53;97.89;74.33;101.31;NA;NA;ND;NA;NA;NA;
1;4;73.72;30.65;30.8;61.79;59.42;46.96;NA;NA;ND;NA;NA;NA;
1;5;37.71;32.08;36.14;40.66;33.27;48.7;NA;NA;ND;NA;NA;NA;
1;6;31.3;43.31;54.41;49.19;63.78;49.52;NA;NA;ND;NA;NA;NA;
1;7;35.95;32.77;30.31;42.67;52.54;50.84;NA;NA;ND;NA;NA;NA;
1;8;35.68;34.48;42.13;53.77;63.77;50.29;NA;NA;ND;NA;NA;NA;
1;9;38.71;35.92;44.46;50;14.72;41.41;NA;NA;ND;NA;NA;NA;
1;10;22.98;17;23.43;21.57;17.96;19.84;NA;NA;ND;NA;NA;NA;
1;11;0.01;5.53;16.17;15.43;18.87;14.41;NA;NA;ND;NA;NA;NA;
1;12;7.53;11.62;9.95;11.37;11.64;1.66;NA;NA;ND;NA;NA;NA;
1;13;5.9;11.88;10.38;10.54;13.09;11.1;NA;NA;ND;NA;NA;NA;
1;14;11.77;6.55;0.21;2.18;2.17;2.89;NA;NA;ND;NA;NA;NA;
1;15;11.42;13.01;8.43;13.07;5.45;1.84;NA;NA;ND;NA;NA;NA;
1;16;4.76;12.75;12.35;9.59;5.56;7.3;NA;NA;ND;NA;NA;NA;
1;17;7.71;15.47;7.32;8.71;15.8;7.64;NA;NA;ND;NA;NA;NA;
1;18;7;10.39;15.14;7.65;15.07;10.6;NA;NA;ND;NA;NA;NA;
1;19;7.69;6.14;12.2;9.81;17.9;19.05;NA;NA;ND;NA;NA;NA;
1;20;13.25;11.4;11.61;13.8;8.82;16.41;NA;NA;ND;NA;NA;NA;
1;21;9.45;7.83;20.38;14.48;27.46;26.45;NA;NA;ND;NA;NA;NA;
1;22;21.76;5.04;11.89;14.31;24.78;18.01;NA;NA;ND;NA;NA;NA;
1;23;19.37;10.21;ND;14.18;ND;22.44;NA;NA;ND;NA;NA;NA;
2;0;14.27;2.64;8.75;ND;18.68;24.35;NA;NA;ND;NA;NA;NA;
2;1;10.03;6.5;22.38;20.78;21.81;17.87;NA;NA;ND;NA;NA;NA;
2;2;10.39;4.14;13.47;15.73;22.98;23.92;NA;NA;ND;NA;NA;NA;
2;3;8.66;10.3;15.79;8.7;19.86;17.58;NA;NA;ND;NA;NA;NA;
2;4;9.41;7.79;7.83;5.25;9;11.35;NA;NA;ND;NA;NA;NA;
2;5;15.45;8.32;8.5;5.92;18.16;15.29;NA;NA;ND;NA;NA;NA;
2;6;14.18;12.89;11.76;10.73;15.2;18.83;NA;NA;ND;NA;NA;NA;
2;7;17.64;8.63;18.38;10.81;29.65;26.57;NA;NA;ND;NA;NA;NA;
2;8;10.62;19.23;14.98;7.75;31.75;17.6;NA;NA;ND;NA;NA;NA;
2;9;18.22;6.96;18.8;16.99;19.34;15.4;NA;NA;ND;NA;NA;NA;
2;10;23.83;12.72;23.12;24.98;9.55;23.3;NA;NA;ND;NA;NA;NA;
2;11;23.22;21.97;16.22;20.41;13.15;18.08;NA;NA;ND;NA;NA;NA;
2;12;25.66;19.44;19.75;18.8;15.57;9.57;NA;NA;ND;NA;NA;NA;
2;13;5.98;10.69;4.98;4.71;8.11;10.27;NA;NA;ND;NA;NA;NA;
2;14;21.74;19.32;6.97;12.21;11.42;8.89;NA;NA;ND;NA;NA;NA;
2;15;21.88;13.66;12.01;13.9;11.8;14.51;NA;NA;ND;NA;NA;NA;
2;16;12.8;10.53;11.11;11.75;25.98;17.49;NA;NA;ND;NA;NA;NA;
2;17;17.15;11.66;11.47;7.25;20.27;10.58;NA;NA;ND;NA;NA;NA;
2;18;11.42;3.2;15.08;9.02;17.56;14.43;NA;NA;ND;NA;NA;NA;
2;19;18.4;12.87;16.29;19.18;21.89;19.62;NA;NA;ND;NA;NA;NA;
2;20;9.56;5.44;23.16;20.36;19.95;14.41;NA;NA;ND;NA;NA;NA;
2;21;13.16;3.98;14.63;20.67;17.14;20.08;NA;NA;ND;NA;NA;NA;
2;22;16.53;12.38;18.76;13.95;22.88;18.58;NA;NA;ND;NA;NA;NA;
2;23;17.79;10.9;ND;16.28;ND;9.86;NA;NA;ND;NA;NA;NA;
3;0;17.46;8.94;25.35;ND;30.35;25.42;NA;NA;ND;NA;NA;NA;
3;1;16.7;14.38;23.09;28.29;21.79;20.44;NA;NA;ND;NA;NA;NA;
3;2;16.17;8.42;11.7;21.06;11.55;18.07;NA;NA;ND;NA;NA;NA;
3;3;6.35;11.11;17.05;15;13.75;16.15;NA;NA;ND;NA;NA;NA;
3;4;17.64;6.17;14.26;10.94;22.95;15.29;NA;NA;ND;NA;NA;NA;
3;5;10.45;7.71;14.45;15.74;24.46;20.04;NA;NA;ND;NA;NA;NA;
3;6;15.88;18.54;18.27;17.16;24.11;22.15;NA;NA;ND;NA;NA;NA;
3;7;15.87;11.03;7.27;14.37;26.01;18.51;NA;NA;ND;NA;NA;NA;
3;8;11.9;14.83;18.45;13.57;11.51;19.43;NA;NA;ND;NA;NA;NA;
3;9;15.18;12.29;18.3;17.45;13.98;18.51;NA;NA;ND;NA;NA;NA;
3;10;14.46;14.99;8.36;13.16;18.69;9;NA;NA;ND;NA;NA;NA;
3;11;8.7;9.52;11.71;18.12;9.23;6.47;NA;NA;ND;NA;NA;NA;
3;12;9.52;4.88;2.92;13.98;6.36;3.17;NA;NA;ND;NA;NA;NA;
3;13;11.12;5.74;5.43;5.37;0.53;6.23;NA;NA;ND;NA;NA;NA;
3;14;7.84;9.41;9.38;7.51;8.71;11.39;NA;NA;ND;NA;NA;NA;
3;15;6.96;4.87;7.66;6.17;22.81;10.16;NA;NA;ND;NA;NA;NA;
3;16;15.81;8.2;8.84;10.96;14.31;7.99;NA;NA;ND;NA;NA;NA;
3;17;11.38;12.39;8.15;4.07;10.55;3.19;NA;NA;ND;NA;NA;NA;
3;18;3.61;12.08;22.23;10.41;13.27;14.51;NA;NA;ND;NA;NA;NA;
3;19;18.95;7.21;7.51;7.41;15.63;10.2;NA;NA;ND;NA;NA;NA;
3;20;13.57;10.96;14.7;7.37;25.53;16.02;NA;NA;ND;NA;NA;NA;
3;21;10.17;8.23;20.37;16.93;20.79;9.8;NA;NA;ND;NA;NA;NA;
3;22;6.5;8.62;13.72;18.81;9.29;16.13;NA;NA;ND;NA;NA;NA;
3;23;16.9;11.54;ND;13.79;ND;16.69;NA;NA;ND;NA;NA;NA;
4;0;5.33;13.85;25.77;ND;45.31;25.12;NA;NA;ND;NA;NA;NA;
4;1;14.27;8.11;17.45;21.55;21.02;19;NA;NA;ND;NA;NA;NA;
4;2;11.36;8.39;20.18;17.82;29.8;28.41;NA;NA;ND;NA;NA;NA;
4;3;13.54;11.67;22.2;18.47;24.65;16.13;NA;NA;ND;NA;NA;NA;
4;4;15.13;5.05;18.28;15.18;11.75;19.8;NA;NA;ND;NA;NA;NA;
4;5;15.52;7.7;14.5;11.74;17.4;17.34;NA;NA;ND;NA;NA;NA;
4;6;8.82;13.04;22.36;17.4;32.09;20.96;NA;NA;ND;NA;NA;NA;
4;7;15.63;15.16;21.48;26.02;49.13;20.47;NA;NA;ND;NA;NA;NA;
4;8;21.74;14.37;30.62;23.87;44.99;41.24;NA;NA;ND;NA;NA;NA;
4;9;8.28;4.3;24.62;22.76;31.85;30.4;NA;NA;ND;NA;NA;NA;
4;10;13.01;4.14;10.89;6.1;24.73;15.22;NA;NA;ND;NA;NA;NA;
4;11;14.23;11.1;4.85;9.5;10.57;5.66;NA;NA;ND;NA;NA;NA;
4;12;10.79;12.15;12.2;6.13;0.67;4.28;NA;NA;ND;NA;NA;NA;
4;13;8.75;4.69;8.04;14.38;6.7;2.62;NA;NA;ND;NA;NA;NA;
4;14;16.41;10.09;5.56;7.03;5.66;19.05;NA;NA;ND;NA;NA;NA;
4;15;10.45;10.4;4.32;7.84;13.5;10.01;NA;NA;ND;NA;NA;NA;
4;16;15.84;7.57;15.76;7.92;12.21;12.57;NA;NA;ND;NA;NA;NA;
4;17;11.09;17.87;14.31;10.14;13.43;11.31;NA;NA;ND;NA;NA;NA;
4;18;8.12;7.61;13.63;12.12;16.54;10.23;NA;NA;ND;NA;NA;NA;
4;19;8.43;8.47;15.4;6.12;10.56;10.76;NA;NA;ND;NA;NA;NA;
4;20;6.3;3.48;9.93;6.45;12.03;8.09;NA;NA;ND;NA;NA;NA;
4;21;16.74;8.4;11.28;3.96;15.21;10.89;NA;NA;ND;NA;NA;NA;
4;22;6.07;1.5;14.02;14.57;13.67;6.12;NA;NA;ND;NA;NA;NA;
4;23;0.71;2.17;ND;8.97;ND;7.83;NA;NA;ND;NA;NA;NA;
5;0;17.24;1.45;8.9;ND;15.18;4.65;NA;NA;ND;NA;NA;NA;
5;1;3.97;6.28;11.48;13.27;18.04;6.27;NA;NA;ND;NA;NA;NA;
5;2;8.49;6.2;8.52;13;8.83;16.11;NA;NA;ND;NA;NA;NA;
5;3;11.63;3.42;15.26;7.23;13.95;12.49;NA;NA;ND;NA;NA;NA;
5;4;6.06;6.52;9.38;12.26;10;13.38;NA;NA;ND;NA;NA;NA;
5;5;13.98;5.51;10.58;7.63;12.5;14.63;NA;NA;ND;NA;NA;NA;
5;6;9.81;15.73;15.56;14.89;16.79;16.87;NA;NA;ND;NA;NA;NA;
5;7;27.76;22.56;22.38;22.38;37.03;38.52;NA;NA;ND;NA;NA;NA;
5;8;34.02;18.55;25.77;30.47;27.75;34.69;NA;NA;ND;NA;NA;NA;
5;9;37.16;13.69;42.23;34.09;28.54;40.2;NA;NA;ND;NA;NA;NA;
5;10;16.27;15.13;39.02;30.72;47.72;35.35;NA;NA;ND;NA;NA;NA;
5;11;13.91;15.22;30.66;23.51;34.1;27.35;NA;NA;ND;NA;NA;NA;
5;12;16.62;12.27;23.81;16.87;21.9;12.71;NA;NA;ND;NA;NA;NA;
5;13;18.55;13.65;20.38;21.85;18.5;12.31;NA;NA;ND;NA;NA;NA;
5;14;8.39;7.46;17.46;9.42;21.05;10.13;NA;NA;ND;NA;NA;NA;
5;15;17.42;17.01;ND;12.86;24.65;13.43;NA;NA;ND;NA;NA;NA;
5;16;7.73;10.23;ND;11.42;22.48;14.3;NA;NA;ND;NA;NA;NA;
5;17;7.11;11.52;20.03;10.36;19.67;20.8;NA;NA;ND;NA;NA;NA;
5;18;8.93;9;17.05;8.11;23.57;18.85;NA;NA;ND;NA;NA;NA;
5;19;12.83;8.72;23.46;17.98;18.31;17.46;NA;NA;ND;NA;NA;NA;
5;20;8.35;1.93;13.96;17.57;22.82;14.18;NA;NA;ND;NA;NA;NA;
5;21;15.52;10.12;12.29;17.18;20.7;11.39;NA;NA;ND;NA;NA;NA;
5;22;14.12;11.63;10.1;16.45;9.46;12.07;NA;NA;ND;NA;NA;NA;
5;23;13.6;1.75;ND;12.24;ND;19.59;NA;NA;ND;NA;NA;NA;
6;0;15.28;3.48;4.63;ND;16.7;14.39;NA;NA;ND;NA;NA;NA;
6;1;13.19;5.07;12.14;10.64;13.33;15.1;NA;NA;ND;NA;NA;NA;
6;2;6.12;2.67;9.47;9.46;17.7;9.52;NA;NA;ND;NA;NA;NA;
6;3;9.75;4.82;9.01;4.15;8.86;10.66;NA;NA;ND;NA;NA;NA;
6;4;5.95;9.91;8.33;11.45;16.58;9.44;NA;NA;ND;NA;NA;NA;
6;5;8.42;4.71;5.18;2.77;5.7;1.92;NA;NA;ND;NA;NA;NA;
6;6;6.19;4.15;6.49;13.83;20.69;12.56;NA;NA;ND;NA;NA;NA;
6;7;19.66;13.35;10.34;15.09;22.22;7.6;NA;NA;ND;NA;NA;NA;
6;8;5.28;6.94;19.12;28.63;25.76;15.81;NA;NA;ND;NA;NA;NA;
6;9;18.44;3.88;29.98;22.22;16.11;15.52;NA;NA;ND;NA;NA;NA;
6;10;18.6;2.73;11.13;17.67;12.71;12.79;NA;NA;ND;NA;NA;NA;
6;11;11.1;10.49;5.86;12.99;12.68;16.91;NA;NA;ND;NA;NA;NA;
6;12;7.02;6.19;12.92;0.35;10.5;ND;NA;NA;ND;NA;NA;NA;
6;13;19.51;10.94;2.85;11.83;7.36;ND;NA;NA;ND;NA;NA;NA;
6;14;12.06;13.16;18.93;13.65;18.28;11.18;NA;NA;ND;NA;NA;NA;
6;15;7.92;4.68;3.65;5.49;9.84;4.2;NA;NA;ND;NA;NA;NA;
6;16;12.66;9.01;18.32;8.77;9.24;2.51;NA;NA;ND;NA;NA;NA;
6;17;14.67;28.77;17.83;9.5;13.18;11.22;NA;NA;ND;NA;NA;NA;
6;18;3.27;27.95;24.61;14.88;14.15;12.12;NA;NA;ND;NA;NA;NA;
6;19;10.58;10.92;19.07;11.15;15.81;10.65;NA;NA;ND;NA;NA;NA;
6;20;12.35;11.59;17.57;16;24.49;11.83;NA;NA;ND;NA;NA;NA;
6;21;8.85;6.02;13.44;17.72;10.68;9.77;NA;NA;ND;NA;NA;NA;
6;22;3.85;3.31;14.91;13.09;18.27;14.39;NA;NA;ND;NA;NA;NA;
6;23;11.63;14.7;ND;12.25;ND;10.8;NA;NA;ND;NA;NA;NA;
7;0;30.75;3.63;10.36;ND;17.5;8.84;NA;NA;ND;NA;NA;NA;
7;1;15.87;9.53;7.03;9.02;16.7;11.1;NA;NA;ND;NA;NA;NA;
7;2;14.48;4.04;6.92;6.72;9.99;9.39;NA;NA;ND;NA;NA;NA;
7;3;10.06;6.55;8.76;8.95;3.99;2.92;NA;NA;ND;NA;NA;NA;
7;4;18.61;0.91;6.11;6.71;17.56;7.79;NA;NA;ND;NA;NA;NA;
7;5;12.25;4.7;10.45;6.7;5.82;10.34;NA;NA;ND;NA;NA;NA;
