DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;0.41;ND;0.72;0.73;ND;ND;0.42;NA;ND;NA;NA;NA;
1;1;0.32;0.3;0.66;0.64;0.71;0.7;0.47;NA;ND;NA;NA;NA;
1;2;0.27;0.28;0.53;0.51;0.48;0.46;0.43;NA;ND;NA;NA;NA;
1;3;0.26;0.29;0.42;0.45;0.58;0.44;0.42;NA;ND;NA;NA;NA;
1;4;0.28;0.36;0.44;0.54;0.63;0.61;0.49;NA;ND;NA;NA;NA;
1;5;0.27;0.28;0.38;0.42;0.58;0.39;0.48;NA;ND;NA;NA;NA;
1;6;0.32;0.56;0.45;0.52;0.84;0.45;0.82;NA;ND;NA;NA;NA;
1;7;0.53;0.46;0.69;0.53;1.07;0.76;0.8;NA;ND;NA;NA;NA;
1;8;0.59;0.53;0.87;0.71;0.88;0.66;0.64;NA;ND;NA;NA;NA;
1;9;0.52;0.59;0.9;0.71;0.95;0.6;0.5;NA;ND;NA;NA;NA;
1;10;0.4;0.5;0.79;0.71;0.88;0.73;0.63;NA;ND;NA;NA;NA;
1;11;0.32;0.35;0.64;0.55;0.72;0.64;0.54;NA;ND;NA;NA;NA;
1;12;0.31;0.38;0.62;0.49;0.85;0.58;0.45;NA;ND;NA;NA;NA;
1;13;0.3;0.39;0.56;0.43;0.73;0.53;0.42;NA;ND;NA;NA;NA;
1;14;0.32;0.39;0.49;0.42;0.68;0.5;0.43;NA;ND;NA;NA;NA;
1;15;0.36;0.41;0.54;0.44;0.64;0.5;0.43;NA;ND;NA;NA;NA;
1;16;0.34;0.38;0.57;0.51;0.7;0.58;0.54;NA;ND;NA;NA;NA;
1;17;0.43;0.45;0.66;0.52;0.77;0.73;0.83;NA;ND;NA;NA;NA;
1;18;0.52;0.53;0.79;0.62;0.93;1.09;0.87;NA;ND;NA;NA;NA;
1;19;0.66;0.53;1.21;0.68;1.15;0.88;0.99;NA;ND;NA;NA;NA;
1;20;0.83;0.48;1.24;0.61;0.93;0.77;0.59;NA;ND;NA;NA;NA;
1;21;0.71;0.52;1;0.96;1.06;0.78;0.44;NA;ND;NA;NA;NA;
1;22;0.58;0.44;0.93;0.98;0.93;0.73;0.52;NA;ND;NA;NA;NA;
1;23;0.47;0.41;0.66;0.66;0.83;0.73;0.62;NA;ND;NA;NA;NA;
2;0;ND;0.32;0.53;0.52;0.73;0.7;ND;NA;ND;NA;NA;NA;
2;1;0.32;0.28;0.46;0.49;0.61;0.62;0.46;NA;ND;NA;NA;NA;
2;2;0.33;0.29;0.44;0.46;0.5;0.48;0.47;NA;ND;NA;NA;NA;
2;3;0.29;0.28;0.37;0.45;0.44;0.45;0.42;NA;ND;NA;NA;NA;
2;4;0.36;0.28;0.4;0.48;0.49;0.62;0.73;NA;ND;NA;NA;NA;
2;5;0.54;0.44;0.52;0.66;0.68;0.8;0.98;NA;ND;NA;NA;NA;
2;6;1.06;0.8;0.93;0.95;1.27;2.16;1.3;NA;ND;NA;NA;NA;
2;7;1;0.69;2.15;1.87;2.35;1.78;1.54;NA;ND;NA;NA;NA;
2;8;0.67;0.61;1.78;1.32;1.49;1.9;0.67;NA;ND;NA;NA;NA;
2;9;0.41;0.34;1.01;0.78;1.25;1.58;0.46;NA;ND;NA;NA;NA;
2;10;0.37;0.38;0.78;0.86;0.63;0.63;0.42;NA;ND;NA;NA;NA;
2;11;0.39;0.4;0.63;0.82;0.45;0.53;0.35;NA;ND;NA;NA;NA;
