DIA;HORA;Cotocollao;Carapungo;Belisario;Jipijapa;El Camal;Centro;Guamaní;Tumbaco;Los Chillos;El Condado;Turubamba;Chillogallo;
1;0;3.96;0.67;4.54;ND;48.44;22.09;ND;2.05;ND;NA;NA;NA;
1;1;3.23;ND;4.08;ND;27.42;ND;ND;0.66;ND;NA;NA;NA;
1;2;2.4;0.14;3.85;ND;22.69;11.83;ND;0.13;ND;NA;NA;NA;
1;3;2.68;0.19;3.65;ND;9.94;9.75;ND;0.07;ND;NA;NA;NA;
1;4;2.76;0.33;3.86;ND;5.95;7.23;ND;0.03;ND;NA;NA;NA;
1;5;2.6;0.32;3.25;ND;5.74;5.42;ND;0.01;ND;NA;NA;NA;
1;6;2.21;0.48;3.71;ND;7.99;4.55;ND;0.05;ND;NA;NA;NA;
1;7;2.48;0.47;4.53;ND;8.99;5.32;ND;0.53;ND;NA;NA;NA;
1;8;3.32;0.41;4.74;ND;8.29;5.3;ND;0.2;ND;NA;NA;NA;
1;9;3.75;0.47;5.69;ND;7.01;5.68;ND;1.2;ND;NA;NA;NA;
1;10;3.25;0.4;6.38;ND;5.32;6.26;ND;3.68;ND;NA;NA;NA;
1;11;2.81;0.47;4.26;ND;3.53;4.64;ND;1.19;ND;NA;NA;NA;
1;12;2.6;0.29;3.69;ND;3.3;3.68;ND;0.59;ND;NA;NA;NA;
1;13;2.56;0.43;2.98;ND;2.55;3.04;ND;0.28;ND;NA;NA;NA;
1;14;2.53;0.52;2.72;ND;2.15;2.94;ND;0.03;ND;NA;NA;NA;
1;15;2.66;0.34;3.69;ND;2.58;3.02;ND;0.2;ND;NA;NA;NA;
1;16;2.12;0.32;2.98;ND;2.86;3.32;ND;0.16;ND;NA;NA;NA;
1;17;2.55;0.29;3.36;ND;3.02;3.72;ND;0.09;ND;NA;NA;NA;
1;18;2.52;0.54;3.83;ND;2.75;4.63;ND;0.04;ND;NA;NA;NA;
1;19;2.91;0.32;5.3;ND;3.16;3.76;ND;0.03;ND;NA;NA;NA;
1;20;3.58;0.32;4.08;ND;2.52;3.49;ND;0.02;ND;NA;NA;NA;
1;21;3.11;0.41;3.44;ND;3.46;3.23;ND;0;ND;NA;NA;NA;
1;22;2.72;0.33;3.58;ND;3.37;3.18;ND;0;ND;NA;NA;NA;
1;23;2.65;0.37;3.35;ND;2.56;3.47;ND;0.03;ND;NA;NA;NA;
2;0;2.2;0.09;3.15;ND;7.94;3.37;ND;0;ND;NA;NA;NA;
2;1;ND;0.17;2.87;ND;ND;3.22;ND;0;ND;NA;NA;NA;
2;2;1.99;0.39;3.22;ND;2.76;3.08;ND;0;ND;NA;NA;NA;
2;3;2.21;0.32;3.44;ND;2.61;3.09;ND;0.02;ND;NA;NA;NA;
2;4;2.4;0.16;4.31;ND;34.49;8.54;ND;0.02;ND;NA;NA;NA;
2;5;4.64;0.3;5.04;ND;62.47;14.75;ND;0;ND;NA;NA;NA;
2;6;5.92;0.64;7.64;ND;31.09;21.61;ND;0.06;ND;NA;NA;NA;
2;7;4.98;0.89;9.61;ND;27.27;18.26;ND;0.04;ND;NA;NA;NA;
2;8;6.25;0.57;12.51;ND;15.32;16.92;ND;0.14;ND;NA;NA;NA;
2;9;5.17;0.58;10.24;ND;10.58;12.54;ND;2.02;ND;NA;NA;NA;
2;10;5.16;0.7;5.68;ND;5.76;6.59;ND;1.31;ND;NA;NA;NA;
2;11;3.61;0.83;3.66;ND;2.93;4.53;ND;0.99;ND;NA;NA;NA;
2;12;3.65;0.62;3.5;ND;ND;3.57;ND;0.61;ND;NA;NA;NA;
2;13;3.85;0.63;4.96;ND;ND;3.36;ND;0.64;ND;NA;NA;NA;
2;14;2.84;0.51;ND;ND;2.1;3.61;ND;0.5;ND;NA;NA;NA;
2;15;2.32;0.5;ND;ND;2.63;4.33;ND;0.29;ND;NA;NA;NA;
2;16;2.22;0.45;ND;ND;3.9;4.01;ND;0.52;ND;NA;NA;NA;
2;17;1.95;0.54;7.51;ND;2.32;4.35;ND;0.52;ND;NA;NA;NA;
2;18;2.08;0.44;9.82;ND;3.81;4.73;ND;0.22;ND;NA;NA;NA;
2;19;2.55;0.38;8.75;ND;5.37;6.09;ND;0.05;ND;NA;NA;NA;
2;20;2.57;0.39;7.09;ND;3.36;5.13;ND;0.01;ND;NA;NA;NA;
2;21;2.83;0.48;5.33;ND;2.75;4.16;ND;0;ND;NA;NA;NA;
2;22;2.32;0.34;5.27;ND;2.21;3.85;ND;0.05;ND;NA;NA;NA;
2;23;2.79;0.56;4.67;ND;2.23;3.62;ND;0;ND;NA;NA;NA;
3;0;4.81;0.47;5.31;ND;2.55;3.81;ND;0.19;ND;NA;NA;NA;
3;1;4.49;ND;6.03;ND;1.54;ND;ND;0;ND;NA;NA;NA;
3;2;2.91;0.29;6.03;ND;1.74;4.45;ND;0;ND;NA;NA;NA;
3;3;3.3;0.24;6.25;ND;2.07;3.83;ND;0;ND;NA;NA;NA;
3;4;3.06;0.21;5.76;ND;3.88;4.06;ND;0;ND;NA;NA;NA;
3;5;2.72;0.42;5.56;ND;2.72;4.07;ND;0;ND;NA;NA;NA;
